DOY2,HR2,FC_1_1_1,H_1_1_1,LE_1_1_1,USTAR_1_1_1,CO2_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,VPD_1_1_1,WS_1_2_1,PPFD_IN_1_1_2,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_DIF_1_1_1,NETRAD_1_1_1,PPFD_BC_IN_1_1_1,TS_1_1_1,TS_1_2_1,PA_1_1_1
3,7.25,1.142815367,49.87005092,5.1956426945,0.6714668235,413.55,2.19389668175,0.86113,0.537555,83.9,2.204939088,2.51575,354.81,38.56275,203.2775,35.1075,375.37,171.8975,98.672,61.712375,1.055175,1.27775,96.6
3,7.75,1.330109348,83.83057718,9.26902875175,0.713561077,413.194025,2.38872525,1.469,1.11335,81.62741473,2.444580771,2.599475,526.0125,55.449,294.7775,43.833,575.865,234.23,169.18725,96.845375,1.056325,1.2752,96.6
3,8.25,1.490809266,116.9224912,10.79155533,0.73825875,412.5080959,2.46458873125,2.2156,1.80805,78.55457235,2.781656731,2.64955,717.7375,78.9475,395.15,56.6765,813.75,290.7225,237.99475,163.67375,1.051025,1.2564,96.6
3,8.75,1.59182720325,164.653123475,15.95519755,0.767579,412.30046775,2.6381005965,2.7801,2.5034,74.9487082,3.156551059,2.7483,902.7975,106.59,502.7525,74.012,992.88,341.8175,315.777,252.11375,1.047125,1.23595,96.525
3,9.25,1.37627372575,207.7170992,16.8776583475,0.774521529,411.9342507,2.75841548,3.411225,3.12185,72.18856154,3.42312301825,2.8599,1059.025,135.815,579.0875,89.9405,1148.5,406.005,375.0625,286.895,1.048475,1.215375,96.525
3,9.75,1.34647435125,247.1498292,21.4317677675,0.80594863475,411.236719225,2.72633467,3.989875,3.935225,69.59767815,3.726112096,3.01915,1192.825,161.5725,641.0775,103.34,1274.7,443.055,424.377,363.20875,1.054725,1.2121,96.45
3,10.25,1.328161713,271.41069485,23.87834981,0.8291871,410.735,2.768983,4.55995,4.246525,68.366654995,4.145663206,3.0883,1312.9,184.67,704.0825,115.48,1375,482.8825,473.81625,519.72875,1.06435,1.20675,96.4
3,10.75,1.398521106,287.09171745,24.94135631,0.854830775,410.4195,2.96963,5.079175,4.76695,66.99594756,4.4238753805,3.282175,1402.275,203.9725,747.55,127.34,1452.15,538.05,504.324,406.23,1.0868,1.213125,96.3
3,11.25,1.292800471,303.082869,27.0725298425,0.873569369,410.5105054,3.00735425,5.3739,5.261525,65.701945415,4.5900328985,3.43295,1456,218.485,775.2075,134.84,1497.05,547.9425,525.71875,566.735,1.116725,1.24685,96.3
3,11.75,1.2905480995,316.53725,28.18235998,0.8965765,410.65692695,3.16443225,5.7699,5.539175,65.1017867225,4.82709391625,3.4761,1478.7,225.4225,786.0375,134.745,1485.825,572.7325,535.2335,690.65,1.136175,1.282725,96.2
3,12.25,1.2339184775,312.2890545,27.963153755,0.912045725,410.176752325,3.18570554425,6.310325,6.075175,64.02179822,5.039166873,3.3496,1471.6,222.1025,782.305,134.98,1448.95,538.4025,529.54275,605.58375,1.13365,1.310825,96.2
