DOY2,HR2,CO2,FC,H,LE,TA,T_SONIC,T_SONIC_SIGMA,RH,VPD,PA,NETRAD,PPFD_IN,TS,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA
2,14.25,405.8067,0.0575624,35.205735,43.2947,3.649181,4.0918435,0.32156075,53.93575,3.325554,93.4373,69.858355,557.0337,2.7,4.5695275,0.3296858,0.8638418,0.96370815,0.32777715
2,14.75,405.5683,0.1710995,17.57153,40.71537,3.730676,3.94661,0.25686965,57.45398,3.176424,93.44535,45.88665,433.9795,2.8,4.4452105,0.3318304,0.81848235,0.87775395,0.3253529
2,15.25,388.7489,0.269905,10.480025,38.01982,3.6511855,3.886125,0.2422242,56.77255,3.380237,93.48883,30.966965,285.249,2.7883335,4.076139,0.2887253,0.7954859,0.8641245,0.3011749
2,15.75,389.5028,0.296365,4.172492,32.593585,3.493498,4.038337,0.2057122,56.321495,3.466379,93.440295,5.665914,230.9201,2.945,4.021664,0.2728969,0.7221272,0.76901,0.2848762
2,16.25,391.357,0.3371725,-6.819851,20.83663,3.657713,3.863021,0.2037004,56.79218,3.49563,93.44419,-7.803533,145.9144,3.2,3.720799,0.26111935,0.67220035,0.7292357,0.27434675
2,16.75,401.8987,0.508809,-17.04968,15.63542,2.936383,3.575984,0.2565042,57.58961,3.442705,93.459275,-21.832145,53.94338,3.1766665,3.621922,0.2358554,0.625988,0.630676,0.2751021
2,17.25,388.8357,0.4978445,-17.02726,10.349385,2.466967,2.905405,0.2771979,60.20783,2.818506,93.4675,-33.0669,8.893524,2.976666,3.180679,0.2065009,0.5711864,0.6206397,0.2515657
2,17.75,390.5427,0.813443,-22.12852,11.17589,1.929064,2.5027975,0.25793415,61.38567,2.83285,93.52449,-44.300735,0.1778187,2.786667,3.0369205,0.2009319,0.542908,0.5813716,0.2255351
2,18.25,391.74895,0.596403,-21.99371,8.0364455,1.313489,2.211109,0.27415465,61.62388,2.727677,93.51543,-39.361,0.005144062,2.546666,2.786413,0.1974837,0.4974495,0.54217325,0.1943429
2,18.75,394.5149,0.706902,-19.21136,9.286744,1.190427,1.917329,0.2568734,63.7029,2.376871,93.54596,-37.45202,0.00304687,2.428333,2.837653,0.1932655,0.4890276,0.6158587,0.220159
2,19.25,393.57865,0.576196,-26.70868,8.91396,1.181162,1.853837,0.27501555,64.80697,2.222655,93.54772,-40.96946,0.0116884,2.623333,3.017483,0.19365875,0.520051,0.5999304,0.2072538
2,19.75,388.7644,0.58321,-27.13637,7.273018,0.8359759,1.6418835,0.2607575,66.892335,2.1275965,93.569955,-35.647745,0.00280743,2.193333,2.790161,0.18484835,0.49893615,0.5836497,0.18928765
2,20.25,394.269,0.703998,-18.2178,5.514,0.64985315,1.340477,0.2451074,66.40699,1.944493,93.614585,-32.814215,0.004910592,2.125,2.701842,0.1850207,0.4526425,0.6055833,0.2110428
2,20.75,406.8902,0.61427,-17.26332,7.085022,0.3955188,1.1582655,0.24977355,66.39139,1.856156,93.65592,-28.51101,0.0072490865,1.94,2.676872,0.1847772,0.52186595,0.5508441,0.2130593
