DOY2,HR2,CO2_1_1_1,TS_1_1_1,TS_2_1_1,G_1_2_1,G_1_2_2,NEE,NETRAD,G_1_1_1,USTAR,FC_1_1_1,FC_1_1_2,LE_1_1_1,LE_1_1_2,H_1_1_2,H_1_1_1,SLE,SH,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_OUT,PPFD_IN_1_2_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,RH_1_1_1,RH_1_2_1,WS,PA,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,PPFD_IN_1_1_3
1,15.75,413.5512,0.84446,1.83545,-1.8482,-2.0862,0.167535,3.87725,-1.8519,0.3779,-0.039078,0.18573,4.4189,0.77783,0.944005,1.7346,-0.28668,-5.7925,67.1795,59.551,21.166,16.888,-18.2811,-15.565,-14.01,83.3,79.8495,3.0332,98.1,0.89227,1.61625,1.5989,1.8012,0.13815,0.85673,1.09515,1.3658,67.1795
1,16.25,414.6279,1.043,1.9622,-1.8445,-2.0865,0.06862,-3.4645,-1.8639,0.3316,-0.017268,0.12472,0.805085,-0.03093,-5.43665,-4.3809,-0.55103,-8.7016,19.901,16.368,6.27945,9.92915,-18.3053,-16.43,-14.332,84.6,80.7555,2.9584,98.2,0.890605,1.61795,1.5956,1.7996,0.14124,0.8623,1.09505,1.36655,19.901
1,16.75,414.3647,1.134,2.0213,-1.8447,-2.0859,0.15621,-5.87515,-1.85115,0.301035,-0.016303,0.210335,0.47495,0.47733,-6.88795,-5.8834,-0.58918,-7.6096,2.9575,1.3031,0.44937,6.2268,-18.2354,-16.925,-14.5305,85.8,81.4515,2.7695,98.2,0.890555,1.6138,1.5944,1.7957,0.14466,0.86157,1.0954,1.36675,2.9575
1,17.25,414.0463,1.1949,2.0134,-1.8459,-2.08425,0.059793,-9.4492,-1.7856,0.253775,-0.0274965,0.0238705,0.253025,0.047501,-7.6392,-6.8361,-0.69376,-6.298,0.35388,0.07642,-0.099585,2.16255,-18.40215,-17.505,-15.062,86.5,82.377,2.67355,98.2,0.889475,1.61135,1.5945,1.795,0.13388,0.85915,1.0961,1.36615,0.35388
1,17.75,413.4822,1.1626,2.00915,-1.8467,-2.08275,0.131835,-6.6544,-1.80735,0.25867,0.0007233,0.0534255,1.031515,0.258135,-9.2293,-9.2484,-0.6538,-5.7822,0.22511,0.00685,-0.119625,0.382625,-18.8364,-18.44,-15.467,86.9,82.3975,2.7659,98.2,0.888475,1.6095,1.5925,1.796,0.1334,0.85678,1.09775,1.36655,0.22511
1,18.25,413.3061,1.0265,1.9224,-1.8544,-2.0811,0.083924,-6.15475,-1.85775,0.25047,-0.017888,0.011909,0.38543,0.0024304,-11.58525,-8.87435,-0.72729,-5.0567,0.230035,0.01674,-0.123605,0.1258,-19.1247,-18.82,-15.7685,87.5,82.7075,2.8803,98.2,0.889035,1.61005,1.5904,1.7959,0.13141,0.85674,1.09925,1.36715,0.230035
1,18.75,413.5162,0.9057,1.8857,-1.8589,-2.08025,0.076857,-8.51615,-1.90235,0.26522,0.056858,0.02117,0.61684,-0.016593,-10.8186,-9.02515,-0.55991,-4.8105,0.225675,0.03907,-0.114525,0.131865,-19.254,-19.08,-16.088,87.6,82.506,2.84405,98.2,0.88906,1.6084,1.589,1.7953,0.13011,0.85635,1.0986,1.36605,0.225675
1,19.25,413.794,0.80402,1.72165,-1.8618,-2.07925,0.0850935,-7.83015,-1.8427,0.26196,0.0072894,0.0644945,0.85895,0.046341,-10.1312,-8.9476,-0.5288,-3.9152,0.178425,0.05481,-0.098405,0.10815,-19.5215,-19.11,-16.414,87.8,82.2045,2.98505,98.2,0.88977,1.60865,1.5901,1.795,0.12714,0.85663,1.0994,1.36285,0.178425
1,19.75,413.733,0.67456,1.6418,-1.8673,-2.07765,0.21637,-6.4933,-1.88425,0.290225,-0.0007488,0.14389,-0.03397045,-0.039833,-9.093,-9.1598,-0.53753,-4.3763,0.208795,0.04716,-0.10387,0.11062,-19.7486,-19.07,-16.6415,87.7,83.0885,2.91935,98.2,0.891115,1.60695,1.5888,1.7949,0.12627,0.85633,1.0972,1.3653,0.208795
1,20.25,413.78785,0.55613,1.61265,-1.8715,-2.0754,0.15074,-5.4184,-1.8746,0.26625,-0.031127,0.062471,1.006665,0.025454,-9.5762,-8.2296,-0.42228,-3.7559,0.199105,0.04923,-0.112,0.092915,-19.9619,-19.135,-16.6995,87.8,83.192,2.8817,98.2,0.892295,1.6039,1.5882,1.7943,0.12447,0.857,1.0967,1.36595,0.199105
