DOY2,HR2,CO2,H2O,FC,SC,H,SH,LE,SLE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,PPFD_IN,SW_IN,SW_OUT,TAU,U_SIGMA,USTAR,W_SIGMA,V_SIGMA,WS
2,0.25,509.873,1.72718,-0.02866006,-0.035607,-22.181917,-0.847166,-1.885549875,-0.337259375,98.7592,63.117,-9.54399999999998,-11.01,0.372025,215.63,255.93,-55.928,-0.015446,-1.6112,0.69798,-0.0310118,0.0983231,0.0388879,0.00210303,0.0338242,0.319545
2,0.75,511.6515,1.93112,-0.11313,-0.0146738,-14.21867,-1.221925,-0.954095625,-0.2295893625,98.749,66.1185,-10.266,-11.374,0.3502825,218.055,251.775,-51.8535,-0.015717,-2.21025,0.92243,-0.0302296,0.0460616,0.0443976,0.003535235,0.0535593,0.302174
2,1.25,512.2795,1.7888475,-0.00545099999999998,-0.0293087,-17.96503,-1.54425,-1.5933425,-0.2577905,98.789275,66.887,-11.07075,-12.02225,0.32725,218.755,246.4225,-51.22,-0.02431,-2.1098,0.8418175,-0.03791985,0.04184025,0.03693485,0.00233495,0.038120675,0.27296975
2,1.75,513.18025,1.8144,0.0512203,-0.0204457,-13.45504,-1.049819,-1.164567875,-0.300734,98.765625,68.34475,-11.53525,-12.41,0.32975,217.315,252.245,-46.774,-0.01559275,-1.95715,1.06178,-0.024336225,0.058995975,0.03403585,0.00276616,0.031837875,0.279528
2,2.25,514.281,1.65276,-0.0508779,0.0073284325,-16.35323925,-1.082415,-0.269507033333333,-0.084417265,98.8378,69.194,-12.067,-13.501,0.258693,201.45,241.03,-55.695,-0.020848,-1.9844,1.1447,-0.025159,0.0478507,0.0422862,0.0022008,0.0339982,0.257352
2,2.75,513.045,1.66291,0.14718585,-0.05561325,-18.0427155,-1.299015,-1.40510119166667,-0.2046688125,98.8355,69.046,-12.306,-13.389,0.299483,203.71,247.21,-52.34,-0.015252,-1.877,1.3213,-0.0339816,0.047745,0.0405011,0.00179874,0.0406326,0.289472
2,3.25,516.22875,1.477755,-0.166939,-0.000762188,-9.080318,-0.975229,-2.43170985,-0.23567835,98.928525,71.16625,-14.1075,-14.4265,0.24457425,205.9425,232.655,-45.4675,-0.01419575,-1.348825,1.557125,-0.016190925,0.0514467,0.0391991,0.00213269,0.036106725,0.20520875
2,3.75,516.052,1.6936375,-0.0575499,-0.0469523,-15.686,-0.804223,-1.0212487625,-0.1733873125,98.741475,70.029,-13.693,-14.1045,0.248458,214.175,240.2875,-43.92775,-0.01469225,-1.70395,1.338025,-0.030815125,0.04940875,0.033861325,0.00151933,0.030478,0.3599655
2,4.25,513.2675,1.817115,-0.462750325,-0.077562875,-13.604048,-0.7996625,-1.502409175,-0.240807375,98.6807,68.986,-11.892,-12.397,0.226655,217.815,240.515,-41.392,-0.015256,-1.5025,1.16155,-0.0320644,0.0535996,0.0336672,0.002169915,0.04098325,0.2427705
2,4.75,512.482,1.7832325,-0.0883689,-0.0677418,-10.586245,-0.631536,-2.0097745875,-0.1761312125,98.788925,69.1685,-12.85825,-13.4575,0.23938125,211.96,239.655,-42.052,-0.0163235,-1.79775,1.114375,-0.028171725,0.05565805,0.04249705,0.00239227,0.0576653,0.29577725
