DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA,U_SIGMA,V_SIGMA,W_SIGMA
1,22.25,-2.37794,0.05424,0.56768,0.12901,0.22841,0,0.02444,0.0411,430.2289,-0.01801,260.07675,268.49285,-5.22056,-10.609815,88.71481,1.584905,2071.035,2.51053,0.00793918,-0.01164,-0.11136,-0.04383,95.92477,0.38556,0.38172,0.1747
1,22.75,-2.67912,0.09339,0.61396,0.1310509,0.198675,0,-0.04112,-0.04509,430.5895,-0.01617,259.8725,268.988,-5.00225,-10.65833,88.493335,1.58285,2065.024,2.70499,-0.003165,-0.00965,-0.07309,0.010375,95.922335,0.3938224,0.41492,0.17453
1,23.25,-3.1204,0.38395,0.63056,0.11982,0.18807,0,0.038235,0.040945,429.8562,-0.024665,263.19705,269.46875,-4.750585,-10.63267,89.09333,1.564875,2067.599,2.39931,-0.00261,-0.00738,-0.089175,0.100015,95.95168,0.36938,0.388,0.18025
1,23.75,-1.64462,-0.02398,0.573805,0.13094,0.19896,0,-0.086105,-0.08755,430.7933,-0.015375,261.18055,269.06425,-5.19304,-10.597,88.43333,1.589065,2067.5175,2.32962,0.00112,0.000985,-0.0307382,-0.00244,95.96512,0.4130418,0.326795,0.17075125
2,0.25,-4.65685,-0.91,0.306555,0.07947,0.22708,0,0.259625,0.195375,432.2557,-0.05783,221.3471,247.67955,-11.694295,-15.048665,83.91,0.98377,2077.287,3.15975,0.012555,-0.01607,-0.15741,-0.004695,95.95966,0.41952,0.41133,0.178595
2,0.75,-4.922025,-0.53416,0.33715,0.07473,0.22689,0,-0.091965,-0.09699,432.1544,-0.069915,224.68565,249.7384,-11.361,-15.28067,84.58665,0.99609,2074.195,0.99407,0.00717,-0.03942,-0.19837,-0.003765,95.966135,0.395515,0.37464,0.189425
2,1.25,-5.20308,-0.44297,0.40008,0.103965,0.22374,0,0.15087,0.186545,432.02275,-0.06925,227.66655,249.6537,-11.109665,-14.982165,84.04333,1.02748,2075.35,2.35353,0.00959,-0.022435,-0.18872,0.0387,95.985435,0.452655,0.368085,0.187815
2,1.75,-6.76049,-0.715095,0.38681,0.10141,0.222315,0,-0.01562,-0.03054,432.3292,-0.060875,224.9625,248.3953,-11.428665,-14.669335,83.25667,1.00925,2072.143,1.9187,0.00882,-0.033095,-0.17557,-0.011825,95.993095,0.40788,0.404455,0.19452
2,2.25,-5.520105,-0.94107,0.409595,0.09004,0.214525,0,0.00452,0.028135,432.28405,-0.065885,227.7099,248.6883,-10.284775,-13.69167,83.42917,0.998045,2072.777,2.39062,0.00041,-0.049805,-0.29271,-0.005885,96.00217,0.47184,0.452295,0.18094
2,2.75,-4.96556,-0.403155,0.2938,0.09292,0.20108,0,0.03128,0.00326,432.1284,-0.071665,229.60215,250.69035,-10.15489,-13.98567,83.30666,1.00039,2080.781,1.391975,0.00852,-0.039465,-0.19312,0.05885,96.00233,0.45806,0.412965,0.19758
2,3.25,-5.57517,-0.41011,0.31469,0.096985,0.20844,0,0.0186,0.00895,432.60375,-0.05629,223.6888,247.763,-10.39025,-13.809,83.12333,1.00443,2079.917,2.96756,0.014205,-0.05549,-0.32026,-0.01915,96.00161,0.419115,0.427705,0.189985
2,3.75,-6.513755,-0.58892,0.32804,0.10104,0.21398,0,0.1085,0.14,434.2793,-0.03792,226.299,247.8114,-10.90075,-14.939,83.50333,1.009825,2072.584,1.95129,0.00144,-0.03599,-0.31657,0.05257,95.99794,0.433365,0.44142,0.194295
2,4.25,-4.9028,-0.66192,0.35419,0.08633,0.21364,0,0.15228,0.12938,434.8983,-0.0555,231.3743,246.9534,-9.57083,-15.58333,83.766675,1.00942,2074.7205,2.41839,0.009675,-0.00527,-0.161475,0.019585,95.99667,0.3503,0.458065,0.1619
2,4.75,-3.78656,-0.23966,0.39924,0.0863,0.206305,0,0.03771,0.06864,433.7894,-0.03725,233.0589,248.0652,-9.96222,-15.49633,84.148325,1.01234,2077.8995,3.049605,0.00356,-0.00807,-0.21787,-0.043665,96.00521,0.451285,0.396,0.175875
2,5.25,-4.559005,-0.34171,0.40838,0.09843,0.19896,0,0.0122,0.08518,434.6761,-0.04525,236.6817,248.9051,-7.80317,-15.279,84.18332,1.02986,2072.4885,2.60994,-0.00166,-0.02883,-0.14814,-0.009415,96.02751,0.436065,0.496765,0.194885
2,5.75,-3.99,-0.614525,0.40954,0.09215,0.19912,0,0.081215,0.080795,434.1327,-0.04942,241.7124,250.48195,-7.64867,-14.606,84.205005,1.02416,2076.211,1.4689,0.0023,-0.02702,-0.22235,-0.01779,96.0255,0.37943,0.410725,0.1854
2,6.25,-3.57037,-0.28276,0.436855,0.0983,0.19475,0,0.001885,0.029855,432.6009,-0.026125,239.1,249.40925,-7.034945,-15.36683,83.51333,1.02026,2073.8975,2.35176,0.00842,-0.01094,-0.0945,-0.03743,96.08071,0.43561,0.47377,0.188565
2,6.75,-3.17362,-0.36619,0.37011,0.098345,0.196805,0,0.1089,0.10486,432.7062,0.517665,237.72405,249.5727,-6.726085,-15.259665,84.248325,1.027985,2071.723,2.498135,0.00314,-0.01023,-0.14051,0.03277,96.0537,0.35673,0.41574,0.135895
2,7.25,-3.951115,-1.07829,0.402245,0.09448,0.20361,0,0.09161,0.04316,433.65565,7.89558,235.16095,249.8818,-2.199415,-14.9365,83.84001,1.059145,2075.226,3.1743,0.02226,0.03045,0.06669,0.073435,96.073365,0.41663,0.42644,0.183935
2,7.75,-3.76936,-0.53074,0.413055,0.10134,0.24876,40.26583,-0.08765,-0.15025,435.19005,34.51247,236.8094,251.9497,4.50679,-14.186,83.31667,1.10967,2075.754,4.654605,0.02054,0.15694,0.77254,0.03705,96.076295,0.462995,0.43967,0.194325
2,8.25,-0.93206,1.329155,0.684915,0.14173,0.30219,75.026205,-0.66758,-0.685895,434.0912,70.161755,238.4762,257.4308,9.94942,-12.892835,82.95084,1.18714,2066.2335,2.71002,0.00112,0.22856,0.96429,-0.01264,96.07291,0.53739,0.57304,0.244495
2,8.75,1.57921,2.54993,0.9015,0.17315,0.35236,120.04615,-0.82707,-0.82415,432.9411,109.9588,239.02045,262.6746,14.31017,-12.287,82.56002,1.273205,2064.792,2.95898,-0.01654,0.178775,1.12218,-0.05923,96.06655,0.63129,0.70634,0.27051
2,9.25,5.69714,2.93399,1.085435,0.18669,0.44114,172.05635,-0.875315,-0.892665,432.9419,137.1845,235.743,266.894,19.42625,-11.315,79.075,1.31091,2062.221,3.437655,-0.00697,0.07739,0.954355,-0.05043,96.01949,0.69881,0.82667,0.31749
2,9.75,9.04509,3.93517,1.18881,0.21716,0.50042,240.4226,-1.12044,-1.13288,432.80565,204.0688,234.472,269.6795,26.75275,-10.01767,76.154495,1.34458,2058.2795,2.254315,-0.00062,0.08585,1.0062,0.01201,96.002395,0.82202,0.93309,0.3508
2,10.25,13.73776,6.22865,1.28622,0.232365,0.67761,291.6901,-1.10617,-1.08,432.5977,254.84655,228.5991,272.91345,32.47777,-8.69327,71.26077,1.37299,2057.705,2.43419,-0.00333,0.04386,1.13331,-0.01331,95.969205,0.916095,1.000725,0.38528
2,10.75,15.827745,6.78,1.27906,0.24351,0.77544,333.69065,-1.26184,-1.17637,431.9312,287.59975,222.1812,277.6266,45.32154,-8.31642,67.61539,1.39326,2056.675,2.53865,-0.00526,0.02963,0.76133,-0.06212,95.928255,0.95604,1.093175,0.37693
2,11.25,16.9,8.327495,1.31885,0.25768,0.88338,395.0825,-0.967885,-0.976885,431.6353,306.7652,222.0232,281.0161,57.07767,-7.44304,65.90414,1.4244,2055.158,2.19754,-0.0027285865,0.064895,0.8129,-0.02571,95.88992,0.985545,1.09909,0.40076
2,11.75,18.63,9.739495,1.27174,0.24984,0.93615,448.5756,-1.258755,-1.253875,430.34055,335.8994,227.8665,284.4823,68.00083,-7.09447,64.431335,1.43845,2054.4755,1.83229,-0.01453,0.050535,0.69672,-0.03791,95.88337,1.003385,1.13898,0.38318
2,12.25,18.24813,11.20464,1.32531,0.24672,1.00787,436.98385,-1.1875,-1.20891,429.9424,311.5243,230.0793,285.0418,69.85124,-6.86363,62.524165,1.47166,2055.028,2.88779,-0.008775,0.01444,0.39265,-0.086205,95.85471,1.0213605,1.132295,0.41423
2,12.75,17.6339,12.12853,1.33758,0.255755,1.099605,399.70725,-1.09002,-1.085175,430.8704,301.8236,231.1891,285.1887,71.06175,-7.0174,61.884665,1.47139,2052.936,2.14059,-0.0015,0.00804,0.35224,-0.076975,95.81135,1.04347,1.191681,0.4257836
2,13.25,13.474,11.92598,1.2969,0.26018,1.22671,365.3449,-0.99742,-1.02266,430.4897,295.87,235.9167,286.8274,65.19879,-6.6603,60.62067,1.49264,2049.43,3.07085,-0.01029,0.02407,0.40025,-0.048135,95.756135,1.101105,1.12135,0.409605
2,13.75,11.62265,11.86512,1.35054,0.2548,1.28758,339.3976,-1.00903,-1.01817,430.2876,270.88605,233.8051,285.97095,57.30258,-6.524135,60.58032,1.52205,2051.557,2.78328,-0.010925,0.02122,0.24461,-0.05575,95.72316,1.047515,1.11841,0.418225
2,14.25,10.70479,11.23049,1.38687,0.252395,1.343125,315.1933,-1.02033,-1.02277,430.2763,236.96635,233.9661,286.0647,42.608415,-5.759615,60.642325,1.55085,2052.3905,2.24864,-0.012255,-0.00514,0.1399,-0.04603,95.646605,1.04749,1.07925,0.403055
2,14.75,5.750025,10.991005,1.34428,0.25035,1.402435,259.6204,-0.92816,-0.903485,430.54795,201.27955,227.2044,283.7781,30.22237,-6.07725,59.737025,1.552245,2051.753,2.64967,-0.008751915,-0.010905,0.03537,-0.01962,95.671265,0.931935,1.04531,0.3845
2,15.25,2.28605,8.59533,1.27512,0.24153,1.37393,213.4717,-0.90938,-0.87796,430.3304,152.12095,229.23545,282.76235,18.34521,-6.6887,60.405005,1.558845,2050.151,2.85332,-0.00772,-0.02259,-0.024545,-0.031975,95.696115,0.99324,1.10276,0.41278
2,15.75,-2.74442,8.68135,1.24069,0.22912,1.2672,157.2897,-0.7923499,-0.7894695,429.9231,105.0931,231.277,278.91245,10.928585,-6.65513,61.5769,1.56005,2048.064,2.90536,-0.01326,-0.02923,-0.35338,-0.09227,95.719835,0.9559351,0.9962875,0.374505
2,16.25,-9.86815,6.996355,1.16865,0.21602,1.2905,84.46301,-0.40708,-0.37085,429.9362,51.456505,227.02005,274.7006,-12.68179,-6.862685,63.38993,1.53158,2048.895,2.803765,-0.00926,-0.02764,-0.479515,-0.01669,95.73453,0.89365,0.94033,0.36748
2,16.75,-13.27463,5.456515,1.051775,0.19249,1.08659,28.84508,-0.1223,-0.12,429.5051,21.88421,218.8891,269.93505,-27.180995,-7.544435,65.50401,1.48912,2050.769,2.697325,-0.00512,-0.04197,-0.80832,-0.01434,95.74051,0.91482,0.85917,0.37568
2,17.25,-13.100725,4.391075,0.79793,0.159,0.79149,6.96083,-0.04915,-0.01573,429.5817,6.58571,221.01645,264.7974,-41.972,-8.58355,71.84917,1.46423,2052.5135,2.22562,-8e-05,-0.0631,-1.14436,-0.031365,95.74658,0.74014,0.71563,0.3107
2,17.75,-10.78143,2.951405,0.740395,0.14751,0.55335,0,-0.01947,-0.03288,430.40375,0.25492,221.39,262.40865,-39.23281,-9.54483,76.39767,1.39273,2054.5495,1.741975,0.00068,-0.0397,-1.087695,0.04407,95.75385,0.7348,0.74814,0.3343
2,18.25,-8.677085,0.5801,0.645725,0.13558,0.48257,0,0.00258,0.000485,430.2928,-0.115415,220.70935,259.2196,-35.27442,-10.544335,79.784325,1.29656,2056.261,2.792895,0.0068675,-0.07478,-0.9012025,0.0391775,95.8363,0.65996,0.62756,0.2769
2,18.75,-5.75868,-0.07798,0.443235,0.121255,0.43847,0,-0.09935,-0.10171,430.78465,-0.12658,220.1001,256.5954,-32.19688,-11.736335,80.961165,1.24885,2059.9695,2.13613,0.013055,-0.10986,-0.71471,0.034285,95.84998,0.588845,0.656085,0.26825
2,19.25,-7.55017,1.74082,0.43846,0.107405,0.33083,0,0.11943,0.13148,431.05,-0.099395,219.3613,254.2368,-28.75904,-12.119135,82.70517,1.18039,2063.979,3.07013,0.01039,-0.065735,-0.55929,0.096665,95.86844,0.62362,0.574285,0.251505
2,19.75,-8.96,-0.166645,0.43483,0.126095,0.33702,0,-0.02483,-0.012805,430.9288,-0.08192,218.6249,253.97815,-24.352765,-13.064285,82.81786,1.17499,2065.569,2.70421,0.00883,-0.102455,-0.58911,0.007075,95.87325,0.62652,0.582455,0.245285
