DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,W_SIGMA,V_SIGMA
2,7.75,0.1425,-0.03,-0.38325,-27.784,0.28475,-0.3015,404.013,383.85,2.228,-13.23725,4.5600186,1.012,2.663,6.60025,1.58525,259.39,272.222,-8.3725,72.73,2.0535,100.7,-0.06775,0.186,0.419,0.776,1.6635,3.278,-0.24975,-0.11225,0.163,0.6635,1.5575,2.832,-3.6225,-3.864,-3.7905,-4.704,0.354375,0.584875
2,8.25,0.22,0.0825,-0.237,-15.338,0.2975,-0.2285,404.11575,383.75,2.2525,9.3665,26.3335,6.37125,8.8705,25.34675,4.53625,259.78975,272.98625,-8.4475,72.095,2.04075,100.7,-0.06725,0.18375,0.41275,0.7835,1.6495,3.26775,-0.264,-0.11925,0.17075,0.6695,1.572,2.82175,-3.654,-3.864,-3.822,-4.662,0.389525,0.62565
2,8.75,0.06825,0.06975,0.30125,-3.152,0.374,-0.3645,404.09475,384.35,2.312,31.204,72.078007125,11.877,17.0455,50.90875,8.62075,261.75375,275.5565,-8.265,70.7375,2.04925,100.7,-0.067,0.1865,0.41825,0.7825,1.66425,3.26775,-0.263,-0.13025,0.17825,0.6715,1.55375,2.825,-3.654,-3.864,-3.822,-4.6305,0.4748,0.7511
2,9.25,0.08625,0.117,0.98625,7.22725,0.4175,-0.3215,404.35,384,2.386,54.862,117.918,17.35325,24.57225,78.2655,13.2695,263.32725,277.99625,-7.7915,69.8775,2.112,100.7,-0.0665,0.188,0.41575,0.77875,1.64775,3.2705,-0.2575,-0.134,0.17275,0.66575,1.546,2.81975,-3.654,-3.864,-3.7905,-4.62,0.528175,0.801125
2,9.75,-0.06275,-0.04875,1.79,19.0025,0.476,-0.284,404.71125,383.475,2.394,80.49875,163.382304325,22.94475,31.7765,107.7685,17.7275,265.28275,280.13525,-7.09075,67.8125,2.28725,100.7,-0.06975,0.18725,0.41,0.783,1.6575,3.27325,-0.26625,-0.13075,0.171,0.6625,1.542,2.821,-3.6225,-3.822,-3.78,-4.62,0.60065,0.9081
2,10.25,-0.1935,-0.0805,2.851,29.7185,0.50725,-0.40975,404.8605,383.25,2.4145,104.65875,234.42125,28.8795,37.546,142.09175,23.25575,267.53625,282.642,-6.79675,66.03,2.5735,100.7,-0.0605,0.1875,0.41125,0.77825,1.65825,3.2735,-0.248,-0.12825,0.16375,0.66625,1.551,2.82675,-3.654,-3.7905,-3.738,-4.5465,0.6431,0.9832
2,10.75,-0.29,-0.225,5.13225,45.986,0.54125,-0.32675,404.80925,383.7,2.418,122.74725,279.78543575,34.51875,51.74625,170.34875,30.65375,269.785,283.9535,-6.439,64.69,2.5695,100.7,-0.06,0.1855,0.416,0.7805,1.65625,3.268,-0.253,-0.12775,0.178,0.66175,1.5685,2.82075,-3.6225,-3.78,-3.696,-4.5045,0.67345,1.043
2,11.25,-0.43025,-0.49425,5.72625,55.195,0.546,-0.338,404.763,383.6,2.432,138.2075,331.869,39.88475,55.06025,186.077,31.68075,270.61125,285.34425,-6.119,62.7925,2.6135,100.7,-0.06075,0.18375,0.41375,0.7725,1.65175,3.2695,-0.24975,-0.1215,0.16875,0.6635,1.547,2.82525,-3.5805,-3.7485,-3.696,-4.536,0.69305,1.0928
2,11.75,-0.41,-0.379,5.671,66.77425,0.576,-0.31525,404.7905,383.7,2.4265,149.73625,350.795661775,38.29675,63.931,200.73675,32.31775,267.2855,287.45175,-5.88775,61.04,2.714,100.7,-0.06375,0.18775,0.41275,0.77575,1.6535,3.26375,-0.2325,-0.119,0.16275,0.66225,1.5565,2.82575,-3.5385,-3.7065,-3.5805,-4.3785,0.708525,1.155875
2,12.25,-0.43825,-0.4405,7.063,69.619,0.58075,-0.308,405.0755,383.05,2.39725,164.16125,346.41313815,39.68675,72.9855,213.25275,35.663,266.445,288.758,-5.60975,60.3375,2.75425,100.7,-0.059,0.184,0.414,0.77625,1.655,3.25925,-0.23725,-0.1215,0.16875,0.66,1.5505,2.82075,-3.528,-3.654,-3.528,-4.284,0.705425,1.1324
2,12.75,-0.371,-0.315,6.2635,66.282,0.57375,-0.34625,405.378,383.15,2.4145,162.71525,382.606335875,44.663,88.7475,213.86625,37.86575,265.864,289.531,-5.48525,59.6425,2.809,100.7,-0.05775,0.1835,0.40975,0.783,1.6515,3.26175,-0.2185,-0.1075,0.17775,0.66075,1.5505,2.82975,-3.486,-3.654,-3.486,-4.1265,0.70265,1.15205
2,13.25,-0.28,-0.2205,7.637,76.707,0.5865,-0.2735,405.233,383.475,2.3955,167.4435,388.967772,39.095,73.275,226.6315,33.629,269.321,289.18925,-5.18875,59.1025,2.76525,100.6,-0.057,0.18775,0.412,0.77425,1.65525,3.26425,-0.2025,-0.10175,0.1655,0.65925,1.549,2.81925,-3.444,-3.6225,-3.486,-3.99,0.74605,1.1544
2,13.75,-0.2905,-0.247,7.3775,75.93325,0.609,-0.26125,405.16175,383.3,2.468,164.31125,365.8499573,36.98025,61.87175,213.22225,33.015,268.1395,289.1755,-5.17325,59.62,2.833,100.6,-0.05275,0.186,0.41225,0.7795,1.657,3.25675,-0.20375,-0.099,0.17125,0.66175,1.5465,2.8165,-3.444,-3.57,-3.4545,-3.822,0.7528,1.202875
2,14.25,-0.357,-0.2235,6.14025,70.8875,0.604,-0.34475,404.957,383,2.481,140.74675,341.36453975,35.49475,52.5095,186.5495,27.7725,269.38575,288.3795,-5.1445,59.225,2.89925,100.5,-0.0535,0.18925,0.41375,0.77875,1.65025,3.26325,-0.192,-0.10375,0.16825,0.665,1.541,2.822,-3.402,-3.528,-3.444,-3.696,0.7408,1.15655
2,14.75,-0.368,-0.32625,4.83925,62.937,0.599,-0.38175,405.0105,383.125,2.492,114.6805,275.0648899,28.305,45.9255,150.37875,21.842,270.20425,287.3255,-5.36025,59.0625,2.876,100.5,-0.0475,0.18175,0.4125,0.782,1.65975,3.25375,-0.179,-0.09525,0.17375,0.65575,1.5455,2.81775,-3.36,-3.486,-3.36,-3.57,0.728675,1.13485
2,15.25,-0.28025,-0.22025,4.2455,46.8755,0.57275,-0.271,405.191,383.65,2.5175,84.7895,214.071,25.59625,39.6755,119.916,18.937,267.00425,286.6095,-5.2115,58.81,2.85575,100.5,-0.0395,0.18675,0.4125,0.778,1.655,3.26375,-0.17275,-0.09025,0.1665,0.65525,1.543,2.81675,-3.36,-3.486,-3.276,-3.486,0.692875,1.09155
2,15.75,-0.21475,-0.1135,3.7355,36.23,0.556,-0.271,404.814,383.6,2.494,65.913,179.061,19.733,30.869,91.898,15.253,264.172,286.457,-5.2925,59.35,2.602,100.55,-0.0415,0.1855,0.4145,0.7765,1.6605,3.259,-0.165,-0.087,0.172,0.652,1.5315,2.8105,-3.339,-3.444,-3.255,-3.465,0.672,1.0413
2,16.25,-0.11425,-0.143,2.5,22.22925,0.5,-0.308,404.728,383.7,2.4705,39.248,126.5022336,15.155,24.134,67.639,10.807,265.2595,285.5395,-5.5615,59.75,2.657,100.5,-0.042,0.187,0.4085,0.7775,1.6445,3.2655,-0.1635,-0.0785,0.172,0.655,1.53,2.81,-3.318,-3.402,-3.255,-3.444,0.6409,0.987175
2,16.75,-0.005,-0.018,1.247,6.5225,0.463,-0.2315,404.71575,383.55,2.4805,14.792,81.5685,8.665,15.873,38.288,6.973,261.927,284.5775,-5.8155,59.695,2.432,100.5,-0.039,0.1875,0.411,0.7805,1.6515,3.2475,-0.142,-0.0765,0.179,0.652,1.523,2.821,-3.318,-3.444,-3.234,-3.402,0.571425,0.8867
