DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,LE,H,G,SG,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,TA_1_1_2,RH_1_1_2,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_1_2,TS_2_1_1,NETRAD_1_1_1,NETRAD_1_1_2,PPFD_IN,SW_IN_1_1_1,SW_OUT,LW_IN,LW_OUT
2,1.75,431.1735,1.328238,8.330462,0.07108267,1.246891,5.034569,-3.855556,-26.31392,-20.0246,1.728658,0.2677062,-0.08273352,0.72333735,0.53567905,0.3202914,98.41112,9.509809,80.197,10.33681,76.272685,3.351216,11.092675,0.1817625,14.32032,11.20228,15.22246,-27.50655,-31.43575,0.01191837,0.1543611,0.07894444,320.7454,361.9308
2,2.25,429.8358,1.223189,8.148962,0.06884068,1.5755735,-1.5920145,-8.037551,-24.68976,-17.588745,1.64565,0.2353492,-0.067963525,0.7281045,0.5256023,0.3624603,98.40736,9.480871,78.061785,10.244635,76.31802,3.33755,10.92193,0.1752656,14.53798,11.9738,15.34239,-25.35158,-26.47006,0.009282484,0.1543611,0.084625,322.6017,360.9473
2,2.75,429.0799,0.8646799,8.0506925,0.0814292,2.272573,2.491087,-7.2567475,-23.991885,-16.80316,1.648624,0.270444,-0.080672395,0.733111,0.6007474,0.3083483,98.39481,9.5447,77.29536,10.085235,72.72585,3.405558,10.79715,0.1793337,14.29343,11.36734,15.08227,-26.65455,-29.45078,0.01303786,0.1543611,0.07875,321.1192,361.3909
2,3.25,428.71605,1.1974165,7.836028,0.07305055,1.645795,5.3747855,-8.854766,-22.76588,-17.35987,1.8536765,0.25655865,-0.080225535,0.67066335,0.5141149,0.3045085,98.38494,9.700859,78.914245,10.3451405,77.057835,3.218853,11.319655,0.1714703,14.28444,11.32034,15.08616,-27.38697,-23.27828,0.01314253,0.1543611,0.08108333,316.1014,360.6455
2,3.75,428.02685,0.86981545,7.9237745,0.058404505,1.645292,4.342099,-11.08006,-26.68319,-17.03081,1.6960495,0.20203485,-0.037461445,0.59568515,0.487875,0.22127305,98.3933,9.662868,79.56912,10.16873,78.066505,3.0236805,11.085725,0.1861641,14.27752,11.18328,15.083,-26.81983,-29.3793,0.01373528,0.1543611,0.08069444,320.3623,357.9609
2,4.25,427.73525,0.94289065,7.876138,0.05896292,1.864463,1.861952,-7.035709,-27.3667,-18.52492,1.8512605,0.20536635,-0.048513235,0.7352663,0.5275561,0.2876382,98.39252,9.277507,79.85255,9.781555,78.062255,3.2114825,10.93779,0.15193495,14.19261,11.04692,15.08849,-23.33492,-21.73533,0.01377044,0.1543611,0.078277775,321.0025,357.3681
2,4.75,428.71905,0.9497122,8.2809305,0.072780725,1.897582,4.4314135,-7.068097,-24.04252,-13.21374,1.6540275,0.20498525,-0.053227075,0.6483639,0.48625055,0.2619336,98.40812,9.495057,81.62673,10.0713615,78.921615,3.183955,11.05844,0.1684858,14.0486,10.91556,15.01326,-18.50909,-14.00864,0.01403757,0.1543611,0.08091667,328.9365,356.7778
2,5.25,429.2555,1.039306,8.412139,0.08428753,1.764571,2.424011,-11.009955,-24.753475,-14.77587,1.695961,0.2600461,-0.085000655,0.63994665,0.5014229,0.30085145,98.4034,9.272768,81.5967,9.942334,77.05485,3.13421,10.870415,0.1688739,13.73161,10.78245,14.94524,-19.50884,-20.2285,0.01351162,0.1543611,0.08058333,326.8859,357.041
2,5.75,428.5855,1.05654,8.3628725,0.096595285,1.886454,3.952695,-11.20271,-24.291905,-15.81127,1.842086,0.2733857,-0.104593305,0.7162844,0.5292656,0.32774445,98.40726,9.137239,80.36026,9.524988,77.96809,3.196604,10.459515,0.1579046,13.82612,10.6402,14.80666,-19.46756,-18.18316,0.01300197,0.1543611,0.09030555,323.141,356.4028
2,6.25,428.511,0.8153537,8.569784,0.079775145,1.81139,4.3683045,-10.257755,-25.75061,-14.57353,1.9239525,0.2892319,-0.10099495,0.7475934,0.6162963,0.36815285,98.4259,9.062363,80.95921,9.4059,79.08099,3.071816,10.517955,0.1755478,13.70097,10.49986,14.74629,-18.36645,-22.21955,0.01108079,0.1543611,0.09816666,322.4437,356.3721
2,6.75,429.1644,0.8844381,7.922277,0.09063846,1.857674,5.007918,-9.821187,-26.87789,-13.91497,1.7910635,0.30308615,-0.1097588,0.6899102,0.5895948,0.3659585,98.46564,9.138298,83.26323,9.356364,79.80174,2.967811,10.761865,0.20527325,13.54371,10.65405,14.66219,-22.20059,-20.46969,0.1002303,0.1543611,0.1218055,322.2776,355.5749
2,7.25,429.1885,1.115138,7.9940885,0.07531452,1.541497,2.369968,-6.616547,-25.683855,-15.98629,1.837067,0.28419765,-0.11098365,0.6695121,0.543234,0.31269725,98.52041,8.688062,85.064065,8.9329415,80.36892,2.940595,10.5350215,0.15660735,13.3832,10.55488,14.67112,-15.18285,-8.511,8.521196,3.8828055,0.5029166,323.0683,356.7055
2,7.75,430.40155,0.8776095,8.5520355,0.086997315,1.130373,8.525439,-3.972954,-21.91754,-10.81581,1.7505295,0.2613342,-0.08238363,0.67033745,0.55920515,0.3241924,98.53317,8.939961,82.81244,9.779251,80.54163,3.096585,10.95169,0.14702625,13.407675,11.373535,14.909545,4.3326505,7.142639,62.64561,23.54933,2.436611,329.03085,361.5247
2,8.25,430.44165,0.79536635,9.401037,0.1306905,0.9241845,12.38721,12.023357,-14.94377,1.568343,1.88812,0.3296774,-0.1456029,0.76260915,0.6508368,0.4016587,98.54742,10.31642,83.13196,11.67352,79.58389,3.1006815,12.05116,0.2046297,13.36874,10.40258,14.72683,28.46444,26.95539,150.9619,63.07719,5.373167,329.0208,364.8237
2,8.75,429.6379,0.7719493,9.628348,0.1503078,-0.32729625,19.96868,32.66483,-14.17196,-9.460128,2.262797,0.3909647,-0.2045927,0.97521665,0.7341532,0.4710268,98.59513,11.18464,81.82491,13.08237,78.80658,3.293443,13.699335,0.2803751,13.25114,10.4359,14.66096,83.21507,87.79855,291.633,131.38,11.49169,328.015,373.4299
2,9.25,428.5217,0.7639065,10.31614,0.1426035,-1.54578,25.11419,38.84539,4.766711,9.481061,2.535515,0.39620475,-0.199162,1.0435975,0.8315601,0.5038328,98.60851,12.23736,78.380095,13.68209,75.89364,4.0283455,14.286485,0.28415935,13.31041,11.01346,14.60055,131.2706,126.7502,426.0345,195.5423,19.68958,329.6841,377.4987
2,9.75,427.7335,0.7089645,12.76228,0.1354699,-1.74902,39.65609,63.78096,-1.342708,10.549275,2.7789435,0.4919458,-0.3267348,1.0897375,0.924675,0.57455445,98.61908,13.74374,70.63625,14.95825,71.98611,4.866147,15.48779,0.379154,13.63646,11.18593,14.5124,170.7018,175.501,560.6703,247.3276,30.50086,336.6018,387.9398
2,10.25,426.7731,0.7929401,11.25956,0.1589125,-2.803263,40.96338,85.35712,9.276753,15.15584,3.114083,0.5262464,-0.3257221,1.174636,1.083905,0.6159539,98.63239,15.67917,65.572815,16.25083,64.857745,5.131187,16.75281,0.3932366,13.80106,11.4383,14.67249,217.4521,215.1152,667.6661,304.3116,43.96461,335.144,398.4804
2,10.75,426.5768,0.7362249,10.70201,0.1752599,-3.40319,47.920465,106.8206,17.36014,17.183775,3.154221,0.5429386,-0.3745379,1.318688,1.134428,0.6453378,98.61557,16.20213,61.33804,16.87092,62.22616,5.9280205,17.74137,0.4496336,13.83144,11.98096,14.54089,246.0104,240.1865,768.4543,349.7794,49.338055,333.6184,410.1576
