DOY2,HR2,LE,H,CH4,FCH4,CO2,FC,WS,USTAR,PA,RH,TA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,T_SONIC,TS_1_1_1,TS_1_2_1
3,16.75,150.295,2.83,2091.07,128.14,369.19,-5.71,1.74,0.25,99.46,66.8,31.7,172.275,222.0399,39.69522,431.1824,470.776,32.03926,27.3,27.12453
3,17.25,91.93,-4.41,2090.28,98.435,369.75,-3.035,1.59,0.22,99.475,72.095,30.535,81.32,134.517,23.42568,430.5129,466.8739,31.59163,27.30602,27.1
3,17.75,48.68,-6.19,2107.47,57.675,370.165,-0.46,1.47,0.18,99.48,78.495,29.175,20.325,63.52428,12.24913,428.1584,462.493,30.95522,27.300505,27.1
3,18.25,26.445,-5,2146.1,40.545,371.785,0.61,1.45,0.14,99.5,84.97,27.85,-19.715,13.00791,3.41127,424.9113,457.9203,30.49555,27.3,27.10206
3,18.75,13.31,-4.73,2188.25,28.12,374.01,1.24,1.44,0.12,99.52,89.09,26.795,-31.415,-1.03529,1.40883,424.2451,454.5142,30.2908,27.314485,27.103605
3,19.25,16.94,-5.98,2202.9,36.05,378.465,2.65,1.43,0.13,99.555,91.855,26.03,-33.2,-1.09621,1.59997,421.9365,453.782,30.07531,27.3147,27.104155
3,19.75,14.65,-4.775,2247.7,31.055,382.8,1.82,1.39,0.12,99.6,93.58,25.64,-32.125,-1.0175,1.63351,421.075,452.6187,29.77917,27.30515,27.10417
3,20.25,11.39,-4.33,2290.03,34.615,386.46,2.44,1.28,0.11,99.64,94.6,25.44,-32.44,-1.0336,1.63838,422.2823,451.5296,29.66932,27.317395,27.1043
3,20.75,11.52,-4.74,2298.39,35.67,388.74,2.71,1.33,0.12,99.685,95.4,25.15,-31.785,-1.14579,1.60066,420.7102,451.1397,29.30301,27.32244,27.10496
3,21.25,10.44,-3.18,2363.89,36.65,393.29,2.615,1.22,0.12,99.715,95.825,25,-33.065,-1.03016,1.65402,420.3845,450.346,29.15535,27.36233,27.113145
3,21.75,9.24,-3.51,2354.815,44.475,396.18,2.91,1.18,0.12,99.74,95.995,24.99,-34.1,-1.09396,1.74977,421.6833,449.1214,28.94101,27.326155,27.11829
3,22.25,7.665,-2.94,2382.31,42.23,390.94,2.44,1.21,0.11,99.77,96.195,24.895,-33.675,-1.15807,1.81416,420.2602,448.8397,28.84099,27.334015,27.11948
3,22.75,6.46,-3.09,2442.005,33.54,392.665,2.145,1.12,0.11,99.78,96.27,24.8,-34.05,-1.07704,1.77306,418.6398,447.9717,28.77719,27.33925,27.119745
3,23.25,7.155,-3.02,2408.18,50.1,394.33,2.83,1.14,0.11,99.76,96.34,24.8,-33.96,-1.10677,1.69022,418.0529,448.0448,28.682,27.372185,27.120005
