DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
3,14.25,290.9545,0.87523,41.6404,-0.208893,-1.99751,-0.00839075,-0.308992,391.911,1.383022113,6.533905,0.125332316,1.61917,1.6575,0.643108,3.5495,0.5370333,23.44,0.925175,23.585,12.00435146,88.49,25.51546406,33.505,22.19,22.145,20.2,59.504355,16.182455,800.01125,148.69947,461.21379,1697.7926375,186.25244455
3,14.75,272.8232888,0.525475,41.1516,-0.1690175,-1.894805,-0.0092831,-0.314438,392.123,1.322058315,6.37633,0.115921016,1.56698,1.66311,0.640074,3.50362,0.5486925,23.5061,0.872274,23.73,11.98,88.445,25.840552665,33.81,23.18,23.18,20.67,57.96929,18.945845,730.064955,136.25256,415.07302,1554.192,167.60940235
3,15.25,247.9675,0.196787,35.70635,-0.173314,-1.700795,-0.00850717,-0.292643,392.555,1.241671313,6.29916,0.133241592,1.57166,1.62014,0.633791,3.50335,0.532614,23.6474,0.816269,23.745,11.785,88.4,25.57848896,33.6,24.04,23.93,21.25,56.37225,21.168515,652.1571,125.9102,360.050455,1401.513468,154.0286998
3,15.75,213.327,-0.0695349,31.71761032,-0.0744246,-1.418425,-0.00590447,-0.292212,391.996,1.084190821,6.1362,0.116240244,1.5026,1.56434,0.615143,3.66728,0.531414,23.6105,0.723492,23.765,11.85179624,88.4,25.395748165,33.07,24.32,24.43,21.92,52.045,22.70739,576.22354,110.21627,299.952595,1214.282965,134.8988767
3,16.25,173.7455,-0.275773,29.7458,0.000518222,-1.10677,-0.00651885,-0.286469,392.128,0.946052731,6.18849,0.113620074,1.46498,1.47359,0.624991,3.81738,0.5239597,23.3181,0.633064,23.545,11.63,88.4,25.28687105,32.64,24.33,24.5,22.56,48.10156,23.47648,479.6779,92.148981,230.86255,1002.5845,112.1089
3,16.75,128.33382115,-0.639374,24.06135,0.0598864,-0.744313,-0.00261406,-0.273601,392.23,0.759654565,6.25756,0.098947993,1.3583,1.36863,0.587018,3.9102,0.514361,23.2346,0.504059,23.435,12.04852832,88.4,24.7133453,31.62,24.56,24.51,22.65,43.29889,22.59765,367.852855,73.374619,147.955205,770.5301005,87.4880625
3,17.25,79.29895896,-1.116045,17.96348025,0.123145,-0.2436385,-0.00248805,-0.251605,391.981,0.534546112,6.348325,0.084763876,1.25245,1.25537,0.5582895,3.79425,0.489533,22.93305,0.3752115,22.655,12.20836854,88.4,23.62741923,29.93,24.39,24.29,22.72,37.21075,21.554185,253.05196,57.163571,66.231123,511.1677,60.86199525
3,17.75,29.1863,-1.75667,13.1095,0.3612655,0.186424,0.00372108,-0.220918,392.03,0.396785299,6.45628,0.089148716,1.15922,1.07909,0.536471,3.60004,0.460848,22.472,0.24804,21.8146005,12.955,88.4,22.432061275,27.54,23.99,23.84,22.44,28.99263,19.010655,144.96405,37.15832,-4.332839,280.06278905,33.29396355
3,18.25,-7.743895,-2.71971,7.765191817,0.401168,0.515195677,0.0244736,-0.152375,392.382,0.495219125,6.36138,0.076453028,1.00265,0.811891,0.458099,3.19615,0.380364,21.6325,0.26237,20.78,13.86604586,88.45,20.514795285,25.24,23.56,23.14,21.83,21.32629,14.14845,48.303862,15.885345,-59.5074577,82.46244839,11.40679215
3,18.75,-18.2323,-4.21276,2.85668,0.604746,0.555966,0.0524144,-0.0637,392.627,0.692035195,6.66128,0.0569435205,0.725936,0.592812,0.307304,2.20408,0.2467995,20.5459,0.341488,19.374565,15.445,88.5,18.304975475,23.22,22.85,22.22,21.07,13.22445,9.422413,0.60246645,0,-85.43689385,10.394056445,2.1865239
