DOY2,HR2,CH4,CO2,FC,FCH4,H2O,SC,SCH4,H,LE,SH,SLE,PA,RH,T_SONIC,TA,VPD,NETRAD,PPFD_IN,PPFD_OUT,TS_1_3_1,TS_1_2_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS,NEE
12,1.75,1986.3135,409.38494435,0.2673356145,14.7,5.22459,0.0142,0.0591,-13.78057,-0.131505424,0.0115,0.004225,102,90.5,7.49917110000001,4.025,1.812751774,-35.40565667,0,1.368360667,5.70773602035029,6.16638752293089,-0.0294,0.408252470904954,0.149391637,0.397191967410016,0.2151743479135,1.202495816,0.2585601155
12,2.25,1980.501143,409.33805845,0.19268821,11.4,5.187347465,0.01975,0.044,-8.938018473,-0.06575,-0.1363345895,0.0457,102.05,91.75,7.49978510000003,3.725,1.709055827,-37.25860333,0,1.299478,5.6782389497564,6.41088194750431,-0.03085,0.450880533935463,0.1551990915,0.386023068554531,0.201594613658689,1.286218163,0.256112391
12,2.75,1975.834,409.3268583,0.4554050485,22.1,5.1590070265,0.006035,-0.0844,-14.521848655,-0.2109480555,-0.2152280625,-0.0307,102,90.5,7.7849875,3.775,1.6434530965,-38.50227333,0,1.201452967,5.6462389497564,6.44580972244337,-0.0347,0.446104427453895,0.1649005375,0.421621090332553,0.201601632993972,1.1232062795,0.4380362695
12,3.25,1990.243292,409.4889189,0.1452286935,20.85,5.133781,0.00148,0.15,-15.30303068,0.207124904,-0.08055,-0.0173,102,89.75,7.90458080000001,3.775,1.601466,-31.55332667,0,1.213374667,5.67505463995436,6.13145974799183,-0.0394,0.497481819768321,0.1740356,0.398582901208494,0.223830292855994,1.290069131,0.2698356435
12,3.75,1990.697706,409.6536681,0.278778,22.3,5.089835356,0.0216,-0.254,-15.466266935,0.181974224,-0.008685,-0.0255,102,90.75,7.6393985,3.725,1.843409439,-38.05996333,0,1.241191933,5.52581666666666,5.88369195781655,-0.0411,0.497765757134421,0.176997363,0.397237935249695,0.22,1.1993688195,0.2741296
12,4.25,1973.821,409.9392,0.3496269,24.6,4.862791,0.012,-0.223,-16.36747491,0.271298,-0.02945,0.0162,102,90.75,7.53395200000003,4.1,1.810746308,-35.16193333,0,1.213374633,5.52058943799075,5.71232644872312,-0.0342,0.473829683536184,0.166693753,0.393264671322695,0.23259406699226,1.1402471845,0.327428585
12,4.75,1977.933909,410.0034818,0.27645239,21.5,4.841615269,-0.0213,-0.176,-15.40735815,0.2244929,0.0253,0.034,102,91,7.87091310000002,4.1,1.93724581,-34.25526667,0,1.247816,5.58280463995436,5.67739867378406,-0.04625,0.502783536486357,0.190964726,0.426557690302244,0.236008094069266,1.049892971,0.247934974
12,5.25,1976.969736,410.0228983,0.3270123325,23.1,5.021260197,-0.0116,-0.008795,-16.6599153,0.146823936,-0.2129507125,0.0074,102,91.5,7.81228100000001,4.025,1.839546161,-35.98836333,0,1.231920167,5.56732716716127,5.76790585988958,-0.0412,0.501910151321927,0.178683527,0.467508389364993,0.251483246971891,1.04072548,0.325854
12,5.75,1986.165758,409.20568155,0.3686245,13.85,5.0800009775,-0.00235,0.176,-14.116724335,0.249656433,-0.19706995,0.013965,102,92,7.65660000000003,4.125,1.800141584,-32.71625667,0,1.186881467,5.5217778995128,5.88696532341842,-0.0337,0.515918404401316,0.160430002,0.445431037639653,0.215870331449229,1.032280167,0.34555185
12,6.25,1973.339,409.3906,0.4709524,14.4,4.965630534,-0.006345,-0.1061,-13.70106103,-0.2366778,0.01415,-0.007615,102,92,7.68655000000004,4.075,1.904822386,-31.87177,0,1.221321333,5.57310415172001,5.71232644872312,-0.0447,0.514944060068664,0.187383178,0.49429640001605,0.226936114358204,1.2094021535,0.3975817
12,6.75,1970.845,409.0638685,0.2345756,16,4.9767006475,-0.005705,-0.157,-9.86866515,0.6817639065,0.091040154,0.1676525415,102.1,92.25,7.46694705000005,4,1.8493160575,-27.14285333,0,1.719390333,5.43917325955844,5.8171097735403,-0.0455,0.465279403513188,0.1868288925,0.495798376273308,0.2301055664848,1.232500588,0.255651359
12,7.25,1971.87,409.5132699,0.4245699,17.8,5.213546,0.00117,-0.183,-10.64089659,0.069,0.606609,0.4871923315,102.1,92.5,7.14551740000002,3.975,1.8924630665,-24.41783667,9.325,3.448052667,5.50802252720691,5.74725422366218,-0.03505,0.515908415511346,0.16336475,0.430065867235367,0.242275203331664,1.25151516,0.469344355
12,7.75,1977.105203,408.7322905,0.4197642,14.75,5.407334445,-0.0314,-0.013,-1.8245248825,0.7751619,0.88390595,0.565820455,102.1,93.5,7.65366270000001,4.45,2.0885497775,-6.9940737,47.675,9.014213,5.68357580241109,6.15385951964616,-0.05855,0.566036963904321,0.21209166,0.520293657912747,0.276636651071752,1.468511556,0.407170333
12,8.25,1965.703759,406.42346305,0.561268,16.6,5.4767176055,-0.119673635,-0.937,9.1438196375,1.025297983,1.7040620475,0.40693865,102.1,91.5,8.95479815000004,5.3,2.6479970705,10.30080268,117.85,20.36841867,6.03800293286214,6.75208769226885,-0.09495,0.67897897102081,0.275669816,0.587028035743437,0.334877329684455,1.8996442515,0.41317234
12,8.75,1957.667885,405.4963049,0.353191681,7.5,5.434297352,-0.108803693,-0.499,24.86934,2.736593,2.0118801085,0.2787611305,102.1210067,86,9.44726505000003,6,3.070578746,42.37817,192.95,34.69379667,6.2433,7.73903725543664,-0.1240324,0.75851664241629,0.31201395,0.679497284002956,0.391442870040512,2.276494222,0.1359126
12,9.25,1952.520191,404.75736495,0.359976274,9.34,5.416767349,-0.0767,-0.2865,34.57825,2.874145511,1.153873673,0.0771,102.10521455,81,10.12029555,6.825,3.3381952125,83.72231,276.625,42.93110833,7.03151601068543,8.00003583967474,-0.143738881,0.887096458084971,0.337177183,0.827883815016325,0.433221280108914,2.3803286645,0.3043717
12,9.75,1952.359629,403.1044624,0.380616,10.9,5.2666929855,-0.0546,-0.395,55.647493955,2.330341757,1.142488696,-0.002635,102.1165915,77,10.48279605,7.4,3.573601864,125.5995033,384.65,51.606875,7.43484714074859,8.22060526241889,-0.170258376,0.864173589043313,0.369900644,0.89976515644033,0.444870613774387,2.4233064615,0.270496575
12,10.25,1947.8263445,403.34495,0.1990609,7.515,5.1026495255,-0.03835,-0.212,79.7335,4.305451607,0.9170251,0.0443,102.1,72.5,10.61761505,7.75,3.7335294725,146.04218,452.2,50.24249667,7.61704421134247,8.5240123313174,-0.172985843,0.907416606832779,0.3698518565,0.91718932469639,0.459550248397254,2.426584139,0.220976605
12,10.75,1949.192762,403.5411543,0.3457901,10.9,5.146768887,-0.02295,0.0101,107.4807436,4.83103,1.1276314385,0.0314,102.1,69.25,11.40814255,8.425,4.226414314,160.0177267,515.6,60.60387,7.82960746036867,9.05695240534665,-0.19400185,1.02522848934697,0.3858549,0.959896170805794,0.492439051721036,2.5269511085,0.313005597
12,11.25,1942.3295,403.0123414,0.0422,6.855,5.162174616,-0.02435,-0.288,107.1791,6.35299,0.554686753,-0.0269,102.06871035,64.5,11.92269975,8.9,4.332029736,186.3176333,595.575,59.99452667,8.13326924469181,9.18286720866995,-0.181583,0.942261023814527,0.3780563,0.959537864146621,0.490536166862343,2.391087,0.06645
12,11.75,1945.697,402.98856895,0.2510446245,9.445,5.0382048825,-0.00847,-0.02965,106.4721567,6.270025109,0.681027231,0.0481,102,62.75,11.6333553,9.175,4.533300131,182.9051,531.8,59.289816665,8.28510013685338,9.30988726744624,-0.1748112,0.963669675251847,0.3748522,0.986045264825052,0.466918628885162,2.3118475,0.2357325665
12,12.25,1941.6678005,402.805934,0.2976881,10.5,5.005680274,-0.003735,0.03765,106.99445,8.140395,0.510157292,0.006295,102,60.25,11.711903,9.35,4.750833,187.08835,572.45,59.573958335,8.4153,9.41516794458921,-0.19445568,1.00522501627253,0.3863782025,1.02893865803555,0.508261930686651,2.483479669,0.2854028
12,12.75,1942.3654495,402.2001,0.309864325,12.95,5.054373176,-0.0148,-0.01305,81.40794359,7.3836598165,0.446467586,-0.0328,101.9710267,59,12.2844589,9.6,4.764332,166.7310667,552.55,56.23650333,8.46729720744726,9.47306099355269,-0.2200375,1.03413063405086,0.418619102,0.938470937216492,0.508946592482944,2.756968746,0.2955476095
12,13.25,1938.5463035,401.9703789,0.2182798,11.4,5.099897,-0.0149,-0.192,74.49281492,5.234623,0.0861,0.00282,102,58.75,12.3307622,10.1,4.83863917,139.30626335,518.2,48.83571333,8.80132517020272,9.4730609935527,-0.2266947135,1.03322047043094,0.42144367,0.95846045706212,0.517896195049101,2.5438112305,0.224576524
12,13.75,1946.4904625,401.9878,0.335250087,14.95,5.002844219,-0.00511,-0.0783,59.48852,6.65827317,-0.0246,0.00549,101.9,61,12.2924375,9.825,4.675915,106.4276767,403.9,41.18588,8.74059281333809,9.37657257861355,-0.192704444,1.02880293351059,0.394696233,0.936633034864776,0.496857424217451,2.436813615,0.330140087
12,14.25,1945.388878,402.55257815,0.306720505,8.31,5.004472801,0.00107,0.1905,25.610619715,3.2837804295,0.0478,-0.00712,101.9,59,12.423727,9.8,4.703528109,74.637816665,359,40.058605,8.67986045647346,9.46132968037758,-0.1813329,1.01314201028286,0.3735325,0.870451296183222,0.47399324889707,2.5105211495,0.34718065
12,14.75,1949.294823,402.8911014,0.4279208195,14,5.0539724355,0.008715,0.07265,4.8637991405,3.379460408,-0.2542592,0.02182,101.95,60.5,12.3852366,9.65,4.5984403745,33.320772385,276.4,29.058085,8.69504354568961,9.55025172550401,-0.1486093865,0.920959741047059,0.344847085,0.803545445107553,0.431686864970527,2.3794975325,0.42182826
12,15.25,1950.230293,403.3493399,0.587530456,14.5,5.157467752,0.0303,-0.10235,-3.693021992,1.069969742,-0.866415397,0.0365,102,63,12.1590322,9.45,4.2880723135,5.234647543,193.4,19.720004835,8.63431118882499,9.39587026160138,-0.1239865025,0.804944594366594,0.3149614475,0.673394696664028,0.415288204546943,2.062899963,0.6387165045
12,15.75,1951.593051,403.67489395,0.4633468,9.87,5.2214143555,0.04375,0.2205,-12.07779222,0.7655978,-1.710977401,0.05805,102,65,11.72819685,8.8,3.8507554685,-18.09096833,117.325,8.905591,8.43693102901495,9.08710733379612,-0.071,0.610876931232206,0.2374315015,0.527342427138699,0.304785079535681,1.8636899395,0.570133964
12,16.25,1955.187621,405.2964334,0.371916369,10.65,5.317093933,0.0853,0.378,-10.15958286,0.261096953,-1.786871637,0.0376225,102,67.5,11.0866235000001,8.375,3.539555,-46.29118,45.05,3.0870865,8.10290306625949,8.97976167339533,-0.0436,0.527066415169853,0.18463725,0.44137440096056,0.240916881710208,1.409514179,0.6148332
12,16.75,1963.442,406.0632254,0.449987802,11.6,5.2529152475,0.07815,0.443,-11.64971,-0.0908,-1.421949912,-0.0185,102,70.5,10.15466205,7.5,3.0981310995,-58.70093167,6,1.6452095,7.44762308213994,8.61133176866505,-0.02415,0.402504221627683,0.135456986,0.418439772615333,0.161700673191841,1.0782503895,0.5423612865
12,17.25,1971.365477,407.2317591,0.3935693085,8.86,5.24138405,0.06095,0.324,-11.29650905,-0.2419024805,-0.756429504,-0.04365,102,77,9.75344030000002,6.75,2.7927472165,-55.904706665,0,1.3312696665,6.99529365468143,7.38885964579797,-0.0209,0.398343068221351,0.127393591,0.389892189861377,0.176918060129541,1.0883418405,0.6099385095
12,17.75,1972.46765,408.15731615,0.69958295,9.16,5.1378071565,0.05605,0.0304,-11.430482755,0.094902253,-0.67057095,0.0349,102.0549506,79,9.44997000000001,6.05,2.668062388,-54.567525,0,1.3027896665,6.78846227428551,7.24914854604173,-0.0163,0.386518434230503,0.115632474,0.397020819162002,0.142828568570857,1.0722330095,0.763169892
12,18.25,1989.12,408.8541,0.5354440315,13.4,5.074888682,0.05235,0.106,-12.903465,-0.22068935,-0.4545669,-0.06545,102.1,80.5,9.07571885000004,5.6,2.5553875435,-51.764025,0,1.3577626665,6.53904487699532,6.89987079665114,-0.0254,0.387025877357543,0.1405007635,0.345462964301343,0.144048498358971,1.0245529695,0.6571088
