DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
6,22.25,398.077954225,10.349629,1885.0767175,-1.5743439,-17.1615321,-29.90334225,-81.885497,-5.322742425,0.516202225,0.041816325,-0.3664286,0.2139939,0.04478505,100.33675,39.5975,10.118,2.302079125,16.581112325,0.161954775,18.23475,18.879,19.618,19.9425,18.9035,18.75225,18.79225,19.17,19.50575,18.60925,17.73375,18.46675,18.8845,19.02225,18.31275,-93.3813398,-0.117509,-0.235849,-5.3899997,-0.957661,285.429096725,357.4055558
6,22.75,398.280571275,10.2313981,1889.478345,-0.494790825,-16.174256425,-30.830479975,-84.5282355,-6.0293635,0.291407775,0.026493925,-0.4084824,0.2010722,0.039763325,100.33675,39.53875,9.546,2.0476363,16.41025345,0.1552516,17.94475,18.5745,19.33125,19.89025,18.898,18.47675,18.52675,19.0245,19.44575,18.61925,17.47475,18.28575,18.8,18.97575,18.315,-92.0099806,-0.117509,-0.235849,-5.129999825,-0.403226,284.9031021,352.836975275
6,23.25,397.6922096,10.360906425,1888.97633295,-1.450387375,-16.10078165,-31.261257325,-80.1950656,-5.102100375,0.2462454,0.03534445,-0.4066268,0.1806664,0.040207425,100.36,41.3,9.4795,1.791243,16.253513,0.167052075,17.66575,18.32225,19.08575,19.83125,18.9025,18.16275,18.2205,18.8835,19.3845,18.64475,17.237,18.06575,18.69225,18.95025,18.3405,-91.0713168,-0.117509,-0.235849,-5.17428565,-0.5934981,284.7343471,353.42177205
6,23.75,398.8811158,10.3061173,1894.7760002,-0.3458574,-16.9262104,-31.226218925,-76.0184894,-7.528571525,0.23642775,0.0456785,-0.3492338,0.19688325,0.035031975,100.3135,40.917,8.61075,1.73678255,16.00708645,0.1572448,17.42675,18.07225,18.90125,19.76,18.90925,17.861,17.91875,18.73,19.32,18.6825,17.0215,17.859,18.63,18.9235,18.35825,-90.584408225,-0.117509,-0.235849,-4.857143,-0.7951111,284.5587221,348.66849345
7,0.25,400.310703875,11.409763575,1880.451561,-1.3779524,-15.85062105,-31.582811725,-59.9697432,-12.879680875,0.353741525,0.028588225,-0.2129228,0.1734834,0.034983875,100.5,39.886,10.73375,1.32891275,16.56283785,0.164004575,18.68375,19.45825,20.74025,22.05675,21.67,20.1945,20.34225,21.2315,22.19025,21.7535,18.99675,20.11025,21.418,21.949,21.46475,-79.92750085,-0.117509,-0.235849,-5.072856825,-1.125251975,295.489378175,348.4343053
7,0.75,399.784032775,11.848691275,1882.1511435,-2.3687612,-11.037067725,-32.218453525,-61.4468512,-11.557214875,0.2340792,0.032481175,-0.2128756,0.188166675,0.03357475,100.5,39.6305,10.529,1.16752665,16.571323675,0.161266975,18.5335,19.2825,20.54025,21.96,21.69,19.92025,20.0625,20.95025,22.10125,21.7845,18.66,19.88225,21.229,21.93,21.48025,-79.4452937,-0.117509,-0.235849,-4.77428565,-0.77242975,296.03810795,349.807613325
7,1.25,399.579027775,11.1192603,1880.264218975,-3.3722799,-15.7718189,-32.939927925,-57.81434275,-14.7342827,0.247702525,0.025042675,-0.212473025,0.196431725,0.030565625,100.49225,43.81175,10.1235,1.067490375,16.088299025,0.16313125,18.32025,19.07475,20.35025,21.829,21.6845,19.638,19.81675,20.69675,21.9845,21.76675,18.369,19.6035,21.02125,21.859,21.4825,-76.90042335,-0.117509,-0.235849,-4.628571,-0.7951111,295.9630535,349.57635995
7,1.75,396.5380032,11.425446,1878.32585015,-3.0641185,-11.194622225,-33.41971745,-53.8540062,-14.9110776,0.19650835,0.030039675,-0.2029334,0.146100725,0.030789825,100.49225,42.40325,10.0045,1.045600925,16.1331057,0.1655637,18.08925,18.85925,20.17025,21.7135,21.70225,19.4105,19.525,20.5145,21.87675,21.78675,17.98025,19.35225,20.8535,21.819,21.49025,-75.60481555,-0.117509,-0.235849,-4.628571,-1.07484875,296.05968665,348.097208475
7,2.25,396.417853575,11.4197535,1884.89517735,-3.216745,-21.3238733,-33.26664035,-62.7472094,-11.6454898,0.190729575,0.027641875,-0.1962938,0.14568525,0.02366435,100.4945,43.32025,9.55375,0.85320745,15.70183085,0.154461125,17.96225,18.71025,20.01025,21.61125,21.70225,19.247,19.3615,20.3445,21.78675,21.8045,17.70675,19.129,20.66025,21.76225,21.4925,-73.822967325,-0.117509,-0.235849,-4.672856825,-1.108871,296.004560825,347.421120075
7,2.75,394.495595625,11.5301815,1885.68443165,-1.4183483,-18.1581595,-32.857178475,-54.3384458,-11.031314125,0.17668525,0.033228025,-0.2069974,0.1506519,0.0283756,100.479,47.38075,9.39925,0.7099247,15.8343448,0.149580425,17.74175,18.5205,19.847,21.53225,21.70225,19.09,19.20225,20.14125,21.65225,21.79225,17.359,18.8015,20.46,21.689,21.4925,-76.0357515,-0.117509,-0.235849,-4.558571825,-0.895917325,295.839192025,347.515781625
