DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_OUT,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_3_1_1,TS_3_2_1,TS_4_1_1,TS_4_2_1
1,17.75,-112.42926,-86.968805,-8.710665,-69.989325,-1.132295,0.06478,375.387725,2.017635,2.37169,86.51226,1.35605,11.0498875,0.18998,-3.621265,-0.4534575,218.752705,306.120945,0,0,1.113825,2.086475,1.8594,3.516125,5.553095,7.749585,2.328125,2.694805,7.943925,8.9935,6.318625,9.26225
1,18.25,-117.548695,-80.5221725,-4.2544375,-71.38006,-0.46402,0.0697,375.8663875,2.00515,1.47021,86.5115,0.591950000000001,11.6684075,0.34982,-4.4016925,-0.4941125,219.02981,298.7338125,-0.198135,-7.16055,1.11205,2.207,1.94845,3.5588625,5.61307,7.71772,2.063,2.793525,7.949425,8.9935,6.310625,9.2545
1,18.75,-115.93462,-69.3932125,-4.65715,-71.62105,-0.239095,0.0564,375.9742325,2.0456925,1.36574,86.5421,0.6534,12.52709,0.39863,-3.169195,0,217.8658625,298.697765,-0.224235,-5.11925,1.12255,2.2714525,2.05585,3.6190625,5.65947,7.5773225,1.85195,2.79345,7.954925,8.9935,6.300625,9.2545
1,19.25,-116.3652675,-64.9027175,-3.66693,-71.09548,-0.30458,0.06815,375.90978,2.05105,1.16888,86.5466,0.47335,12.452745,0.4759,-2.975775,0,217.9919125,297.44331,-0.230715,-4.7335,1.13003,2.3384825,2.77155,3.6883875,5.70632,7.46075,1.688105,2.96403,7.960425,8.9935,6.293175,9.2545
1,19.75,-114.53097,-61.8353025,-3.72,-77.24443,-0.39279,0.061477,376.07131,2.08453,0.876110000000001,86.55996,0.136025000000001,12.555905,0.38863,-2.769295,0,217.7160725,296.8234475,-0.21561,-4.4427,1.483875,2.3835975,2.89435,3.7358875,5.7429025,7.4233,2.2142625,2.97055,7.968175,8.99125,6.2834,9.2545
1,20.25,-116.1050125,-62.79698,-4.46225,-76.38565,-0.213835,0.06634,376.07338,2.14516,0.32,86.5366,-0.0326999999999996,12.9444,0.49492,-2.8197775,0,216.91757,296.6146625,-0.215805,-4.0635,1.293475,2.3567975,3.04265,3.7899875,5.741695,7.3356475,2.0557375,2.9,7.97445,8.9935,6.273625,9.2545
1,20.75,-115.698955,-62.64476,-5.18728,-77.170155,-0.29502,0.066132,376.1314,2.191975,0.00540000000000038,86.5518,-0.610025,12.6054275,0.62914,-2.8648175,0,216.781695,293.1990625,-0.20571,-4.2089,1.06563,2.2278825,2.4325,3.733825,5.7559525,7.3228225,1.36187,2.84545,7.982275,8.999,6.264625,9.2545
1,21.25,-115.2841875,-58.42214,-4.879075,-80.05206,-0.27262,0.070882,376.08067,2.13338,-0.15157,86.56684,-0.555775,12.7853225,0.39468,-2.8575125,0,214.0919275,293.65723,-0.2145,-4.0602,1.08545,2.2082475,3.204175,3.8518875,5.7756625,7.2714275,1.859275,2.773425,7.98545,8.999,6.255625,9.24675
1,21.75,-116.2571,-56.9515375,-3.5552,-89.812125,-0.2168,0.07153,376.46165,1.97155,-0.2474,86.54218,-0.6111,12.47204,0.42546,-2.87,0,213.8508,295.00305,-0.20865,-3.773785,1.0187,2.1717525,3.23232,3.8616875,5.7893875,7.2505025,1.64495,2.709525,7.993275,8.99675,6.246175,9.249
1,22.25,-114.89175,-57.028765,-5.8064,-83.522,-0.288295,0.0677725,376.389355,2.1724925,-0.3228825,86.52044,-0.836725,11.9291475,0.40891,-2.88955,0,213.406,292.81925,-0.21195,-3.789565,0.851025,2.0735275,3.223845,3.8768625,5.77903,7.2280275,1.441125,2.67525,8.002575,8.9945,6.262525,9.249
1,22.75,-114.4216,-52.679615,-4.534385,-83.95618,-0.25349,0.0727,376.53832,2.12142,-0.3339,86.555855,-0.824025,12.1296875,0.5133375,-2.77825,0,212.88,292.6764,-0.20175,-3.5781225,0.678425,2.0318525,3.21832,3.8758375,5.7944575,7.2280275,1.26525,2.61525,8.00885,8.99225,6.2843,9.249
