DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
6,4.25,0.41625,11.5105,2.51675,1.3775,-5.864,3.4065,90.86575,392.526,3.515,-7.229,34.003,14.42075,2.035,3.76375,10.4955
6,4.75,0.41875,11.4435,2.5435,0.917,-2.6105,3.83875,91.3095,392.2435,3.31,2.137,102.576,49.784,7.164,7.94625,10.33425
6,5.25,0.4935,11.90425,2.6645,0.706,1.717,8.841,90.81975,392.2345,3.315,23.814,226.929,102.6945,14.487,14.90825,10.563
6,5.75,0.4885,12.8105,2.7875,0.795,10.5895,14.886,90.085,391.367,3.5325,57.32675,365.667,165.21725,21.757,23.81575,10.904
6,6.25,0.50725,13.926,2.9295,0.201,28.0965,20.212,87.861,389.19475,4.19,101.74625,529.169,233.329,29.168,33.10575,10.993
6,6.75,0.5375,15.00025,2.995,-0.2145,51.6345,33.946,84.3605,387.116,5.3575,155.02025,700.595,304.308,38.269,38.98725,11.0455
6,7.25,0.533,16.129,3.027,-0.253,78.1035,53.2555,82.58925,385.227,6.685,211.016,881.1,385.32175,45.401,47.06625,11.038
6,7.75,0.5435,17.22125,2.981,-0.8585,104.3985,68.8075,78.25225,383.38075,8.48,262.984,1059.591,458.12275,51.328,55.5885,11.0395
6,8.25,0.559,18.18875,3.0165,-0.9985,130.819,80.2395,77.52975,381.1805,9.92,320.83925,1227.176,529.8205,60.249,63.90725,10.676
6,8.75,0.5885,19.7455,3.171,-1.0335,160.406,95.266,74.5185,380.336,11.2825,368.19975,1378.688,586.0115,67.481,70.205,10.5335
6,9.25,0.6135,20.96,3.248,-1.2385,191.5535,101.65,70.8285,379.58,13.1125,424.181,1513.037,651.15675,74.094,78.27425,10.199
6,9.75,0.623,21.5605,3.4005,-1.2485,212.2685,105.3095,69.28475,378.94675,14.285,466.1105,1628.709,699.92,78.863,85.94675,10.1215
6,10.25,0.62275,22.1705,3.3145,-1.2835,235.35525,117.58975,67.947,377.9485,14.995,513.309,1742.635,751.178,85.931,91.4615,10.34
6,10.75,0.65375,22.8405,3.6375,-1.35375,259.651,118.685,65.92175,377.6795,16.41,557.1805,1837.278,791.15325,91.019,93.925,10.46675
6,11.25,0.6745,23.1315,3.584,-1.47525,279.8665,130.69025,64.72675,377.24325,16.2975,587.6985,1908.489,826.465,93.193,97.0875,10.71025
6,11.75,0.67925,23.69725,3.70175,-1.578,295.445,136.369,62.3065,376.827,17.9975,601.66625,1929.173,838.3805,93.714,98.13825,10.553
6,12.25,0.684,23.89125,3.77775,-1.199,290.622,132.718,57.92825,376.206,19.745,619.39075,1954.36925,859.05525,93.5665,98.10225,10.654
6,12.75,0.69025,23.807,3.7995,-1.56475,303.94825,132.92725,56.6485,375.732,20.12,620.604,1949.99,858.3355,92.707,99.9265,10.689
6,13.25,0.71625,24.516,3.8255,-1.326,288.108,138.745,54.6585,375.393,21.11,617.79,1929.109,843.40475,92.969,100.291,10.403
6,13.75,0.711,25.046,3.869,-1.357,273.835,123.446,52.57425,375.329,21.895,594.582,1855.808,817.334,91.175,97.4545,10.191
6,14.25,0.68375,25.3535,3.65175,-1.103,264.655,119.618,50.0435,375.021,21.785,567.9985,1751.109,770.192,88.947,93.257,10.252
6,14.75,0.67225,25.2345,3.577,-1.05,249.262,121.268,50.4895,374.613,22.32,545.225,1698.2535,748.4115,94.66775,89.689,10.14875
6,15.25,0.674,25.27075,3.6305,-1.089,235.746,123.481,48.7685,374.394,21.935,500.66825,1572.5155,702.619,91.3185,85.609,10.027
6,15.75,0.67775,24.7415,3.591,-0.853,197.733,101.634,50.9505,374.495,21.485,460.38125,1446.41225,651.685,85.4885,80.6425,10.054
6,16.25,0.64925,24.554,3.65375,-0.742,171.502,92.58625,50.172,374.56475,21.12,411.3945,1130.933,591.5615,74.493,76.483,9.976
6,16.75,0.6455,24.378,3.5015,-0.625,149.611,85.165,51.03,374.358,20.7,371.293,1127.584,522.327,62.963,70.947,10.004
6,17.25,0.634,23.7705,3.4695,-0.5905,128.5945,77.6935,54.015,374.5145,20.1,320.6525,618.21,462.976,54.417,61.5425,10.245
6,17.75,0.6165,23.248,3.574,-0.2275,80.759,61.082,54.9265,374.6695,19.97,243.316,753.719,375.6195,45.139,49.293,10.312
6,18.25,0.5985,22.8105,3.506,-0.2315,66.518,55.342,56.972,374.942,18.62,202.7915,652.2045,299.132,37.1025,47.4445,10.5525
6,18.75,0.578,22.2645,3.4095,0.0845,39.031,45.3615,57.788,375.277,18.31,141.4395,513.77,192.48,31.716,40.1775,10.5135
6,19.25,0.575,21.67,3.369,0.355,16.8675,40.8865,57.448,376.0185,17.235,84.437,368.414,95.0545,23.67,30.411,10.4655
6,19.75,0.50225,21.154,2.9625,0.6825,-2.441,23.7695,59.26175,376.7325,16.4025,18.78775,240.77625,64.08075,15.34675,21.7625,10.7215
6,20.25,0.448,20.71475,2.7475,0.72075,-7.616,15.59275,62.6445,377.43575,15.23,-3.01575,129.2315,46.29225,8.74725,11.33975,10.9865
6,20.75,0.408,20.095,2.549,1.0375,-6.323,8.8885,66.376,378.346,13.585,-18.074,59.681,21.8065,3.74425,2.84125,10.957
6,21.25,0.394,19.369,2.42575,1.279,-6.79375,5.58175,70.03625,379.1825,12.24,-25.4525,21.573,2.91575,1.0935,0.331,11.01275
