DOY2,HR2,CO2,FC,SC,G_1_1_1,H,LE,SH,SLE,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,USTAR,WS_1_1_1
1,22.75,422.84750365,0.128106002,-0.002991,-3.9449225665,-3.722219944,0.083999999,-0.1677870005,0.010635,97.164424895,92.01227951,-16.05651855,0.184987858,-1.771796465,0.068,-2.032148361,0.1361619975,1.655704975
1,23.25,422.6689911,0.202063501,-0.0128,-4.461873055,-7.031079769,-0.0315499995,0.2433915065,0.065804501,97.12017822,90.520900725,-15.617335795,0.18796289,-2.327069998,0.078000002,-2.029841661,0.1682139975,1.5712444785
1,23.75,424.0574951,0.0246400005,-0.0428500005,-4.5511620045,-6.559189796,0.503935993,-0.8312849995,-0.1082649975,97.10115814,88.0952034,-16.05651903,0.192790151,-1.8868649605,0.0845,-2.025012672,0.2165329975,1.665590048
2,0.25,420.2030029,0.129112005,0.00316,-2.511574507,-4.011000156,0.109196,-0.550015509,-0.0656,97.717876435,80.408683775,-19.52158928,0.2036307005,-5.2750029565,0.074000001,-2.538202047,0.1338599995,1.64298898
2,0.75,418.4509888,0.179389998,0.00354,-2.559482932,-4.2557399275,0.121752001,-0.820152998,-0.059599999,97.76231003,80.40802002,-19.65611076,0.200901672,-3.9787184,0.081500001,-2.538202047,0.154652998,1.574647963
2,1.25,418.7380066,0.1683434995,0.0126,-2.543355942,-4.814920187,0.0561,-1.1350800395,-0.088799998,97.86942291,79.99210739,-19.74398232,0.211003259,-5.814836025,0.081,-2.5280104875,0.154033497,1.520256996
2,1.75,418.9769897,0.149976499,0.0023,-2.546407938,-5.104665041,0.118952997,-0.7129254935,-0.066200003,97.89765167,80.14189148,-19.79549789,0.210134022,-5.007133007,0.079999998,-2.538202047,0.149303995,1.593487024
2,2.25,419.0404968,0.113228001,0.00349,-2.561973095,-6.494810104,0.060199998,-0.7609194815,-0.0407,97.91316223,80.40802002,-19.87009048,0.223379254,-3.337846994,0.078000002,-2.5454388855,0.163392007,1.563539982
2,2.75,420.9890137,0.140395999,0.0105,-2.576276541,-4.141499877,0.1850755065,-0.373753995,-0.0783999975,97.920116425,80.20039749,-19.96999931,0.2313413095,-5.227875471,0.0824999995,-2.538202047,0.150494501,1.7013545035
2,3.25,421.1480103,0.138628997,-0.00303,-2.578752041,-4.54610014,-0.081299998,-0.626736999,-0.0458,98.0328064,80.40934753,-20.03534794,0.241972685,-3.877077103,0.081,-2.47705245,0.177982502,1.762277007
2,3.75,421.09649655,0.167278007,-0.01275,-2.5910180805,-4.983650208,0.171213001,-0.4501420115,-0.034950001,98.053432465,79.99277496,-19.99130058,0.233362496,-5.312582493,0.083999999,-2.415554523,0.152282998,1.6956344845
2,4.25,421.3679962,0.140806504,0.006135,-2.60431993,-4.983479977,0.044199999,-0.626824498,-0.0343500005,98.08134079,79.043273925,-20.41852951,0.2400420305,-4.403705001,0.081500001,-2.415554523,0.174164996,1.5400599835
