DOY2,HR2,USTAR,TA,WS,FC,SC,H,LE,SLE,G,TS,RH,PA,CO2,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA
1,5.25,0.309894313,-4.547,5.108766023,0.202759232,0.0020660135,-25.14946746,3.312953014,-0.108082795,-2.95,0.3205,89.59,79.10717428,372.3805227,-20.33,0,0.6165,247.15,278.15,4.643445449,-0.098171501,1.02150023,0.895313505,0.449930455,-4.2170096415,0.24863189
1,5.75,0.304464194,-4.569,5.183658015,0.282947315,0.002731887,-25.92924891,-0.0948868235,-0.0919480785,-3.061,0.314,89.4,79.1032964,372.415113,-25.555,0,0.6665,253.8,277.05,4.827624839,-0.097208969,1.119668132,0.958789474,0.460312012,-4.162541913,0.236188488
1,6.25,0.315335652,-4.553,5.274953483,0.239220603,0.002425379,-19.68251443,2.7324086615,-0.061420762,-3.081,0.3155,90.83,79.098408795,372.4077698,-18.315,0,0.61,252.7,277.4,4.724653296,-0.1015014145,1.1493673035,1.0178093665,0.5024476725,-4.203182715,0.2138076865
1,6.75,0.3257272035,-4.673,5.1941844755,0.259988488,0.001771012,-21.11145079,0.6482357675,0.0276075635,-3.123,0.3185,89.23,79.12095472,372.3612966,-14.975,0,0.633,249.5,278.35,4.89851861,-0.107493799,1.0853858025,1.039783745,0.485696523,-4.1376387635,0.2600164235
1,7.25,0.315721313,-4.822,4.954759952,0.2291934695,0.0025561185,-21.94830745,2.86064645,0.0072963605,-3.051,0.3135,89.26,79.13186069,372.3640342,-14.5,0,0.576,253.05,279,4.8948268235,-0.1030633185,1.0077484185,0.900882281,0.447904104,-4.0183804275,0.2658940955
1,7.75,0.2796065565,-5.127,5.059164328,0.256270365,0.0027068235,-20.917136985,5.673463894,0.02215431,-3.197,0.315,89.76,79.170247385,372.1545735,-11.89,0,0.671,254.3,279.35,5.0018100285,-0.079393494,0.9893870455,0.9664481815,0.4458304795,-4.407146911,0.231639628
1,8.25,0.2951452455,-4.899,5.04343212,0.2332358465,0.00488448,-28.4175611,2.316144787,-0.000111012000000001,-2.965,0.3135,89.24,79.189872025,372.18625935,-16.115,5.828800206,5.275,254.95,278.75,4.9090122575,-0.0886441325,1.025999678,1.0314082995,0.4600804965,-4.5691207455,0.2454425035
1,8.75,0.296666225,-4.623,4.691460549,0.150087967,0.001506349,-18.274218005,5.037967402,-0.064974476,-3.195,0.314,89.69,79.200379115,372.40301845,-8.51,22.04858489,28.35,249.15,276.55,4.873173054,-0.0910333335,0.968854717,0.8942036105,0.435734324,-4.517951911,0.267566982
1,9.25,0.3454594585,-4.359,5.0428468265,0.16641173,0.003198883,-19.42165423,3.452635914,0.012742987,-3.378,0.319,90.1,79.2213531,372.5159021,0.305,69.70563542,69.85,253.95,279.8,4.89397071,-0.123235032,1.161975371,0.988637785,0.471700916,-4.186139297,0.259212295
1,9.75,0.336902021,-4.0045,5.325597225,0.220069027,-0.002416766,-16.31413542,8.75900596,0.197561691,-3.1755,0.32,88.075,79.22654534,372.3000671,12.845,124.2688514,114.7,258.85,282.3,4.915790598,-0.118607525,1.018713572,0.902036076,0.501713057,-4.219535203,0.232676393
