DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,RH,PA,T_SONIC,CO2,H2O,CH4,FC,NEE,H,LE,USTAR,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A
1,15.25,5.6896,0.861220065,0.6037245405,0.379700218,-23.13,35.1775,102.1958,-17.3341,463.91895,0.0128,1898.32265,-0.0865,-0.0865,0,0.0037,0.3117,198.41145,218.0525,0.4723,0.903,-6.6069,-4.3659,-6.8942,-6.3745,-15.7986,-15.7996,-16.4993,-15.9918,-12.8681,-16.0648,-14.7703,-13.797,-13.546,-14.3683,-14.1956,-12.0424,-14.7023,-13.9551,-12.8491,-12.9621,-12.9845,-13.2176
1,15.75,5.9249,0.758551251,0.586708459,0.376430604,-23.13,36.491,102.207,-16.58255,466.568,0.0132,1890.3436,0.3967,0.3967,0,-0.0168,0.31755,196.24,218.487,0.1603,0.54875,-6.64555,-4.37125,-7.0619,-6.45475,-15.7838,-15.80635,-16.50125,-15.9875,-12.8773,-16.0911,-14.7696,-13.8109,-13.5571,-14.3748,-14.2003,-12.038,-14.6858,-13.9576,-12.8689,-12.9722,-12.9853,-13.2146
1,16.25,5.7676,0.938787046,0.6574976675,0.414487636,-23.13,37.8204,102.1257,-17.6961,467.422,0.01515,1884.061,0.0924,0.0924,0,0.0157,0.3284,197.107,218.196,0.0495,0.1428,-6.6895,-4.2903,-7.13355,-6.35085,-15.7766,-15.8035,-16.4915,-15.9963,-12.8801,-16.1067,-14.8017,-13.8081,-13.5586,-14.381,-14.1963,-12.0478,-14.6908,-13.9645,-12.8835,-12.9716,-12.9878,-13.2241
1,16.75,6.1905,0.803367911,0.558659109,0.373229128,-23.13,37.3774,102.1765,-17.802,466.7386,0.0145,1855.96605,-0.2199,-0.2199,0,0.0431,0.3019,199.044,218.421,0.018,0,-6.4725,-4.3204,-7.0478,-6.2399,-15.7995,-15.8282,-16.5283,-16.0471,-12.8768,-16.1416,-14.8337,-13.7986,-13.5504,-14.3942,-14.1787,-12.0512,-14.6797,-13.95,-12.8743,-12.9934,-12.987,-13.2237
1,17.25,6.5508,0.910439454,0.565453624,0.409878031,-23.13,34.01145,102.2148,-17.3651,465.5689,0.0166,1859.1517,0.064,0.064,0,0.0238,0.31775,201.821,218.392,0.01205,0,-6.5468,-4.2908,-7.054,-6.2762,-15.7956,-15.8328,-16.5376,-16.0253,-12.879,-16.1751,-14.8268,-13.7849,-13.5367,-14.3788,-14.1664,-12.0481,-14.6875,-13.9445,-12.895,-12.9999,-12.9959,-13.2248
1,17.75,6.1547,0.831023465,0.53563047,0.406693988,-23.13,29.0684,102.2169,-17.7591,464.9948,0.0152,1862.1428,-0.1103,-0.1103,0,-0.0178,0.3281,197.713,219.103,0.0123,0,-6.3768,-4.4424,-7.1816,-6.041,-15.7759,-15.8198,-16.5287,-16.0155,-12.8691,-16.1906,-14.8162,-13.7896,-13.5549,-14.3686,-14.1577,-12.0373,-14.7027,-13.9515,-12.8836,-12.9981,-13.0053,-13.2267
1,18.25,5.81555,0.9840274875,0.724707681,0.4964372435,-23.13,34.5402,102.2184,-17.8459,467.7493,0.01605,1843.0068,-0.1629,-0.1629,0,0.02575,0.3225,196.272,218.304,0.0117,0,-6.5159,-4.3986,-7.1816,-6.0511,-15.7723,-15.8074,-16.4991,-16.0389,-12.8559,-16.2146,-14.8081,-13.7877,-13.5618,-14.3536,-14.161,-12.0445,-14.692,-13.9535,-12.893,-13.0246,-12.9954,-13.2264
1,18.75,5.7356,0.7278977445,0.616035713,0.40146071,-23.13,31.2594,102.2123,-18.13835,463.91145,0.0172,1840.996,-0.0027,-0.0027,0,-0.0037,0.2808,197.913,216.883,0.0123,0,-6.3099,-4.2721,-7.4099,-6.1956,-15.7758,-15.8069,-16.5042,-16.0249,-12.8575,-16.1781,-14.8069,-13.7883,-13.571,-14.3675,-14.1573,-12.0324,-14.682,-13.9666,-12.8893,-13.0356,-13.0048,-13.2282
1,19.25,6.0011,0.706611633,0.64349382,0.3534650605,-23.13,26.377,102.1941,-17.98345,465.86445,0.0168,1874.8619,0.29035,0.29035,0,0.00305,0.2957,195.272,217.877,0.0123,0,-6.4815,-4.3785,-7.2744,-6.139,-15.7917,-15.7995,-16.5424,-16.0101,-12.8603,-16.1404,-14.8293,-13.7741,-13.5731,-14.3604,-14.1441,-12.0364,-14.6625,-13.9565,-12.8954,-13.0321,-12.9929,-13.2322
1,19.75,6.3637,0.9331199935,0.5326328415,0.399624824,-23.13,29.6538,102.1769,-17.9542,463.5692,0.0169,1854.3701,-0.1901,-0.1901,0,-0.02135,0.3235,198.5515,217.774,0.0123,0,-6.4379,-4.40275,-7.13045,-6.2155,-15.80405,-15.7795,-16.52875,-16.0232,-12.848,-16.1229,-14.8563,-13.761,-13.5718,-14.3581,-14.1276,-12.0351,-14.6573,-13.9492,-12.912,-13.0544,-13.0029,-13.2404
1,20.25,5.99435,0.824304322,0.6193291345,0.40779897,-23.13,30.8743,102.1911,-18.0175,459.3246,0.015,1855.5762,-0.1073,-0.1073,0,-0.0525,0.33725,195.082,217.3,0.0103,0,-6.5485,-4.5324,-7.1657,-6.19345,-15.80575,-15.77035,-16.5473,-16.0034,-12.8482,-16.1361,-14.8619,-13.7669,-13.5825,-14.3713,-14.1188,-12.0445,-14.668,-13.9629,-12.9039,-13.0424,-12.9938,-13.2368
1,20.75,5.9461,0.894874293,0.586429876,0.386252124,-23.13,34.2808,102.16765,-17.76475,462.4292,0.01515,1846.45555,0.51715,0.51715,0,-0.0084,0.291,194.329,216.722,0.0065,0,-6.53045,-4.6735,-7.25885,-6.20905,-15.8258,-15.76855,-16.5608,-15.99195,-12.8539,-16.1486,-14.8736,-13.7643,-13.5786,-14.3867,-14.1163,-12.0453,-14.6594,-13.9499,-12.9262,-13.0627,-13.0131,-13.2377
1,21.25,5.8094,0.774854825,0.6768566755,0.41369908,-23.13,34.40875,102.1494,-16.3475,461.4009,0.01515,1851.9019,0.1542,0.1542,0,-0.0328,0.2982,196.06,217.025,0.0103,0,-6.5461,-4.6708,-7.2085,-6.2698,-15.82935,-15.76745,-16.603,-16.0009,-12.8507,-16.1361,-14.8733,-13.768,-13.571,-14.37,-14.1049,-12.043,-14.6682,-13.9347,-12.9273,-13.0498,-13.012,-13.2406
1,21.75,5.8578,0.749466477,0.572224497,0.415451562,-23.13,38.5081,102.1336,-16.8166,466.4911,0.01525,1856.5969,0.05105,0.05105,0,-0.0161,0.3412,197.978,217.6445,0.0103,0,-6.7283,-4.5894,-7.28785,-6.43335,-15.8317,-15.75525,-16.5993,-16.0031,-12.8434,-16.1215,-14.8772,-13.7564,-13.5719,-14.3568,-14.1012,-12.037,-14.6751,-13.9282,-12.9165,-13.0587,-13.0126,-13.2446
1,22.25,5.98145,0.764017625,0.55641711,0.407553677,-23.13,33.7936,102.1441,-16.62295,466.6661,0.01505,1858.6958,0.3049,0.3049,0,0.0297,0.2702,196.959,215.8745,0.0123,0,-6.64935,-4.63175,-7.4092,-6.4527,-15.8389,-15.75575,-16.5926,-15.9958,-12.8489,-16.13,-14.864,-13.7478,-13.5773,-14.3328,-14.0922,-12.0444,-14.6866,-13.9211,-12.9219,-13.0636,-13.0114,-13.2445
1,22.75,5.8538,0.844926032,0.595315043,0.428135493,-23.13,36.3271,102.1087,-16.369,461.06805,0.01525,1873.09465,0.50585,0.50585,0,0.03645,0.3108,195.9093,215.6765,0.01295,0,-6.8475,-4.57985,-7.4159,-6.5717,-15.8486,-15.7562,-16.59415,-16.0109,-12.8455,-16.1682,-14.8529,-13.7435,-13.5784,-14.3388,-14.0785,-12.0553,-14.691,-13.9264,-12.925,-13.0804,-13.0075,-13.2532
1,23.25,5.6222,0.82176639,0.597243669,0.387393013,-23.13,36.4613,102.1452,-16.7433,461.1789,0.0158,1873.7791,0.6168,0.6168,0,-0.03115,0.2976,195.9164,216.2525,0.0103,0,-6.9834,-4.6277,-7.39505,-6.6833,-15.84995,-15.755,-16.5885,-16.03385,-12.8453,-16.1849,-14.8677,-13.7321,-13.5884,-14.3464,-14.0969,-12.0627,-14.6834,-13.9237,-12.9255,-13.0884,-13.0079,-13.2524
1,23.75,5.4132,0.893196507,0.5516658065,0.388715835,-23.13,36.0516,102.1483,-16.59405,460.6807,0.0154,1875.8297,0.0478,0.0478,0,-0.0434,0.37355,198.087,215.948,0.0104,0,-6.95875,-4.69995,-7.4578,-6.66045,-15.82895,-15.75165,-16.5597,-16.03375,-12.8406,-16.1721,-14.8687,-13.7465,-13.5984,-14.3453,-14.1109,-12.0527,-14.6878,-13.9341,-12.9265,-13.1024,-13.0187,-13.2504
2,0.25,5.2603,0.818290902,0.61619802,0.331662479,-22.518665,33.8535,102.3782,-17.782,462.7794,0.017,1893.0953,0.1171,0.1171,-7.6316,0,0.3398,197.216,213.518,0.0104,0,-4.8739,-3.18,-5.5617,-4.4184,-17.2409,-17.1827,-17.9956,-17.4635,-14.0032,-16.7397,-16.1386,-15.2154,-14.7669,-15.5015,-15.448,-13.4733,-15.5058,-15.2321,-14.3398,-14.2606,-14.3156,-14.5737
2,0.75,5.6362,0.845458456,0.558927544,0.329545141,-22.586165,33.4942,102.3831,-18.12865,464.5158,0.017,1881.0653,0.04085,0.04085,-5.1792,0.0013,0.3149,196.638,213.678,0.0078,0,-4.7077,-3.2829,-5.7895,-4.5925,-17.2597,-17.1603,-18.0436,-17.4624,-14.0062,-16.7635,-16.1039,-15.2212,-14.7571,-15.5034,-15.4316,-13.4682,-15.5199,-15.2371,-14.3606,-14.2633,-14.3113,-14.5758
2,1.25,5.7737,0.7896314855,0.5663304,0.329463809,-23.109,33.3646,102.3861,-18.5941,463.63145,0.01715,1896.8386,-0.1397,-0.1397,-6.4015,0.0142,0.31615,197.04,213.497,0.0079,0,-4.7834,-3.5116,-6.1823,-4.6604,-17.2881,-17.1805,-18.0746,-17.47,-13.9955,-16.756,-16.1259,-15.2303,-14.7573,-15.521,-15.4217,-13.4525,-15.5408,-15.2136,-14.3675,-14.2497,-14.3066,-14.5781
2,1.75,5.2346,0.803243425,0.555157635,0.330605505,-23.173505,34.5095,102.4036,-18.0448,465.5186,0.01725,1900.2777,-0.0661,-0.0661,-4.9725,-0.0059,0.3221,195.47,213.156,0.0065,0,-5.1968,-3.4396,-6.343,-4.8848,-17.2973,-17.1822,-18.058,-17.471,-14.0059,-16.7899,-16.1284,-15.2102,-14.7645,-15.5455,-15.4078,-13.4458,-15.5508,-15.2121,-14.3727,-14.2455,-14.2998,-14.586
2,2.25,5.2293,0.797370679,0.569385634,0.314960315,-23.491005,33.0353,102.4018,-17.6235,464.6034,0.0171,1909.72045,-0.2121,-0.2121,-5.56455,0.02725,0.3277,196.512,214.159,0.0077,0,-5.2691,-3.7095,-6.5608,-5.2205,-17.2787,-17.2059,-18.1057,-17.4681,-14.0067,-16.7883,-16.113,-15.2371,-14.783,-15.5668,-15.3951,-13.4425,-15.5518,-15.2161,-14.3868,-14.2382,-14.2963,-14.5945
