DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,PPFD_IN,TA,RH
3,5.75,-0.2571295,-5.699055,-1.19043,0.04708275,0.91339,0.15016525,-1.9158975,409.817,1.87957,0.3741025,0.321269,0.21994775,0.093575,-0.176,-1.88901,48.14195
3,6.25,-0.3124985,-5.10545,-1.46026,0.0876,0.83175225,0.15154675,-2.09975,410.077,2.031275,0.3715845,0.342076,0.21121675,0.0926,-0.143,-2.34419,49.14875
3,6.75,-0.236195,-3.34292,-1.3398775,-0.303142,1.0272325,0.152842,-2.154365,411.111,1.96713,0.41286275,0.362362,0.229145,0.09855,0.381,-2.78545,48.4339
3,7.25,-0.27958825,-0.07365725,-2.23424,0.2526015,0.988098,0.18011375,-1.97461,412.48,1.95653,0.4068915,0.40324375,0.24750325,0.11730575,14.04,-3.04729,49.627475
3,7.75,-0.352368,2.0008045,3.17929,-0.061925,1.10843,0.212087,-1.44504,411.5815,1.99027,0.506727,0.438989,0.297629,0.14497825,56.92,-1.83356,48.357775
3,8.25,-0.428385,0.9443045,1.12906925,-1.48105,1.2016525,0.2423635,-0.8337475,411.664,1.97005,0.586451,0.4914595,0.3310995,0.150085,128.3,-1.68692,43.514325
3,8.75,-0.4851795,2.13938,1.7364525,-0.4839365,1.34465,0.33270775,-0.383224,409.95075,2.029685,0.6854065,0.55602,0.39399,0.14806875,189,-1.05182,41.0263
3,9.25,-0.5897385,8.50661,1.81076,-0.2467085,1.42416,0.3401615,0.042585,408.92375,1.8875,0.754007,0.5843975,0.4261995,0.1475305,249.2,-0.600998,39.2718
3,9.75,-0.5823445,-0.22182925,3.22116,-0.39426,1.753675,0.3330075,0.2849455,409.097,1.81941,0.7760065,0.6779165,0.479321,0.169469,288.3,0.196254,36.8626
3,10.25,-0.568324,3.28053,4.03382,-1.4548725,1.64048,0.3371065,1.100968,409.3565,1.7465025,0.8372855,0.679245,0.4560065,0.1488775,298.8,1.54437,37.0323
3,10.75,-0.6867875,6.13057,6.53526,0.105622,1.6158825,0.3840755,1.376105,409.8305,1.6924775,0.829657,0.775168,0.4963295,0.181066,281,2.49015,36.1808
3,11.25,-0.60842,8.20216,4.55132,-1.2089925,1.60156,0.3554925,1.724365,410.3935,1.695775,0.8702555,0.668246,0.496268,0.1658375,367.5,3.07263,35.0071
3,11.75,-0.710476,6.152095,3.26797,-1.1456625,1.50196,0.426228,2.139925,410.16675,1.71519,0.897463,0.80227,0.5019215,0.1691225,462.775,3.69595,32.8267
3,12.25,-0.667771,6.13806,3.67532,-0.508733,1.53666,0.389098,2.323665,411.53625,1.720675,0.8925755,0.7750305,0.4918405,0.18374025,510.575,4.15973,31.7789
3,12.75,-0.749512,3.531,4.9875,0.2813355,1.6513275,0.41933,2.55572,410.75175,1.7151675,0.838225,0.8330125,0.5283795,0.1719865,423.45,4.41319,30.6423
3,13.25,-0.6962415,9.5639375,1.9413825,-1.33027,1.7469725,0.384519,2.589815,410.83475,1.68811,0.9367615,0.8125665,0.512518,0.1480385,497.25,4.88713,28.5441
3,13.75,-0.795603,10.43659,4.1096175,-0.335942,1.8308625,0.393465,2.810145,409.761,1.70894,0.931946,0.7852565,0.4862075,0.169595,443,5.23167,24.9863
3,14.25,-0.692526,5.73068,4.1844175,-1.1870675,1.944725,0.4144765,2.991495,409.72325,1.78568,0.8996605,0.807005,0.5189345,0.159181,400.925,5.79524,24.0915
3,14.75,-0.7278785,14.090825,3.99552,0.075553,1.89361,0.4192545,3.021855,410.307,1.7573975,0.934177,0.804154,0.532158,0.16342675,420.85,6.52548,26.2175
3,15.25,-0.665466,10.13075,3.3843075,-1.88418,1.9739,0.4610185,3.1626625,410.871,1.9002,0.9541255,0.847378,0.554006,0.172775,325.2,6.8003,27.7823
3,15.75,-0.655591,16.1113,2.5015925,-0.236613,1.9474125,0.421948,3.32182,410.47375,1.885025,0.954786,0.839602,0.553743,0.1880565,299.9,7.04874,26.1709
3,16.25,-0.5875915,18.34995,2.66334,-0.31747,2.0825025,0.3953055,3.12033,409.9165,1.833705,0.9577625,0.798547,0.5186265,0.1737,221.85,6.94316,26.4875
3,16.75,-0.595798,12.366525,0.93144275,-0.5797,2.021935,0.419251,3.022525,409.3185,1.90378,0.945801,0.8598565,0.5362645,0.1832995,157.5,6.64213,24.8859
3,17.25,-0.66981175,10.2281,0.5064235,-0.19200675,1.979865,0.4451845,3.27724,408.10975,1.9711025,0.92650075,0.8436835,0.52552975,0.179333,129.7,5.83467,23.6111
3,17.75,-0.5831665,-1.85896,0.685943,-0.30081075,2.03193,0.408879,3.29854,407.074,1.87512,0.9382655,0.7813675,0.4956585,0.132725,80.475,5.28715,22.9403
3,18.25,-0.4933975,-6.1802,1.8307,-0.10174,1.96508,0.37819,3.187195,406.5645,1.85768,0.8712895,0.70448,0.447456,0.12675,35.865,4.90479,23.0694
3,18.75,-0.4967505,-11.1157,0.511063,0.0882165,1.66682,0.309371,3.177085,406.92,1.87367,0.667601,0.5515015,0.405671,0.14355,4.2815,4.63661,24.6056
