DOY2,HR2,FC_1_1_1,H_1_1_1,LE_1_1_1,NEE,TAU_1_1_1,USTAR_1_1_1,CO2_1_1_1,H2O_1_1_1,H2O_SIGMA_1_1_1,CO2_SIGMA_1_1_1,WS_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,PA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SG_1_1_1,SG_2_1_1
1,10.25,-2.10652,-26.1718,2.317475,-2.1307,-0.380198382662577,0.0808085499787865,393.18175220709,0.528952437004677,0.0374101617595685,0.213296786050664,1.0631062,0.390673849271388,0.365314781352854,0.130586715828594,96.988571,47.5937635,0,-14.8407,81.12884,7.85994075,41.845725,5.35778755,175.72994,264.27626,6.547663725,0.217203775,0.059165128,-4.5621084,-4.63347735,-2.08774625,-37.303215,-34.57816,-31.431269,-33.611434,-2.65483826837282,-2.53326572861042
1,10.75,-2.10938,-23.145,2.3775125,-2.14056,-0.456153298760549,0.100096793077849,392.886619825817,0.540897310777371,0.0363924439986274,0.201315546496621,1.345308925,0.439560514127742,0.356307494322536,0.13925107632295,96.984976,44.9167435,0.00114595,-14.19365,110.361975,10.29293795,50.61625,6.411113,180.50039,267.2051,12.202083,0.08087356975,0.06374134575,-3.84989075,-4.1141686,-2.07180115,-29.9526615,-30.647662,-28.9301325,-29.0796325,-4.21714135978111,-3.98934316048411
1,11.25,-2.451375,-31.90655,3.428905,-2.4626025,-0.382748554427198,0.0940251923761463,392.857709945131,0.539524269623914,0.0399690847631001,0.239268516451229,1.295845425,0.462996631078807,0.421391685775624,0.147460569413661,96.9643725,42.20433675,0.005935325,-13.372975,100.14309125,8.10191655,50.0095,5.4733882,185.9710625,267.67865,18.153236,0.23716234,0.05763950275,-3.572986325,-3.391546475,-2.04175115,-28.973902,-27.27562725,-26.9229625,-26.63924875,-4.15723845907915,-3.27520391231496
1,11.75,-2.76308,-35.521975,3.887835,-2.76854,-0.378844348857114,0.103620682250544,393.353635803702,0.404790799075083,0.0377061721965812,0.265166197355,1.365914525,0.458254635148796,0.44962786594137,0.150512130984992,96.945827,40.025109,0.0227915,-12.65705,79.6049675,7.5267055,42.3973,5.583464,187.13746,270.50942,19.039106,0.43167237,0.06251857125,-3.3357365,-3.002769,-1.8749158,-28.446741,-25.007308,-25.2779825,-26.167481,-4.40672571159105,-3.58402861330257
1,12.25,-2.612665,-13.152,4.1572775,-2.62315,-0.406055632343545,0.107354876925988,392.4542227202,0.397228240604419,0.0417140151931402,0.224495563850988,1.3514625,0.453745622982748,0.444002390423643,0.166277630421215,96.9776255,37.44699775,0.000810775,-12.256325,104.8766295,7.9651831,48.378575,5.29998435,188.0989625,271.699115,19.7898135,0.52056315,0.0596578275,-3.1624677,-2.847399725,-1.697141375,-25.214863,-22.959415,-22.93089,-24.648922,-4.97583022454674,-3.40790138608188
1,12.75,-2.8080625,-9.70851,1.6832625,-2.8119625,-0.421627320281389,0.119482960341106,392.520985124186,0.432476868655176,0.0383376174177357,0.256033846014862,1.37097875,0.501215956421007,0.479812458902865,0.168150319501155,96.91235625,35.99136175,0.00148275,-11.891975,110.4547175,8.84072115,52.496,6.39908455,188.36834,272.39936,21.944844,0.8414019875,0.0785685225,-3.009937425,-2.7232327,-1.62395185,-24.253746,-21.4286365,-22.0834475,-23.11630675,-4.75075933105864,-3.88437899442037
1,13.25,-3.11838,-18.6814,3.36866,-3.13306,-0.460425029564729,0.13140607600089,392.664227259734,0.498178206495664,0.0408662170252715,0.265852780325381,1.5084985,0.509535788967774,0.469067557771603,0.175488885303028,97.010793,33.8328155,0.0039461,-12.082325,84.192419,8.453620975,46.31235,4.9096094,189.268115,273.4410225,19.90396,0.36307644,0.08232947,-2.848547,-2.64943225,-1.5660709,-22.9826875,-19.6155115,-21.17804,-21.197096,-5.20767162591016,-2.98561207278269
1,13.75,-2.7260825,-14.84225,2.124455,-2.7396125,-0.418353841523165,0.111428287638223,393.084987382518,0.5367956930154,0.037273108706652,0.211977990604551,1.4829422,0.437433236865267,0.462561384207638,0.162481825581839,96.81546225,30.29207975,0.010335775,-11.57605,81.71027125,7.8050849,40.920625,4.778159,189.9473125,274.70725,14.437855,0.64313925,0.079305142,-2.7207293,-2.567999225,-1.494749725,-22.4548025,-19.713115,-19.238157,-19.92536025,-9.48724351843728,-5.80554592508434
1,14.25,-2.4320525,-21.8458,2.0563,-2.46114,-0.400966085626954,0.100010893602372,393.224417745845,0.589158470166218,0.0360847398291707,0.241463869436916,1.378962225,0.416836631734625,0.371717425095067,0.142352257253337,96.81384775,28.46127125,0.002358925,-11.408725,82.895922,6.920558375,43.5066,5.29378445,191.13915,271.2746625,9.124608475,0.72399488,0.060950857,-2.671724425,-2.522431875,-1.433892325,-21.80082625,-19.95211225,-17.10834625,-18.9330925,-13.4456767901999,-10.1788542381955
1,14.75,-2.1456,-26.799,1.66353,-2.18154,-0.354677755523765,0.0883292553031978,393.450962253593,0.53585704581214,0.0297240163660502,0.195213819136535,1.2741058,0.402704400367814,0.307691805738009,0.128569044134371,96.8148045,29.520128,0.000939400000000002,-11.39335,57.286838,6.0693932,31.9472,4.090648825,192.008575,269.07027,6.642393375,0.421326415,0.0561549175,-2.6595739,-2.4511382,-1.3672174,-20.8528475,-19.333082,-16.873984,-19.595977,-19.8662575332934,-8.82313572020419
1,15.25,-1.5624575,-38.637425,0.00163510000000009,-1.5764775,-0.354036298097279,0.0832978644430219,393.475623206625,0.497657948822126,0.0287745724099314,0.191515289245284,1.143288625,0.364823192868911,0.299450540590343,0.130944421044399,96.82995425,29.9115295,0.00214065,-11.440725,48.329126,4.820295775,24.657125,4.3689867,192.191665,268.02711,1.33535404,0.4808374875,0.0482885125,-2.720178425,-2.3928925,-1.324436575,-20.5638645,-18.975712,-16.817492,-21.8923435,-26.160333530738,-15.2085454488128
1,15.75,-1.1120225,-50.582975,0.4420065,-1.29836,-0.337105192776644,0.0779196427191788,393.54650810332,0.517569651871437,0.0220124629093468,0.180923004006829,1.169579375,0.357447805600607,0.269639110982672,0.111691994962977,96.86513525,29.22323675,0.01647965,-11.593025,27.61072625,3.269050175,15.453925,2.3912829,192.180945,265.4735775,-19.692191,0.3412556875,0.04576092375,-2.831168125,-2.3938117,-1.274774325,-21.01121475,-20.122038,-18.105446,-23.33448975,-29.4950705578369,-18.8256195192515
1,16.25,-0.629592,-61.3641,-1.42169,-0.62484,-0.283111215840315,0.0758211530220548,393.229356373621,0.542207871430737,0.0205268856015108,0.146287156772096,1.07466305,0.316614256571017,0.251712279579827,0.0807385917033845,96.84036175,31.9775515,0.0220881,-11.72815,19.44027525,2.039982375,10.570775,1.6583942,191.3266075,262.1150175,-39.594117,0.20403994,0.0393006155,-3.002931775,-2.56526165,-1.233802875,-21.6454965,-22.746118,-19.446267,-24.4867845,-38.8480206027856,-25.3443978196527
1,16.75,-0.23474625,-75.7745,-4.426005,-0.17092125,-0.329577358758754,0.0570353759598747,393.066071893696,0.513301685547622,0.0203391876309715,0.167137404924468,0.78803534,0.251530326358001,0.247502009052113,0.0702084273819535,96.8731745,33.7972605,0.03406575,-12.018025,4.94617495,0.6179027,2.403185,0.616719295,187.41447,264.17702,-72.941916,0.204136,0.033261296,-3.147972625,-2.7269636,-1.2007917,-24.7128555,-24.917513,-21.94844,-31.29125425,-45.9488197315701,-30.7443711534764
1,17.25,-1.0440825,-69.651825,-2.554875,-1.115875,-0.272403431635259,0.0421956607660129,392.658734627224,0.531762586746881,0.0115303837299249,0.182447567695022,0.561884325,0.181643144030553,0.193073877643775,0.0523600403271929,96.85231925,36.86354725,0.00324007500000001,-12.4821,0.496785005,0.09722595925,0,-0.26068601,177.8728925,259.491255,-88.947634,0.37679429,0.034787095,-3.25092385,-2.91688055,-1.1688111,-26.42662525,-26.323392,-24.091041,-34.874858,-41.6772156219893,-35.5696117999345
1,17.75,-1.16293,-63.37425,-5.8632625,-0.3332315,-0.283148771559408,0.0217151097820767,392.493617401042,0.507335382670769,0.0085823180388118,0.142446912799614,0.624547305,0.167290312902024,0.17054368568051,0.0290909804091043,96.8626375,38.5274795,0.002672325,-12.938125,0.00658076225,0.0102714379,0,-0.443069005,185.5137825,255.33833,-90.8442065,0.43353414,0.0362427975,-3.514907525,-3.091981725,-1.156110375,-26.26518125,-27.43344125,-26.561734,-38.06127075,-46.8439797130203,-39.1913948593162
1,18.25,-0.471848,-62.2989,-5.7406,-0.408015,-0.284038210863421,0.0231237843867052,392.576538593008,0.523562045912798,0.0129845703002368,0.170549874537445,0.4925861,0.152065121236578,0.16254534826207,0.0327103859884657,96.910511,39.41820475,0.00513010000000001,-13.282675,0.0062660467,0.0045597473,0,-0.354826355,184.7001075,254.2654675,-91.039257,0.33256543,0.037402127,-3.68886965,-3.37797895,-1.1500967,-28.3005525,-29.76257,-30.693797,-40.62927525,-41.8929983152679,-36.8929638697821
1,18.75,-0.26687,-66.13325,-3.1903425,-0.105676125,-0.287578304309126,0.0318331928810558,392.796161997164,0.518147809419529,0.0148102743346383,0.174373269272256,0.60739301,0.141570606695731,0.170241514896465,0.0262664553485847,96.93769,41.3417675,0.00301632500000001,-13.57065,0.0061341243,0.0033435135,0,-0.2488073825,178.19654,249.9229,-89.728329,0.2310293625,0.031404926,-3.776635175,-3.593710775,-1.15938845,-30.339934,-30.715472,-31.24667,-42.4110065,-36.2650638030946,-30.2208389267787
1,19.25,-0.3727525,-68.997875,-9.74106,-0.24081625,-0.282959549403012,0.0350630305227124,392.7145031996,0.490241289751815,0.0134865535146966,0.175356919686535,0.538335335,0.171359624429901,0.177691654120206,0.0332734465284691,96.974932,41.91933825,0.017627,-13.74275,0.00726620525,0.00338950145,0,-0.252962185,180.068065,254.670665,-88.675479,0.1603929375,0.0336471055,-3.8470906,-3.774914275,-1.17210065,-34.29618325,-32.007034,-33.94901,-45.57242875,-37.4504129333953,-32.4918863469588
1,19.75,-0.449048,-68.09655,-9.07131,-0.380556,-0.296694465563919,0.0331665174001643,392.627011168636,0.474761659536022,0.0109940301509343,0.162382419337426,0.59448525,0.169614646333666,0.156842983307101,0.0284976748139212,96.990853,43.243595,0.00274267500000001,-13.8249,0.004855089725,0.0024948029,0,-0.359737525,183.1762525,255.0375625,-86.8206235,0.290719495,0.030524074,-4.03988105,-3.916096825,-1.1965217,-37.0941625,-33.3129975,-35.25335325,-45.7130705,-33.1622718641645,-26.8310032484843
1,20.25,-0.185514,-79.5725,-6.323575,-0.202506,-0.339201613246967,0.0320897783087149,392.981099339726,0.485103694022431,0.00898430083180266,0.166488721456436,0.6948341525,0.157005434555565,0.177459940219558,0.0252283665906992,97.0082085,42.6810275,0.0002455,-14.10355,0.008561183575,0.0039171516,0,-0.3714137125,178.89102,255.12399,-88.09984375,0.174348265,0.031928519,-4.3315214,-3.91449455,-1.23911895,-39.006746,-34.321422,-39.171174,-45.6234865,-29.5701328383076,-26.1046721303798
1,20.75,-0.662525,-86.1004,-5.96133,-0.42775525,-0.303752574163999,0.0376252578429268,393.042663369349,0.509718108870228,0.0093801435733347,0.183414875964256,0.6863374275,0.178135529878976,0.164430208503526,0.0355084621933527,97.038747,42.3281245,0.00016885,-14.4928,0.005242971625,0.002834764,0,-0.35672856,178.983395,253.86301,-88.790101,0.2619094725,0.0331294545,-4.37152275,-3.93976085,-1.2798542,-40.198513,-34.97611,-41.1301045,-45.2858995,-20.7263278691916,-20.9511941769295
1,21.25,-0.534605,-81.1772,-5.85415,-0.3793425,-0.29312474325611,0.0370277332529507,392.575642642932,0.486437049395698,0.0110053706034417,0.148094991768898,0.54241014,0.138165688229753,0.187397483564143,0.0343305679758223,97.05346,42.4519645,5.89e-05,-14.73425,0.0088835966,0.003402813,0,-0.3104935125,175.2646,252.296875,-89.81434975,0.356207475,0.03105516,-4.34377005,-4.11299665,-1.31545825,-41.422789,-35.630742,-41.3089165,-46.6131525,-20.3414016555061,-20.8153062534289
1,21.75,-0.69944,-70.049775,-5.912825,-0.19902,-0.253654087160625,0.0329926630883516,392.635784596643,0.497163430623765,0.0105308184357228,0.161766647061869,0.64142264,0.150624842456722,0.170607530173629,0.0271169661852862,97.018216,41.882724,0,-15.0393,0.004610217125,0.00269234795,0,-0.410917175,175.743075,250.229195,-89.895205,0.28100353,0.037592078,-4.3061845,-4.21138515,-1.35306975,-42.4206795,-36.062792,-37.7687155,-48.1363065,-19.009940049951,-18.2080556157076
1,22.25,-1.1089125,-62.581075,-11.62725,-1.0979685,-0.241395126418623,0.0370057355775665,392.832240705401,0.546888200530363,0.00941039775812704,0.137530414844507,0.558682225,0.181844686840681,0.167520876732022,0.0312836000067405,96.978886,40.9502745,3.45000000000005e-06,-15.33935,0.0074824415,0.0040564629,0,-0.61147369,176.587505,246.7685725,-90.315352,0.11200608375,0.0394742775,-4.358054875,-4.31162225,-1.4251875,-43.1172805,-35.945483,-40.49165,-48.91897325,-18.3798511400814,-17.6056488095233
