DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,TS_7,G,TAU,H,SH,LE,SLE,FC,SC,H2O,CO2,CO2_SIGMA,U_SIGMA,H2O_SIGMA,V_SIGMA,W_SIGMA,USTAR,T_SONIC,T_SONIC_SIGMA
1,5.25,6.619,87.7,4.1525,97.95075,0.730750218171336,0.1675,-7.42425000000001,-0.11875,1.53375,326.180553718814,340.05964963214,2.8247659648997,5.93544880324119,6.61,7.61,8.845,8.52,9.24,10.325,11.6975,-12,-0.00240382,-0.521447,0.459017458269311,8,2.92149562407235,0.873722,0.58859375,7.36781415718764,373.50590720005,2.57063236147567,0.896845583141267,0.11530458204702,0.755041456000745,0.516683641837837,0.368374809127877,7.351,0.161245154965971
1,5.75,6.511,89.125,4.0325,97.95925,0.730750218171336,0.1878125,-6.914,-0.147,1.50575,323.435160376497,339.069201719459,2.63573077010365,5.80053985771171,6.62,7.59,8.83,8.51,9.245,10.32,11.6975,-11,-0.00076151975,0,0.278193,7,2.80680040225163,0.945968655405712,0.528586963955495,7.46359857228582,373.549500378897,2.4896799352412,0.895649485010738,0.10698815631922,0.75657121277511,0.516619080114331,0.377002,7.06400000000002,0.172603732313307
1,6.25,6.2065,90.2,4.2217075,97.98075,0.731654612005706,0.171250000000001,-7.08924999999996,-0.09975,1.57025,325.606591459096,338.20698336498,2.53674116585532,5.46133953248236,6.615,7.63,8.8275,8.4925,9.2525,10.3425,11.705,-11,-0.002475,-0.64460275,0.569304126900303,7,2.7480498216249,1.056975,0.58275,7.37783294668759,372.26568648991,2.27568313469379,0.91323600454647,0.101000744378063,0.779432318473627,0.516157921570521,0.360555127546399,6.78800000000001,0.176235921423528
1,6.75,5.955,90.4,4.2,97.9925,0.731956076617163,0.170000000000001,-7.34475000000002,-0.07575,1.546,323.304493579923,337.407654954817,2.45948012206627,5.25090580649114,6.6425,7.5875,8.79,8.4625,9.2475,10.3425,11.705,-11,-0.0022355625,-0.692732,0.930925712440237,6.54654,2.40481084964631,1.10059799802313,0.655012892064598,7.37920465984822,372.358715260539,2.59220903687587,0.981243304475315,0.100462082307743,0.783313474925588,0.513016568933207,0.375431695589406,6.63150000000001,0.164679674788775
1,7.25,5.736,89.725,4.0725,98.03,0.756707961606641,0.137500000000003,-7.42274999999997,-0.0655,1.5685,320.902643166889,335.993275377614,2.43479334760228,5.10814879234269,6.5925,7.5975,8.7825,8.425,9.2375,10.3325,11.695,-11,-0.0017,-0.6279725,1.00241185942418,7,3.33545097268604,1.03099,0.771820540006731,7.40744517319157,372.981202130282,2.39496109193728,0.958034446144814,0.106606116785218,0.780577339446494,0.506001445561442,0.36776825,6.38000000000002,0.175654205756651
1,7.75,5.447,89.55,4.04,98.03625,12.5911486071324,1.3405,-6.1545,4.46775,3.5055,320.703899526393,335.256971137151,2.21049579131935,4.88568881367911,6.6225,7.5625,8.7625,8.3875,9.2225,10.3325,11.705,-11,-0.0006193335,-0.473414,0.827402275168331,6.75039,2.50164,1.00679,0.806918,7.4735,373.931229968492,2.71639463922617,0.884319805850709,0.108124488515627,0.739303726488647,0.4928143666737,0.346531,6.27500000000003,0.183588437930898
1,8.25,5.4205,89.825,3.985,98.05,86.2135348188071,8.778,1.55250000000001,52.1375,19.7325,321.665077999999,335.895258073124,2.2985042623501,4.89996629517054,6.5175,7.4475,8.7275,8.3525,9.21,10.3225,11.695,-11,-0.004119235,0.1136136865,2.60733483824212,9,3.80376644208019,1.11130646572292,0.68757,7.34073810704128,374.056,2.70294004508397,0.922811497629879,0.10241464357577,0.76173354921521,0.509204281207454,0.362935288380468,6.06,0.167682645404766
1,8.75,5.454,90,3.8598475,98.0755,252.35860411247,19.9125,26.59825,133.65,34.405,323.429752390483,336.69283951684,2.22937520582251,4.89834073754568,6.545,7.455,8.6925,8.33,9.2025,10.3225,11.705,-11,-0.01241605,6.020335,4.19026561163886,13,3.33275734881874,1.36702374752891,0.856016284240695,7.40350290116609,375.380149552864,2.78586118875831,1.00734303753456,0.111377461976735,0.868858424734618,0.561696862428516,0.415781491501304,6.144,0.212844074383103
1,9.25,5.74125,88.95,3.86,98.0855,435.937513345396,30.017625,96.465,225.325,43.3525,323.288371407172,338.596909084284,2.19319661296621,5.23221752014929,6.675,7.535,8.685,8.325,9.195,10.32,11.705,-11,-0.0215,19,8.19648424523066,18.5016,4.8902317926642,2.53776,0.958675133650094,7.37317696250077,376.329813288614,3.06063314642936,1.14305730390038,0.121437226582296,0.876420917685361,0.61274790901316,0.465266,6.1695,0.2160313080001
1,9.75,5.65675,88.925,3.64,98.0985,614.213909903419,40.3,172.04125,311.825,50.12,323.279447044233,341.025567391227,2.27114690522703,5.82968206097111,6.945,7.5875,8.705,8.31,9.21,10.3225,11.705,-10,-0.0373564,46.567925,14.07625,21.9221,5.23515289314176,2.97829,1.16279497895547,7.30122193074281,377.7675,3.52859745508042,1.14489256254627,0.132146735456977,0.922169932224382,0.639211435345868,0.485851179569762,6.28475000000001,0.263422838798207
