DOY2,HR2,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT
6,0.75,75.5,1.984,9.2,1.636,290.675,322.3,-33.5775,17.511475,1.0825845
6,1.25,77.4,1.624,8.04,1.46825,289.85,321.0854875,-33.649,14.94391,0.9832423
6,1.75,77.15,1.401,8.45,1.5545,290.625,319.275,-33.955,15.899415,1.0667885
6,2.25,77.925,1.196,9.42,1.6965,290.925,317.875,-29.193549,17.317665,1.2088675
6,2.75,79.95,0.808,11.65,1.989,291.4,317.65,-21.4475,21.847105,1.4915635
6,3.25,79.45,0.784,15.262688,2.392,292.4,317.7280275,-11.15225,28.6625,1.8587985
6,3.75,78.55,0.79,19.93,3.244,291.8,318.775,-6.7875,36.276235,2.53251
6,4.25,77.2,0.695,27.43,4.25575,291.55,319.675,-14.684,48.326295,3.490181
6,4.75,75.1,0.713,38.63,5.946,292.075,320.8,8.559,66.20481,4.8081935
6,5.25,73.6,0.793,48.97,7.834,292.125,322.35,19.8775,90.89055,6.3813405
6,5.75,72.95,0.942,62.35,9.77,293.075,324.55,31.77526,117.9773,7.820886
6,6.25,70.1,1.125,78.52,11.07,294.875,326.9,36.06962875,142.24785,9.727438
6,6.75,69.375,1.336,77.3,12.39,295.1,327.55,41.03725,175.3543,11.888555
6,7.25,65,1.5799176,105.7,15.63,297.55,331.475,65.107615,204.97175,14.130325
6,7.75,62.15,1.79,135.4,17.78,298.875,333.775,87.167335,247.5656,17.138825
6,8.25,59.7,2.0335,165.8,20.35,298.85,336.2,113.89,294.15905,20.371595
6,8.75,57.15,2.305,182.1,22.3,299.65,338.475,130.1875,327.6088,22.21133
6,9.25,54.8,2.5065,197.4,24.835,298.9,341.9,142.1,365.662725,25.448925
6,9.75,52.4,3.04,235.5,29.63,301.45,344.25,168.2125,413.7968,28.81918
6,10.25,50.6,3.469,256.3,30.58,302.775,348.1,183.0675,463.318075,31.043705
6,10.75,48.8,3.633,275.17638,33.39,303.45,350.4,193.8775,496.0532,33.3257885
6,11.25,47.1,4.0565,298.3,37.99,302.85,354.15,225.4675,539.9641,37.4263925
6,11.75,45.85,4.56225,312.85,37.1725,302.35,356.1,228.955,561.41335,38.07174
6,12.25,45.3,5.14075,336.2,39.52,303.4,361.05,235.7615,575.46265,38.99658
6,12.75,45.3,5.60125,319.025,41.0725,303.7,363.15,238.64,582.57605,40.238492
6,13.25,45,5.865,336,44.22,303.925,365.45,241.1675,593.4351,39.493
6,13.75,44.025,6.374,352.7,46.927713,304,368.9,258.3825,610.08295,42.992455
6,14.25,42.95,7.0205372,367.8,46.78,304.4,371.25,252.7225,629.38165,43.65325
6,14.75,42.25,7.6193947,350.925,44.9975,303.6,372,261.41,632.63915,41.778075
6,15.25,41.4,8.21,339.4056675,41.3775,306.4,372.1,237.66,640.98175,38.54796
6,15.75,40.5,8.34,326.25,40.3675,307.1,370.5,234.18,584.87915,37.87484
