DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
2,21.75,442.87825,15.573325,6.3428,7.96645,34.4652499999997,50.3976,3.405875,0.514375,1.417325,1.670525,0.688475,101.12,100,17.376875,9.37375,18.3332,1.20115,0.89805,0.681875000000001,3.8867,367.28625,378.17125
2,22.25,433.1925,14.7095,6.592025,8.38175,46.8703000000001,41.33835,3.674025,0.538299999999999,1.456525,1.71,0.682975,101.14,100,16.881875,9.48075,18.9538,1.08305,0.89805,0.785175000000002,3.78425,368.713,378.7555
2,22.75,426.302,14.52065,24.0299999999999,7.24337500000001,43.6364999999998,34.6877249999999,3.53915,0.460249999999999,1.48525,1.6942,0.68485,101.19275,100,16.7486,9.13175,18.32475,1.22525,0.90005,0.381275000000001,3.881,372.955,379.1165
2,23.25,415.326,14.5669,5.79005,7.23447500000002,18.6936999999999,31.521,3.7467,0.528275,1.4044,1.59455,0.66495,101.2055,100,16.42275,8.6615,18.3679,0.999024999999995,0.895025,0.840075,3.8315,374.46575,380.02425
2,23.75,415.1415,14.95405,13.0465,7.79517500000002,13.3127,46.3145999999999,3.810675,0.4656,1.3304,1.503275,0.64255,101.21275,100,16.3696,8.20899999999999,18.231225,0.97655,0.907,0.494025000000001,3.949575,372.375,379.9075
3,0.25,470.628999999998,31.1133999999999,10.3479250000001,7.32075,54.3,47.9782500000003,3.6191,0.570999999999999,1.2681,1.41125,0.5977,101.2345,100,17.7266,9.27724999999998,20.588,1.0005,0.871025,0.460200000000001,3.882,379.594,397.718
3,0.75,437.042,25.9365,5.93,7.07985,67.772,34.8348,3.551,0.642,1.362725,1.364325,0.592225,101.25,100,17.68955,8.8415,20.43,0.8471,0.866025,0.2348,3.7424,378.936,398.064
3,1.25,421.19475,30.698675,7.89127499999994,6.57905,28.3402,72.7541000000001,3.30125,0.608125,1.243,1.479875,0.582375,101.25,100,17.60145,8.387,20.230675,0.90125,0.866025,0.5416,3.944,377.622,394.904
3,1.75,470.2175,28.18,7.21384999999996,6.17595,36.8049999999999,54.3621499999989,3.3921,0.67515,1.2736,1.42855,0.58715,101.2445,100,16.8748,7.815,19.953325,0.858,0.869025,0.652200000000001,3.4796,375.932,391.558
3,2.25,471.68425,28.114,11.26425,5.430925,24.4543,39.3612250000001,3.4793,0.665175,1.4978,1.4998,0.6962,101.23675,100,16.6673,7.47175,19.63945,0.9208,0.87,0.5334,3.7792,376.714,390.064
3,2.75,470.96,28.236,11.4318,5.28605,16.68175,60.6200499999999,3.867875,0.673525,1.6678,1.5534,0.7134,101.21125,100,16.838675,7.30375,19.41925,0.9572,10.66215,0.6158,3.574,376.182,392.004
3,3.25,424.74,24.731075,5.4219,5.60905000000001,10.98675,34.9027999999999,3.48785,0.6596,1.4344,1.42875,0.57225,101.19575,100,16.58685,6.8645,19.4262,0.99085,10.665225,0.389400000000001,3.6966,376.92,392.144
3,3.75,438.6545,27.57365,7.098,6.63472500000001,54.421,61.440525,3.6107,0.672675,1.37775,1.60285,0.67655,101.20125,100,16.617675,6.444,19.20115,0.957849999999999,10.675125,0.264000000000001,3.6136,378.094,391.556
3,4.25,459.57,28.57505,7.8923,7.26717500000001,30.9242999999999,68.6064749999999,3.93175,0.646125,1.47105,1.7484,0.660399999999999,101.2345,100,17.06565,6.5035,18.83565,1.03805,10.67405,0.552000000000001,3.6138,380.102,390.518
