DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,NEE
1,15.75,2.64963499999999,100.374275,66.92,14.30375,4.2946,3.68959999999999,8.5555,9.3235,9.89849249999995,6.88249999999999,9.13732249999995,425.792953,9.9484125,88.396875,12.374625,0.51898,13.208,12.3468,12.528925,98.43185,362.86,227.8,172.80925,39.716575,330.8535,360.65,74.37625,4.2873,3.76595,2.99625,2.67345,3.03695,4.326,1.4375,3.1303685,2.58965,1.7896175,8.8174135,1.652925
1,16.25,3.14024000000001,75.46235,36.9136499999998,12.101,3.83105,2.80447500000001,7.29025,8.49699999999999,8.85152999999996,5.9384675,8.19784249999995,425.48456,9.8203475,88.395,12.16655,0.570542999999999,12.904,11.9974,12.24525,99.0622,195.71,136.73375,97.56097425,29.06685,332.63825,355.9635,28.2607,4.13015,3.62915,3.025475,2.630625,3.0521,4.361875,1.46626275,3.23068,2.63932,1.84342,8.97099999999999,2.3934975
1,16.75,2.9992,67.0627999999999,21.8897999999999,9.32500000000001,3.1949,2.27005,5.8128,7.558,7.83979249999996,5.10826749999999,7.20681999999995,425.27072,9.85553,88.3725,11.63328225,0.81699,12.39,10.86635,11.204,99.050375,63.66,58.081375,31.2935,11.685025,328.83,352.4795,7.77617999999997,3.98499999999998,3.56159999999999,3.041,2.65439999999999,3.1044,4.4263,1.416525,3.0678125,2.6314625,1.73455,8.7783815,3.075175
1,17.25,3.4687,80.818,16.81535,6.0474,2.535,2.1795,4.77324999999999,6.06479999999999,5.59970999999995,4.13236249999999,5.79823999999994,424.9371105,9.9952675,88.369375,11.496825,0.825857500000001,11.9785,10.87975,10.695,98.89075,14.565,8.117575,0,0,331.991665,348.93225,6.44973499999999,3.5956,3.50529999999999,3.09745,2.74074999999999,3.08385,4.4417,1.39675,3.1298875,2.6700125,1.797875,8.57718,3.2968
1,17.75,4.510925,82.2830499999995,17.1698,4.69607500000002,1.938,2.1615,3.99779999999999,4.84114999999998,2.73541249999996,2.8350275,4.19937499999994,424.872664,10.08115,88.38125,11.3439085,0.957103999999999,11.4125,10.69042175,10.5534,99.03,0.2,2.83980725,0,0,331.98,347.37908175,6.82349999999998,3.32885,3.36714999999999,3.1566,2.77959999999999,3.09995,4.4555,1.51295,3.09878,2.57562,1.8130085,8.667355,3.3799475
1,18.25,3.59632499999999,89.2262999999999,17.4385,3.70720000000001,1.5115,2.139,3.25649999999999,3.65389999999998,0.829441749999989,1.74787249999998,2.19866999999996,425.00017475,10.3712,88.3875,11.340625,0.81829925,11.3792,10.335225,10.25345,99.250975,0.2,2.85037,0,0,329.781665,346.526,6.52225,2.94695,3.17544999999998,3.1951,2.78929999999999,3.1273,4.4361,1.43325,3.1144225,2.606895,1.8029875,8.83327249999999,3.23012249999999
1,18.75,3.837,64.2435,9.33072499999998,2.76967500000001,1.1206,2.10245,2.5379,3.12135000000001,-0.544030000000003,1.25108874999998,0.837206249999987,425.26942575,10.045325,88.3875,11.1926,0.758319999999999,11.1899,10.167675,10.1445,99.3,0.129999999999995,2.798675,0,0,328.91575,345.212,6.5800365,2.7354,3.02327500000001,3.1539,2.802375,3.118725,4.440325,1.44509,3.1432,2.52672,1.8057,8.979645,2.9178
1,19.25,3.74685,71.751625,12.848225,2.39970000000001,0.949600000000002,2.0903,2.016,2.0786,-0.716493000000006,1.19121624999998,0,424.899449,9.7734225,88.3994,11.0134,0.806067999999998,10.9912,10.435525,10.1165,98.8388,0.1,2.809395,0,0,328.4715,344.24574825,7.06874999999998,2.6381,2.93089999999999,3.0894,2.8117,3.0931,4.458,1.425425,3.065225,2.5952375,1.7452875,8.9366125,2.860025
1,19.75,4.27965,86.19645,19.454852,2.36665000000001,0.861600000000001,2.0485,1.7056,1.6999,-1.0274325,1.23907374999998,0,424.686384,9.70893,88.4072,11.0438,0.8042,11.021042,10.168925,10.20915,98.7374,0.0649999999999977,2.7765705,0,0,328.82925,343.36575,6.38095149999995,2.6597,2.82629999999999,3.0526,2.8072,3.0609,4.42875,1.4748,3.1099,2.636925,1.8165875,9.00229,2.937325
1,20.25,4.78225,80.97875,16.4412499999999,1.91922500000001,0.791000000000003,2.05515,1.75299999999999,1.3701,-0.951783,0.9703325,0,425.26642175,9.7215625,88.394,11.176875,0.7854,11.0869,10.4035,10.22215,99.209,0.129999999999995,2.84458225,0,0,328.5,343.3265,7.69146649999999,2.78679999999999,2.78059999999999,3.0161,2.8065,3.05,4.40375,1.44982,3.10312,2.61356,1.83182,8.88769,3.0280275
