DOY2,HR2,TAU,H,LE,FC,CO2,T_SONIC,TA,PA,RH,VPD,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,NETRAD,G,TS,PPFD_IN
2,13.25,-0.164869708,107.49710635,5.317817791,-1.3447809855,244.74022175,11.1595908425,10.56781845,91.380971765,28.66290435,6.061235684,1.82102131725,0.235471708,0.95859426275,0.97284764775,0.29192185875,0.617176108,248.226975275,82.892165465,16.85670625,1033.281
2,13.75,-0.179108217,81.70842621,3.062671277,-1.2441676915,243.85998155,11.35131768,10.73223085,91.38281877,28.6657240725,6.04520621425,1.7232446,0.228546084,0.975817189,0.96008289,0.28481381,0.521556874,227.1951063,69.342464555,17.44668625,909.817875
2,14.25,-0.18764072875,60.9914834325,1.2794247985,-1.68937213275,243.8422684,11.6675437625,10.6215909625,91.38632141,28.11899737,6.141789189,1.75041021075,0.22837376,0.9302901465,0.8570005255,0.264967995,0.42310615175,178.48605805,50.5565017275,17.47868,813.502325
2,14.75,-0.172479564,44.90048523,1.155721618,-1.102146409,244.184135425,11.62489204,10.47672285,91.3764843,28.80955804,5.9431232895,1.648308663,0.217138737,0.844020746,0.833623594,0.252696408,0.339895185,143.89628555,35.5128683,17.740205,702.531375
2,15.25,-0.182913294,17.17044316,1.072129022,-1.10317957875,244.0958692,11.33983794,10.18452235,91.35810507,29.2720938925,5.6575117765,1.918469516,0.222127226,0.787670836,0.741766852,0.250447502,0.236273069,101.212111125,22.9947233375,17.5875775,551.681075
2,15.75,-0.13521293825,0.5634490275,0.20580755825,-0.949761792,244.3906942,10.8559853625,9.968591485,91.3499214525,29.7124902,5.308201353,1.710464723,0.19323491075,0.63698083375,0.58843131775,0.212297731,0.1963789715,46.7586045725,1.2585226875,17.20610625,394.64855
2,16.25,-0.116365827,-10.25351255225,-1.228746335,-0.4185308065,243.4783559,10.30057782,9.44591347725,91.357016535,31.3262743525,5.090284369,1.2072941255,0.11494133975,0.48239396,0.40568957775,0.1429887475,0.219219607,-1.327340313,-19.6957337325,16.54898375,231.46125
2,16.75,-0.08816204225,-18.43929653,-0.9744488375,-0.406186024,244.7198449,9.462466218,8.7383951635,91.383349865,34.203634805,4.450375127,1.06596939175,0.09038880675,0.345018156,0.3082370775,0.08456928975,0.225884074,-47.206519105,-42.3007691975,15.83071,97.18133
2,17.25,-0.06644378675,-21.3643357175,-0.54785790525,-0.35538014125,245.502901925,9.0868636365,8.25269316625,91.4084526275,35.838606595,3.542916911,1.05188216875,0.07071669075,0.370164652,0.34580396325,0.08953371225,0.25734629075,-86.53824185,-60.8400450875,15.01339125,16.298265
2,17.75,-0.05674521575,-21.7988246975,-0.9315611965,-0.14317265725,245.95096885,7.78159797175,7.22777044875,91.4248776475,38.57254052,2.4464988715,1.1076153135,0.091576259,0.390078796,0.31512974975,0.10312988125,0.257378502,-96.7213372725,-76.7365879325,13.8334,0.3084937
