DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A
10,14.25,1.097825,0.0499875,0.02686,8e-04,6.45776,99.2188975,-2.10123,0.00045,382.94754,0.006175,-4.84704,-4.84704,-30.6655,-16.98228,0.088195,6.20847,222.64152,268.9978,51.46545,8.26055,-13.10496,-16.604325,-10.0153875,-12.47598,0.21064,0.25662,-0.15934,0.1413,-0.008675,0.017975,-1.66965,-0.8127825,-0.038675,-0.102625,-0.433625,0.0298,-0.2667875,-1.187425,-0.31815,-0.1707,-0.09526,-0.312375
10,14.75,1.20996,0.06136,0.0221825,0.0008925,3.79165,99.2202075,-1.871365,5e-04,385.6739,0.00593,-5.181685,-5.181685,-25.72951,-18.2600575,0.063925,5.049455,221.4994,270.7902,44.3542,7.055825,-13.30972,-17.244175,-10.326975,-13.16866,0.21778,0.25264,-0.1597,0.14676,-0.008785,0.015275,-1.67705,-0.81355,-0.035125,-0.1009225,-0.433675,0.027975,-0.26735,-1.1978,-0.31965,-0.176085,-0.09661,-0.329875
10,15.25,1.4102625,0.0705,0.00245,0.000135,3.60083,99.233875,-1.768775,0.000325,390.086295,0.0016575,-4.0307825,-4.0307825,-26.88895,-16.4298625,0.06046,5.06466,223.25636,268.228,31.161425,6.785325,-13.23988,-20.3376,-10.13785,-13.25176,0.22746,0.24628,-0.15654,0.1464,-0.00905,0.0169,-1.680025,-0.81555,-0.03835,-0.101475,-0.4326,0.030725,-0.267125,-1.19945,-0.3206625,-0.171675,-0.0973675,-0.316025
10,15.75,1.47915,0.063665,0.0030875,0.00015,2.7368925,99.2466,-2.07474,0.001115,380.86895,0.0022,-4.227615,-4.227615,-30.252795,-15.9863,0.07238,2.6867025,220.5924,269.2972,21.508,4.85695,-13.41156,-17.55947,-10.26474,-13.21094,0.22626,0.24158,-0.16134,0.14554,-0.010525,0.01705,-1.6865,-0.814275,-0.0347,-0.1032825,-0.431975,0.03215,-0.2681,-1.200525,-0.3261,-0.1744,-0.0983,-0.318375
10,16.25,1.3480275,0.0465625,0.0175475,0.000425,2.766565,99.249,-1.978075,0.0004225,385.8888825,0.00704,-5.48575,-5.48575,-30.54282,-19.72424,0.072485,2.0502375,220.66696,268.5266,11.588525,3.31875,-13.20954,-16.952735,-10.33336,-13.19082,0.21818,0.23288,-0.16366,0.13806,-0.0065125,0.014375,-1.690725,-0.8165875,-0.0367,-0.1019425,-0.433175,0.02755,-0.2670475,-1.203425,-0.32375,-0.17465,-0.10279,-0.31875
10,16.75,1.1557875,0.06486,0.0214175,0.00113,3.62955,99.24945,-2.422525,0.00042,383.298815,0.01156,-4.8487125,-4.8487125,-33.80584,-16.60495,0.0725,0.635245,219.3736,264.1488,4.24755,1.60805,-13.00858,-17.6238275,-10.23525,-13.76042,0.21886,0.22338,-0.16456,0.13156,-0.008165,0.014775,-1.694725,-0.81265,-0.037495,-0.104775,-0.43225,0.028925,-0.274225,-1.207775,-0.327725,-0.17495,-0.0984375,-0.32085
10,17.25,1.04899,0.052195,0.00951,0.0009175,3.49957,99.2484,-2.0228175,0.00052,381.46692,0.0092675,-3.84468,-3.84468,-32.8058625,-12.7285,0.0646,0.257,218.9074,263.4236,0.8667,0.600275,-12.5626,-18.5860875,-10.60794,-13.16438,0.22002,0.21206,-0.16546,0.12618,-0.007025,0.016825,-1.705725,-0.811505,-0.034475,-0.10138,-0.4335,0.0295,-0.2699,-1.2172,-0.32755,-0.178685,-0.097345,-0.323825
10,17.75,1.1689975,0.057895,0.0085175,0.00091,5.831375,99.26475,-2.00828,2e-04,384.21487,0.005255,-7.08396,-7.08396,-33.519225,-26.2929,0.06429,0.292725,219.4028,263.7542,0.085845,0.05669,-12.2934,-22.16774,-10.90266,-14.01144,0.22002,0.21322,-0.16298,0.1314,-0.009825,0.01325,-1.70075,-0.808525,-0.033525,-0.106875,-0.433425,0.029425,-0.267925,-1.21945,-0.3354,-0.177575,-0.1002125,-0.32325
10,18.25,0.9350125,0.05224,0.002275,0.00026,4.6504375,99.27545,-1.1888,0.00123,383.5012,0.005535,-5.86466,-5.86466,-28.73114,-21.8359975,0.04962,0.047675,221.4212,262.6002,0.0004875,0,-12.4928,-17.57894,-11.07804,-13.2995,0.22948,0.21306,-0.1594,0.14518,-0.006625,0.01435,-1.705725,-0.80845,-0.036775,-0.104225,-0.435125,0.0301,-0.26925,-1.22715,-0.336275,-0.1781,-0.10421,-0.324575
10,18.75,1.057005,0.035105,0.00246000000000001,6.00000000000001e-05,3.774335,99.2925,0.20522,0.00021,366.86452,0.0059125,-8.12985,-8.12985,-30.3213575,-20.247565,0.052495,0.0546175,225.1598,262.1852,0,0,-12.81824,-16.627725,-10.5083,-13.44684,0.227,0.21136,-0.16254,0.15186,-0.0088925,0.017,-1.713225,-0.80565,-0.0353575,-0.1077,-0.436825,0.027225,-0.269625,-1.231325,-0.330675,-0.173875,-0.10235,-0.32615
10,19.25,1.1756625,0.0374,0.0101,0.000275,3.69689,99.2959,-1.378545,0.00083,370.17844,0.0092,-4.44866,-4.44866,-34.5712225,-23.526475,0.06073,0.0405275,227.989,266.1618,0,0,-13.24248,-18.3317625,-11.52544,-14.31674,0.2236,0.21186,-0.16518,0.15248,-0.0083,0.015325,-1.7228,-0.807025,-0.038205,-0.107925,-0.44005,0.030975,-0.2748075,-1.233425,-0.331025,-0.18275,-0.1048,-0.32875
10,19.75,1.2774,0.0613,0.003425,0.0001575,3.713075,99.283775,-1.77854,0.00135,378.3558,0.01114,-4.0068,-4.0068,-32.2397,-23.72419,0.044125,0.137765,230.19624,268.32052,0,0,-13.83658,-19.20352,-12.02766,-13.9744,0.22008,0.21128,-0.16548,0.1388,-0.0094025,0.01285,-1.729925,-0.8060525,-0.03745,-0.1087,-0.450075,0.031725,-0.269775,-1.23295,-0.34065,-0.1835,-0.10315,-0.329925
10,20.25,1.3200775,0.05825,0.00434000000000001,0.000840000000000001,4.9052325,99.2750775,-1.6895375,0.00021,367.4900125,0.011425,-4.255745,-4.255745,-38.913085,-15.91833,0.0757,0.019875,225.7908,267.7172,0,0,-14.66552,-21.24064,-12.20902,-14.7097,0.20662,0.196,-0.16618,0.11478,-0.00761,0.013725,-1.7369,-0.80995,-0.0389,-0.11011,-0.442975,0.030975,-0.2717,-1.2415,-0.339705,-0.180575,-0.0981,-0.330475
10,20.75,1.2987675,0.0722625,0.00604000000000001,0.000195,5.05608,99.2921625,-2.06382,0.0008125,382.6458,0.0115,-4.77364,-4.77364,-32.7782125,-23.5583325,0.06309,0.050745,222.67208,264.7276,0,0,-14.93252,-19.975955,-12.97776,-15.10002,0.20746,0.16984,-0.16374,0.08514,-0.0084775,0.014475,-1.739675,-0.811825,-0.03625,-0.105875,-0.44435,0.030675,-0.267025,-1.2476,-0.343275,-0.18263,-0.10418,-0.34785
10,21.25,1.1378225,0.0474125,0.00145,0.000225,4.44544,99.33513,-1.817655,0.000445,375.36156,0.00912,-5.020675,-5.020675,-32.0170625,-21.959005,0.0613375,0.028955,222.30364,262.944,0,0,-15.56234,-20.4196375,-13.26035,-15.1275,0.20454,0.14998,-0.1829,0.06866,-0.008365,0.016025,-1.744075,-0.8184775,-0.0381675,-0.1078,-0.452725,0.028125,-0.270225,-1.249375,-0.338525,-0.18725,-0.1033,-0.335975
10,21.75,1.0558225,0.0374525,0,0,5.91768,99.3472,-2.685365,2e-04,376.586695,0.01124,-5.594875,-5.594875,-33.79424,-19.33632,0.042985,0.0516575,222.13036,264.8512,0,0,-15.5807,-21.4117625,-13.94354,-15.95816,0.2011,0.15032,-0.18342,0.06216,-0.009975,0.013275,-1.75705,-0.8181,-0.0371475,-0.106875,-0.44795,0.030525,-0.274625,-1.2577,-0.3458,-0.183975,-0.104745,-0.335975
10,22.25,1.09631,0.05813,0,0,2.90944,99.339435,-2.82382,0.00083,383.1794125,0.0113275,-3.272895,-3.272895,-33.48812,-18.89759,0.0681225,0.0538425,224.77514,265.294,0,0,-15.38334,-23.10094,-13.60296,-16.67506,0.1959,0.15024,-0.18234,0.06284,-0.0076,0.01425,-1.7668,-0.816875,-0.03796,-0.10985,-0.4475,0.028,-0.26805,-1.262125,-0.34355,-0.182125,-0.105445,-0.339275
10,22.75,0.912095,0.0619725,3.00000000000001e-05,0,2.01338,99.3141925,-3.11493,0.000705,360.81769,0.01124,-4.4907,-4.4907,-34.406355,-15.1356125,0.0620875,0.038215,225.59576,264.1722,0,0,-15.28016,-22.28312,-13.68248,-16.50686,0.19528,0.15012,-0.17996,0.06386,-0.0099,0.01405,-1.77195,-0.817675,-0.036875,-0.116375,-0.4497,0.031025,-0.2697225,-1.26875,-0.350385,-0.18455,-0.1019,-0.337775
10,23.25,1.0907375,0.0508975,0,0,2.46057,99.3086,-3.20213,0.0014,368.9278925,0.0111825,-3.41875,-3.41875,-32.0703,-22.7245625,0.06246,0.1179775,229.432,265.7118,0,0,-15.58048,-22.4583,-13.33196,-15.44226,0.19338,0.14532,-0.1788,0.06614,-0.007775,0.01165,-1.779775,-0.8209,-0.0372,-0.1111,-0.45125,0.0301,-0.272275,-1.267725,-0.347825,-0.1903,-0.103525,-0.34065
10,23.75,0.887525,0.04708,0.00243000000000001,4e-05,4.78994,99.3006,-4.55419,8e-04,365.046075,0.0112125,-3.8347575,-3.8347575,-32.67052,-20.636105,0.051215,0.07425,229.23388,265.027,0,0,-15.49324,-22.80578,-12.84724,-15.50338,0.18728,0.1441,-0.17832,0.07134,-0.0091475,0.011225,-1.7867,-0.819425,-0.03905,-0.113325,-0.45205,0.0271,-0.2696925,-1.274675,-0.350025,-0.191725,-0.10523,-0.342825
