DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
10,18.25,0.1068525,12.467,0.655285,-39.71225,9.34395,42.0375,98.6938425,391.05,7.42795,1948.825,-11.30325,0.115205,0.432385,1.604525,14.567,0.69499
10,18.75,0.08688675,12.027,0.55496,-39.24775,9.855675,46.267,98.7490375,394.0075,7.46815,1994.1,-13.3695,0.5305525,0.438815,2.26225,14.59475,1.7779
10,19.25,0.089563,11.462,0.54667,-42.514,9.76645,48.8115,98.77765,395.355,7.4272,2007.35,-13.2145,0.51191,0.2746375,1.92235,14.5765,1.652075
10,19.75,0.10611,11.33,0.58203,-36.33025,7.7403,50.5115,98.7919825,395.825,7.593775,2007.15,-13.09725,0.6475625,0.022725,1.6027,14.5815,5.32815
10,20.25,0.089329,10.892,0.54385,-35.73175,7.30365,52.413,98.8066675,395.6725,8.01615,1999.725,-13.2425,0.166695,-0.097492,1.49115,14.58525,4.8663
10,20.75,0.09399,10.465,0.51649,-37.284,8.57755,55.0515,98.8346275,395.08,8.03235,2003.85,-13.16225,0.4035025,-0.1939675,1.2834,14.59075,0.96989875
10,21.25,0.089258,9.8642,0.54594,-38.0725,6.93265,55.97575,98.8472725,395.46,7.8818,1998.9,-13.1425,0.31536,-0.30091,1.1368,14.621,6.6028
10,21.75,0.075114,9.5164,0.43534,-34.754,7.686475,57.56,98.85818,395.08,7.8494,2011.45,-13.305,0.22338,-0.2179225,0.76575,14.602,3.2008
10,22.25,0.0739885,9.2467,0.4201625,-34.2,6.8211,60.2585,98.82722,394.495,7.8019,2026.55,-13.4815,-0.033037,-0.1085795,0.792865,14.607,3.04645
10,22.75,0.065691,8.7774,0.4677375,-34.91475,5.479275,61.538,98.839025,395.31,7.7252,2042.5,-13.299,-0.065305,-0.2136,0.27453,14.62525,0.24269
10,23.25,0.0744885,8.6,0.452745,-36.18675,5.7395,63.062,98.840785,393.885,7.8164,2030.25,-13.1305,-0.04983925,-0.3239325,0.669005,14.62225,2.736775
10,23.75,0.0697325,8.5091,0.43587,-33.299,6.2113,64.287,98.82394,395.295,7.96885,2029.25,-13.24375,0.0455935,-0.1864975,0.74542,14.60125,3.30325
11,0.25,0.081206,1.8615,0.71726,-28.057,3.174875,59.5035,99.08269,398.025,5.1473,2090,-12.50975,0.292085,-0.61219,0.41334,9.11235,0.8317175
11,0.75,0.087614,1.56145,0.66355,-27.143,4.41245,60.8935,99.074775,399.49,5.1609,2090.5,-12.51,0.285935,-0.4365675,0.438265,9.0838,1.3739
11,1.25,0.091112,1.239125,0.585085,-23.139,3.112,61.5245,99.05405,399.175,5.1664,2096.15,-12.439,0.33951,-0.456635,0.36811,9.05395,-0.6172875
11,1.75,0.07707975,0.9306025,0.628655,-25.6745,4.37,61.7245,99.07434,399.03,5.18185,2101.375,-12.31325,0.239725,-0.3393875,0.18313,9.025725,0.367705
11,2.25,0.0784645,0.789695,0.593965,-27.55875,4.8982,62.6585,99.07946,398.6075,5.120275,2096.9,-12.4475,0.33428,-0.52932,0.22529,8.99605,0.87492
11,2.75,0.0948235,0.5817525,0.740805,-24.4865,3.576,62.732,99.074665,398.2625,5.137025,2097.275,-12.63425,0.36294,-0.5877175,0.04667125,8.9781,-0.818375
