DOY2,HR2,FC,H,LE,TAU,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
2,22.75,8.23092,-6.02058,5.37545,-0.196329,0.448578,-0.390999999999963,99.1644,100,0,3.2142,0.944714630112747,0.727485338642184,0.5541335579082
2,23.25,7.736955,-1.5563045,4.061695,-0.187704,0.409731,-0.642999999999972,99.1593,100,0,3.154745,0.946167004286241,0.672153256333702,0.521921381234623
2,23.75,7.49311,-11.2765,4.10383,-0.206345,0.4110365,-1.00949999999997,99.1809,98.60285,0.051057,3.209625,1.04652059053114,0.769176182678585,0.554211132405571
3,0.25,7.10029,-18.9403,6.8521,-0.209524,0.434462,9.15450000000004,99.32135,74.61075,3.082745,3.00167,1.00464262319585,0.708849772518832,0.521361109929148
3,0.75,5.63432,-19.7898,8.42461,-0.18714,0.398853,8.18950000000001,99.32595,74.8525,2.3295,2.96905,0.95420118397479,0.737558164479969,0.525685031733091
3,1.25,5.356635,-12.3767,8.37581,-0.1657725,0.4046845,7.69100000000003,99.3429,75.3443,1.99995,2.95015,0.96716906484854,0.784601172571135,0.560903787672041
3,1.75,5.1512,-12.1032,7.541115,-0.1878765,0.405002,7.79900000000004,99.3106,77.0013,2.058715,2.73433,0.967892039434151,0.735163121922005,0.546299368478493
3,2.25,5.223485,-10.462015,8.74574,-0.193705,0.402419,7.20900000000003,99.37385,76.372,1.92082,2.62597,0.976355980162973,0.727492268000149,0.554014440245017
3,2.75,4.444815,-9.261845,5.640765,-0.200992,0.382339,6.94350000000003,99.37615,76.5314,2.00405,2.38772,0.941750211046561,0.690200695450244,0.506605369099065
3,3.25,5.22388,-8.89264,5.61417,-0.1495265,0.350687,6.99700000000001,99.38015,76.8232,1.88763,2.41825,0.861784195724196,0.670660970120401,0.529797130985059
3,3.75,4.69496,-7.88846,3.833335,-0.128942,0.3279275,7.18600000000004,99.36705,78.475,1.189515,2.4838,0.864701104428577,0.695787756199675,0.511272921246569
3,4.25,5.653645,-8.74463,4.16677,-0.2149865,0.418952,7.30850000000001,99.35155,78.78925,1.417585,2.50215,0.921619996782971,0.78722995369841,0.468797397603698
3,4.75,8.05658,-7.67481,4.866875,-0.145595,0.3663615,7.08150000000003,99.3511,79.2512,1.37379,2.68397,0.791087226543319,0.710148493573241,0.45749477039152
3,5.25,7.50831,-9.397985,6.73238,-0.131764,0.357379,6.786,99.361,83.5477,1.148445,2.53346,0.814736767305858,0.629563340737054,0.492543345401729
3,5.75,11.7594,-10.615375,6.260755,-0.138645,0.362321,6.40700000000004,99.3743,83.0691,1.52682,2.86285,0.866448706171687,0.688548294685816,0.485195836750482
3,6.25,12.8679,-8.39428,6.71034,-0.2067105,0.374328,6.21400000000006,99.4032,83.7509,1.08024,2.6391,0.881555989936252,0.756785018253928,0.528427856949272
3,6.75,16.0091,-4.81217,8.97775,-0.2358665,0.3862795,6.23500000000001,99.404,83.2081,1.12868,2.34439,0.871889901230841,0.794283087621194,0.516983559095141
3,7.25,13.88455,5.6989,5.99345,-0.154688,0.340494,5.79900000000001,99.4247,81.9917,1.13872,2.48343,0.895094967028639,0.725805759139455,0.473945144505142
3,7.75,18.6531,8.02205,9.14555,-0.2433695,0.4172745,5.80800000000002,99.45045,80.172,1.41598,2.940915,1.00718109572111,0.823685368829935,0.534318257221293
3,8.25,22.12255,30.0106,13.4168,-0.29693,0.4150875,6.07000000000002,99.4691,76.1467,1.66152,2.6901,1.03582121570784,0.805448943136683,0.59327312428594
3,8.75,18.4727,36.2331,18.0895,-0.325883,0.4230175,6.60900000000004,99.49895,74.7803,2.275105,2.72415,1.00919159272275,0.940587593651263,0.598416888466006
3,9.25,17.2265,63.13515,18.5727,-0.327261,0.500472,7.39450000000002,99.49475,71.94405,2.87133,2.62839,1.10807941953634,0.936905420674524,0.595866595808156
3,9.75,21.1086,60.36455,24.0734,-0.30671,0.513714,8.42600000000004,99.4907,68.3019,3.1263,2.77298,1.18533961378164,1.0353352519992,0.677094823481278
3,10.25,18.49055,76.83655,18.2638,-0.318531,0.529773,9.52800000000002,99.4745,65.513,3.92026,2.76563,1.17501613455747,1.11610035391088,0.645766957784288
3,10.75,21.7458,89.59715,30.4952,-0.3099655,0.5053615,10.0575,99.50225,63.19405,3.90634,3.134975,1.25655083462628,1.15603200647733,0.685702109193899
3,11.25,22.40495,89.51155,43.8693,-0.3895135,0.5033485,10.351,99.5246,61.1457,4.86549,3.090635,1.34202831564762,1.1962554159395,0.730080817444206
3,11.75,24.2236,104.6705,43.46005,-0.369974,0.535725,11.0405,99.51035,60.4442,4.95075,3.20438,1.25087539652907,1.24526100512287,0.76888260169903
3,12.25,22.7618,95.3597,50.62805,-0.479555,0.568738,11.535,99.4811,58.4309,5.43995,3.752675,1.422770537867,1.3427495977634,0.83002842673095
3,12.75,22.68685,122.4375,61.0465,-0.4202555,0.577168,12.1885,99.43095,54.6738,5.83341,3.38682,1.54419882139574,1.34093996882784,0.795998743717602
3,13.25,26.2534,123.9635,61.0763,-0.4349065,0.603285,12.736,99.38675,52.9314,6.0199,3.25322,1.43669064171797,1.3212115651931,0.813896185026076
3,13.75,25.4461,148.2095,50.80085,-0.411212,0.56852,13.1385,99.3331,53.30905,6.505875,3.29657,1.42004929491902,1.40449991100035,0.828216759067335
3,14.25,35.07705,93.8711,46.67655,-0.377494,0.553558,13.069,99.29125,51.56025,6.90715,3.19688,1.5406443230155,1.40791511193981,0.766251351720741
3,14.75,32.1302,174.5545,48.4749,-0.4366195,0.5634035,13.3025,99.25505,50.8278,7.00881,3.53164,1.53408930639647,1.35084965771719,0.798922085987229
3,15.25,36.0216,140.821,50.4947,-0.404646,0.5652325,13.35,99.249,51.61075,6.946505,3.57485,1.46059919211261,1.31642460610138,0.794910686807015
3,15.75,34.703,74.9286,46.2482,-0.42421,0.5647805,12.693,99.25065,51.12355,7.07594,3.42604,1.51286560314483,1.31818564864976,0.780748017530062
3,16.25,30.8958,67.6162,51.69395,-0.4589595,0.557563,12.066,99.2407,51.854,6.58098,3.89642,1.39740115929535,1.27849129836695,0.741588160639044
3,16.75,37.6752,63.5826,42.1705,-0.3998425,0.5669255,12.7155,99.2296,51.87705,6.75041,3.76006,1.49039478088346,1.28421182053429,0.733255753472143
3,17.25,28.413,44.60685,26.0419,-0.370455,0.526516,12.113,99.2329,51.0546,6.74533,3.630995,1.35968541660826,1.19322341873344,0.678891971206134
3,17.75,25.7284,33.223,29.2422,-0.379454,0.538338,12.283,99.23605,52.3265,7.219495,4.17097,1.33769991308821,1.13620443893285,0.652486015175804
3,18.25,20.1692,13.48555,15.3784,-0.268848,0.448069,12.495,99.229,50.5563,6.43791,3.76652,1.24180608560971,0.935641471098913,0.575053615794363
