DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,SC_1_1_1,H_1_1_1,SH_1_1_1,LE_1_1_1,SLE_1_1_1,G_2_1_1,TS_2_1_1,TS_2_2_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,FC_1_1_1,G_2_3_1,G_2_2_1,PPFD_OUT_1_1_1,TAU_1_1_1
1,5.25,0.1598140545,-9.057395,1.85073870425,0.115814174,-0.02675,-29.76505265,-0.600785,-0.874970823,-0.125776251,-11.9478,0.3171259,0.6313414,61.9312086525,97.502593275,357.403903575,0.479,-63.186685,-0.0032912005,-2.03808033075,0.31172285,213.94765,271.30535,3.550455,0.0713,-11.83028,-12.1059975,-0.040817135,0.0203014625
1,5.75,0.160757948,-9.065585,1.86457367875,0.0682,-0.0314,-28.209395,-0.6229227875,-1.1378050875,-0.1035374325,-12.01552,0.3046614,0.6203174,62.905651035,97.5057065925,357.32,0.47025163,-62.409994695,-0.005554264,-2.0017169535,0.3000579,213.903,270.12795,3.5500975845,0.0673,-12.03899,-12.03,-0.043021885,0.025711135
1,6.25,0.170387181,-9.0931546885,1.9480229965,0.087725,-0.030425,-29.86895,-0.61208808375,-0.736954203,-0.125010153,-11.967775,0.288,0.6048716,63.40069625,97.52967915,357.085,0.4553377375,-62.9570975,-0.002784364,-2.01525,0.299672,215.23425,269.93925,3.564748194,0.0912,-11.97816,-11.9639075,-0.040903235,0.0284925075
1,6.75,0.15403137525,-9.3822567,1.89204708,0.0619,-0.0233,-28.981319,-0.595998025,-0.9474718075,-0.10217362175,-11.910125,0.28345,0.60585895,63.31260689,97.5280197175,357.2525,0.43087397,-64.458495,0.0021079095,-1.966655,0.2927582,215.117825,269.89755,3.54814036275,0.027,-11.95217,-11.8455375,-0.04103425,0.025752315
1,7.25,0.165846342,-9.4768253465,1.892027931,0.0683,-0.0266,-29.17203425,-0.53664256525,-0.772325,-0.0979,-11.80476,0.28291,0.6205418,65.09528325,97.54060536,356.485,0.44817895,-62.25595,0.3320836635,-1.445741482,0.4287019,216.4165,269.54505,3.54505,0.048925,-11.958,-11.7763725,0.03943563,0.02504258
1,7.75,0.16306276425,-9.64535883525,1.901026253,0.04305,-0.0228,-26.29553176,-0.3598468085,-0.382926619,-0.100181479,-11.740045,0.263,0.5931712,66.4811247225,97.5757058875,357.19,0.437944835,-54.8019975,12.866255,5.03456,2.012805,216.7861,270.9437,3.5444,0.0212,-11.95636,-11.740295,1.7658915,0.02043583
1,8.25,0.185503884,-9.46173450775,1.906510659,-0.0024175,-0.01355,-13.91153158,-0.0707,0.685328739,-0.0435,-11.61708,0.2401245,0.56360945,64.2848646075,97.55373043,357.2675,0.44834628,-31.87479,50.249880145,24.162085,8.975031,215.8494,273.6638,3.5728686015,-0.0299,-11.8925,-11.713985,8.137942,0.02181596
1,8.75,0.21002939325,-8.49943368225,2.228555,-0.118772286,-0.016925,1.6207300155,0.241939582,2.3127,-0.0541,-11.382805,0.2114556,0.5374978,62.8726277,97.5520727625,358.49,0.52666226,8.48253325,116.228383,55.073395,14.34348,215.3335,279.81555,3.550475,-0.115868879,-11.84269,-11.71979,14.2644795425,0.04137181
1,9.25,0.246420683,-8.0198327985,2.440164794,-0.3099331015,-0.02365,13.4186913025,0.38699674125,4.6795,-0.04825,-11.168605,0.2216787,0.51753505,60.68360295,97.51614456,359.0311133,0.634718555,35.238015,188.716678,88.87491273,23.93276,213.2375,284.12275,3.57466,-0.284571821,-11.6405,-11.24884,22.11065,0.04520085
1,9.75,0.24731424525,-7.518174731,2.497226118,-0.3491940615,-0.03995,25.552544645,0.465995,6.0433,-0.064,-10.9119975,0.2052114,0.53855195,57.6743927275,97.491,359.45534705,0.710552515,56.02869,248.03715115,117.506325,34.95051,214.80375,288.3342,3.5918,-0.3726854585,-11.52723,-10.94066,29.45209,0.05221342
