DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
2,12.25,0.2495,-3.776125,1.39405,-3.8787,-3.443875,-0.815225,37.76325,-4.185,11.010375,-9.6384,-5.095,-0.82325,-0.7565,9.6375,76.741725,379.7985,-0.31875,69.616,161.5025,125.472775,32.65025,184.6,301.0925,0.89925,109.845
2,12.75,0.31725,-3.80025,1.65485,-3.75125,-3.63725,-1.19325,38.9335,-6.3916,7.693,-10.006,-4.59,-0.66525,-0.71925,9.9225,76.73075,379.64775,-0.25,93.57,283.13,145.03,30.2805,186.6575,302.0125,0.887,112.6075
2,13.25,0.4,-3.6625,1.42105,-3.81025,-3.749,-0.404,55.23225,-7.0645,8.368125,-11.398625,-4.4155,-0.556,-0.6785,8.4425,76.721475,379.51825,-0.3325,90.475,228.8175,149.465,35.61225,188.7375,302.2925,0.9665,113.6075
2,13.75,0.340125,-3.6285,1.69725,-4.635,-4.04995,-1.789,37.524275,-7.0112,7.34965,-8.4108,-4.37125,-0.487,-0.63975,8.17775,76.711475,379.204225,-0.191,58.43425,169.625,138.2175,34.54375,189.6825,302.73,1.0026,122.785
2,14.25,0.43275,-3.6992,1.702,-4.786775,-3.666675,-2.61275,33.9685,-11.10505,7.546175,-9.632325,-4.44275,-0.42525,-0.60175,8.16775,76.701,379.08935,0.0360000000000001,47.44525,196.4125,109.7325,20.77825,191.365,304.16,1.0453,142.285
2,14.75,0.3431,-3.692975,1.7592,-4.0045,-3.7915,-1.8745,29.08615,-15.273475,3.022,-7.9884,-4.865,-0.37525,-0.5655,9.3375,76.722225,379.0698,-0.276,37.522,134.05,72.30325,18.0805,190.17,302.7925,1.1086,127.02
2,15.25,0.43515,-3.6381,1.5994,-4.166175,-2.7355,-2.12375,19.8635,-10.0946,9.1116,-6.0952,-5.262,-0.32925,-0.52725,9.805,76.73125,379.06475,-0.0564999999999999,27.255,98.76,66.21175,15.151,186.6575,303.91,1.012125,104.62
2,15.75,0.39255,-4.2443,1.488,-3.1245,-3.079,-0.6896,10.626525,-15.045825,3.946675,-6.1375,-6.38625,-0.32525,-0.49375,10.3225,76.740025,379.47355,-0.256,40.8595,123.1825,68.27775,14.7795,187.45,300.9,1.0792,126.4125
2,16.25,0.404025,-3.91725,1.52865,-1.9057,-1.89885,-0.7721,2.6996,-13.8835,-1.148025,-5.59525,-4.8645,-0.32025,-0.4535,10.6625,76.7605,379.71675,-0.27,21.248,97.37,49.90875,13.26975,186.18,297.8275,1.05325,82.935
2,16.75,0.350425,-4.097625,1.5137,-1.488575,-1.52595,-0.76155,-6.807125,-16.4546,2.8806,-4.2136,-4.79725,-0.31725,-0.413,10.6575,76.79,379.715,-0.50875,3.4148,53.572,27.25925,8.49025,184.405,294.54,1.19975,60.184
