DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,G,H,LE,FC,TS
4,9.25,0.375,1.2575,7.905,8.6625,20.525,744.445,58.99,474.2075,40.8525,120.18,64.3475,-6.21,4.3475
4,9.75,0.42,1.365,7.91,8.61,20.8,818.135,69.1,541.2,73.44,154.765,72.335,-6.645,4.52
4,10.25,0.41,1.48,8.0175,8.53,22.4925,865.1325,77.4825,575.445,56.935,166.34,76.22,-6.6525,4.635
4,10.75,0.44,1.5875,8.1775,8.7825,23.7025,894.215,83.2225,603.765,14.0875,198.395,65.145,-6.78,4.9025
4,11.25,0.46,1.775,8.1025,8.8,24,925.675,88.2875,629.365,6.91,227.7725,78.695,-6.6975,5.28
4,11.75,0.48,1.78,8.195,8.87,24.4925,911.865,89.04,616.675,4.8825,236.74,71.0425,-7.02,5.46
4,12.25,0.5,1.85,8.205,8.8125,24.3575,940.3175,92.835,638.355,2.4775,245.8275,69.82,-6.86,5.705
4,12.75,0.5025,1.8725,8.2075,8.715,24.6975,885.18,91.07,595.0475,3.115,253.4975,69.825,-6.905,5.8875
4,13.25,0.49,1.87,8.2325,8.7,25,829.48,86.4575,559.475,10.5925,239.11,70.8,-6.71,5.9725
4,13.75,0.52,1.89,8.465,8.98,24.7375,718.895,73.26,479.6575,17.555,238.665,60.58,-6.4175,6.03
4,14.25,0.51,1.91,8.285,8.97,25.08,663.05,69.14,445.355,11.69,236.115,61.535,-6.335,6.1
4,14.75,0.47,1.825,8.2475,8.61,24.86,605.25,59.74,384.1225,8.78,210.24,46.0475,-5.845,6.15
4,15.25,0.49,1.82,8.205,8.69,24.215,438.3,43.7325,271.19,0.06,168.445,43.7625,-5.48,6.2
4,15.75,0.47,1.765,7.9125,8.4675,24.755,360.605,32.58,199.5875,5.16,137.02,27.79,-4.8425,6.21
4,16.25,0.45,1.6325,7.6025,8.25,25.775,243.42,23.27,122.3375,5.25,92.33,20.31,-4.195,6.21
4,16.75,0.39,1.4775,7.1625,7.78,28.5075,142.11,15.145,63.7325,1.87,61.2925,12.88,-3.33,6.215
4,17.25,0.345,1.265,6.82,7.43,30.15,80.3675,7.615,12.355,-7.94,30.0225,9.64,-2.025,6.18
4,17.75,0.27,0.81,6.0425,6.85,33.06,25.44,2.71,-49.92,-0.3,2.46,2.605,-0.7675,6.125
