DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,G,SG,USTAR,H,LE,FC,SC,NEE,H2O,CO2,U_SIGMA,V_SIGMA,W_SIGMA
2,7.75,0.25,44.45,0.737,85.2365,134.5,24.385,-52,67,25.525,215.75,309,1.275,-0.4,2.97,3.7365,5.152,6.98,7.6635,10.41,-28,-3.8827,0.087,-10,4.63475,-0.205,-0.059113,-0.19531275,5.0158,387.5675,0.360555127546,0.331662479036,0.130384048104
2,8.25,2.6,38.026,0.66,85.272,314.16,53,9,155.8,47.435,217.48,323,2,2.94,3.465,3.8365,5.1185,6.885,7.5655,10.34,-24.0655,1.99615,0.109307407686,7.5805,12.35625,-0.2093055,-0.090612,-0.233158125,5.16455,388.705,0.346410161514,0.340587727319,0.18389106977175
2,8.75,5,31.15,0.737,85.3,537.349974,81.06825,73.945,265.55,64,218.76,339,2.85,6.52,4.225,4.315,5.152,6.849,7.5875,10.4,-19.8115,7.7976,0.12275,39.92425,14.887,-0.160764,-0.10165,-0.22871525,5.06685,390.65,0.41861290015975,0.424264068712,0.238746727726
2,9.25,6.438,26.2,1.19,85.3,753.984,100.345,149,371.2,76.775,220.6725,351.2,3.765,9.36,5.0915,4.895,5.294,6.805,7.6405,10.41,-13,14.914,0.1665,73.85725,16.863,-0.182,-0.0678063165,-0.21341859,4.7646,390.62,0.586088264131,0.58245064485075,0.302974424645
2,9.75,7.4,22.6705,1.7905,85.3,925.14,119,209,456.5,86.95,225,363.255,4.745,11.68,5.985,5.457,5.5845,6.769,7.6175,10.42,-4,20.165,0.22124872881,112.775,18.4815,-0.159,-0.035835,-0.172335,4.6138,391.2825,0.748331477355,0.751991387985,0.357964244024
2,10.25,8.3,20.9285,2.2455,85.3,1048.56,130.4825,258.5,514,94.65,229,372.305,5.52,13.4465,6.9555,6.21,5.9745,6.762,7.592,10.42,5.814,23.127,0.2625033338345,140.97,19.7136,-0.114,-0.028,-0.11802795,4.53695,391.69,0.883176086633,0.87478565304075,0.398748040748
2,10.75,9.3,18.954,2.48,85.3,1190,140.52,308,582.15,99.2,233.8,381,6.22,14.565,8.1,6.99,6.29,6.83,7.6,10.445,14,24.668,0.286,168.72,20.60675,-0.1025,-0.0266818565,-0.081391,4.403375,391.2825,0.989949493661,1.00647901121,0.433589667774
2,11.25,10,17.5,2.73,85.3,1336.2,151.28,342.8825,652,107,236.75,389.64,6.99,15.483,9.06,7.835,6.72,6.84,7.58,10.45,21,28.167,0.30513348970825,190.94,22,0.0285,-0.0380141895,-0.00423025,4.3998,391.12,1.05403984744,1.07238052948,0.44832609453125
2,11.75,10.4,15.965,2.93,85.288,1366.8,156.715,358,669.4,111.9,240,395.17,7.52,16.817,10.18,8.53,7.24,6.98,7.58,10.47,28.022,25.43975,0.33703523002275,199.955,22.1778,-0.068,-0.03096825,-0.0434425,4.2618,391.155,1.1236086037625,1.14564336325,0.477493455453
2,12.25,11.1,14.7,3.05,85.207,1430.04,161.25,375,701,114.95,242,400,8.08,17.967,10.9,9.41,7.768,7.11,7.55,10.48,31.798,22.4,0.351,208.68,22.415,0.205,-0.0408715,0.1835877,4.1007,392.22,1.1629688476375,1.19247553151,0.488876262463
2,12.75,11.5,14.1,3.11,85.2,1440.24,165,375,705,114.8,244,404.16,8.56,19.333,11.61,10.09,8.26,7.27,7.51,10.48,36,17.299,0.36184323093075,220.9725,20,0.205,-0.062521305,0.1407105,3.9969,391.695,1.1860637827,1.22024567033,0.49684498194525
2,13.25,12.1,13.415,3.23,85.15,1325.8062,155.645,353,649.81065,111,246,403.4,8.83,19.267,12.08,10.68,8.76,7.495,7.484,10.475,38,13.739,0.359,209.79,20.9457,0.0395,-0.057577,0.00294855,3.9984,391.52,1.2157293973075,1.248398830135,0.507453347609
2,13.75,12.1,12.9,3.25,85.1,1317.84,153.75,336,644.52815,111,247,403,9.27,19.24,12.4,11.06,9.27,7.703,7.479,10.48,38,5.641025,0.36175,209.9475,19.416,0.023,-0.023599,-0.030588,3.954725,391.95,1.22820962389,1.248398830135,0.5121795982025
2,14.25,12.3,12.6,3.32,85.1,1196,140,295,585.54,104.75,247.39,401.6,9.28,18.70825,12.58,11.39,9.71,7.89,7.445,10.48,37,-2.421,0.3621066222745,186.48,17.2494,0.182,-0.0274905,0.2206236,3.8159,392.1,1.22392810246,1.22474487139,0.50897491444475
2,14.75,12.5,12.622,3.35,85.1,1032.036,130,229,504.95,96,246,398,9.54,17.667,12.69,11.6,10.01,8.12,7.44,10.475,33.547,-8.11825,0.36225,159.955,15.0775,0.14175,-0.0357245655,0.110311825,3.72105,391.82,1.19906201121,1.17898261226,0.496990945592
2,15.25,12.25,12.7,3.18,85.1,869.856,120,186,426.25,86,244.13,393,9.44,16.72775,12.47,11.64,10.25,8.32,7.466,10.475,27.414,-11.93125,0.3493918522975,128.76,13,0.1475,-0.0313091115,0.12897105,3.712575,391.65,1.1313708499,1.1521716783,0.488890273787
2,15.75,12.1,12.8,3.2,85.1,718.029,98.2605,125.75,350.25,71,242,385,9.45,15.2775,12.25,11.58,10.36,8.59,7.48,10.47,21.943,-17.08225,0.34325,94.0995,11.0889,0.159,-0.030569,0.138841,3.7954,391.68,1.0707473261875,1.07238052948,0.46597952174025
2,16.25,11.78,13.2,3.26,85.1,520.2,76,66,254.2,54.49,241,377.71,8.99,13.73,11.87,11.42,10.41,8.76,7.47,10.47,15.791,-21.013,0.332963329295,56.534,8.6247,0.136,-0.039003624,0.157151,3.771825,391.555,1,0.967212178747,0.443846820423
2,16.75,11.33,13.7,3.13,85.1,330.48,50.8605,6,162.5,37.73,238.28,369,8.67,12.04325,11.42,11.19,10.4,8.92,7.473,10.46,9.125,-25.418,0.320283874087,17.76,7,0.054945,-0.057609,0.03498497,3.8869,391.255,0.911043357914,0.854400374532,0.433589667774
2,17.25,10.68,14.522,2.9,85.1,175.44,27,-51,89,21.14,237,360,7.99,10.26,11.08,10.92,10.35,9.03,7.484,10.465,2,-28.684,0.288338456414,-15.77,3.6963,-0.075514,-0.045455388,-0.0880811085,3.8931,390.8925,0.774596669241,0.67082039325,0.3973089055455
2,17.75,9.5,16.6,2.45,85.1,45,8,-96,21,7,235.84,349,7.12,7.758325,10.38,10.53,10.23,9.12,7.49,10.47,-5.115,-32.488,0.2080791616185,-37,1.346775,-0.250305,-0.0416425,-0.27718256775,4.13575,391.695,0.574456264654,0.4652804031755,0.291547594742
2,18.25,8.3,19.469,2.04,85.13,2,0.28175,-115,-3,1,235,339,5.9,5.2333,9.69,10.06,10.03,9.21,7.52,10.46,-11.837,-34.895,0.138,-43.1565,0,-0.277167,-0.03405369,-0.3243763545,4.189425,390.185,0.4472135955,0.387298334621,0.209761769634
2,18.75,7.3,21.8,1.68,85.153,0,0,-113,-4.29,1,233,333,5.1,4.065,8.96,9.54,9.84,9.29,7.54,10.46,-17.434,-31.907,0.113785060531,-41.408,0,-0.227,-0.026995,-0.26493437775,4.1424,389.83,0.4,0.372827037646,0.164639606414
