DOY2,HR2,CO2,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD_1_1_1,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TA_1_1_1,TS_1_1_1,TS_1_2_1,USTAR,VPD,WS
3,5.25,365.87625,-5.925,-20.84,1.2485,-0.725,189.825,236.5,-58.7125,94.6,0,0,78.25,-0.18,-2.975,-0.575,-1.8075,0.2525,-19.725,-3.58,-3.4025,0.08,0.19,0.9725
3,5.75,365.54725,-6,-20.26,1.2435,-0.95,189.675,235.825,-60.7725,94.6,0,0,79.3,-0.135,-1.875,-0.5,-1.815,0.23,-20.25,-3.6275,-3.405,0.08,0.19,0.94425
3,6.25,365.6635,-6.125,-22.22,1.2325,-0.9,196.7,233.9,-61.1975,94.525,0,0,78.55,-0.0775,-2.55,-0.5,-1.67,0.225,-20.275,-3.6825,-3.4025,0.08,0.19,1.0175
3,6.75,365.8615,-6.275,-16.94,1.201,-0.8,196.975,234.3,-63.49425,94.525,0,0,78.325,-0.08,-2.3,-0.425,-1.145,0.2525,-20.025,-3.735,-3.415,0.08,0.1875,1.07675
3,7.25,365.9725,-6.35,-18.04,1.20425,-0.8,197.825,236.45,-49.525,94.525,0,0,79.325,-0.13,-1.975,-0.225,0.465,0.8925,-20.075,-3.7925,-3.425,0.085,0.19,0.9775
3,7.75,366.829,-6.3,-9.87,1.1985,-0.4,197.275,238.5,-21.9025,94.5,13.4175,2.2225,79.1,-0.14,-1.6,-0.35,8.44,2.6675,-19.5125,-3.86,-3.435,0.1,0.17,0.79
3,8.25,367.61,-6.375,-4.67,1.22025,0.1,199.975,242.25,5.19,94.5,50.3675,8.11,80.05,-0.17,-0.5,-0.4,32.645,7.6875,-18.01,-3.9225,-3.44,0.12,0.1575,0.90875
3,8.75,369.283,-6.55,8,1.2515,1.9,200.025,247.225,31.0325,94.525,109.205,18.25,75.85,-0.425,1.025,-0.4,63.81775,14.3,-15.95,-3.945,-3.445,0.19,0.1875,0.96
3,9.25,368.2275,-6.55,26.13,1.2855,3.35,200.875,252.525,66.305,94.6,188.0025,30.58,70.775,-0.6025,1.8,-0.25,100,22.37,-14.725,-3.96,-3.455,0.25,0.25,1.24575
3,9.75,368.264,-6.7,44.78,1.316,4.525,200.3,256.1,99.1675,94.525,247.7825,44.27,66.525,-0.495,2.35,-0.3,145.275,30.725,-13.195,-3.9625,-3.48,0.3,0.34,1.385
3,10.25,367.516,-6.7,69.625,1.3335,5.2,185.725,261.77575,122.16,94.6,330.025,55.03,58.225,-0.635,2.825,-0.2,182.35,37.1875,-11.6625,-3.965,-3.49,0.32,0.47,1.553
3,10.75,367.552,-6.5,82.405,1.3825,5.95,185,264.875,153.71,94.625,449.3675,66.4175,52.45,-0.68,2.225,-0.1,229.2,47.5125,-10.5375,-3.955,-3.475,0.33,0.5975,1.5675
3,11.25,367.7015,-6.3,99.225,1.4095,6.625,180.275,269.2,186.46,94.625,509.5775,78.7875,48.425,-0.6375,2.275,-0.3,259.9,52.44,-9.035,-3.9525,-3.4675,0.3625,0.7275,1.7295
3,11.75,368.5815,-6,122.8275,1.491,8.1,188.375,274.35,211.4075,94.625,592.585,88.15,43.1,-0.4775,2.05,-0.15,308.65,57.715,-7.6,-3.9425,-3.4675,0.39,0.8725,1.9675
3,12.25,368.71325,-5.875,120.53,1.59825,8.25,189.825,276.7,223.71,94.625,670.6275,94.3625,38.9,-0.475,2,-0.2,315.075,61.1875,-6.0315,-3.9225,-3.455,0.39,0.9175,2.0325
3,12.75,367.645,-5.85,131.87,1.616,9.925,190.85,278.975,231.6675,94.625,661.105,97.235,36.6,-0.5175,1.3,-0.4,320.925,62.4375,-5.649,-3.825,-3.34,0.43,1.145,2.175
3,13.25,366.811,-5.525,123.945,1.72625,9.35,193.225,281.45,217.3525,94.6,633.425,98.91,34.64,-0.57,0.7,-0.2,310.3,59.76,-5.125,-3.82,-3.475,0.4375,1.2,2.22
