DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,VPD,TS_3
6,20.25,-0.540459,16.894073475,-6.6008417605,66.625,15.8525,3.71125,33.885,0.124225915,98.7,6.857,-0.2015,114.23,4.70478,3.9755,0.791494,9.285,10.4525,19.27,31.17,9.16619590075,26.49875,391.2,5.9934,9.405
6,20.75,0.080875,10.4281,-15.3806887,45.23,15.1625,3.6375,37.1525,0.08955,98.7,4.38175,-11.73,78.95635,3.08712,3.95025,0.578,9.37,10.3375,18.625,29.98,8.79905365425,25.021520545,392.375,5.677725,9.0375
6,21.25,0.37448707625,3.9504,-18.4355416175,26.39,14.3425,3.56175,42.3675,0.0642,98.7,3.022,-25.6925,54.0585,1.96273,3.9985,0.46677,9.465,10.2025,18.0425,28.95,8.4595,23.40625,394.925,4.0057,8.6125
6,21.75,0.74,0.9549167685,-21.9836503425,17.45,13.445,3.4755,46.3325,0.0656,98.8,2.3595,-29.19,34.793025,1.2289525,4.00325,0.418485,9.465,10.07,17.49,27.83,8.06835,21.877255335,397.275,3.384675,8.2125
6,22.25,0.3012688995,0.290071,-26.75905,9.53,12.4125,3.394,49.5,0.06335,98.8,1.759,-32.29,19.17975,0.594978,4.002,0.37442,9.46,9.84,16.8,26.7325,7.689036786,19.81179812,400.25,2.572425,7.84525
6,22.75,0.3811817865,-0.311278,-27.4096,4.57225,11.615,3.3395,52.9975,0.06125,98.8,1.21775,-33.9675,9.74619,0.19418725,3.97325,0.385432,9.3375,9.59,16.17,25.48,7.295911596,17.9693412325,400.125,2.2759,7.3345
6,23.25,-0.4797065,-1.239155,-26.9248,1.8545,10.695,3.221,55.925,0.05625,98.8,0.9535,-33.835,5.12995,0.01451505,3.96475,0.35821,9.2225,9.16,15.3525,24.07,6.93875,15.86946684,400.275,1.955525,6.90375
6,23.75,-0.16700780325,-1.4889525,-24.637175,0.71,9.8925,3.117,59.82,0.0536625,98.8,0.699,-32.51,2.7364925,0,3.889,0.32754,9.0725,8.895,14.78,23.1,6.63378835,14.16161446,402.675,1.451875,6.423
7,0.25,-0.1075405305,-2.592057931,-23.26535,0,11.465,4.581,70.08,0.05485,99.1,0.384,-30.23,0.106159,0,4.9815,0.336,6.3605,6.5685,11.805,18.87,4.098999554,8.481554277,401.05,1.24335,9.055
7,0.75,-0.056975,-3.42673,-22.31165,0,11.085,4.455,71.555,0.056,99.1,0.3665,-27.995,0.065485775,0,4.9175,0.3288225,5.9515,5.9965,10.965,17.39,3.785,6.7532511325,400.625,1.1019,8.695
