DOY2,HR2,G_1_1_1,G_1_2_1,H,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TAU,RH,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT
10,12.25,4.706,1.531,140.3716622,5.413011109,0.556649412,1.6864491943,1.6672015457,0.7595018117,9.9869933,0.6066649059,-0.0866,85.1,9.06,4.06,3.426,5.159,9.94,323.775,669.1,212.15,300.8,357.9,1135,826.75
10,12.75,9,3.407,161.3620253,5.915883743,0.579092078,1.8899935407,1.7388109388,0.7901021719,10.0397431,0.6171437353,-0.0991,82.4,9.07,4.035,3.508,5.159,10.74,328.625,656.6,206.65,296.7,357.2,1116,659.475
10,13.25,10.94,4.677,142.9657974,5.824062814,0.566071377,1.7705738417,1.7724781048,0.7810437337,10.1532532,0.6514304737,-0.0977,82.3,8.84,4.041,3.589,5.153,9.72,306.85,635.2,199,295.7,359.9,1080,614
10,13.75,13.345,6.082,142.620431,5.983119835,0.578409816,1.8014526688,1.8015103488,0.7911029712,9.6212409,0.6284901527,-0.0965,81.775,9.0725,4.09625,3.64825,5.2055,10.3975,311.6,587,195.8,299.525,360.525,997,590.825
10,14.25,15.325,7.1635,114.5359457,5.886373788,0.54174048,1.7277441416,1.6820377838,0.7611955695,9.5482153,0.5879185666,-0.10195816,80.235,9.1075,4.07575,3.697,5.194,8.86,242.5,540.75,211.8,299.625,358.95,935.75,551.475
10,14.75,16.3,7.76475,72.84097448,5.497351148,0.534030274,1.6525011825,1.6661994929,0.7063244071,9.4656934,0.4985606192,-0.0734,82.475,9.1475,4.09925,3.71825,5.162,8.415,167.325,467.975,168.625,298.55,356.475,792.125,459.425
10,15.25,14.65,7.858,57.214223715,5.31118966075,0.4934457195,1.497203825125,1.5184957788,0.69748706205,9.89784225,0.402838414025,-0.066225,81.65,8.925,4.11575,3.81375,5.14825,8.415,124.3,392.475,150.15,296.6,354.4,667.8,335.5
10,15.75,13.2775,7.76875,19.548347795,5.02505225875,0.49964450325,1.6459683595,1.560529614575,0.687368834,9.814835225,0.367054736675,-0.058525,88.4,8.87,4.1485,3.84125,5.1355,7.209,77.49,282.725,112.325,305.975,346.925,489.175,243.025
10,16.25,11.4825,7.31425,7.773425221,5.10572797625,0.51798815075,1.541144894325,1.468361263825,0.695409282875,9.21205585,0.29945762495,-0.047125,91.225,8.62,4.18275,3.87625,5.12425,6.07075,38.79,186.275,76.355,301.8,341.75,329.925,159.725
10,16.75,9.715,6.81775,-7.288287826,4.84133302,0.505385397,1.4980310421,1.5069275484,0.6376919178,8.5267602,0.3592144443,-0.0372,90.75,8.1375,4.1565,3.98575,5.122,4.62225,6.684,108.725,51.8325,301.25,332.6,184.875,109.425
10,17.25,7.95925,6.00325,-10.9145474315,4.376532342,0.4400820995,1.31760566005,1.165301324725,0.591273556,8.032044775,0.399393052675,-0.025825,92.05,7.1555,4.15925,4.0395,5.13625,3.5565,-5.54725,39.0875,19.7475,302.9,327.2,61.6475,44.24
10,17.75,5.609,5.06025,-14.782781945,4.572541525,0.4069839145,1.2301625068,1.22992556515,0.5302710742,7.92335365,0.4459430449,-0.0231,91.3,6.55425,4.163,4.0945,5.11375,2.9435,-11.46,3.79825,2.827,302.425,325.35,9.625,6.6565
10,18.25,3.84125,3.914,-13.35541017,4.380614011,0.445959816,1.34205675165,1.17932645445,0.56065179785,7.7877958,0.4804718662,-0.02465,93.25,6.33975,4.174,4.08025,5.1325,2.2645,-14.235,-0.761,0.67625,301.35,322.25,0.99775,0.354
10,18.75,2.47025,2.80775,-16.835307125,4.368987627,0.4274088805,1.3581180056,1.2538644295,0.56776636235,7.77557525,0.46807697525,-0.02645,91.925,6.301,4.22675,4.09475,5.1205,2.228,-8.69,-0.741,0.675,303.35,323.475,0.365,0.05825
10,19.25,0.55625,2.16725,-14.421123785,4.3053334415,0.4028991145,1.28500521435,1.25371852695,0.535127562,7.5758531,0.5043322994,-0.02345,92.125,6.3635,4.21375,4.08175,5.119,2.346,-11.275,-0.9245,0.681,302.175,323.5,0.267,0.031
10,19.75,-0.25425,1.46275,-14.221447915,4.104934042,0.38990312925,1.40385480035,1.2140610734,0.53676762085,7.2663778,0.481825972475,-0.022875,91.4,6.0295,4.2515,4.056,5.125,2.11525,-7.9875,-1.04725,0.74,302.725,322.825,0.323,0.016
10,20.25,-1.112,0.58125,-13.04799975,4.1078559065,0.4044443215,1.32649821185,1.171944584575,0.5059688041,7.263636375,0.472552533325,-0.0313,92.525,6.10975,4.282,3.9835,5.1325,2.255,-8.4175,-1.08,0.7455,300.9,324,0.112,0.016
10,20.75,-2.25875,0.09125,-18.00564741,4.1321109105,0.42380506975,1.279989867675,1.152679800225,0.566765408075,7.158351375,0.4645851776,-0.02815,91.4,6.0455,4.306,3.944,5.1415,2.2945,-7.39525,-0.915,0.8855,294.95,324.1,0.211,0.016
10,21.25,-2.53925,-0.51975,-11.43455106,4.4830200925,0.45069817275,1.43799092135,1.288906585825,0.624311486125,7.22741815,0.4769487206,-0.02275,91.9,6.04075,4.33025,3.902,5.11425,1.60225,-7.139,-0.961,0.84,296.5,320.1,0.323,0.012
10,21.75,-2.823,-1.088,-12.82599839,4.438003351,0.44383829275,1.4912767912,1.295274580275,0.609140302425,7.406039875,0.467990198575,-0.0252,92.3,6.12125,4.33625,3.86425,5.154,1.6475,-6.2515,-0.8975,0.79975,297.225,319.625,0.295,0.02725
10,22.25,-3.17025,-1.5205,-16.30127793,4.071502921,0.414881994,1.3514202163,1.2325909865,0.5295305317,7.6284934,0.4562001754,-0.0285,92.2,6.1385,4.313,3.837,5.15025,1.2035,-8.71,-0.8155,0.712,292.95,318.95,0.211,0.043
10,22.75,-3.25525,-2.01275,-15.19599754,4.189743838,0.423053193,1.3625116609,1.2138237067,0.5631042195,7.4479462,0.4605801819,-0.0257,92.35,5.88875,4.337,3.8275,5.15925,1.2265,-6.59575,-0.94125,0.699,295.975,320,0.169,0.016
10,23.25,-3.25875,-2.32875,-17.13543278,3.88401352675,0.420762004,1.34864259955,1.168850053975,0.5739726933,7.3457242,0.461300431925,-0.0288,93.025,5.95875,4.33925,3.81025,5.154,1.12325,-4.4205,-1.07725,0.716,295.5,319.5,0.211,0.016
10,23.75,-3.38,-2.5895,-15.947903705,4.0742539835,0.4141261085,1.378789036875,1.267452506775,0.587550811125,7.229469725,0.47329256375,-0.0306,92.075,5.65175,4.32575,3.74925,5.178,1.14575,-5.242,-1.16775,0.705,297.675,319.85,0.155,0.016
11,0.25,-2.2755,-2.056,-17.1734514325,4.30012755175,0.3700810935,1.213022051225,1.072430405425,0.5103984321,6.336940125,0.499302849725,-0.0177,88.075,2.32475,2.72125,2.153,3.3345,0.26775,-5.73225,-0.6735,0.597,288.175,311.7,0,0.016
11,0.75,-2.3075,-2.056,-11.77248379,4.370619842,0.384212241,1.2315467547,1.1533963035,0.4949321428,6.5729981,0.5362132897,-0.0142,90.025,2.88475,2.7215,2.116,3.338,0.235,-5.989,-0.728,0.587,289.45,308.5,0,0.02725
11,1.25,-2.30675,-2.057,-21.73917746,4.57137952825,0.35695397525,1.207180838675,1.23511119455,0.4828832466,6.690011575,0.568798490975,-0.014175,91.475,3.12025,2.70825,2.0775,3.32525,0.21425,-5.26325,-0.677,0.615,288.45,307.35,0,0.016
11,1.75,-2.30725,-2.05625,-21.09425409,4.246267792,0.365489877,1.1838843588,1.1901301475,0.4812806063,6.7540165,0.5666232408,-0.019,90.325,2.9375,2.691,2.0615,3.31375,0.2325,-4.39325,-0.71375,0.486,285.725,309.7,0,0.016
11,2.25,-2.30725,-2.057,-27.06220305,4.491499768,0.312528593,1.1517789853,1.0818890886,0.4549523942,6.6655957,0.5579052787,-0.0251,90.275,2.9085,2.68675,2.05125,3.34425,0.24125,-4.43525,-0.80925,0.56,283.475,309.45,0,0.016
11,2.75,-2.30725,-2.057,-27.5204504975,4.3907420835,0.32571070625,1.1460211956,1.05394034375,0.470818702325,6.58214095,0.542581531975,-0.0205,90.175,2.292,2.69025,2.0285,3.33125,0.259,-6.5035,-0.63925,0.635,287.875,309.475,0,0.02725
