DOY2,HR2,CO2,FC,H2O,H,LE,PA,RH,T_SONIC,TA,VPD,TS_1_2_1,TS_2_2_1,USTAR,WS,G_1_2_1,G_2_2_1
3,0.25,594.8024,0.214020846,3.7760445,-9.71,0.69,93.91013,20.9928,19.56771,17.45,17.7,18.18,19.555,0.15061305,1.5173009855,-24.655,-17.67
3,0.75,596.47065,0.244967199,3.733347,-11.4,0.875,93.89246,22.42119,18.927615,16.88,17.1,17.855,19.275,0.1490893,1.545010532,-25.295,-18.96
3,1.25,598.4503,0.221009117,3.8477475,-11.85,0.61,93.89613,23.1171,18.63456,16.69,16.7,17.475,19.01,0.1544884,1.415354808,-25.76,-20.235
3,1.75,599.4064,0.270445388,3.938413,-14.4,0.62,93.88873,23.679,17.81302,15.88,16.1,17.125,18.755,0.1475356,1.289351404,-26.42,-21.13
3,2.25,599.9393,0.247951154,4.00581,-12.75,0.63,93.8898,25.30489,17.12348,15.31,15,16.71,18.51,0.1440614,1.357779556,-27.005,-21.81
3,2.75,601.0932,0.245393249,4.025328,-13.2,0.36,93.87394,26.1038,16.96177,14.97,14.5,16.235,18.235,0.137202,1.251653398,-27.51,-22.28
3,3.25,601.9064,0.225058132,4.0523,-9.63,0.45,93.85935,26.4889,16.80947,14.97,14.1,15.87,17.95,0.1306562,1.163608634,-27.91,-23.185
3,3.75,601.711,0.1872000995,4.0354355,-10.9,0.53,93.838875,27.933645,16.27458,14.37,13.55,15.58,17.725,0.1305189,0.995096994,-28.235,-24.135
3,4.25,603.6765,0.222412945,3.963823,-11.6,0.29,93.82807,27.96119,15.821325,13.935,13.15,15.29,17.555,0.123558,1.195858577,-28.485,-25.01
3,4.75,603.2057,0.1984778615,3.941376,-9.7,0.285,93.82063,28.71755,15.623875,13.53,12.75,14.995,17.36,0.1392039,1.055402868,-28.425,-25.15
3,5.25,603.32475,0.1598906485,4.0354665,-8.37,0.59,93.81636,29.66855,15.30308,13.295,12.1,14.705,17.165,0.138879,1.117108184,-28.88,-25.61
3,5.75,603.4005,0.168241604,4.1165235,-8.84,0.52,93.8254,29.442435,14.973775,13.03,11.95,14.465,17,0.1285279,1.033650694,-28.96,-26.09
3,6.25,604.61775,0.174058742,4.066517,-9.75,0.475,93.834645,30.4155,14.77846,12.69,11.5,14.28,16.81,0.1253837,1.064375322,-29.14,-26.625
3,6.75,605.4515,0.1713637075,4.1799615,-8.89,0.59,93.84746,31.091055,14.40933,12.365,11.1,14.065,16.6,0.1382493,1.046759618,-29.4,-27.065
3,7.25,606.23005,0.1927416295,4.252496,-11.8,0.525,93.87856,31.987555,14.21118,12.295,11.15,13.775,16.385,0.1350162,1.03422191,-29.645,-27.26
3,7.75,606.63435,0.1123805985,4.260458,-7.36,0.61,93.898675,32.05935,13.851455,12.225,10.45,13.58,16.25,0.1272092,1.012115717,-29.325,-26.985
3,8.25,606.4074,0.181731966,4.237605,-1.275,1.73,93.91419,30.6919,14.480165,13.315,11.1,13.745,16.22,0.1522971,0.747395477,-26.24,-25.23
3,8.75,606.08465,0.1229007745,4.3138795,25.55,3.655,93.94666,29.2409,15.83448,14.54,12.5,14.215,16.465,0.1947331,1.139640511,-21.4,-22.04
3,9.25,603.678,-0.077487873,4.356189,54.2,7.47,93.978295,26.5822,17.378465,16.18,14.95,15.565,17.64,0.2457687,1.321752729,-15.625,-17.385
3,9.75,599.4569,-0.4242093265,4.3019815,98.5,8.875,94.00774,23.48934,19.34904,18.08,17.3,17.39,18.89,0.3034486,1.518773955,-10.51,-11.78
3,10.25,596.61905,-0.6550178095,4.200804,138,11.45,94.0275,20.72626,21.166725,19.84,20.35,19.195,19.57,0.3177554,1.534994796,-4.33,-4.9625
3,10.75,592.7477,-0.8270949845,4.0181505,176,16.2,94.03218,18.609955,22.948635,21.41,22.5,20.89,20.125,0.2873992,1.498740241,3.757,0.66
3,11.25,590.23325,-0.986461668,3.822119,207.5,18.1,94.02758,16.98127,24.18888,22.84,25.2,23.1,20.58,0.3003239,1.706041073,12.305,3.738
3,11.75,588.17985,-1.402087148,3.742172,240,18.1,94.019145,15.8157,25.15319,23.77,27.15,25.45,21.535,0.338015,2.076871151,24.75,7.4525
3,12.25,587.01805,-1.345504954,3.372802,271,18.4,94.00028,14.16855,25.89795,24.585,29.35,27.94,23.425,0.3671333,2.454067461,35.935,15.8
3,12.75,586.11925,-1.6381019435,3.205956,288.5,23.25,93.97081,13.09048,26.69692,25.35,31.05,30.84,24.91,0.3851686,2.583027704,36.965,21.415
3,13.25,585.12605,-1.6352853235,3.158705,304.5,24,93.931285,12.4329,27.1884,25.88,32.45,32.615,26.5,0.3803193,2.712375674,48.56,24.795
3,13.75,584.0788,-1.6894274805,3.080941,307.5,17.45,93.89501,11.979045,27.58898,26.285,33.5,33.775,27.06,0.4133909,2.664927612,82.95,32.61
3,14.25,582.7938,-1.7239308705,2.797868,314.5,19.2,93.86081,11.284335,27.95259,26.475,33.8,35.44,26.575,0.416113,2.939550716,102.5,44.555
3,14.75,581.87165,-1.724772224,2.6474305,301.5,18.9,93.83169,10.75476,28.225015,26.785,34.3,36.11,26.48,0.4378261,2.7881934,102.2,50.62
3,15.25,580.7689,-1.545500933,2.772822,294,17.2,93.79903,10.8051,28.489735,26.955,34.5,35.005,26.18,0.44592795,3.057878031,82.25,52.125
3,15.75,579.5167,-1.422721285,2.8200425,280,18.05,93.76164,10.6534,28.59393,27.13,35,33.49,26.1,0.4563244,3.303198665,63.86,47.785
3,16.25,579.3092,-1.438368188,2.750537,243,13.5,93.748,10.7258,28.628215,27.3,35.6,32.3,25.83,0.4685663,3.366510227,58.895,46.745
3,16.75,579.1168,-1.244457534,2.7250235,222,12.95,93.72649,10.56605,28.619955,27.285,35.4,32.62,25.765,0.4938562,3.458133047,62.28,49.355
3,17.25,579.2958,-1.09079623,2.8142625,176.5,11.5,93.71144,10.5857,28.59144,27.34,35,31.575,25.625,0.49508125,3.374626249,58.715,47.68
3,17.75,579.3835,-0.768537006,2.836059,137,9.4,93.70521,10.81268,28.35677,27.015,34.5,30.055,25.23,0.44952215,3.34455263,45.975,42.94
3,18.25,579.5413,-0.490700227,2.896736,85.3,8.08,93.70189,11.07188,28.21486,26.705,34,28.775,24.955,0.45813645,3.464533775,27.86,35.995
3,18.75,580.304,-0.188428844,2.846551,37.55,5.73,93.714575,11.4414,27.904145,26.31,32.95,27.445,24.59,0.4222617,3.422411512,12.25,27.2
3,19.25,581.65525,0.252313616,3.0010145,-5.34,3.11,93.734655,11.898545,27.104445,25.28,31.25,26.03,24.15,0.3538882,3.084783033,0.849,17.605
3,19.75,583.41575,0.3154718855,2.8988195,-17.5,1.805,93.738015,12.681095,26.123975,24.125,29,24.675,23.65,0.2569625,2.611272815,-7.672,8.56
3,20.25,584.8351,0.3199230115,2.974319,-19,1.705,93.738885,13.6327,25.009105,22.995,27.35,23.445,23.125,0.2260545,2.32273869,-12.915,1.8875
3,20.75,586.02,0.2898271645,3.302475,-19.15,1.755,93.76523,14.74285,24.337465,22.25,25.95,22.37,22.64,0.1883225,2.085509557,-16.335,-2.568
3,21.25,587.2593,0.3090357415,3.252871,-19.3,1.06,93.806995,15.42018,23.48961,21.465,24.6,21.55,22.195,0.2043723,1.986469997,-18.67,-6.1045
3,21.75,588.5667,0.323568586,3.339605,-15.9,0.8,93.83485,16.1105,22.94069,21.005,23.5,20.88,21.775,0.1706917,1.871030389,-20.71,-9.29
3,22.25,589.44095,0.266220364,3.440712,-17.4,1.37,93.84409,17.22295,22.26974,20.16,22.55,20.295,21.37,0.1788205,1.994143313,-21.595,-11.345
3,22.75,591.88165,0.2597129885,3.548016,-14.5,0.73,93.8565,18.924245,21.517255,19.56,21.1,19.77,20.985,0.1620861,1.722128434,-22.375,-12.965
3,23.25,593.0195,0.272881849,3.527636,-13.9,0.65,93.872845,19.46421,21.027865,18.905,20.1,19.215,20.615,0.1716163,1.753181189,-23.275,-14.96
3,23.75,593.90355,0.308144566,3.585131,-14.65,1.03,93.88902,19.87458,20.376995,18.545,19.45,18.75,20.26,0.1618127,1.713790709,-23.89,-16.36
4,0.25,587.91985,0.2497393145,4.953975,-12,-0.19,93.775665,22.84558,22.88224,20.595,21.25,21.905,23.905,0.1460369,1.705609581,-27.46,-18.69
4,0.75,589.2967,0.1858307705,4.923166,-8.79,0.18,93.777855,23.1155,22.56699,20.23,20.25,21.44,23.65,0.146461,1.455164406,-27.87,-19.87
4,1.25,588.162,0.225830125,4.966704,-9.83,0.015,93.76842,24.6665,21.73993,19.47,19.1,20.93,23.205,0.1445988,1.336879437,-28.48,-20.965
4,1.75,591.00665,0.1759702975,4.9624995,-9.035,-0.15,93.761375,25.0953,21.377265,19.285,17.75,20.43,22.91,0.1244618,1.278186414,-28.95,-22.085
4,2.25,592.2287,0.208038018,5.034163,-7.795,-0.42,93.74258,26.1066,20.71768,18.67,17.1,20.02,22.57,0.1248462,1.189999475,-29.47,-23.08
4,2.75,592.405,0.178403556,5.049387,-10.3,-0.06,93.72538,27.5321,20.1646,18.04,16.1,19.635,22.22,0.12544925,1.13979885,-30.15,-23.725
4,3.25,594.17535,0.1504269145,5.0937875,-9.345,-0.11,93.722415,28.21605,19.53559,17.465,15.75,19.3,21.9,0.126335,1.072055043,-30.65,-24.35
4,3.75,593.9293,0.152605769,5.114092,-9.26,-0.455,93.70889,29.1564,19.21492,17.05,14.9,18.965,21.59,0.12059215,1.087903541,-31,-24.95
4,4.25,594.7231,0.173588408,5.18295,-11.9,-0.04,93.70081,29.5036,18.84336,16.87,14.8,18.64,21.29,0.12962935,1.1376279565,-31.03,-25.665
4,4.75,595.69175,0.1393079985,5.2457025,-7.02,-0.07,93.70086,30.4357,18.63235,16.49,14.1,18.285,21.01,0.1300864,1.057576138,-31.07,-26.19
4,5.25,597.2205,0.194764413,5.294678,-9.56,-0.04,93.70524,31.5683,18.06381,16.01,13.9,18.095,20.735,0.13176725,0.988051063,-31.33,-26.525
4,5.75,597.3499,0.088730216,5.233253,-6.44,-0.01,93.7104,31.7557,17.53215,15.53,13.4,17.7,20.43,0.1349458,1.0218670265,-31.6,-26.96
4,6.25,596.9826,0.099623459,5.243807,-7.39,-0.14,93.73172,32.7296,17.541535,15.415,13.25,17.495,20.125,0.1188761,0.964039895,-31.83,-27.52
4,6.75,597.8505,0.099244836,5.361457,-7.81,-0.27,93.74924,33.7388,17.26798,14.95,12.8,17.265,19.835,0.12200585,0.8882726235,-31.855,-28.03
4,7.25,598.7531,0.106359772,5.347056,-6.42,-0.115,93.76355,33.4544,17.03413,15.28,12.3,17.1,19.575,0.12736335,0.868785078,-31.35,-28.22
4,7.75,599.5696,0.1213058195,5.262473,1.185,1.155,93.802025,32.4971,17.65656,16.2,13.15,17.295,19.53,0.1341972,0.672699347,-29.025,-26.925
