DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TAU
1,20.75,433.511915,9.071519,2653.6563685,1.0007985,22.429235,-7.761607,-0.524974,0.736621,0.0929885,0.2943485,0.088402,102.187,89.5,7.04345,1.037131,15.9298785,0.330512,7.9861665,7.748,7.8925,8.1763335,8.884,11.504,-27.1635895,0,0,-1.7028985,1,309.1301545,340.1617595,-0.005937
1,21.25,434.4040565,9.0474535,2587.169684,1.192847,20.630811,-8.811875,-1.842523,0.6908725,0.0869415,0.2952175,0.0864945,102.2,90.4,6.659,0.9594595,15.773934,0.3414505,7.9846665,7.7443335,7.890333,8.1795,8.8725,11.4915,-25.6287285,0,0,-1.73913,1,310.1558825,339.216832,-0.005736
1,21.75,434.506071,8.948778,2614.338502,1.153504,8.308551,-6.9904745,-2.582613,0.7163085,0.0931315,0.310786,0.085954,102.214,90.706,6.5065,0.915932,15.544488,0.3375425,7.971833,7.7115,7.882167,8.191,8.8608335,11.4915,-23.410319,0,0,-1.811594,1,311.497341,338.281151,-0.005414
1,22.25,434.929733,8.86486,2570.310208,1.3436355,12.540914,-11.8604365,-1.1763225,0.7116405,0.0911215,0.300931,0.0906275,102.232,91.45,6.3015,0.865186,15.3178235,0.3284065,7.9676665,7.692333,7.878333,8.180833,8.8878335,11.4915,-22.6715845,0,0,-1.847826,1,311.575793,337.659859,-0.005664
1,22.75,432.048603,8.926949,2578.3795495,0.921776,14.11851,-9.2668985,-0.816238,0.7777605,0.087765,0.296263,0.093934,102.246,92.1,6.213,0.774349,15.1474,0.321859,7.9545,7.6718335,7.8715,8.166,8.888,11.4915,-21.70341,0,0,-1.811594,1.076923,312.74995,337.26977,-0.004247
1,23.25,434.347225,8.745987,2547.449583,1.549611,21.692272,-10.65072,-2.667523,0.788512,0.0886675,0.309068,0.092885,102.245,92.55,5.923,0.73908,14.78428,0.316567,7.9451665,7.671833,7.8588335,8.1715,8.8808335,11.4915,-21.156235,0,0,-1.73913,1,311.917346,336.509096,-0.006274
1,23.75,432.388631,8.813403,2636.331497,1.1962335,16.8618655,-15.3594715,-1.170511,0.7658375,0.0936735,0.313564,0.0977625,102.24,93.15,5.9015,0.680166,14.6436145,0.314203,7.942,7.668167,7.8623335,8.1661665,8.8783335,11.4915,-20.1483285,0,0,-1.666667,1,314.1139935,335.9327455,-0.007849
2,0.25,425.23136,8.664643,2299.048228,1.409564,20.854318,-25.845963,-1.050538,1.078973,0.112371,0.3618505,0.1233555,102.0005,86.1,6.868,1.427524,15.7092305,0.329377,8.113,7.7436665,7.8048335,8.4085,8.8055,11.516,-38.9725165,0,0,-2.318841,1.230769,302.6740305,339.408096,-0.010593
2,0.75,425.065833,8.491756,2301.287374,1.0982355,16.344662,-22.893216,-1.0826125,1.1185755,0.1149735,0.3626855,0.1283145,101.994,86.7,6.808,1.313808,15.4487545,0.333867,8.11875,7.747667,7.798167,8.4041665,8.801,11.528,-38.842155,0,0,-2.282609,1.230769,301.8142065,339.7033595,-0.011928
2,1.25,425.201933,8.493441,2341.727846,1.237573,22.6245975,-22.627718,-1.231109,0.973258,0.1073365,0.36615,0.1192585,102.0025,86.803,6.74,1.312409,15.2883115,0.33166,8.11875,7.757,7.79,8.4001665,8.7985,11.516,-35.743652,0,0,-2.318841,1.230769,302.3679225,338.9785225,-0.00948
