DOY2,HR2,CO2,FC,G_1,H,H2O,LE,NEE,NETRAD,PA,PPFD_IN,SC,SW_IN,RH,SW_OUT,TA,TS_1_1_1,TS_2_1_1,USTAR,VPD,WS,CO2_SIGMA,CH4,FCH4,SCH4,H2O_SIGMA,G_2,SH,SLE,T_SONIC,T_SONIC_SIGMA,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,U_SIGMA,V_SIGMA,W_SIGMA
8,5.75,371.3213,-5.7349155,-16.513,-11.488987,25.576,18.06762,0.4645,-63.0575,100.911125,0,-2.828835,0,77.027,-0.0449999999999999,23.397375,25.7595,26.07875,0.0296,0,0,0.0120483216128161,1965.113525,-226.194175,-36.7995695,5.82888089139322,-10.206,-0.59920425,-2.4616125,25.09528,0.0504652849218126,27.9985,26.744,28.11025,26.12025,26.053,26.37,26.259,25.9415,0.158396286674417,0.152068288257645,0.058174242431577
8,6.25,365.63719,-8.683329,-17.558,-6.9772521,26.211,14.03925,-0.34725,-48.03675,100.993845,7.1775,-1.350725,6.5,76.5335,0.0505000000000001,23.486,25.81825,26.2835,0.0403,0,0,0.0247205985344834,2011.4684,-115.86698,-210.1668,4.75254722784761,-10.46375,-0.48396021,-2.158557,25.18875,0.0459603392903618,27.9365,28.30375,28.17075,26.11,26.13625,26.36,26.61925,25.87125,0.162902361981077,0.160205079676471,0.0730298894884761
8,6.75,375.2825,-6.195525,-18.4775,-7.94195,26.41885,14.4264975,-2.10325,-20.36925,101,34.1375,-3.98675,21.8906167319163,73.156638,-0.2445,23.979115,25.924,26.2965,0.056025,0,0.050825,0.0223628462933998,1985.969575,-94.01801,-55.9189675,5.73591096139746,-10.5645,-0.4946322,-2.425498,25.399475,0.045820926539114,27.9085,28.4115,28.2765,26.0915,26.178,26.42075,26.67,25.8845,0.17222306106739,0.156001769032944,0.0712032330912051
8,7.25,370.42529,-7.687804,-19.2,-5.5831059,26.04455,18.55176375,-6.8261,0.775775000000005,101,55.45,-5.9203,41.776,70.8105818305456,1.90895,24.627,26.09025,26.397,0.07075,0,0.17965,0.0244903269066743,1922.7375,-199.5008,-41.806664,6.44223228642517,-10.626,-0.3034534,-2.48419785,25.3952,0.0563717806715189,28.053,28.52875,28.45875,26.145,26.6025,26.47,27.011,26.33625,0.172104361685515,0.16797222907918,0.0846932054491274
8,7.75,371.456,-6.9418,-20.011,-1.94800655,25.985725,20.652963,-4.9405,20.184,101,120.56,-3.6147915,66.7325,70.075325,6.1,25.201985,26.1945,26.585,0.06691023,1.245,0.35365,0.0211837227950811,1902.993875,-247.0693875,-75.77727,5.79707546332353,-10.662,-0.356988325,-4.19873725,26.126855,0.0540668713335133,28.293,28.58925,28.514,26.51675,26.74575,26.781,27.3245,26.58375,0.188814717139781,0.178425198097299,0.0929462276945291
8,8.25,368.24413,-7.3642675,-19.4695,-1.594955,25.92885,14.7962985,-6.39305,23.396,101.084815,93.99,-3.244398875,58.4612492781404,66.977275,5.5825,25.48848,26.3,26.5875,0.07382469,2.282,0.4864,0.0236800066307267,1872.93815,-141.8085,-35.090721,6.59461241872093,-10.47,-1.1949376,-3.8583402,26.79521,0.0704896071912514,28.06275,28.615,28.5175,26.8085,26.962,27.00075,27.356,27.0545,0.201407232405125,0.18962129220664,0.09277755463828
8,8.75,367.6666,-6.55935,-17.98975,-1.03323,25.590875,29.21445,-5.781075,51.832331,101.101,209.8725,-2.113269,80.5525,63.2726,6.45075,26.11691,26.315,26.6175,0.089415766,2.8054148,0.527,0.0289338803452297,1850.859975,-146.0116,-197.1986675,6.23604361277966,-10.055,-0.6802815,-5.0057675,27.10545,0.0766487077861072,27.82,28.25,28.292,27.05125,27.1095,27.2905,27.185,27.06125,0.219482245689982,0.210233760076822,0.095163712879486
8,9.25,367.84015,-5.507055,-15.615,-0.9878884,25.7313,27.31622,-6.312575,61.75225,101.101,209.845,-1.422825,85.8525,61.6520592938415,6.771,26.0501,26.4,26.7025,0.07732367,3.43309,0.61115,0.026228978624073,1840.00355,-89.852165,-67.339764,6.26136901833167,-9.4615,-0.67707265,-5.06455845,27.204,0.0689622360426342,27.88625,28.244,28.35725,27.5,27.46,27.68425,27.4535,27.65075,0.251408034875578,0.216056011256341,0.0976145993179299
8,9.75,368.571975,-6.033785,-13.121,-0.0130901749999996,25.01705,29.6747475,-5.168575,96.41,101.101,306.7775,-1.16603175,127.709915,59.3518510064537,7.0885,25.8724025,26.58225,26.679,0.08755454,4.681164,0.746475,0.0298720578486294,1832.756025,-144.497525,-1095.222535,7.17310623122168,-8.5455,-1.172743125,-4.9931302,26.642595,0.0677294362736423,27.916,28.20675,28.325,28.018,27.93575,28.04725,27.65575,28.03,0.229840407288237,0.198797689653085,0.0919467907324566
8,10.25,363.40799,-6.57545,-10.2275,0.336219175,24.0277,34.8336975,-5.98175,75.475,101.01515,269.7025,-1.4755,112.43,56.4760959810527,6.660425,25.7968,26.42,26.465,0.1071735,4.37,0.65045,0.0254979592611205,1836.308375,-157.2048125,-108.91235025,6.06064853642592,-7.3775,-1.969171375,-5.25351,27.020595,0.0723842570993768,27.73375,28.09025,28.14,28.337,28.29375,28.397,27.8075,28.3475,0.232360468601856,0.203045654461357,0.0887145550432716
