DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,LW_IN,LW_OUT,VPD,CO2
11,2.25,0.873102044,3.1796,1.1012825,0,-6.471415,0.6917195,89.330525,0.144577237,100.302,1.0357,0.72186325,0.0333069,1.464005,1.426355,-4.18246,-3.88275,-4.6468575,-4.088185,-4.294364819,-5.0746025,280.66,289.86,1.2899,452.587725
11,2.75,1.151624152,3.1214882345,1.27992,0,-6.598735,0.691942,89.862,0.13334641925,100.27125,1.032055,1.305205,0.030815,1.481135,1.6343125,-4.12789,-3.859665,-4.6976225,-4.0714775,-4.418753316,-5.01712139225,276.17,289.67,1.0779,445.5178
11,3.25,0.77,3.301625,0.5705368515,0,-6.525535,0.6965805,89.41585,0.137475023,100.25925,1.03033,1.2121725,0.0323729,1.458475,1.6373025,-4.1667,-3.915815,-4.7021025,-4.0533725,-4.1073627395,-4.86306625425,273.3425,290.15,0.97659,440.0375
11,3.75,0.82932781125,3.9095,1.454234337,0,-6.48387,0.698715,89.6143,0.148761,100.303,1.02123,0.74704775,0.031493725,1.457865,1.55373,-4.16281,-3.935245,-4.7169925,-4.0427175,-4.28239380625,-4.87582109775,275.11,290.31,1.046045,442.04895
11,4.25,1.0051479725,3.047375,1.1880084165,0,-6.671455,0.696572,89.48285,0.145256,100.3085,0.999665,0.32414425,0.0335467,1.39078,1.65699,-4.196175,-3.949155,-4.7117375,-4.0377925,-4.0355818685,-4.811225885,277.67,289.97,0.96761,446.4979
11,4.75,0.94291485775,3.17633,0.9488006415,0,-6.76652,0.68481,89.6088,0.1401905,100.3155,1.200095,0.167838,0.033015,1.40845,1.8163775,-4.166425,-3.90535,-4.706585,-4.033445,-4.42009993425,-4.918654466,279.32,290.15,1.1878,446.1163
11,5.25,0.9241107195,3.3071821975,1.096873181,0,-6.823395,0.694769,89.578675,0.143802,100.32175,1.017995,0.043033775,0.0361245,1.422675,1.6906,-4.16142,-3.9197,-4.71289,-4.0361425,-4.123316963,-4.89602499475,281.29,288.89,0.9648725,446.5447
11,5.75,0.806433,2.824075,0.439479308,0,-6.71992,0.6774365,89.3684,0.13832427575,100.3265,0.9716095,-0.049073,0.03271825,1.4349,1.770035,-4.14976,-3.914605,-4.7082175,-4.0395725,-4.3368367945,-4.97535456025,288.36,289.23,0.96849,442.311
11,6.25,0.9420455,2.823,0.99058,0,-6.691745,0.67225,89.8533,0.141858533,100.3315,0.9582595,-0.1384645,0.03350695,1.44109,1.59588,-4.16273,-3.916655,-4.7151575,-4.043805,-4.213059058,-4.85251308875,283.8825,289.38,0.93453,447.7972
11,6.75,0.75338425,2.6606,0.864615,0,-6.5827,0.6804285,89.46655,0.14973707575,100.306,0.9464,-0.1461095,0.0320767,1.42905,1.6854825,-4.089895,-3.869635,-4.7158825,-4.04027,-4.3794309265,-4.905747636,288.6175,289.54,0.85964,446.44
11,7.25,0.87172329875,2.985213846,1.627502472,0,-6.68565,0.67313,89.52135,0.1521835,100.233,0.9416135,0.33800325,0.045642275,1.419255,1.8645925,-4.098475,-3.85242,-4.725065,-4.0301425,-4.2191937855,-4.81667278525,287.84,291.47,0.876285,448.3441
11,7.75,0.882168501,3.25466801925,1.66716,0,-6.78845,0.6800815,89.7624,0.1510875,100.2,1.14537,0.62879,0.198336,1.3913,1.81538,-4.08508,-3.85661,-4.7407825,-4.02505,-4.4191672835,-4.91268307125,282.335,289.85,0.86024,451.677875
11,8.25,0.94938298675,3.11056259225,1.5525,0.42818,-6.84132,0.665305,89.155,0.147191,100.1865,1.844435,1.0325025,2.30124,1.3851,1.898845,-4.119425,-3.88154,-4.7431975,-4.027295,-4.27855648375,-4.90006375,280.63,290.58,0.8578875,454.0899
11,8.75,0.913634769,3.78286,1.93545,3.6830325,-6.6903425,0.67126275,89.509175,0.16345575,100.2,4.7200075,0.94545925,10.46235,1.3967675,1.8802625,-4.0772225,-3.883075,-4.7542,-4.03627,-4.654757559,-5.087395,282.585,290.67,0.7358425,463.04325
11,9.25,0.91994756,4.6479,2.582315,13.65255,-6.817835,0.65630925,89.8978,0.14657,100.21775,11.424175,1.54366,27.1012,1.390525,1.926945,-4.110215,-3.894085,-4.76594,-4.03705,-4.48788086,-4.970775,278.91,291.18,0.85919,450.6351
11,9.75,0.876869437,5.38087,2.889365,28.81885,-6.5818,0.63465175,89.11345,0.15315,100.2675,23.613425,3.614165,45.957,1.38525,2.0670525,-4.080125,-3.8639675,-4.77403,-4.03946,-4.676228423,-5.149302775,278.52,290.82,0.87241,448.1121
11,10.25,0.878726155,4.96882,3.08892334225,50.07645,-6.694715,0.6381815,88.871525,0.1646389595,100.284,36.77455,7.2169,72.899675,1.40852,1.9768,-4.09118,-3.877785,-4.74945,-4.0379875,-4.354035352,-5.18649331225,279.84,292.19,1.027815,448.483
11,10.75,0.801766363,5.979375,3.3368925,61.1725,-6.3789725,0.6476755,88.3066,0.1714405,100.374,47.530075,10.3712,104.8575,1.4056125,2.1486,-4.0563175,-3.8883475,-4.73475,-4.03656,-4.449906877,-5.221785588,278.28,293.03,1.151,443.8823
11,11.25,0.8457353305,7.4402,4.9783025,81.306525,-5.34275,0.64803625,87.61985,0.1917743015,100.3755,58.04725,12.215125,129.42725,1.4015825,2.4093,-4.098205,-3.8982175,-4.73764,-4.01868,-4.380364697,-5.02203,277.54,294.62,1.3649,435.4202
11,11.75,0.765291,8.3843,4.73052,87.355775,-4.810355,0.64779725,87.0854,0.18721263775,100.384,67.249675,16.299025,141.99225,1.4007325,2.4334,-4.0580225,-3.8677075,-4.72222,-4.02622,-4.185739447,-4.917440925,282.4975,296.76,1.626875,434.13655
11,12.25,0.6808106595,8.38335,5.260430444,93.6459,-4.502475,0.6436555,86.94765,0.184049,100.3905,68.86885,18.9906,149.91,1.381675,2.5276,-4.123565,-3.899215,-4.7325975,-4.0156325,-3.60843575075,-4.4741856705,283.36,297.99,1.6975,431.473
11,12.75,0.78332658675,7.3413679905,4.336575,93.214,-4.20896,0.642226,86.57715,0.18129387525,100.44025,68.2082,16.875,149.296,1.38236,2.48415,-4.044395,-3.88811,-4.72926,-4.010175,-3.60775133125,-4.3594376185,281.095,297.63,1.7735,428.632
11,13.25,0.84300675,8.023833024,3.383593562,88.3396,-3.92293,0.660086,86.854325,0.190323132,100.403,63.44715,15.19125,136.8495,1.3972,2.36475,-4.02352,-3.864335,-4.7240325,-4.0039775,-3.25527198,-4.174695,279.1125,297.88,1.8105,427.0235
11,13.75,0.7151835,6.3256375,3.445701806,73.3704,-3.990835,0.6603385,86.707,0.185445,100.404,54.29505,12.665,112.32375,1.426705,2.397125,-3.98319,-3.82741,-4.6815475,-4.0017875,-3.166789096,-4.19775552425,277.38,296.93,1.9302,425.9998
11,14.25,0.748926616,6.108855,1.63407976275,56.2482,-4.14737,0.6739235,87.3349,0.192895,100.3665,39.7313,7.8365225,82.14135,1.407395,2.37795,-3.88846,-3.794715,-4.7084075,-3.999095,-2.570411784,-4.015575,283.045,296.02,1.96405,428.658875
11,14.75,0.76091057425,4.80921,0.607975,34.32915,-4.1740875,0.69082725,87.2586,0.170215,100.40525,25.412525,5.3921,55.0953,1.41839,2.1603,-3.85956,-3.7894075,-4.6837925,-3.9922925,-2.59298119475,-4.02272969075,282.615,297.2325,1.9865,430.643125
11,15.25,0.92778340625,4.492452201,-0.194278105,18.1035,-4.5910125,0.71206925,87.6254,0.1556445,100.4065,12.746975,3.80564,29.730825,1.4124725,2.1867,-3.863145,-3.8141675,-4.6681875,-3.9798,-2.68957741325,-4.01096125,282.22,296.42,1.8031,434.00545
11,15.75,1.1207825,3.91549120075,0.3892945185,5.79907,-5.22363,0.724195,88.4339,0.14713525,100.381,4.315315,2.24969,12.442625,1.43091,1.856975,-3.853365,-3.77216,-4.6759025,-3.9802,-3.355672387,-4.170415,283.495,295.58,1.7721,433.953
11,16.25,1.063495,3.5848811375,0.209283238,0.47574825,-5.3447975,0.72689575,89.378525,0.142836,100.366,1.642055,1.8338,3.0504575,1.446945,1.8238375,-3.923735,-3.8533625,-4.6718575,-3.9658475,-3.4863907315,-4.18380875,277.2275,294.745,1.7402,439.86645
11,16.75,1.101731125,2.63664,0.0822415175,0,-5.59882,0.71457275,90.3012,0.14357,100.3605,1.02546,1.70131,0.238817,1.455775,1.6995075,-3.9333775,-3.859395,-4.6702675,-3.962085,-3.9949098795,-4.39605116025,274.495,294.4475,1.1474,439.02
11,17.25,1.07,2.837645,0.451522,0,-6.143335,0.70772775,90.12155,0.14085,100.348,0.86851925,1.56308,0.0554016,1.444635,1.713975,-4.08506,-3.87018,-4.668755,-3.9558,-3.972005432,-4.54697360325,278.025,292.99,1.18145,438.1139
11,17.75,0.903593462,2.851735,-0.046825,0,-6.03978,0.69831025,89.6356,0.14248,100.3605,0.90186725,1.219887,0.042603025,1.4273775,1.6137875,-4.069245,-3.87622,-4.6712875,-3.945295,-4.484903015,-4.98919648825,278.36,292.4,1.0505,440.5832
