DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,T_CANOPY,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,SW_DIF,PPFD_IN,PPFD_OUT,NETRAD,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_A,TS_1_2_1,TS_1_2_2,TS_1_2_A
2,0.75,2.7399,0.52115,0.44495,0.22885,3.7505,2.672,66.785,97.52285,5.0661,0.4572,409.25845,8.97345,0.38375,0.38375,-29.5774,6.104,0.2269,5.762,0.792,269.4,317.6,1.401,0,0,-62.72,-17.165,-28.28,-19.125,-26.245,-21.76875,6.4645,6.455,6.45575,7.1645,7.3805,7.31025
2,1.25,2.72325,0.5359,0.447,0.2098,3.334,2.364,71.07,97.51195,4.2324,0.4326,409.96285,8.76765,0.5625,0.5625,-30.083,3.86105,0.2042,5.762,0.832,266,318.6,1.576,0,0,-62.381,-17.68,-28.515,-19.455,-26.425,-23.12,6.3815,6.3475,6.40125,7.175,7.351,7.30825
2,1.75,2.6252,0.5492,0.44095,0.1914,3.3375,2.069,72.11,97.51545,3.9534,0.5115,410.4306,8.9798,0.596,0.596,-28.54385,5.1368,0.17685,5.762,0.7545,261.2,316.7,1.555,0,0,-60.811,-17.325,-28.645,-19.345,-26.415,-22.7125,6.332,6.145,6.3275,7.181,7.329,7.299
2,2.25,2.5903,0.52815,0.4678,0.1772,3.037,2.61,73.6,97.53205,3.7682,0.50595,410.87695,8.77365,0.3465,0.3465,-27.0048,6.4991,0.16385,5.762,0.846,263.7,316.6,1.368,0,0,-59.756,-17.35,-29.31,-19.655,-25.435,-22.3475,6.2665,5.943,6.19275,7.185,7.3185,7.2745
2,2.75,2.51285,0.52,0.4221,0.16595,3.312,2.3755,74.915,97.5417,3.6738,0.439,411.0769,8.74925,0.4046,0.4046,-32.02225,7.4705,0.1965,5.762,0.797,267.1,316.4,1.522,0,0,-61.764,-17.315,-28.845,-19.055,-25.25,-22.0575,6.195,5.728,6.05225,7.184,7.301,7.2455
2,3.25,2.4711,0.4573,0.43645,0.16505,2.29,1.6455,77.005,97.56775,2.701,0.4324,411.7695,8.82175,0.5025,0.5025,-26.941,6.017,0.1642,5.762,0.877,266.9,315.5,1.446,0,0,-60.357,-17.565,-29.17,-19.425,-26.465,-23.47125,6.1225,5.544,5.926,7.18,7.2595,7.2145
2,3.75,2.82945,0.5028,0.46125,0.2261,2.77,1.676,76.12,97.54905,3.6226,0.4349,410.9044,8.603,0.5778,0.5778,-26.43675,4.9626,0.1894,5.762,0.96,266.3,313.1,1.381,0,0,-58.19,-17.46,-29.285,-19.59,-25.785,-23.08875,6.038,5.3705,5.8035,7.1725,7.1985,7.2035
2,4.25,2.82185,0.6082,0.46585,0.2424,2.5185,1.692,75.665,97.55705,3.43785,0.504,410.5832,8.9377,0.6373,0.6373,-27.6016,6.6452,0.2417,5.762,0.925,262.7,313.7,1.38,0,0,-57.476,-17.94,-28.55,-18.865,-26.48,-23.70625,5.9655,5.1935,5.69325,7.166,7.135,7.1755
2,4.75,3.25195,0.56255,0.50865,0.2531,2.1955,1.472,77.53,97.5697,3.054,0.4743,410.3521,8.7942,0.6206,0.6206,-26.6929,6.2498,0.2408,5.762,0.815,257.7,312.4,1.452,0,0,-61.59,-18.005,-28.47,-19.16,-27.05,-23.8725,5.9145,5.034,5.506,7.1635,7.0705,7.14075
2,5.25,3.00875,0.56275,0.5148,0.23655,1.838,1.3055,79.265,97.5755,2.6146,0.4698,408.63745,8.4846,0.4599,0.4599,-22.4983,5.2155,0.2113,5.762,0.771,261.1,312.3,1.565,0,0,-59.255,-17.61,-28.655,-19.525,-27.685,-24,5.861,4.896,5.336,7.17,7.0055,7.1125
