DOY2,HR2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TA_1_1_1,RH_1_1_1,CO2_1_1_1,H2O_1_1_1,WS_1_1_1,USTAR_1_1_1,TS_1_1_1,G_1_1_1,G_1_1_2,G_1_1_3,PA_1_1_1,FC_1_1_1,SC_1_1_1,LE_1_1_1,SLE_1_1_1,H_1_1_1,SH_1_1_1,NEE
1,22.75,0,0,0,1,263.642052,307.2339618,-58.201533715,-0.379207,68.43262,403.184446,3.829963,3.06,0.358004,2.3778,-7.733817,-9,-8,98.82975,0.249943,0.067769,0.078991,0.007546,-11.353312,0.001287,0.5497555
1,23.25,0,0,0,1,264.88736135,307,-57.402755185,-0.38,69.22,403.452571,3.763201,3.128872,0.3587705,2.3362135,-7.875,-9,-8,98.83132,0.227221,0.068397,0.108445,0.1719445,-11.741369,-0.009725,0.572084
1,23.75,0,0,0,1,266.0960245,307,-53,-0.565719,69.96173,403.3443315,3.7395345,3.088531,0.355315,2.3399735,-7.9430145,-9,-7.953709,98.838185,0.253469,0.066653,0.362139,0.147456,-11.099825,-0.0247315,0.581921
2,0.25,0,0,0,1,274.0423233,309,-45,-0.076395,68.705075,404.684155,4.173585,2.869522,0.28153,2.5942385,-5.449546,-5.310705,-5,98.77771,0.281106,0.088177,0.582703,0.186445,-10,-0.0061285,0.534588
2,0.75,0,0,0,1,272.3043654,309,-49,-0.254,70.095175,404.770057,4.139908,2.906907,0.264306,2.543267,-6,-5.757316,-5,98.77806,0.259028,0.088446,0.441679,0.001245,-10,-0.000476,0.529808
2,1.25,0,0,0,1,271.974076,308,-45.59869429,-0.2917915,71.16815,404.9699755,4.189102,2.915599,0.2629495,2.497306,-6.106772,-6,-5.392544,98.77592,0.295387,0.09184,0.3917175,0.003613,-9.833819,0.0049615,0.51946
2,1.75,0,0,0,1,271.3172751,308,-45.49004683,-0.4464115,72.450465,405.110343,4.1790245,2.8870865,0.2880205,2.47479,-6.245031,-6.4002765,-5.59958,98.77679,0.227221,0.098947,0.465939,0.1445405,-9.867543,-0.0121345,0.500327
2,2.25,0,0,0,1,271.410463,307.9997137,-41,-0.5030805,72.97071,405.442552,4.231948,2.9204645,0.288928,2.45,-6.35104,-6.492795,-5.753686,98.76533,0.287648,0.07342,0.4899575,0.306079,-9.86865,-0.0231605,0.516667
2,2.75,0,0,0,1,272.6784557,307,-39.036788,-0.675,73.7,405.291722,4.22913,2.89,0.282036,2.440403,-6.5,-6.5,-5.751432,98.7627,0.248419,0.072199,0.4298185,0.083446,-9.821251,-0.021504,0.461184
2,3.25,0,0,0,1,272,306.602259,-40.52650105,-0.760976,75.161835,405.500337,4.243645,2.92,0.2823405,2.426,-6.524299,-6.724486,-5.886825,98.74681,0.307397,0.091094,0.1964005,-0.009258,-9.001595,-0.015831,0.540679
