DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,PPFD_IN,PPFD_OUT,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
3,0.25,-41.4637,-43.1503,0.131097,-4.006895,0.201163,0.070011,387.822,7.34418,5.312855,87.6763,4.91986,57.5519,0.3988635,0,-0.08729815,8.8175,11.005,12.6225,14.095,13.205,13.09
3,0.75,-41.2684,-44.3186,0.0946423,-3.50317,0.353362,0.0718278,387.556,7.24424,4.92819,87.7005,4.39933,58.3378,0.371625,0,-0.09551985,8.505,10.7325,12.5,14.05,13.23,13.135
3,1.25,-39.4921,-45.78,0.203811,-3.18229,0.2981435,0.0710601,388.841,7.14625,4.1551,87.6974,3.84941,60.7165,0.37787,0,-0.085179,8.1025,10.435,12.3775,13.985,13.265,13.135
3,1.75,-38.7527,-44.4214,0.386238,-4.17311,0.309028,0.06924255,388.1035,7.08173,3.8508,87.68555,3.49156,61.5978,0.397002,0,-0.08842805,7.8,10.135,12.2525,13.86,13.275,13.135
3,2.25,-36.8415,-44.1008,0.3414335,-3.05156,0.303934,0.06647805,388.986,6.98155,3.28504,87.6865,2.93984,63.7023,0.428377,0,-0.0911095,7.575,9.9375,12.14,13.76,13.285,13.135
3,2.75,-38.3601,-43.6027,0.512571,-2.230715,0.262233,0.0620157,388.557,7.25648,3.10873,87.6717,2.66009,65.1541,0.348265,0,-0.08682445,7.345,9.65,12.0225,13.65,13.3,13.14
3,3.25,-36.9204,-43.0841,0.1819505,-2.54332,0.318228,0.06291475,388.885,7.21606,2.79679,87.65925,2.49552,67.8339,0.353279,0,-0.0902195,7.1345,9.4075,11.8775,13.545,13.32,13.14
3,3.75,-36.3094,-43.0953,0.452699,-2.62817,0.277174,0.068744,388.3445,7.129285,2.15353,87.6586,1.81834,69.1035,0.361977,0,-0.0912013,6.812,9.1825,11.8025,13.455,13.33,13.14
3,4.25,-35.7385,-43.3716,0.08941805,-4.41981,0.288575,0.0637722,388.616,7.075745,1.13145,87.66465,1.01304,71.6148,0.354347,0,-0.08706775,6.5225,8.96,11.7025,13.38,13.335,13.14
3,4.75,-35.9224,-43.277,0.210166,-1.487475,0.170026,0.0627494,387.991,7.05938,0.58856,87.67485,0.452261,74.0425,0.364077,0,-0.09149355,6.20425,8.79,11.615,13.295,13.35,13.14
3,5.25,-34.668,-43.1654,0.1582695,-1.97276,0.217986,0.0633572,387.911,7.01799,0.561637,87.6865,0.263124,75.7206,0.35765,0,-0.0881289,5.95025,8.5575,11.475,13.19,13.355,13.14
3,5.75,-34.8981,-42.646,0.0908606,-2.55453,0.162881,0.06256765,387.204,7.0023,0.528147,87.699,0.118432,77.4955,0.367339,0,-0.08056635,5.70625,8.4175,11.3925,13.07,13.345,13.14
3,6.25,-31.8233,-42.5371,-0.04027235,-1.46097,0.1012678,0.0617131,388.354,6.86789,0.30316,87.7208,-0.178988,77.9036,0.34875,0,0.08202685,5.50475,8.245,11.285,12.945,13.355,13.14
3,6.75,-12.0285,-40.1449,1.07003,-2.36283,0.4231995,0.059758,389.809,6.97449,0.515802,87.7431,0.00823717,77.4915,0.322576,46.0546,5.39664,5.2715,8.0825,11.1475,12.825,13.335,13.145
3,7.25,21.8815,-29.289,6.47094,4.359225,0.276998,0.0643594,388.32,7.42752,2.8446,87.74615,2.24049,70.2457,0.368778,204.25,26.4185,5.18825,7.95525,11.015,12.715,13.365,13.145
3,7.75,92.8064,-12.4417,17.0934,33.92975,0.327756,0.127359,385.044,7.70697,6.08443,87.75395,6.04134,58.3047,0.669763,414.985,51.05755,5.4415,7.81725,10.8875,12.645,13.365,13.14
3,8.25,173.443,5.29395,23.5105,90.714,0.251371,0.19248,383.256,7.61261,9.09693,87.7548,9.0953,45.3046,1.11045,637.507,74.10275,6.494,7.8375,10.765,12.55,13.375,13.09
3,8.75,257.045,20.9529,29.2875,130.288,0.306556,0.207688,382.126,7.44206,11.5971,87.73695,11.8358,37.1873,1.20996,804.608,94.859,8.14475,8.0825,10.68,12.495,13.355,13.16
3,9.25,344.771,38.2993,30.31085,184.8805,0.465625,0.199074,380.965,7.11776,13.8436,87.7308,14.1444,29.6591,1.13388,1013.01,113.623,10.2775,8.6375,10.5525,12.41,13.33,13.16
3,9.75,422.697,54.0613,33.35995,232.091,0.463932,0.210547,380.6375,7.13579,15.6275,87.7192,16.1803,26.0102,1.2981,1207.77,127.04,12.2775,9.2475,10.5175,12.29,13.32,13.155
3,10.25,486.5345,75.4117,34.534,257.163,0.4721185,0.2261755,380.187,6.52895,17.08165,87.71155,17.38035,23.3794,1.347455,1378.165,140.787,14.3,10.125,10.51,12.21,13.285,13.155
