DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,LW_IN,LW_OUT,VPD
1,22.75,0.2232675,-0.0509,-1.833628773,0,-21.3662,-0.19395,73.7551,0.0666,99.3499,0.295401,-1.7361,0.0016081,-0.24749,0.427616,-7.48522,-6.5593,-9.1316,-6.31808,-4.644005,-8.144036143,425.8718,235.505,250.53,0.246725
1,23.25,0.276229844,-0.0128,-2.127565,0,-21.1995,-0.186831,73.4575,0.06125,99.368,0.294922,-1.8902,0.00162152,-0.251224,0.4014245,-7.4709,-6.66104,-9.17843,-6.31403,-4.664925,-8.145255,428.139,234.335,250.18,0.2482
1,23.75,0.2782271,0.0376,-1.3886961735,0,-21.586,-0.187543,73.7986,0.0722,99.38235,0.285694,-1.91388,0.00144487,-0.250801,0.402586,-7.4273,-6.51981,-8.91443,-6.16598,-4.5212,-8.218565,428.315,233.185,247.265,0.219215
2,0.25,0.2411960775,0.04726,-3.00192,0,-17.5978,-0.2954515,75.5963,0.0631,99.701,0.2826205,-2.54887,0.001066845,-0.3423155,0.417087,-6.0728,-5.5438,-4.902575,-3.673045,-2.485035,-4.620635,420.085,214.735,224.955,0.197015
2,0.75,0.3175439125,0.11524,-3.279325,0,-17.738,-0.3110075,75.30645,0.0646,99.698,0.3317835,-2.32021,0.001400345,-0.3633995,0.414221,-6.0291,-5.667,-4.858045,-3.830435,-2.618645,-4.8046525,420.18,217,225.37,0.19714
2,1.25,0.264601887,0.245096304,-2.5734,0,-17.74365,-0.313348,75.48525,0.06635,99.71535,0.3080955,-2.1889,0.00113047,-0.3770875,0.400055,-6.19156,-5.6741,-5.2084,-4.122265,-2.65308,-5.0190175,420.04,216.135,227.355,0.199785
2,1.75,0.30510218,0.0939,-3.583613631,0,-17.7659,-0.3139805,75.73725,0.06795,99.7236,0.2880295,-1.653565,0.0010392,-0.3858535,0.399345,-6.13155,-5.6279,-5.271595,-4.17267,-2.662015,-5.19432,420.4941,214.7,227.81,0.207205
2,2.25,0.296719,0.153891,-2.41272,0,-17.66775,-0.3010375,75.0929,0.07215,99.6848,0.323285,-1.956395,0.000675458,-0.3836265,0.429435,-6.06603,-5.6883,-5.327245,-4.18249,-2.665275,-5.1920525,420.9475,212.395,226.93,0.208425
2,2.75,0.28,0.01111,-2.98561,0,-17.6167,-0.294247,75.17965,0.0698,99.68815,0.322732,-2.21182,0.00126282,-0.39125,0.410317,-6.0857,-5.71488,-5.372675,-4.221645,-2.668075,-5.2066725,420.0838,214.095,228.01,0.20707
2,3.25,0.343941,-0.072,-2.863235,0,-17.6305,-0.2851065,75.01375,0.0679,99.723,0.342174,-1.82665,0.000998224,-0.37936,0.418695,-6.11889,-5.66892,-5.359455,-4.223355,-2.6639,-5.250321874,419.45,210.455,228.13,0.193795
2,3.75,0.328093974,0.171909,-3.362305,0,-17.72485,-0.2924335,75.13745,0.0687,99.6784,0.331013,-2.017175,0.00132486,-0.3879205,0.441631,-6.13042,-5.6124,-5.3508,-4.220305,-2.67182,-5.23108,420.07,210.17,227.46,0.194275
2,4.25,0.2750547,0.1628410085,-2.46573,0,-18.15315,-0.3067765,75.47875,0.0668,99.7192,0.3561405,-1.83694,0.000884643,-0.4018135,0.42808,-6.15319,-5.6148,-5.3791,-4.224985,-2.671765,-5.14669,420.157,213.12,224.53,0.197315
2,4.75,0.328799291,0.0636,-3.61734,0,-18.5316,-0.315135,75.8619,0.06725,99.7042,0.341612,-1.89503,0.00050087,-0.401358,0.4293,-6.14096,-5.5751,-5.40706,-4.21951,-2.673215,-5.136520536,419.0592,212.55,225.22,0.198735
