DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA
1,20.75,-2.689255,1.006131,0.732519793,0.1438531,0.2355117,0,0.03663416,0.03612894,428.31995,-0.008916667,265.8646,272.4498,-7.3455,-8.3892,91.125,1.920366,2067.34,3.114371,0.0024232445,-0.03281059,-0.148189,-0.0127915915,96.073445
1,21.25,-1.4912635,-0.02258944,0.6851134,0.145894702,0.269099,0,-0.18751425,-0.18718845,428.44525,-0.021,269.8313,275.6118,-5.863334,-8.120667,90.35332,1.884406,2067.0215,4.020548,0.00660165,-0.03049327,-0.1541206,-0.04372948,96.06693
1,21.75,-1.5696075,0.7757572,0.665687719,0.13416375,0.2563098,0,-0.3909733,-0.3468903,428.03555,-0.025,269.9145,275.7823,-5.776,-8.286333,89.31001,1.908516,2069.212,2.660927,-0.000574141,0.01147342,-0.0908723,0.05583768,96.02985
1,22.25,-1.6587955,0.34317825,0.605290091,0.12974325,0.20141545,0,-0.140095062,-0.19,428.3005,-0.010787035,269.8356,275.3638,-5.216111,-8.2185,89.78889,1.844466,2070.6975,2.510533,0.0015832975,-0.01273071,-0.076803855,-0.03750454,96.04059
1,22.75,-2.262164,0.58,0.635533454,0.1347708,0.20583855,0,-0.08247778,-0.08,428.3016,-0.0031666665,270.20575,274.99445,-4.8192915,-8.5251665,90.53083,1.917748,2065.024,4.227658,-0.003069639,-0.0055511535,-0.06738961,0.0103764215,96.03307
1,23.25,-1.631422,1.526732,0.6853404075,0.1409902,0.1880651,0,-0.06438855,-0.04698266,428.7287,-0.006041665,270.22145,276.8364,-4.466041,-8.706333,90.276675,1.8859655,2070.8135,2.6461695,-0.003506703,-0.003060161,-0.07999371,0.09526487,96.00365
1,23.75,-1.295327,0.3853174,0.624025131,0.1371722,0.20583555,0,-0.1005413,-0.1035157,429.0444,-0.01275,272.3029,277.20955,-4.5767085,-8.90425,90.880005,1.8642245,2071.0345,2.353044,-0.0006538147,0.000987506,-0.06185321,-0.04469654,95.99933
2,0.25,-5.989257,-1.01970855,0.241311411,0.07763476,0.2000068,0,0.438958325,0.43724345,433.3863,-0.065375005,217.9269,241.07105,-12.88921,-16.265835,84.820005,0.88940695,2080.076,5.3529835,0.01172569,-0.02299122,-0.1776311,-0.0385396,96.00265
2,0.75,-5.151671,-0.570651,0.3034645,0.0712,0.198624,0,0.08750314,0.0995945,432.1544,-0.07137499,219.13575,245.11845,-11.37971,-16.0935,85.159165,0.92725105,2080.799,0.4107385,0.00602535,-0.02201481,-0.18758805,-0.0301996768,96.009445
2,1.25,-5.383286,-0.6818491,0.307473,0.1012007,0.1994486,0,0.248661734,0.25,431.60945,-0.085083335,224.4667,248.9551,-11.862125,-15.837495,84.479995,0.9618484,2080.5685,2.57878,0.0096854715,-0.026469495,-0.222785,0.0124918075,96.00683
