DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,TA,RH
2,12.25,-0.123965,-0.18325,3.2592575,-0.428938,1.4717325,0.17473425,-5.514875,373.519,1.1987325,0.71488925,0.71810725,0.30478775,0.153407,149.983625,55.4413125,261.24701845,295.388916725,392.625,-4.647,59.1875
2,12.75,-0.1096755,1.6822275,6.51707,-0.375577,1.4488325,0.21215475,-5.01349,373.739,1.26999,0.7545485,0.75409025,0.30216875,0.1683805,144.8166,61.9529125,261.5238144,294.4190264,399.875,-4.383,57.495
2,13.25,-0.11098175,-0.4640425,2.94224,-0.72936775,1.425005,0.19399,-4.4877425,374.143,1.30006,0.7291595,0.74411325,0.30257725,0.144563,140.10245,58.7459525,258.8929238,294.5329798,374.775,-3.68975,57.5575
2,13.75,-0.11601075,-0.85614,2.62605,-0.7695275,1.3558975,0.224224,-4.187525,373.7285,1.3340775,0.7653795,0.80337475,0.30349325,0.1464415,140.8074,57.2191025,259.1009734,294.54736785,385.55,-3.61825,55.8725
2,14.25,-0.1016445,-6.301695,1.37233,-0.591679,1.5312,0.223759,-4.47503,373.7205,1.336555,0.824564,0.7989075,0.354463,0.154784,140.056975,49.014655,253.3183476,293.63397585,384.55,-3.7235,56.6825
2,14.75,-0.1010605,-0.82645925,3.15303,-0.4234725,1.3247625,0.18739625,-3.1572775,373.6155,1.28426,0.78795525,0.729105,0.31525425,0.13742425,118.018875,39.300595,258.26679225,294.706076725,333.7,-3.74725,58.105
2,15.25,-0.0956,-3.21912,4.15509,-0.3508325,1.3157625,0.1943095,-2.938765,372.9855,1.3498,0.774976,0.7779075,0.3151755,0.15127825,95.3849025,35.553595,254.401187225,295.178057375,273.55,-3.598,56.37
2,15.75,-0.0792,-4.911645,3.2944175,-0.354733,1.372635,0.170011,-2.99407,373.6675,1.3314125,0.6956425,0.7335815,0.293276,0.105294,83.3199125,30.6364125,260.0288569,295.7280951,245.325,-3.484,57.0525
2,16.25,-0.0959435,-5.967835,4.55398,-0.4177345,1.37164,0.14385825,-2.96868,372.389,1.36311,0.70375375,0.7113755,0.29547,0.09245,69.058905,24.8598925,255.1077471,297.042734,194.6,-3.65025,57.885
2,16.75,-0.07395,-12.44355,1.67549,-0.2099305,1.19518,0.1602425,-2.86639,372.191,1.29739,0.60995,0.5892655,0.2632065,0.0785,47.2599275,15.6771825,253.14425525,298.45967855,140.75,-3.577,59.3675
2,17.25,-0.0852,-14.8708,1.68526,-0.032925,1.12406,0.130944,-2.73362,370.273,1.2811075,0.480222,0.511833,0.220836,0.0954,24.06916,8.81491,258.5325024,297.2284743,70.615,-3.572,60.98
2,17.75,-0.0807,-17.4228,1.31633,-0.0599,1.07689,0.119421,-2.97406,370.173,1.43299,0.413117,0.477889,0.158482,0.0968,8.3616375,4.39062,258.4108409,297.6133675,25.89,-3.7025,63.09
2,18.25,-0.0738,-6.06277,-0.16238025,-0.1986515,0.625212,0.0982,-3.72378,369.876,1.24406,0.379273,0.413658,0.160519,0.0857,0.4173225,1.2173595,258.0979667,297.9085701,3.7805,-4.027,64.025
2,18.75,-0.0517,-6.96868,0.240729,-0.0624,0.564052,0.0818,-4.91367,373.5655,1.187885,0.334805,0.329207,0.149012,0.0648,-2.133985,0.50362925,261.9467851,298.2514299,0.1075,-4.5765,65.53
2,19.25,-0.0444,-7.48951,0.92591325,-0.175447,0.346423,0.0679,-5.35588,373.971,1.602945,0.331717,0.286085,0.11567,0.0859,-2.663854,0.46382795,260.7604904,297.9985294,-0.0055,-5.2485,66.9
2,19.75,-0.0393,-12.539225,0.615504,0.0186,0.39951,0.094,-6.00535,374.842,1.53845,0.309724,0.325912,0.133035,0.0917,-2.355256,0.51285175,259.4800421,297.5508391,-0.009,-5.245,68.455
2,20.25,-0.0423,-15.2822,0.114768,-0.155363,0.319754,0.0731,-6.30263,374.063,1.442725,0.294253,0.303285,0.12202,0.0949,-2.3812445,0.5081294,258.2053768,295.466732,-0.0105,-5.4605,68.785
2,20.75,-0.0672,-12.1651,-2.9854515,-0.736695,0.392762,0.0763,-6.90005,375.384,1.43074,0.287189,0.309457,0.0949,0.10265525,-2.173707,0.5116103,257.5364858,295.3285876,-0.012,-6.0715,70.745
2,21.25,-0.0416,-5.3214,0.317124,-0.0789,0.334503,0.0757,-6.9069,375.783,1.4207575,0.264473,0.318407,0.125641,0.089,-1.9503185,0.51584255,265.185768,297.233488,-0.0085,-6.415,69.06
2,21.75,-0.0369,-10.0593,0.0221325,-0.143758,0.515957,0.0849,-6.83166,376.274,1.388525,0.29999,0.294124,0.106307,0.0777,-1.873205,0.50295865,264.412616,297.038746,-0.0035,-6.278,69.72
2,22.25,-0.0588,-10.5722,0.0567,0.025575,0.380148,0.0806,-6.75354,377.2825,1.39227,0.260852,0.3032,0.120137,0.0849,-1.7998565,0.4626738,262.705937,296.400288,-0.0055,-6.026,70.235
2,22.75,-0.0386,-11.4062,0.0579,-0.408346,0.468138,0.0838,-6.57489,376.959,1.35653,0.306527,0.275834,0.108561,0.0926,-1.7280095,0.4804458,266.5236659,294.8980989,0,-6.136,71.025
2,23.25,-0.074,-15.0461,0.327928,-0.472679,0.419725,0.0827,-6.12133,376.341,1.272435,0.354393,0.365074,0.148177,0.105355,-1.6457735,0.4695524,265.4940566,295.5444209,0.0015,-5.987,69.91
2,23.75,-0.0391,-13.8686,-1.83095,-0.0425,0.443398,0.106975,-5.36194,376.482,1.26139,0.352309,0.342049,0.13755,0.0928,-1.575427,0.4023081,266.350379,296.8964808,5e-04,-5.933,70.9
3,0.25,-0.07665,-7.5509,-0.72588,-0.366182,0.337026,0.04635,-2.9700325,374.048,1.92384,0.190254,0.19599075,0.059575,0.109827,-2.977115,0.8344472,233.311817725,302.9863545,-0.022,-3.658,69.55
3,0.75,-0.06275,-10.6292775,0.543004,-0.001325,0.29001,0.042825,-3.3283075,374.2415,1.6336825,0.17997425,0.170086,0.051975,0.112287,-2.992305,0.714159,232.748458225,301.9275762,-0.011,-4.074,71.13
3,1.25,-0.037575,-11.3868,1.30725,-0.912341,0.34572275,0.048075,-3.7014775,373.09825,1.62902,0.15843175,0.146875,0.0526,0.1045645,-3.136409,0.5920427,230.98180935,301.7329801,-0.011,-4.355,72.5
3,1.75,-0.046025,-10.20465,1.39848,-0.332884,0.42773575,0.0427,-3.8707775,372.765,1.70587,0.15583075,0.149312,0.0474,0.1114205,-3.179721,0.7402431,231.14193375,301.54029015,-0.015,-4.863,73.83
3,2.25,-0.046325,-9.25266,0.07961325,-0.2996375,0.501259,0.053,-4.01747,371.814,1.4407775,0.17223275,0.15284225,0.054275,0.1236765,-3.241785,0.6410953,231.917980575,300.6001794,-0.017,-4.666,75.99
3,2.75,-0.0445,-10.888975,0.419356,-0.066725,0.45895525,0.04075,-4.2473675,370.32,1.80509,0.177129,0.128732,0.0498,0.117328,-3.115422,0.6389648,232.009256075,299.247995475,-0.02,-5.102,75.72
3,3.25,-0.06415,-7.212595,1.35958,0.118622,0.4550795,0.04415,-4.610415,372.445,2.0925425,0.170252,0.155907,0.04885,0.1183235,-3.111639,0.4277723,231.321717575,297.4094402,-0.017,-5.277,75.9
3,3.75,-0.03725,-7.129925,0.08991175,-0.3389435,0.383566,0.0384,-4.727605,370.0035,1.68723,0.20629,0.1555495,0.0557,0.11958825,-2.69522,0.5412455,232.795072325,299.564323225,-0.011,-5.468,76.79
3,4.25,-0.016025,-5.98217,0.1444415,-1.2471435,0.425705,0.04775,-4.847385,370.053,1.995695,0.1906665,0.174733,0.051675,0.088475,-2.654449,0.5914201,233.7801237,299.324165725,-0.008,-4.516,77.34
3,4.75,-0.02895,-5.87294,-0.083475,-0.4182055,0.4030515,0.0509,-4.990635,373.06925,2.0233975,0.152181,0.192606,0.0578,0.086925,-2.658391,0.6309866,238.529762725,299.1314247,-0.007,-4.438,78.79
3,5.25,-0.0307,-8.19549,0.913331,-0.410137,0.4009025,0.0506,-5.109575,371.896,2.2643975,0.1763355,0.209577,0.06535,0.0854,-2.608459,0.6389281,240.448339025,298.780690425,-0.009,-4.492,79.88
3,5.75,-0.03895,-7.94398,1.474095,0.049025,0.440632,0.06855,-5.319445,372.81125,2.39818,0.2239565,0.2586685,0.07365,0.10337,-2.610637,0.6456818,244.306066325,297.686482225,-0.012,-5.124,78.82
3,6.25,-0.04085,-12.67785,0.4123315,0.1469565,0.4485725,0.04915,-5.00938,371.526,2.43792,0.2001025,0.2025085,0.0622,0.0801,-2.722549,0.6553583,244.245838175,296.838292225,-0.001,-4.322,77.33
3,6.75,-0.04165,-5.808425,0.3654295,-0.35001725,0.3744085,0.06895,-4.68893,372.035,2.26101,0.224825,0.239412,0.07125,0.1021235,-1.360412,0.8124106,246.57275315,296.2829578,0.199,-4.279,76.39
3,7.25,-0.0464,-8.708155,2.0881325,-1.20368,0.450849,0.0692,-3.36169,372.1775,2.30024,0.282519,0.273433,0.103236,0.1019145,2.594433,1.75827,246.133254475,296.01643145,10.15,-4.216,75.58
3,7.75,-0.0815,-11.49364,8.1769675,-0.2745015,0.5146725,0.1062155,-2.111205,372.167,2.2498125,0.482244,0.41168,0.1762025,0.133319,18.88773,3.66146,247.4970227,301.3947245,48.95,-3.033,70.79
3,8.25,-0.0812,-0.463749,9.01064,-0.795093,1.081205,0.1272915,-1.222655,373.4485,1.9625275,0.5672395,0.57118,0.241984,0.14140825,49.64963,7.43517,251.224533725,309.96790055,132.4,-2.969,67.5
