DOY2,HR2,TA,USTAR,WS,FC,H,LE,CO2,H2O,PA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,RH,TS
2,17.25,-1.4953750295,0.222,1.3365,-0.3214999925,-9.3360004,1.16875,414.8604445,4.5650798815,95.102550505,-25.710000165,2.70266665575,1.30933333325,263.2166683,307.899993325,43.6533335,1.5
2,17.75,-1.7234999625,0.2365,1.349,-0.152,-21.1845,0.47299999,414.440878075,4.22191371175,95.1347847,-43.8999996675,-1.704083325,0.54549999425,261.4916675,305.9999975,45.566667085,1.5
2,18.25,-1.8737499875,0.1755,1.36625,-0.17575,-20.549,0.1872499925,414.5893895,4.367765961,95.16600418,-66.6016674175,-2.9810000665,0.50458330825,257.474996675,304.2500075,48.31916675,1.5
2,18.75,-2.03750005,0.15125,1.253,-0.1710000025,-24.547,0.198499995,414.4140631,4.266969547,95.20108032,-70.839168415,-3.2009999,0.450583335,255.149999975,303.058330825,50.01666633,1.5
2,19.25,-2.195666667,0.1574999925,1.22125005,-0.114,-22.60575,0.074,414.35928345,4.3309702855,95.21979141,-71.47333383,-3.82299995,0.469500008,255.166665,302.01666835,53.566667,1.5
2,19.75,-2.567,0.13075,1.16075,-0.199,-23.281,0.0695,414.724261,4.60177541025,95.2283020025,-71.75333267,-3.7490000165,0.441499992,251.75000165,301.40000835,52.963333,1.5
2,20.25,-2.704416667,0.12899999,1.125,-0.1675,-24.52325,-0.099,414.497284525,4.36401815925,95.2087879175,-66.790001,-3.773666633,0.427333337,253.13334,301.1000067,52.178333585,1.5
2,20.75,-2.9135833545,0.1385000075,1.09,-0.3292499975,-24.0755005,-0.1999999975,415.1454353,4.341185574,95.22142029,-65.83666733,-3.583999967,0.449666657,250.9333333,299.8333333,54.53333425,1.5
2,21.25,-2.882416642,0.1362500025,1.0215,-0.2755,-25.5275,-0.200000005,414.4956724,4.24895444125,95.21900177,-69.97666667,-3.434666733,0.466000003,251.5333367,298.56667,55.24833175,1.5008333335
2,21.75,-3.158999933,0.1505000075,1.083,-0.181499995,-23.2104995,0.0565,415.0865529,4.276026095,95.22080803,-68.314999835,-3.50416665,0.3446666665,252.26666835,298.14999835,56.006667,1.5
2,22.25,-3.368333333,0.143250005,1.06725,-0.263500005,-20.7362505,-0.184,415.3472274,4.160278063,95.2020893125,-63.738332665,-3.302999983,0.31716666,254.60000335,297.88333335,56.81666733,1.5
2,22.75,-3.300166734,0.132,0.9927499775,-0.103,-18.8715,-0.147,415.146254625,4.2142257315,95.203111645,-67.441666165,-3.21650005,0.322499995,254.19999665,297.14999335,57.939999,1.5
2,23.25,-3.436333334,0.146,0.96100003,-0.3035,-23.917,-0.0275,415.73247975,4.1380159035,95.186660765,-62.398333165,-3.316500033,0.2638333265,252.1,297.1000067,58.42333367,1.4975
2,23.75,-3.564333267,0.116,0.8665,-0.1705000025,-18.887749,-0.3152499975,416.2423245,4.25648464,95.199886325,-61.838334085,-3.25000005,0.27975001225,253.383335,295.175005,59.73666633,1.4925
3,0.25,-1.21920831525,0.1262500075,0.9954999925,-0.066,-23.54774975,0.015,413.76157145,4.56740990475,95.72195816,-78.43583367,-4.1602500665,0.53199998,241.25,304.274996675,53.912499335,3.38708333325
3,0.75,-1.6880833335,0.11175,0.9375000025,-0.2367500025,-22.302,-0.577999985,414.301810375,4.5830694505,95.705940245,-77.5075004175,-3.92958329175,0.58358333475,240.4666642,304.116668325,55.1566665,3.369
3,1.25,-1.817499992,0.12175,0.783999995,-0.19625,-22.2435,-0.341,414.4873816,4.667147833,95.68547821,-76.4799995025,-3.87291666675,0.52350000075,237.7083325,303.5749942,56.4466665,3.30975
3,1.75,-1.9347500165,0.11875,0.87950001,-0.2572499975,-22.157,-0.7357499975,414.10186705,4.51483976525,95.69396591,-77.951667835,-3.9156666165,0.5509999985,238.0333333,302.433335,58.026667335,3.3015
