DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA,RH,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,PA
2,5.75,-1.6564,-4.788,-9.67775,-99.566,0.02975,-0.681725,371.744575,340.2391,-72.0775,0,0,0,-18.22175,63.59575,0,-8.6805,-4.6004,-3.59065,-4.61925,-3.1489,-0.745175,-3.7311,-4.428,-5.057075,-5.974475,-5.803025,-5.192675,-9.553,-10.67475,96.582575
2,6.25,-1.51235,-11.17775,-5.4578,-109.4045,0.0252,-2.14925,370.941325,339.5271,-72.2625,0,0,0,-18.3995,68.208,0,-8.4505,-4.7122,-3.675,-4.63575,-3.12765,-0.7171,-3.635225,-4.464,-5.11395,-5.886375,-5.803,-5.195075,-9.55825,-10.82,96.596075
2,6.75,-2.1252,-2.0635,-9.183925,-96.61915,0.0381,-2.40155,371.2224,339.473825,-71.8975,0,0,0,-18.602,67.65675,0,-8.4965,-4.57745,-3.57285,-4.48685,-3.08205,-0.74305,-3.74375,-4.48325,-5.419125,-5.8887,-5.72045,-5.139925,-9.60775,-11.1085,96.6556
2,7.25,-1.74,-2.67615,-17.787475,-137.8079,0.007425,-4.256175,355.85325,339.6151,-71.3775,0,0,0,-18.76,66.307,0,-8.7895,-4.65015,-3.8539,-4.49965,-3.0648,-0.73025,-3.682,-4.44485,-5.1917,-6.0041,-5.0194,-5.1171,-9.61,-11.46875,96.713525
2,7.75,-1.7689,-2.1366,-6.9715,-120.89765,0.02125,-1.58215,372.08825,339.43615,-57.830875,0,0,0,-18.349,68.88125,0,-8.9135,-4.59165,-3.50825,-4.4548,-2.89875,-0.76675,-3.6634,-4.46175,-5.08065,-5.888725,-5.190675,-5.14615,-9.641,-11.652,96.783925
2,8.25,-2.09645,-7.221125,-5.587,-95.277125,0.04725,-1.67025,371.68165,339.94635,-28.8035,15.53725,1.6333,0,-17.04,67.481,0,-7.4075,-4.66285,-3.71175,-4.0622,-2.79615,-0.72425,-3.668125,-4.469475,-5.451975,-5.864175,-4.4619,-4.49775,-9.65325,-11.7125,96.86685
2,8.75,-2.1734,-5.9448,-3.6882,-73.215275,0.071775,-6.8685,371.7574,339.65485,-4.42075,31.65175,3.500225,0,-16.054,64.215,0,-6.6736,-4.5558,-3.7366,-3.69335,-2.82095,-0.739875,-3.9001,-4.5718,-5.33605,-5.9091,-4.59975,-4.919725,-9.80875,-11.467,96.950825
2,9.25,-2.03605,-4.95915,3.5409,-36.9292,0.09075,-8.17575,371.210225,339.6515,-3.282075,39.058,4.464775,0,-14.80025,63.34025,9e-04,-6.2098,-4.6385,-4.00665,-3.91015,-2.89375,-0.7536,-3.727725,-4.552525,-5.596475,-6.206325,-3.651325,-5.086325,-9.84425,-10.8435,97.012175
2,9.75,-2.34495,-2.33425,3.85935,-27.0039,0.087975,-3.91,366.27275,339.3642,-6.80165,57.9805,6.547225,0,-13.96325,58.08975,0.03025,-6.9204,-4.62515,-3.9819,-4.3463,-2.96205,-0.9022,-3.896575,-4.4423,-5.3998,-6.05245,-4.9166,-4.683375,-9.5865,-9.82325,97.0592
2,10.25,-2.6798,-3.12385,6.68485,-16.948175,0.143,-2.15575,371.08375,339.1498,-0.7376,73.19745,9.43675,0,-13.3885,55.09075,0.0361,-5.832,-4.64425,-4.25035,-4.56305,-2.85515,-0.838025,-3.7114,-4.493625,-5.921425,-6.116475,-5.586425,-5.4826,-9.2255,-9.12875,97.0954
2,10.75,-2.530825,-6.035,6.938475,-16.0409,0.216575,-1.56975,349.03025,339.1404,-9.476425,86.444975,10.57925,0,-13.1845,51.91675,0.31685,-5.2732,-4.60075,-4.2736,-4.53925,-3.01745,-0.85175,-3.728975,-4.512925,-5.616025,-6.06085,-5.2618,-5.740725,-8.8425,-8.92825,97.1572
2,11.25,-3.211775,-5.063,10.19225,-4.294375,0.27585,-2.1276,371.00995,339.3686,-12.733,106.261625,10.95175,0,-12.59925,50.1875,0.330875,-4.86185,-4.62015,-4.10335,-4.4597,-2.92325,-0.954575,-3.77615,-4.503,-5.639825,-6.10635,-5.56355,-5.90745,-8.43025,-8.88325,97.164775
2,11.75,-2.7745,-6.45395,5.0738,8.76825,0.28,-0.57785,371.034075,339.33515,-9.131,116.031875,11.873,0,-12.45875,46.94,0.310575,-4.54615,-4.7142,-3.592,-4.1888,-2.8504,-0.849675,-3.775175,-4.5411,-5.825025,-5.840975,-5.2902,-5.685725,-7.97125,-8.50375,97.1812
2,12.25,-1.97475,-10.482625,12.2402,0.934875,0.30075,-3.4717,369.230675,339.508775,3.320875,120.70825,11.26535,0,-12.1165,44.496,0.1583,-3.85845,-4.7713,-3.591,-4.17205,-3.00945,-0.943925,-3.577825,-4.48305,-6.06745,-6.00075,-5.16925,-5.02325,-8.044,-8.09075,97.139825
2,12.75,-2.5551,-7.8195,3.22275,-3.9003,0.2807,-3.443,371.5305,338.966275,0.375725,97.495,11.609825,0,-11.7375,44.0015,0.40565,-4.23435,-4.42765,-3.65155,-4.20015,-2.8484,-0.846975,-3.77605,-4.441,-6.1944,-5.824675,-5.55405,-5.284275,-7.8755,-7.78075,97.078275
2,13.25,-2.73995,-8.555425,7.45655,-0.0483999999999978,0.291675,-7.74125,371.502075,338.4534,-8.73717499999999,100.310525,11.92225,0,-11.09725,42.941,0.41345,-4.0806,-4.63055,-3.71875,-3.7249,-2.9072,-0.805575,-3.67535,-4.559,-6.212275,-5.93835,-5.72805,-5.29815,-7.546875,-7.63025,97.0414
2,13.75,-2.007225,-32.6757,13.59475,-15.52835,0.274875,-4.15785,371.513675,338.5752,5.94305,98.055,11.2355,0,-11.09825,44.31975,0.3589,-4.54405,-4.29775,-3.703,-3.69595,-2.8442,-0.91445,-3.7193,-4.52445,-6.077775,-5.787675,-5.96245,-5.380525,-7.222525,-7.4665,96.9842
2,14.25,-2.9815,-9.60485,-4.179675,-18.303625,0.27755,-9.581425,363.323875,338.9208,2.181075,112.873675,10.48945,0,-11.15825,42.94325,0.3588,-4.7503,-4.386,-3.4799,-3.56255,-2.787,-0.859175,-3.77035,-4.4934,-5.851175,-6.100125,-5.1316,-5.0597,-6.91885,-7.28375,96.916
2,14.75,-2.5097,-4.338725,7.05185,-20.315,0.294875,-1.8816,371.2934,339.009,3.7944,91.100875,10.5805,0,-11.009,44.785,0.4473,-4.20085,-4.0828,-3.4688,-3.36775,-2.7614,-0.8676,-3.567925,-4.4554,-5.796275,-5.926375,-6.1807,-5.03245,-6.65285,-7.127,96.79165
2,15.25,-2.609,-7.2382,2.9335,-40.6815,0.2866,-2.637,367.0982,338.9808,5.281175,85.314525,9.23225,0,-11.08025,45.5745,0.45025,-4.17,-4.28785,-3.5562,-3.6412,-2.7588,-0.992175,-3.616225,-4.45395,-5.658025,-6.060825,-5.893225,-5.351675,-6.410575,-7.3775,96.721375
2,15.75,-1.556375,-6.855,5.36705,-25.526875,0.2362,-3.2076,371.8306,338.806175,3.0403,60.442,8.74125,0,-11.24075,45.9965,0.4103,-4.4061,-3.85465,-3.49055,-3.51835,-2.7228,-0.9689,-3.540775,-4.41375,-5.944225,-5.7788,-4.3347,-5.15035,-6.22305,-7.44575,96.780025
2,16.25,-2.443475,-10.269,-7.245775,-28.8747,0.2272,-1.3914,370.5896,338.639475,1.5671,42.22125,7.72925,0,-11.484,47.82675,0.2523,-4.4747,-4.02505,-3.51375,-3.49085,-2.6972,-0.842075,-3.559325,-4.3565,-6.419975,-5.670675,-4.35815,-5.348225,-6.08785,-7.429,96.80985
2,16.75,-2.6625,-21.592225,-2.3954,-29.1293,0.123625,-1.1768,370.8254,338.543125,-11.36195,25.97925,5.225275,0,-11.66825,45.67775,0.112525,-5.0569,-4.12155,-3.889,-3.08835,-2.777,-1.02295,-3.629375,-4.39075,-5.6701,-5.851125,-4.33965,-5.90695,-6.1337,-7.45075,96.83905
2,17.25,-1.4816,-5.4144,-10.4395,-56.3084,0.094275,-2.6345,371.065925,339.259125,-44.70375,16.284,0.691875000000002,0,-11.93875,47.8365,0.0915,-7.28,-4.0807,-3.5886,-2.7935,-2.7566,-0.868,-3.58935,-4.4328,-6.110475,-5.724675,-3.484625,-6.092325,-6.2115,-7.36325,96.871475
2,17.75,-2.152,-5.36005,0.65815,-87.6507,0.1174,-0.5896,370.2198,338.9403,-73.857,0,0,0,-12.342,50.384,0.003,-7.408,-4.095,-3.6041,-2.5101,-2.4808,-0.8421,-3.3674,-4.30545,-5.938,-5.893475,-4.125575,-5.844625,-6.34975,-7.56175,96.9072
2,18.25,-2.047375,-8.89785,-6.1085,-94.240025,0.05155,-1.971,370.2652,338.620525,-79.2,0,0,0,-13.0435,53.68975,0,-7.9515,-3.97495,-3.8906,-2.93595,-2.7408,-0.8007,-3.545425,-4.2808,-6.0808,-5.739775,-4.1736,-5.898625,-6.488475,-7.551,96.934425
2,18.75,-1.868375,-3.384,-17.88675,-94.1603,0.044475,-3.3261,365.827925,338.8986,-81.8325,0,0,0,-13.39325,56.42375,0,-7.5505,-3.82505,-3.4707,-3.78805,-2.7332,-0.790675,-3.4174,-4.1519,-5.714475,-5.665525,-4.98615,-5.68595,-6.6658,-7.64275,96.97125
2,19.25,-2.266375,-2.0875,-5.557325,-94.5189,0.024825,-2.44465,370.7226,338.8364,-81.565,0,0,0,-13.98775,59.66825,0,-8.246,-3.77575,-3.1766,-4.04305,-2.9652,-0.767175,-3.318475,-4.327375,-5.583525,-5.60145,-5.347975,-4.092375,-6.736375,-7.64775,97.0156
