DOY2,HR2,FC,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,VPD,RH,PA,TA,TS_1,TS_2,G_1,G_2,WS
3,2.75,1.058155991,-17.9505,0.80478,0.114945,0,0.52468,218.555,240.985,-21.809,0.00525755,0.25045,81.112,99.6875,-12.428,-0.930785,-0.913025,-4.5179,-4.6925,0.563975
3,3.25,0.776188768,-14.784,0.374585,0.0921,0,0.61201,219.46,243.39,-23.304,0.0063202,0.23842,82.289,99.704,-13.1275,-0.92514,-0.91469,-4.51175,-4.6878,0.52175
3,3.75,0.839177623,-13.401,-0.25863,0.088,0,0.576155,218.16,242.87,-21.351,0.0060802,0.212315,83.1595,99.702,-13.661,-0.933775,-0.90674,-4.55465,-4.6782,0.51603
3,4.25,1.028445834,-8.3269,1.4062,0.10563,0,0.65679,218.71,239.995,-22.239,0.0055027,0.223655,82.579,99.6835,-12.56,-0.94539,-0.91732,-4.59,-4.6712,0.511245
3,4.75,0.8811532055,-15.692,0.978045,0.0837,0,0.651125,219.54,238.34,-23.279,0.0046744,0.2185,81.714,99.6645,-14.2985,-0.968225,-0.93696,-4.581,-4.67195,0.54222
3,5.25,0.971130768,-14.595,0.57082,0.09325,0,0.6055,219.11,239.765,-21.2475,0.00727395,0.22165,82.342,99.6485,-14.237,-0.9724,-0.932685,-4.6005,-4.6813,0.576035
3,5.75,0.7576910535,-9.0835,-0.34801,0.109355,0,0.642415,218.66,239.475,-19.108,0.017516,0.21288,81.744,99.671,-15.423,-0.97678,-0.94423,-4.59805,-4.69575,0.503915
3,6.25,0.5887201075,-7.7101,-0.0596,0.08375,0,0.76727,222.035,240.03,-17.3785,0.0503765,0.21637,81.764,99.6215,-14.9665,-0.979495,-0.95218,-4.5999,-4.7064,0.508855
3,6.75,0.429347259,-5.3712,0.30368,0.076,0.31674,1.64595,221.1,238.01,-12.279,1.229,0.223615,81.353,99.563,-14.869,-0.99813,-0.97171,-4.58135,-4.7346,0.513915
3,7.25,0.701473004,-7.37,0.62994,0.0995,4.04965,5.8846,222.495,237.95,-8.03875,11.189,0.28371,80.3925,99.552,-14.869,-0.977485,-0.972335,-4.57835,-4.75765,0.5463
3,7.75,0.449336332,-8.72675,0.24044,0.0861,22.655,20.3215,223.72,239.43,-6.8103,46.4195,0.331475,77.0795,99.546,-13.537,-0.975675,-0.97016,-4.56355,-4.7487,0.49182
3,8.25,0.6899923715,-10.14625,0.76385,0.10552,63.424,47.3335,225.975,245.115,-3.67225,102.015,0.48175,71.9975,99.598,-11.498,-0.944425,-0.916155,-4.57225,-4.74765,0.627925
3,8.75,0.524710657,-10.887,1.6865,0.0886,119.58,82.56,225.6,250.05,0.20192,178.42,0.65908,73.631,99.603,-10.1,-0.93941,-0.90714,-4.56055,-4.753,0.68475
3,9.25,0.509221627,-18.67,3.2153,0.11198,158.78,121.93,224.74,253.87,4.8571,264.53,0.77381,69.6605,99.62,-8.44875,-0.872275,-0.84929,-4.59905,-4.77525,1.17025
3,9.75,0.4693525,-17.432,3.8284,0.10147,207.31,161.225,226.23,261.445,3.81235,358.32,0.918665,64.203,99.647,-7.50925,-0.882355,-0.836625,-4.6239,-4.8137,1.7255
3,10.25,0.468714604,-13.1685,4.6796,0.111555,212.39,179.69,230.33,268.995,8.9306,390.94,1.16295,61.4315,99.641,-6.64145,-0.855215,-0.82782,-4.6645,-4.85295,1.69115
3,10.75,0.3083937145,-14.4695,4.1258,0.11986,258.075,210.065,230.06,273.45,10.1291,481.2,1.40775,56.6465,99.608,-5.24905,-0.85814,-0.81332,-4.6933,-4.898,1.7499
3,11.25,0.347081068,-14.312,4.9909,0.13027,315.28,248.77,232.63,277.32,10.918,540.11,1.73935,53.329,99.6265,-3.80775,-0.80882,-0.812325,-4.73495,-4.93855,1.86715
3,11.75,0.370531111,-13.01,8.31775,0.12445,328.85,277.845,236.53,280.72,11.309,620.03,2.03645,51.1645,99.5285,-2.7922,-0.840095,-0.82413,-4.76545,-4.9822,1.8724
3,12.25,0.420678176,-12.39,8.537,0.12149,355.06,300.61,238.04,285.41,10.871,673.96,2.3356,49.25,99.52,-2.3968,-0.86461,-0.84856,-4.82485,-5.0098,1.8426
3,12.75,0.365907177,-14.449,9.0602,0.138855,350.76,295.9,238.4,287.82,7.99625,681.87,2.5123,48.07,99.5195,-1.57505,-0.887905,-0.885815,-4.83765,-5.03925,2.0444
3,13.25,0.3794602805,-14.792,11.016,0.13183,375.49,318.285,240.58,290.44,6.8625,705.04,2.67775,46.4595,99.525,-1.048715,-0.906845,-0.902115,-4.8361,-5.07635,1.9426
3,13.75,0.362342424,-15.2655,11.103,0.135635,359.86,310.085,238.3,292.38,3.8183,690.45,2.90995,45.6145,99.518,-0.42738,-0.94557,-0.92394,-4.8258,-5.0996,2.04375
3,14.25,0.3880130005,-17.196,11.2695,0.14416,345.145,293.66,238.5,291.56,3.33795,671.74,3.2368,45.0345,99.517,0.016054,-0.945115,-0.93852,-4.85235,-5.12555,2.2716
3,14.75,0.441288254,-14.898,10.186,0.1308,318.05,266.665,240.865,293.19,3.92665,627.105,3.30575,43.689,99.493,0.117305,-0.957375,-0.964755,-4.87775,-5.18535,2.1232
3,15.25,0.4161879685,-14.852,9.1457,0.12968,276.995,232.29,241.585,292.075,-0.60446,532.185,3.31535,42.33,99.467,0.42653,-0.96656,-0.95984,-4.85325,-5.16745,2.10785
3,15.75,0.451077776,-16.481,6.9576,0.11581,224.9,196.025,241.37,289.38,-7.2528,439.94,3.29585,43.9505,99.445,0.57797,-0.98185,-0.979405,-4.82925,-5.19595,2.28375
3,16.25,0.467702462,-15.764,6.123,0.11323,200.65,169.04,244.81,287.19,-12.431,376.31,3.1943,44.832,99.452,0.83223,-0.973325,-0.9877,-4.8328,-5.1965,2.1764
3,16.75,0.430747269,-17.383,5.3739,0.10033,151.09,130.67,242.05,284.64,-18.342,277.79,3.07835,45.2115,99.439,0.363895,-0.958375,-0.967825,-4.81285,-5.16215,1.9878
3,17.25,0.422729705,-14.0425,3.6659,0.0898,103.15,84.549,241.24,280.61,-20.608,203.8,2.78395,46.863,99.428,-0.32714,-0.95179,-0.966045,-4.81665,-5.11945,1.7138
3,17.75,0.470151505,-14.7655,2.9821,0.0847,57.121,47.952,239.7,278.035,-24.474,118.69,2.46405,51.0555,99.437,-1.07145,-0.928675,-0.95166,-4.82125,-5.09165,1.4795
3,18.25,0.495874864,-11.0205,0.55208,0.0805,23.841,22.312,237.67,274.255,-27.392,61.28,2.12115,58.4695,99.459,-2.37695,-0.849835,-0.885845,-4.8095,-5.0556,0.97755
