DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT
2,4.75,422.187709,8.828722,2072.66087,1.246647,22.283374,-10.137254,8.533307,1.53226,0.175864,-0.045914,0.509262,0.233997,13.546611,0.268701,101.76,86.36,8,1.436285,11.033333,11.17,11.6966665,11.715,11.79,-66.966482,0,0
2,5.25,422.490921,8.755695,2084.0552595,1.122857,22.725108,-9.667056,10.237801,1.529459,0.17338,-0.0416135,0.487307,0.2288185,13.120405,0.271396,101.775,86.96,7.8,1.384954,11.003333,11.1,11.6966665,11.7075,11.7975,-65.915493,0,0
2,5.75,421.747094,8.569843,2100.358658,1.041201,23.680897,-6.770432,11.0319735,1.507511,0.17336,-0.040536,0.489432,0.22267,13.149384,0.261216,101.8,87.1,7.635,1.390452,10.983333,11.09,11.6975,11.705,11.8175,-67.5704225,0,0
2,6.25,423.134698,8.5017005,2085.6415705,1.085018,20.9776285,-8.461864,9.980373,1.364734,0.163554,-0.0376735,0.502591,0.215295,13.068676,0.258838,101.8,87.05,7.713,1.343677,10.96,11.05,11.6816665,11.695,11.81,-66.2323945,0,0
2,6.75,422.742757,8.470242,2104.4440115,1.06535,19.4296145,-9.4384805,10.2171885,1.569298,0.166908,-0.0408605,0.5030415,0.215698,12.974837,0.265385,101.8,86.98,7.5645,1.365257,10.906667,11.01,11.6775,11.685,11.8,-64.90795,3.225806,0.18797
2,7.25,423.729719,8.570299,2107.0420195,1.044897,27.121107,-8.4627895,14.097678,1.472911,0.167952,-0.04431,0.473888,0.227997,12.906738,0.257728,101.845,86.05,7.81,1.390507,10.82,10.98,11.6366665,11.685,11.7925,-34.8943665,44.1938535,4.699248
2,7.75,423.070231,8.8105955,2065.462015,0.939974,29.345656,0.305153,20.573063,1.594984,0.187843,-0.0581955,0.5273495,0.255493,13.213043,0.263422,101.885,84.3,8.29,1.616615,10.78,10.96,11.565,11.64,11.7525,1.472583,150.28463,20.676692
2,8.25,421.917433,9.103328,2041.001041,0.782055,26.290697,11.63202,34.098251,1.86756,0.226741,-0.076617,0.554843,0.306897,13.800583,0.280518,101.91,81.8,9.03,2.13885,10.77,10.97,11.5183335,11.6175,11.7275,43.802817,348.00759,55.827068
2,8.75,418.6679905,9.228382,2021.063248,0.8770875,26.0278775,22.558043,42.444447,2.044105,0.247161,-0.094825,0.624395,0.344174,14.450711,0.281152,101.93,77.3,9.84,2.775505,10.78,10.98,11.5091665,11.5975,11.7275,117.75211,528.7053665,69.642857
2,9.25,416.463954,9.285217,2018.4583005,0.605108,23.103598,36.7316865,52.2926355,2.196631,0.279126,-0.109503,0.712509,0.353146,15.134743,0.340254,101.95,73.35,10.735,3.422457,10.83,10.99,11.466667,11.57,11.73,197.605634,705.502846,62.218045
2,9.75,415.78335,9.284943,2008.276424,0.6412995,25.454562,53.581906,59.353499,2.3140335,0.300643,-0.1267995,0.760919,0.384995,15.6981565,0.3835035,101.965,68.85,11.48,4.114597,10.86,10.99,11.483333,11.56,11.755,267.746479,857.334526,70.300752
2,10.25,413.872931,9.346593,1994.038924,0.6122375,25.296059,57.0656565,59.037296,2.4774995,0.3099005,-0.12623,0.782781,0.390081,16.453827,0.389036,101.975,65.14,12.1,4.884084,10.95,10.99,11.515,11.65,11.76,327.904026,1009.481216,76.503759
2,10.75,413.292287,9.28642,1995.5803035,0.692611,25.584248,65.614221,59.551941,2.655035,0.3132085,-0.120215,0.8326535,0.410107,17.09413,0.4355045,101.96,62.64,12.515,5.4401985,11.05,11.055,11.525,11.6625,11.8125,379.300706,1132.3792485,83.7406015
2,11.25,412.6497635,9.238325,1987.399288,0.794045,27.224637,75.323153,62.083099,2.5864185,0.3162715,-0.1209685,0.850214,0.395249,17.683893,0.44285,101.925,60.18,13.29,6.119269,11.185,11.07,11.525,11.6625,11.8125,412.429314,1208.586762,88.7218045
2,11.75,411.042937,9.085786,1988.2713655,0.7705275,28.3503225,80.334226,62.899272,2.523798,0.310655,-0.118093,0.8802405,0.4000295,18.077833,0.4689335,101.9,57.27,13.565,6.6846855,11.26,11.115,11.535,11.6375,11.85,433.556338,1255.635063,92.293233
2,12.25,410.271335,9.073323,1980.08989,0.860833,29.32765,84.1043875,63.313682,2.3547235,0.318507,-0.122366,0.892294,0.397334,18.451633,0.477603,101.88,55.135,14.355,7.4958325,11.405,11.2,11.55,11.62,11.83,443.9573335,1287.666034,88.533835
2,12.75,409.593439,9.103243,1977.823116,0.622952,26.956665,76.748701,64.889758,2.469709,0.319533,-0.12085,0.900173,0.403977,18.7648285,0.4617695,101.825,53.065,14.76,7.9587245,11.4616665,11.205,11.556667,11.595,11.825,441.267606,1288.804554,77.443609
2,13.25,408.163581,9.0974285,1975.943979,0.698028,29.131543,79.271291,63.207034,2.454733,0.323162,-0.1247325,0.896491,0.400057,19.180399,0.466698,101.8,51.24,15.145,8.4267535,11.4616665,11.31,11.536667,11.65,11.87,421.68801,1248.387097,76.597744
2,13.75,407.021414,8.89843,1973.149852,0.7489615,28.318391,76.129653,65.5785425,2.5877695,0.327906,-0.130148,0.904756,0.396385,19.43142,0.425607,101.755,50.1,15.555,9.010713,11.51,11.325,11.58,11.68,11.88,381.2597025,1166.413662,69.360902
2,14.25,406.453538,9.035545,1970.34534,0.685928,26.486848,64.322635,65.3120335,2.613774,0.3190645,-0.125586,0.904436,0.395086,19.578671,0.413424,101.725,48.925,15.6,9.2163085,11.5683335,11.445,11.59,11.74,11.88,333.770513,1066.010733,63.6278195
2,14.75,406.2800295,9.043929,1968.5633715,0.69078,28.568532,59.233136,63.788075,2.651348,0.314612,-0.124895,0.856724,0.386281,19.729444,0.360901,101.71,49.225,15.82,9.336712,11.5716665,11.485,11.535,11.71,11.875,277.910271,942.125237,58.082707
2,15.25,406.3911825,9.189413,1967.635268,0.543251,24.19996,45.8144065,56.572149,2.4857615,0.2936465,-0.106273,0.7968545,0.3665755,19.808891,0.317665,101.7,48.36,15.825,9.304536,11.735,11.575,11.52,11.76,11.86,213.186075,780.265655,50.56391
