DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_2,NEE,FC,SC,H,LE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O
2,23.75,0.15,23.68,2.17,7.82,5.025,2.01,-6.06,2.23,-4.04,24.86,24.95,88.82,98.64,401.51,3.29,-11.74,-1.825,-0.875,0.52,0.005,423.46,439.11,26.065
3,0.25,0.16,23.66,2.15,9.69,4.63,4.32,-7.09,1.1,-4.63,25.07,25.13,89.531,98.6,401.19,2.85,-11.18,-1.78,-0.85,0.62,-0.01,419.76,437.58,25.84
3,0.75,0.17,23.465,2.135,9.25,5.65,2.425,-7.72,1.13,-4.85,25.07,25.12,84.1335,98.57,405.77,4.695,-10.28,-1.7,-0.81,0.71,0,418.29,436.99,25.205
3,1.25,0.19,23.38,2.01,7.81,5.27,1.92,-7.4,1.2,-4.87,25.07,25.11,84.888,98.54,407.57,4.59,-11.21,-1.6,-0.77,0.69,-0.01,420.6,436.27,25.115
3,1.75,0.17,23.275,2.1,9.1,5.145,1.98,-8.045,1.67,-4.93,25.06,25.1,85.7445,98.52,410.66,4.095,-10.77,-1.72,-0.83,0.8,-0.02,423.52,435.92,25.02
3,2.25,0.18,23.255,1.99,9.02,6.025,2.28,-6.76,1.01,-4.89,25.05,25.1,85.891,98.51,409.655,3.99,-10.67,-1.465,-0.705,0.925,-0.01,421.965,435.8,25.03
3,2.75,0.185,23.19,2.09,9.25,6.52,1.76,-8.385,1.545,-4.88,25.04,25.09,86.662,98.5,412.02,3.92,-10.855,-1.5,-0.72,1.03,0,423.35,435.94,24.94
3,3.25,0.17,23.125,2.06,7.29,6.4,-0.385,-8.545,1.67,-4.86,25.02,25.07,86.19,98.5,414.73,4,-9.02,-1.54,-0.74,1.05,0,424.415,435.72,24.93
3,3.75,0.185,23.1,1.98,8.875,7.18,1.19,-7.02,1.225,-4.98,25,25.07,85.3815,98.51,417.91,4.045,-9.525,-1.435,-0.69,1.03,0,424.425,435.425,24.92
3,4.25,0.19,23.07,1.975,8.8,7.19,1.58,-7.5,1.92,-4.9,24.99,25.05,86.64,98.52,418.13,3.94,-9.985,-1.37,-0.655,1.31,0,422.87,435,24.86
3,4.75,0.18,23.025,2.03,8.45,6.845,2.01,-8.265,1.77,-4.87,24.97,25.04,86.461,98.525,420.81,3.9,-9.095,-1.42,-0.68,1.345,0,424.585,434.875,24.88
3,5.25,0.2,22.91,2.13,10.375,7.745,2.745,-8.55,2.085,-4.79,24.96,25.03,86.6925,98.55,421.37,3.75,-9.495,-1.42,-0.68,1.32,0,422.99,434.285,24.75
3,5.75,0.2,22.88,2.12,8.955,7.11,2.01,-8.925,0.44,-4.81,24.93,25.02,86.374,98.58,424.26,3.845,-4.965,6.5,3.12,1.83,0.5,424.41,434.125,24.72
3,6.25,0.21,22.795,2.28,4.28,8.45,-4.525,-8.185,4.21,-4.85,24.91,25,87.1835,98.62,425.985,3.62,13.315,74.695,35.805,3.185,4.2,425.15,434.75,24.67
3,6.75,0.26,22.99,2.145,1.13,7.59,-8.03,-5.405,23.23,-4.71,24.9,24.99,87.354,98.66,425.405,3.595,47.675,175.93,84.325,5.76,9.5,426.375,436.845,24.89
3,7.25,0.335,23.265,2.18,-7.035,6.795,-14.05,0.5,50.66,-4.24,24.88,24.98,86.62,98.7,421.235,3.92,100.71,323.755,155.185,8.73,17.52,427.895,439.47,25.15
3,7.75,0.42,23.64,2.47,-8.34,4.555,-13.72,14.015,86.46,-3.55,24.87,24.95,84.1945,98.74,417.12,4.69,145.1,453.65,217.44,11.11,24.66,430.58,441.77,25.27
3,8.25,0.47,24.215,2.44,-15.61,-2.15,-12.73,27.2,134.91,-2.77,24.86,24.94,81.439,98.78,412.195,5.73,211.64,619.62,296.995,14.61,32.67,433.39,446.24,25.47
3,8.75,0.5,24.66,2.56,-16.37,-7.255,-9.05,38.28,167.79,-1.63,24.84,24.92,79.859,98.82,407.755,6.335,267.77,778.785,373.285,17.65,39.695,435.96,451.11,25.27
3,9.25,0.53,25.13,2.5,-20.28,-10.42,-7.86,63.62,208.675,-0.44,24.83,24.91,77.208,98.82,402.67,7.28,329.995,920.06,441,20.57,46.76,437.6,453.47,25.29
3,9.75,0.55,25.73,2.56,-20.96,-12.2,-8.79,73.88,237.335,0.86,24.84,24.9,75.109,98.83,397.055,8.24,365.51,1045.895,501.315,22.57,52.38,439.125,457.195,25.205
3,10.25,0.55,26.295,2.48,-21.07,-13.69,-6.33,96,273.72,2.09,24.84,24.91,72.511,98.825,391.25,9.365,400.66,1146.15,549.37,24.3,59.21,441.61,460.335,25.26
3,10.75,0.52,26.48,2.54,-20.605,-14.33,-4.8,87.34,273.79,3.415,24.845,24.9,68.601,98.8,386.86,11.42,433.585,1192.135,571.41,24.03,59.655,443.21,463.15,24.825
3,11.25,0.52,26.84,2.34,-21.5,-17.05,-3.77,104.21,307.07,4.15,24.86,24.9,66.293,98.76,383.03,12.27,438.36,1264.485,606.09,25.77,64.7155,444.69,465.71,24.69
3,11.75,0.54,26.9,2.19,-19.84,-16.94,-2.43,103.08,323,5.1,24.855,24.89,72.925,98.73,380.565,9.42,431.355,1287.4,617.07,25.085,67.28,446.86,467.375,25.88
3,12.25,0.49,27.07,2.18,-15.09,-13.94,-1.895,82.26,317.75,5.91,24.86,24.89,70.893,98.67,378.57,10.57,413.17,1191.885,571.29,26.235,66.99,447.315,467.16,25.96
3,12.75,0.48,27.1,2.1,-16.62,-14.55,-1.485,91.21,299.8,6.22,24.87,24.92,66.22,98.62,377.72,12.59,375.13,1114.535,534.215,24.12,61.03,445.42,467.575,25.16
3,13.25,0.49,27.295,2.1,-13.85,-13.68,-0.665,98.005,341.31,6.5,24.88,24.92,66.004,98.55,375.705,12.6,375.48,1083.38,519.29,24.81,63.23,444.82,467.75,25.28
3,13.75,0.475,26.965,2,-10.34,-10.67,-0.185,85.76,292.55,6.28,24.9,24.92,68.199,98.485,374.8,11.855,300.17,994.74,476.8,22.4,58.64,443.67,464.88,25.29
3,14.25,0.49,26.925,2.005,-8.605,-9.315,0.02,70.68,274.21,6.24,24.92,24.95,66.348,98.45,374.54,12.18,237.3,706.05,338.42,18.475,42.09,440.62,463.04,25.09
3,14.75,0.435,26.95,2.02,-6.48,-7.885,0.8,49.92,237.975,6.07,24.93,24.98,69.2855,98.415,373.685,11.21,236.35,706.91,338.83,16.085,41.8,440.14,465.6,25.26
3,15.25,0.38,26.71,1.94,-3.71,-4.68,1.725,19.45,168.67,5.75,24.94,24.96,69.758,98.39,374.65,11.42,165.47,492.355,235.995,13.735,25.64,438.61,459.8,25.355
