DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
3,6.75,-22.92485,-38.55175,-0.477929,-3.244455,0.03272485,0.0864071,379.658,5.8374,3.20964,87.9758,0.07907895,71.70635,0.773653,22.6683,40.37955,7.77761,8.9525,12.55,13.44,13.555,13.29
3,7.25,32.876,-26.25855,0.178423,0.553202,-0.0386404,0.106937,381.629,5.86097,3.95327,88.00415,2.362585,67.18245,0.659483,106.4545,201.592,7.63216,8.78,12.4625,13.39,13.61,13.33
3,7.75,112.521,-2.85299,5.3226,27.7886,-0.335574,0.167886,383.301,6.05299,6.83953,88.0341,6.1717,55.9902,0.9219,210.519,409.989,7.766865,8.94,12.475,13.495,13.83,13.615
3,8.25,203.708,13.9213,11.4055,71.653,-0.493172,0.241954,382.28,6.16388,9.47119,88.0568,9.36867,44.6581,1.32331,319.498,638.004,8.25693,9.15,12.4925,13.555,14.085,13.83
3,8.75,291.308,39.0972,15.0259,117.4425,-0.456272,0.25449,381.7815,5.98643,11.9049,88.0645,12.396,35.5775,1.33259,422.012,847.396,8.82196,9.4025,12.585,13.655,14.13,13.975
3,9.25,372.355,82.79965,20.4295,172.666,-0.353328,0.271131,381.2825,5.6242,14.0648,88.0693,14.7315,29.30615,1.35963,526.6945,1026.11,9.51408,9.67,12.525,13.64,14.25,14.07
3,9.75,441.16,92.03305,24.3862,218.394,-0.564362,0.30362,379.6305,5.40731,15.4566,88.06885,17.0025,25.60945,1.31492,620.966,1210.335,10.39545,10.215,12.37,13.525,14.25,14.085
3,10.25,499.7855,96.64245,27.9564,260.0505,-0.373037,0.32979,379.049,5.20781,17.1583,88.0719,18.38115,22.73845,1.582405,693.7025,1388.55,11.4379,10.795,12.29,13.32,14.23,14.08
3,10.75,546.432,110.438,26.77625,298.579,-0.381911,0.397574,378.606,4.90802,17.91165,88.0568,19.76505,20.28,1.93093,748.4185,1542.95,12.8947,11.6925,12.22,13.15,14.085,13.905
3,11.25,582.262,112.848,29.17015,325.357,-0.503538,0.4552185,378.392,4.54038,18.44335,88.03685,20.4631,18.76075,2.483355,814.6975,1670.295,14.27755,12.575,12.15,12.97,13.92,13.815
3,11.75,606.839,117.115,30.3551,341.345,-0.424639,0.463148,378.328,4.38604,19.2705,88.0088,21.218,16.8875,2.59912,853.579,1731.48,15.59855,13.585,12.1625,12.785,13.8,13.755
3,12.25,614.3505,116.282,28.1643,358.359,-0.332699,0.46994,378.031,4.35118,19.7366,87.9782,21.36395,15.7578,2.69267,862.1945,1767.69,17.01585,14.7425,12.235,12.7,13.745,13.67
3,12.75,601.9175,122.9945,30.42735,360.2305,-0.444401,0.489301,377.893,4.05402,19.9451,87.94635,21.90015,14.50095,2.556865,854.011,1768.1,18.3828,16.0425,12.435,12.575,13.58,13.655
3,13.25,587.4355,130.795,27.4936,359.856,-0.3357445,0.475293,377.342,4.07553,20.28605,87.89945,22.5271,14.12685,2.541705,835.6265,1734.465,19.5571,17.4725,12.7175,12.54,13.55,13.575
3,13.75,561.915,124.299,24.6936,348.9075,-0.111695,0.503095,377.68,4.103105,20.68545,87.8676,22.7519,13.58725,2.610975,808.518,1668.175,20.62175,18.56,12.9925,12.51,13.53,13.53
3,14.25,515.2275,104.217,23.9772,339.152,-0.0089314,0.517509,377.345,3.9654,21.12715,87.84485,23.37365,13.5899,2.767265,758.122,1565.63,21.1554,19.415,13.3425,12.55,13.405,13.53
