DOY2,HR2,CO2,CO2_SIGMA,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,G_1_1_1,TS_5_1_1
1,20.75,393.2095,0.03979439725,1.50936,2059.3075,0.29040275,3.30915,-33.6771,-4.16398,1.2428125,0.1304385,-0.05068975,0.4412881015,0.343027247,0.1437646555,101.12625,30.6911,-23.7825,1.14128,-21.308,0.221617286,-55.3,-0.1055,-0.102,-2.1335,5.237,166.175,210.725,-0.96675,-3.21475,-1.70325,-2.32,-55.3282275,-26.24
1,21.25,393.19525,0.043893086,2.7134975,2060.92,0.1264105,3.6610625,-37.3004,-3.2698575,1.450245,0.1369185,-0.05133385,0.434498161,0.3608244955,0.1412274395,101.092,60.8924,-23.535,1.20058,-19.5985,0.231897781,-55.655,-0.104,-0.096,-1.97325,5.237,164.65,211.3,-0.97025,-3.184,-1.709,-2.29575,-54.8422375,-26.2925
1,21.75,393.06175,0.044619039,2.6495,2046.19,0.087957275,3.5502125,-50.2182,2.482749,1.766725,0.0758664,-0.066825825,0.4898916785,0.288078263,0.1272148175,101.0665,59.2686,-23.42,1.19022,-18.582,0.2370262995,-54.515,-0.1085,-0.10125,-2.113,5.237,167.2,212.225,-0.968,-3.1565,-1.70275,-2.25675,-54.78159,-26.1925
1,22.25,392.88925,0.0383871375,2.66496,2028.7,0.188478,6.7335075,-57.0095,1.35669025,1.4026125,0.14395725,-0.084450775,0.5627383495,0.397866718,0.11335391575,101.1965,57.9856,-23.8125,1.163185,-15.53425,0.3238840905,-52.205,-0.107,-0.0965,-2.09475,5.237,166.15,211.925,-0.97025,-3.13,-1.706,-2.26225,-54.099935,-26.1525
1,22.75,392.75575,0.0390320435,2.676435,2043.0925,0.16849625,6.43149,-21.520875,1.6146765,1.795505,0.12796625,-0.0920171,0.43100461075,0.4764570735,0.1127666985,101.18575,57.94065,-22.43,1.13977,-17.267,0.31661173,-54.79,-0.108,-0.097,-1.774,5.237,163.7,211.3,-0.972,-4.494,-3.292,-3.546,-63.56178,-25.46
1,23.25,392.45425,0.02790749175,2.68791,2028.69,-0.124899,6.8953875,-56.160675,1.87266275,1.28824,0.14815925,-0.102851,0.533502337,0.5539407955,0.12009470025,101.18325,62.2888,-23.2775,1.17145,-15.861,0.18198513075,-54.38,-0.10475,-0.09575,-2.078,5.237,167.3,210.7,-0.97375,-3.064,-1.69475,-2.24775,-53.67208,-26.2025
1,23.75,392.939,0.02769893025,2.80444,2029.1,0.166592,7.08957,-55.3388,1.942365,2.1796675,0.15657475,-0.10560855,0.48700482375,0.57910436625,0.130397076,101.177,63.95885,-24.365,1.3706175,-16.7835,0.21348477925,-40.24,-0.116,-0.10375,-2.154,5.237,191.25,211.825,-0.97925,-2.1785,-1.00975,-1.8235,-46.91572,-26.195
2,0.25,398.8785,0.02679646575,2.87796,1990.3025,0.36806475,-0.294388,-18.3746,-3.044915,2.6108,0.161659,-0.1080395,0.6636665635,0.4284948,0.16912543675,100.21925,56.121875,-20.545,1.1141625,-7.9245,0.14558706425,-54.335,-0.09425,-0.08425,-2.34225,9.58525,178.875,220.7,-0.3935,-4.46125,-2.42125,-1.39025,-47.0901575,-23.0825
2,0.75,399.886,0.02919568375,2.66514,1988.3775,0.28315375,-1.330525,-28.6345,-9.961525,3.396205,0.1743685,-0.096790525,0.6044340825,0.408169219,0.19920334775,100.214,55.982025,-20.535,1.109385,-7.992,0.1868777155,-53.935,-0.10025,-0.0885,-1.94475,9.58525,175.85,219.85,-0.403,-4.461,-2.4255,-1.416,-47.11173,-22.89
2,1.25,399.70725,0.03216583225,2.52926,1987.84,-1.68477,-3.09287,-20.955725,-4.835715,3.1999525,0.18108025,-0.08716615,0.6930748805,0.46036805275,0.17678029225,100.1245,55.6132,-20.8,1.10916,-7.78725,0.1513721875,-54.485,-0.0945,-0.08325,-2.05775,9.58525,175.925,220.2,-0.3925,-4.458,-2.42325,-1.36475,-47.1055075,-23.0925
2,1.75,399.801,0.05157503925,2.22494,1987.975,0.02558497875,-0.35181,-16.0582,-3.12938,1.842145,0.169968,-0.107123,0.588218377,0.4973208065,0.1565488795,100.3055,55.5846,-20.435,1.07302,-8.088,0.1161208765,-53.29,-0.096,-0.0875,-2.0105,9.58525,177.1,220.5,-0.39625,-4.1975,-2.3075,-1.3295,-46.462855,-23.105
2,2.25,400.228,0.04209905,2.004205,1985.85,0.6777955,-2.05459,-17.52195,-3.05051083333333,1.784785,0.15704725,-0.109099,0.50963708325,0.475745781,0.14685355275,100.45025,55.108,-21.0275,1.18077,-8.508,0.1454779485,-52.7675,-0.1025,-0.09775,-1.9,9.58525,177.975,219.675,-0.407,-4.46325,-2.41475,-1.37125,-47.0193775,-22.925
2,2.75,399.051,0.02957375975,2.385395,1988.825,0.253594,0.360927,-20.4252,-2.97164166666667,1.93974,0.1210855,-0.085771275,0.484624176,0.507330825,0.1240148835,100.301,58.4724,-20.8775,1.29802,-8.4965,0.1216160815,-50.7625,-0.0995,-0.095,-1.93275,9.58525,178.4,221.2,-0.3985,-4.4675,-2.42725,-1.3315,-47.00486,-22.7175
2,3.25,399.017,0.032719108,2.36783,2000.9225,-0.905727,-6.14919,-27.3374,-2.8927725,1.745275,0.1674405,-0.09641925,0.52122615,0.403348159,0.1420321355,100.311,57.82265,-20.62,1.2171325,-8.316,0.16081316,-51.97,-0.09825,-0.08825,-2.157,9.58525,185.575,222.625,-0.39725,-4.46475,-2.43025,-1.32675,-46.98431,-22.1675
2,3.75,399.86225,0.036251736,2.36024,1991.415,0.252967,-1.6043575,-19.067825,0.358935,1.942485,0.154124,-0.096117975,0.4955211685,0.3917365805,0.1521461925,100.379,59.376225,-20.395,1.310925,-7.989,0.1212680135,-50.62,-0.103,-0.0925,-1.944,9.58525,187.15,224.125,-0.40225,-4.4745,-2.4265,-1.26025,-46.952865,-22.05
2,4.25,398.79225,0.0304862635,2.5772275,1988.19,0.212063,-1.2016715,-27.2704,-1.48758,2.3313375,0.153456,-0.0915563,0.51118511875,0.426293808,0.155305322,100.36175,64.5535,-20.6325,1.38624,-8.36675,0.1555506295,-50.2825,-0.104,-0.095,-1.856,9.58525,185.975,224.35,-0.394,-4.47575,-2.4175,-1.34125,-46.9160475,-21.985
2,4.75,398.78775,0.02865026125,2.7149825,1985.445,0.081319025,0.6750685,-21.7729,2.9434925,2.4824475,0.13251775,-0.0784664,0.48461958725,0.47704742225,0.13320741125,100.34075,49.2215,-20.355,1.53677,-8.23075,0.125646289,-50.58,-0.102,-0.09375,-1.9155,9.58525,187.3,224.325,-0.3985,-4.4885,-2.41325,-1.32,-46.917515,-21.53
2,5.25,399.25625,0.0282720745,2.80209,1986.985,-1.2242675,0.5225875,-22.688775,0.23901,2.9423575,0.12423325,-0.09510735,0.44473047975,0.32183585975,0.1331304825,100.30075,47.2278,-19.9925,1.48404,-8.2005,0.1251165775,-51.9475,-0.10125,-0.09425,-1.82325,9.58525,186.7,224.275,-0.40775,-4.502,-2.4055,-1.278,-46.917615,-21.34
2,5.75,399.1645,0.0316836375,2.441565,1988.495,0.19177,0.800593,-17.2679,-1.28919,2.071345,0.15033075,-0.08514725,0.44547294775,0.44697594275,0.156735425,100.2595,51.983825,-19.7925,1.4557325,-8.115,0.094378592,-50.6125,-0.10425,-0.098,-1.9755,9.58525,184.7,224.6,-0.39575,-4.505,-2.4035,-1.2855,-46.900595,-21.3725
2,6.25,398.672,0.029990311,2.526095,1987.605,-0.517138,-7.294975,-14.5499,-0.81368705,2.1126975,0.15094025,-0.1613095,0.5576102885,0.42306238025,0.15030717975,100.20625,53.105275,-19.66,1.4635225,-8.3595,0.11527949775,-49.76,-0.10275,-0.0935,-1.6885,9.58525,184.125,224.5,-0.4015,-4.5285,-2.3915,-1.25675,-46.8568725,-21.1975
2,6.75,397.771,0.02106173,2.566225,1988.215,0.23657125,1.25134,-16.778325,-0.8490787,2.2292,0.153288,-0.145923,0.518725361,0.432207126,0.17124573,100.137,57.525375,-20.0075,1.375665,-8.588,0.116349474,-52.41,-0.09975,-0.093,-1.96125,9.58525,184.975,224.225,-0.40125,-4.52575,-2.3975,-1.253,-46.8206875,-21.2575
2,7.25,398.2905,0.0224519285,2.109375,1987.86,0.22320975,0.774552,-18.726275,-0.88447035,2.88693,0.142809,-0.06687235,0.69191765,0.42541221575,0.17792980775,100.17525,60.375025,-19.22,1.3359375,-8.037,0.1085758245,-52.29,-0.0985,-0.0865,-2.319,9.58525,185.575,226.375,-0.403,-4.5325,-2.38825,-1.2725,-46.780165,-20.87
2,7.75,398.3805,0.0297905755,2.02877,1991.45,0.0604997,1.4261025,-18.4844,-0.919862,2.7142975,0.141917,-0.0837258,0.52852443625,0.43273291825,0.15520216125,100.06225,59.49805,-19.5775,1.3234125,-8.71375,0.14238289875,-53.105,-0.10425,-0.09625,-1.85775,9.58525,186.15,230.2,-0.40375,-4.5195,-2.38525,-1.32175,-46.7566525,-20.095
2,8.25,398.52575,0.0262399925,2.305785,1990.1725,0.138638,-0.48625,-19.2883,-1.41378,2.3966575,0.140099,-0.09225015,0.55479410625,0.45517374375,0.15999312275,100.0985,59.81375,-19.055,1.20015,-9.42775,0.10895062425,-53.0475,-0.09925,-0.089,-2.2625,9.58525,185.775,231.75,-0.40025,-4.5095,-2.37625,-1.3315,-46.7564025,-20.0275
2,8.75,398.6085,0.0231437285,2.12724,1987.34,-0.215614,-4.50356,-19.083325,-5.76991,2.611545,0.114133,-0.14274,0.43098509,0.390723038,0.1456047685,100.058,53.5059,-18.8025,1.2763925,-8.741,0.1257675,-52.8025,-0.0875,-0.083,-2.03325,9.58525,185.975,229.8,-0.404,-4.49575,-2.36775,-1.388,-46.754435,-20.9975
2,9.25,398.61075,0.022458282,1.9768325,1986.0475,0.17120175,1.33023,-22.464025,-2.89465,2.4555,0.133753,-0.194601,0.5422949765,0.3773767315,0.1513582075,99.932,53.4628,-19.75,1.20402,-8.8425,0.095508537,-47.46,-0.05975,-0.04925,-1.50375,0.2085,184.05,225.35,-0.40725,-4.48575,-2.3655,-1.214,-46.7596375,-22.2925
2,9.75,399.466,0.0369852875,1.398895,1982.93,0.232963,0.888216,-21.2557,-8.962945,2.833275,0.15422,-0.1174445,0.603458744,0.4696756535,0.1604912985,99.88425,41.7263,-20.6075,1.12568,-8.6105,0.160168035,-45.815,0.87025,0.82175,-0.2245,6.432,183.725,221.9,-0.4055,-4.477,-2.36025,-1.29725,-46.7715425,-22.81
2,10.25,399.3035,0.0240649685,1.54153,1984.7275,0.28378,-1.2721695,-24.931175,-2.162495,2.941775,0.1893665,-0.1555145,0.60385543125,0.4663242085,0.2111911175,99.856725,44.7578,-19.7375,1.086295,-8.7985,0.11265795325,-39.5,7.9555,7.51875,1.90475,16.085,182.575,221.675,-0.40575,-4.465,-2.3535,-1.33625,-46.77036,-22.7175
