DOY2,HR2,CO2_1_1_1,FC_1_1_1,G_1_1_A,H_1_1_1,LE_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TAU_1_1_1,USTAR_1_1_1,W_SIGMA_1_1_1,WS_1_1_1,T_CANOPY_1_1_1
10,9.75,413.54,1.791372,4.59125,250.537,143.089,81.465,85.257,17.969,14.5775,18.5625,1287.04225,708.5785,97.51375,318.1255,420.30875,511.37925,10.2495,9.98275,9.44725,9.024,10.1585,10.42075,-0.0134221,1.1353225,1.2702278425,4.1463,17.164
10,10.25,413.27,-1.82692225,9.25325,285.8475,173.367,81.482,79.0505,20.1045,17.657,20.735,1435.6355,778.1485,108.115,327.992,435.809,568.83425,13.03625,10.25575,10.40975,9.20675,10.1665,10.43175,0.0957957924999999,1.0811032,1.278685435,4.169423,19.50825
10,10.75,411.72,-3.447334,14.636,303.77,168.994,81.478,70.1465,20.747,18.882,21.264,1487.1485,799.055,110.4395,324.759,443.4435,577.3615,15.8515,10.918,10.968,9.432,10.161,10.4245,-0.0518433625,1.05498,1.281936706,4.748948,20.1995
10,11.25,411.25,-3.260966,19.021,340.96375,191.51875,81.46,70.343,21.304,19.4475,21.6875,1621.359,882.452,113.861,317.357,449.486,654.84,17.158,11.8075,11.2885,9.677,10.142,10.419,-0.063172645,1.0663925,1.31060714,4.7780225,20.89
10,11.75,409.38,-2.566348,24.781,309.74,170.0725,81.462,72.5675,22.175,20.896,22.528,1627.0345,873.6225,113.7175,335.842,452.509,658.0965,18.881,12.277,11.398,9.956,10.1245,10.4135,-0.05985365,1.0406562,1.37937316,4.254224,21.6755
10,12.25,409.1,-3.9075625,29.494,296.617,182.49,81.442,72.0475,22.932,21.75,22.95,1539.206,830.5185,109.556,337.643,455.322,590.2325,20.308,12.74,11.708,10.2985,10.1145,10.405,0.0638098575,1.122118,1.34463739,4.779768,22.509
10,12.75,408.165,-3.742301,30.251,298.66425,171.23,81.4125,80.0054999999999,23.0805,22.3775,23.14,1525.73825,813.174,105.38975,334.84525,454.79125,582.9245,21.09725,12.97275,12.5245,10.64125,10.10025,10.4025,0.1466516,1.0815675,1.29916751,4.6784275,22.66075
10,13.25,407.3775,-3.29242,27.88525,298.65775,155.7495,81.39,81.886,23.306,22.975,23.1975,1491.457,788.89375,102.88325,335.64575,452.91475,562.04325,21.494,13.37375,12.58075,11.0365,10.092,10.39425,0.061144225,1.1587825,1.26945143,5.173405,22.777
10,13.75,407.3,-3.088262,25.38375,292.562,151.832,81.39175,79.6489999999999,23.44375,23.76175,23.403,1355.69875,725.685,90.35625,333.0775,449.6075,528.675,21.745,13.71125,12.1975,11.33,10.09,10.3975,0.0490545549999999,1.20827825,1.32075724525,5.15257549999999,22.66125
10,14.25,407.1,-2.6162215,23.647,257.19475,146.63,81.385,77.4325,23.626,23.8875,23.51,1229.546,674.229,80.488,336.669,446.042,505.689,22.2105,13.914,12.7625,11.519,10.085,10.4,0.0416315899999991,1.104365,1.359711955,4.9329225,22.524
10,14.75,407.28,-1.5931935,22.8685,214.3275,136.58175,81.4,76.2385,23.545,23.69,23.468,1106.8235,595.309,68.2535,339.644,439.1975,425.127,22.2465,13.83125,13.268,11.6285,10.069,10.3865,-0.0763723725000001,1.189526,1.354844884,5.929384,22.012
10,15.25,407.8125,-1.0083018,21.66,172.8995,124.385,81.40675,71.544,23.096,22.71075,23.099,952.954,543.028,55.97,337.448,432.786,398.514,21.276,14.42,13.4045,11.718,10.064,10.382,-0.0213938575000001,1.1230005,1.225317056,5.25204725,21.356
10,15.75,408.225,3.36989724999999,18.012,130.257,120.988,81.3975,71.158,22.652,21.4125,22.5525,726.59,405.426,41.81,339.242,424.432,290.37,19.96,14.906,13.82,11.78,10.066,10.372,0.0465862399999998,0.99343375,1.152093175,4.5103075,20.632
10,16.25,408.9,4.495904,15.60425,65.4525,82.713,81.39,75.58725,21.8425,19.815,21.82,511.90125,280.8915,25.27875,336.621,414.59325,148.308,18.39025,14.845,13.61625,11.80775,10.06525,10.36975,-0.007528288,0.9299845,1.0704609025,4.24217,19.572
10,16.75,414.135,7.936656,12.00425,53.20175,63.179,81.409,81.89125,20.807,18.3555,21.2295,314.20475,173.3535,13.31275,338.3725,406.38075,56.4485,16.47625,14.885,13.60675,11.76775,10.0675,10.362,0.0269863254999999,0.98442175,1.177900376,4.230545,18.45125
10,17.25,417.2625,8.479758,8.964,22.9259999999999,49.30475,81.4015,88.534,19.858,16.6,20.09425,116.604,55.214,4.574,331.268,394.178,-16.022,14.642,14.44225,13.621,11.72,10.08,10.362,0.03130346,0.830924825,1.00503516075,3.71595425,16.136
10,17.75,424.175,9.05778424999999,5.81975,11.4775,48.403,81.41,92.312,17.56725,14.005,18.38,17.64925,1.7095,0.61125,334.93625,381.7055,-25.13425,14.5455,14.336,13.48,11.64425,10.0925,10.36425,0.0564380199999998,0.76864325,0.9451118475,3.3914425,13.814
10,18.25,429.98,8.3964835,3.44599999999999,11.5235,29.845,81.422,93.72975,15.606,11.666,16.726,0.255,0,0.06,338.227,372.744,-33.777,13.962,14.262,13.4925,11.547,10.12,10.362,0.041550595,0.8895854,1.061478334,4.499184,12.271
