DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,CO2_1_8_1,FC_1_1_1,SC_1_1_1,TAU_1_1_1,H_1_1_1,H_1_1_2,LE_1_1_1,G_1,SH_1_1_1,SLE_1_1_1,SG_1,SG_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_2_1,RH_1_2_1,VPD_1_2_1,TA_1_3_1,RH_1_3_1,VPD_1_3_1,WS_1_1_1,USTAR_1_1_1,T_BOLE_1,T_BOLE_2,T_BOLE_3,TS_1,TS_1_1_1
1,19.75,401.545,401.97,402.0875,402.1125,401.875,402.475,405.135,406.19,0.57725,0.10625,-0.0725,-13.485,-19.27,34.7825,-1.24,0.706,0.478,0.51225,0.115,-1,1.86,242.75,298.54,-26.075,0,0,70.28,-2.485,74.205,2.82,-3.295,75.32,2.4625,-3.7,79.255,2.27,10.055,1.575,-2.0275,-1.235,-1.22,-0.7925,-0.123
1,20.25,400.1325,400.5225,400.56,400.64,400.6,401.365,402.31,403.9225,0.605,0.13975,-0.077,-11.8075,-19.465,35.8025,-1.24,0.904,0.49925,0.512,0.14,-0.9245,1.82,244.96,298.64,-24.6,0,0,70.2725,-2.57,73.855,2.84,-3.335,75.21,2.5125,-3.78,79.18,2.175,9.8325,1.5525,-2.165,-1.3525,-1.285,-0.79025,-0.123
1,20.75,401.66,401.9525,402.05,402.19,401.9675,403.07,405.14,406.24,0.6,0.1355,-0.084,-16.44,-23.6025,35.0675,-1.24,1.175,0.50625,0.247,0.11525,-0.90075,1.8925,248.23,297.98,-24.07,0,0,70.27,-2.63,74.87,2.83,-3.4175,75.8325,2.46,-3.88,79.3275,2.18,9.885,1.56,-2.3025,-1.475,-1.4375,-0.763,-0.12275
1,21.25,400.14,400.58,400.5875,400.6175,400.57,401.09,402.17,403.75,0.588,0.12625,-0.092,-15.165,-21.83,33.155,-1.23,0.8445,0.47075,0.512,0.11925,-0.89225,1.89,245.97,297.79,-24.31,0,0,70.26,-2.6225,74.45,2.88,-3.46,76.5225,2.46,-3.93,79.605,2.165,10.0525,1.58,-2.4875,-1.545,-1.545,-0.757,-0.12425
1,21.75,401.765,402.12,402.255,402.535,402.41,403.185,405.21,406.12,0.58425,0.126,-0.10675,-16.99,-23.33,34.29,-1.23,1.065,0.463,0.512,0.14075,-0.99025,1.81,243.98,297.35,-26.255,0,0,70.25,-2.55,74.17,2.825,-3.49,76.2125,2.43,-3.98,80.07,2.125,9.96,1.565,-2.5975,-1.59,-1.6125,-0.756,-0.1235
1,22.25,400.16,400.555,400.63,400.7,400.585,401.1625,401.98,403.7775,0.5875,0.121,-0.109,-18.535,-25.07,35.4175,-1.23,0.88,0.472,0.48875,0.10525,-1.04,1.8025,243.58,297.1,-27.0925,0,0,70.24,-2.6225,74.5975,2.9175,-3.56,76.4525,2.51,-4.16,79.39,2.16,9.6025,1.53,-2.695,-1.7375,-1.67,-0.78325,-0.1255
1,22.75,401.78,402.175,402.48,402.655,402.21,403.315,405.3375,406.1,0.6165,0.1235,-0.093,-20.545,-27.625,35.9525,-1.22,1.12,0.514,0.488,0.11425,-1.02,1.7725,242.94,297.28,-25.4,0,0,70.25,-2.6725,75.05,2.92,-3.63,76.28,2.445,-4.14,79.315,2.2225,9.8,1.5775,-2.7025,-1.7675,-1.6775,-0.7485,-0.12575
1,23.25,400.245,400.5325,400.58,400.71,400.7,401.1175,402.19,403.65,0.555,0.1435,-0.10075,-19.5625,-26.89,39.59,-1.2275,0.9105,0.5215,0.512,0.1045,-1.08,1.74,244.24,296.88,-24.21,0,0,70.25,-2.7425,75.4825,2.8925,-3.6325,77.09,2.46,-4.18,79.71,2.1925,9.87,1.6,-2.7775,-1.7725,-1.7575,-0.748,-0.12475
1,23.75,401.6775,402.2025,402.32,402.52,402.29,403.565,405.42,406.6475,0.58075,0.115,-0.103,-19.26,-27.005,35.52,-1.23,1.3625,0.535,0.4885,0.127,-1.03,1.77,245.9,296.76,-24.615,0,0,70.23,-2.66,74.645,2.85,-3.565,76.82,2.3775,-4.2225,80.2975,2.165,10.02,1.57,-2.905,-1.7975,-1.785,-0.77625,-0.125
2,0.25,401.19,401.385,401.66,401.745,401.56,402.265,404.255,404.0125,0.55275,0.178,-0.0755,-16.3,-17.36,37.025,-0.98,0.79425,0.5295,0.1095,0.053,-0.681,1.605,252.1825,293.64,-15.6825,0,0,70.04,-3.82,76.75,2.26,-4.41,79.8675,2.0575,-4.6825,82.9,1.86,9.3225,1.5,-2.685,-1.2725,-1.0075,-0.37,-0.108
