DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,H2O,NETRAD_1_1_1,NETRAD_1_2_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA_1_1_1,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,18.75,0.5115,0.451,0.743,-19.04,0.491,0.0265,406.237,389.07,387.49,3.8455,-24.36,-1.8635,-0.652,0,266.5,295.3,0,0,0,-3.5015,-3.7795,-3.575,82.25,85.5,87.65,2.242,99.223,0.487,-0.0985,0.095,0.792,2.2775,4.032,-0.051,0.123,0.4115,0.964,2.203,4.269,-2.298,-2.3105,0.5649,0.9215
1,19.25,0.606,0.4635,0.621,-20.932,0.5165,0.0615,406.0775,388.855,388.205,3.849,-23.45,-2.1495,-0.6635,0,266.15,294.6,0,0,0,-3.5705,-3.839,-3.694,82.5,85.15,88.4335,2.2055,99.248,0.4855,-0.0965,0.099,0.7915,2.2755,4.035,-0.058,0.1245,0.4145,0.9605,2.201,4.268,-2.3235,-2.331,0.59195,0.94595
1,19.75,0.552,0.451,0.787,-22.472,0.506,0.029,405.7095,388.88,388.665,3.863,-23.8175,-2.2825,-0.749,0,265.15,294.2,0,0,0,-3.612,-3.8565,-3.744,83.35,85.9,88.7,2.231,99.2445,0.4855,-0.097,0.1025,0.7945,2.305,4.0295,-0.0595,0.1205,0.4155,0.961,2.203,4.263,-2.329,-2.342,0.5942,0.94
1,20.25,0.555,0.3905,0.663,-23.177,0.502,0.0375,405.874,388.94,388.65,3.813,-25.225,-2.452,-0.6895,0,264.641,294.15,0,0,0,-3.6585,-3.901,-3.8015,84.4,86.6,89.4915,2.326,99.227,0.481,-0.098,0.091,0.7975,2.306,4.028,-0.0575,0.117,0.413,0.959,2.202,4.2735,-2.3365,-2.349,0.6206,0.9121
1,20.75,0.587,0.45,0.518,-22.294,0.5,0.0155,405.9665,388.975,388.87,3.8325,-22.97,-2.554,-0.781,0,267.3,294,0,0,0,-3.753,-4.001,-3.812,84.4,86.8,89.5,2.2735,99.246,0.482,-0.092,0.095,0.798,2.2975,4.027,-0.058,0.121,0.417,0.9595,2.214,4.277,-2.3375,-2.3495,0.60655,0.9078
1,21.25,0.534,0.463,0.7915,-23.096,0.526,0.0565,406.199,389.035,389.255,3.86,-21.88,-2.282,-0.545,0,266.5,293.4,0,0,0,-3.857,-4.036,-3.9285,84.2,86.4,89.45,2.374,99.226,0.477,-0.091,0.096,0.802,2.2945,4.024,-0.056,0.12,0.418,0.9615,2.2125,4.278,-2.3505,-2.3475,0.6301,0.9591
1,21.75,0.56,0.4495,0.391,-21.695,0.5025,0.034,406.3985,389.38,389.53,3.893,-22.82,-2.2465,-0.664,0,268.947,293.4,0,0,0,-3.823,-4.014,-4.019,84.7,87.3,89.6,2.3335,99.219,0.473,-0.091,0.118,0.789,2.29,4.026,-0.054,0.123,0.42,0.9605,2.206,4.266,-2.37,-2.375,0.6194,0.9191
1,22.25,0.546,0.4615,0.344,-22.2055,0.504,0.039,405.917,389.515,389.635,3.961,-23.152,-2.206,-0.6535,0,268.8,293,0,0,0,-3.893,-4.156,-4.101,85.3,87.5,89.4,2.29,99.217,0.473,-0.092,0.104,0.786,2.288,4.019,-0.057,0.126,0.42,0.9675,2.204,4.2675,-2.379,-2.3665,0.59095,0.9211
1,22.75,0.525,0.4635,0.503,-24.081,0.5015,0.0135,406.3055,389.16,389.485,3.907,-22.4,-2.314,-0.661,0,267.6,293.2,0,0,0,-3.921,-4.194,-4.169,85.2,88,89.3,2.265,99.199,0.461,-0.089,0.089,0.786,2.287,4.034,-0.061,0.136,0.427,0.969,2.202,4.2635,-2.3845,-2.3695,0.6113,0.9136
1,23.25,0.515,0.467,0.5475,-21.477,0.491,0.022,406.461,389.29,390.025,3.953,-22.9,-2.236,-0.658,0,267.7,293.1,0,0,0,-3.958,-4.062,-4.215,85.6,87.7,89.7,2.274,99.219,0.4525,-0.089,0.09,0.795,2.284,4.029,-0.066,0.135,0.428,0.9705,2.199,4.274,-2.385,-2.3785,0.584,0.9048
