DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,G,SG
5,18.75,0.673425,94.51575,5.438525,102.15,525.975,464.535,58.39375,266.3675,176.31,293.4175,309.7825,1.042525,1.54285,-0.33342,-0.5039175,-0.8855025,-1.54225,2.74185,0.265865
5,19.25,0.54875,94.72575,5.436575,102.15,393.2925,378.0775,44.48825,204.3975,141.94,293.1325,308.325,0.966325,0.918355,-0.3327525,-0.502835,-0.88033,-1.536775,2.722025,0.19504
5,19.75,-0.13952,95.528,5.5763,102.075,340.01,304.64,35.089,172.415,119.4825,293.6475,307.9325,0.91356,0.5540325,-0.32567,-0.5,-0.87833,-1.5073,2.7096,0.1745
5,20.25,-0.16952,95.886,5.504,102.075,261.08,223.4,22.6225,123.4075,87.6585,293.44,308.3325,0.84378,0.1087185,-0.326,-0.499,-0.87667,-1.501,2.6659,0.19685
5,20.75,-0.0387613,96.9,5.3866,102.1,182.8275,168.13,12.786,86.9955,59.0795,294.3375,307.1825,0.76644,-0.217835,-0.34108,-0.49942,-0.8771675,-1.5245,2.64785,0.200235
5,21.25,-0.272625,98.0065,5.4248,102.1,134.7275,124.9025,9.573525,70.07275,47.77475,294.1225,306.355,0.718805,-0.337875,-0.3520025,-0.498665,-0.8760025,-1.522775,2.667525,0.14759
5,21.75,-0.6065,98.348,5.0455,102.075,97.132,84.041,3.4462,37.546,33.07675,292.745,306.2025,0.663545,-0.416165,-0.35667,-0.49767,-0.87267,-1.4957,2.7049,0.15536
5,22.25,-0.7757575,99.20325,5.0414,102.1,69.298,61.29275,1.3465,29.668,23.12825,292.3775,306.995,0.56531,-0.7625375,-0.35767,-0.49533,-0.871,-1.487,2.613,0.19516
5,22.75,-0.970625,99.0395,5.52525,102.075,47.03925,41.3415,0.345085,22.295,17.3945,293.0225,304.91,0.55674,-1.0834875,-0.3605025,-0.496085,-0.87125,-1.509925,2.58465,0.18455
5,23.25,-1.18965,99.536,5.46835,102,32.166,28.1125,0.056253,15.51275,12.21875,293.6875,304.9925,0.522855,-1.298025,-0.3609175,-0.4980025,-0.8699175,-1.51095,2.472275,0.1547675
5,23.75,-1.5609,99.71425,5.44625,102,24.838,21.98875,-0.6013925,12.0725,9.9094,293.2025,303.565,0.48223,-1.36265,-0.3620825,-0.49758,-0.8691675,-1.51195,2.4883,0.149765
6,0.25,3.9589,99.527,5.0425,101.3025,50.724,21.098,5.078325,22.588,8.0464,313.8975,330.045,0.800215,4.481275,4.5883,4.424,3.3737,0.18733,3.6166,-0.0053438
6,0.75,3.449,99.844,4.3017,101.3025,50.051,18.302,6.5206,22.37725,8.78115,313.685,327.9875,0.680055,4.250525,4.142,4.1083,3.1557,0.17167,3.586,-0.0056473
6,1.25,3.8887,99.912,4.0576,101.3,50.375,21.608,7.86305,23.32275,7.214475,315.4875,326.1675,0.66297,4.3475,3.9847,3.7567,2.9677,0.15967,4.6133,-0.016349
6,1.75,3.553,99.772,4.5168,101.2925,58.137,21.808,8.11305,23.345,10.3075,315.23,324.64,0.606135,4.034375,3.7647,3.4767,2.7213,0.14033,5.3343,-0.0065821
6,2.25,2.8259,99.758,4.4485,101.3,70.092,29.282,9.646225,29.8185,10.8155,315.59,325.54,0.52321,3.9653,3.521,3.2223,2.5017,0.126,5.961,0
6,2.75,3.2229,99.945,4.506,101.2925,91.012,34.047,11.65725,38.55125,14.422,314.08,324.7,0.56314,3.899975,3.5703,3.1127,2.341,0.113,6.4793,0.011719
6,3.25,3.0524,99.978,4.5036,101.285,129.78,40.05,18.506,64.6165,18.02775,314.905,327.4525,0.625965,3.60545,3.682,3.076,2.2227,0.097333,7.8977,0.10263
6,3.75,3.5719,99.856,4.6361,101.285,166.14,58.877,25.322,91.54175,21.63225,316.0925,329.33,0.71397,3.91965,4.2443,3.0897,2.0877,0.085333,8.7931,0.18571
6,4.25,3.0822,99.897,4.2531,101.2875,223.19,76.717,40.758,117.035,25.23875,315.175,332.8025,0.869895,4.226225,4.647,3.1693,1.9897,0.071333,10.56,0.74306
6,4.75,3.1929,99.614,4.199,101.33,288.34,116.86,62.92775,147.945,39.0305,313.75,334.6825,0.93472,4.662425,4.5003,3.241,1.9253,0.056667,13.6,1.9353
6,5.25,3.5055,99.71,4.2352,101.32,346.3,112.8,91.097,180.055,39.65025,312.065,339.4575,1.0314,5.2995,4.8543,3.274,1.8943,0.046333,17.624,3.5724
6,5.75,3.3777,99.687,4.3098,101.3,441.44,132.5,125.9075,230.8775,46.851,313.9225,340.025,1.0814,5.797875,5.6263,3.398,1.8963,0.042667,25.55,5.7765
6,6.25,3.828,98.588,4.434,101.3,547.83,202.67,149.915,276.9575,62.42275,317.395,342.865,1.21965,6.51905,6.2633,3.6073,1.934,0.036333,31.775,2.5217
6,6.75,3.8453,98.013,4.6517,101.31,605.14,221.67,184.9,301.97,68.188,320.9475,344.25,1.257925,6.35095,6.86,3.9507,1.9927,0.032667,34.649,7.0276
6,7.25,4.5741,97.437,5.1401,101.3,685.68,274.32,216.3925,340.355,85.64,319.98,348.8225,1.468775,7.04545,7.377,4.247,2.0527,0.027667,42.128,8.4878
6,7.75,5.529175,96.666,4.841625,101.205,860.0075,303.1875,266.83,419.3925,101.56675,317.42,356.4025,1.606775,7.7887,8.245425,4.5209,2.136475,0.04783325,50.262,10.96
6,8.25,6.007475,96.12425,5.0398,101.1925,976.635,302.6925,304.215,477.05,94.61,319.9625,363.4125,1.8014,9.08945,9.557225,4.936175,2.213275,0.05083325,59.33925,13.78475
6,8.75,7.178225,95.509,5.252125,101.175,1108.725,345.265,356.4975,535.74,114.3225,318.14,366.5075,1.9714,9.9833,10.18775,5.335525,2.437475,0.08175,60.571,10.698
6,9.25,7.571975,93.63925,5.150225,101.1775,1164.575,392.2,386.6175,568.67,129.775,316.195,369.665,2.20895,10.75335,10.002175,5.641825,2.650525,0.08741675,64.09975,9.230425
6,9.75,8.1213,92.946,5.08525,101.115,1286.9,428.25,419.81,611.83,136.99,319.86,376.18,2.782075,11.22625,11.4485,6.15585,2.855,0.14717,68.4735,10.6805
6,10.25,9.04015,91.594,4.95395,101.17,1381.5,469.65,454.89,662.89,148.79,318.27,378.52,2.9193,11.38225,12.082,6.72915,3.07465,0.162835,82.3065,10.7894
6,10.75,9.274125,90.6935,5.04115,101.17,1446.75,456.645,481.51,692.04,165.8,319.12,381.9,2.9799,11.89125,13.87275,7.5223,3.286475,0.1522525,90.61325,12.854
6,11.25,9.1515,90.0335,5.33555,101.17,1495.175,508.1075,494.99,711.62,161.64,321.72,389.44,3.1266,12.1675,14.0565,8.418275,3.54395,0.1615025,94.64775,17.95775
6,11.75,9.241,88.2605,5.46605,101.185,1541.5,572.15,518.2,732.87,176.59,319.63,392.33,3.40545,12.96275,16.0065,9.0787,3.94315,0.207665,100.5555,15.755
6,12.25,9.8667,87.772,5.3789,101.155,1553.5,552.43,511.13,736.965,178.045,322.89,391.225,3.423875,13.1855,15.137,9.6233,4.6047,0.28367,95.239,6.8241
6,12.75,9.9643,87.209,5.8347,101.1675,1571.8,572.77,525.985,744.64,143.31,321.455,392.74,3.4987,13.72475,16.13,10.14,4.896,0.311,93.043,8.8456
6,13.25,10.067,87.018,5.4886,101.185,1558.5,506.06,519.09,747.16,139.705,320.865,392.78,3.53725,13.48225,16.67,10.657,5.124,0.34033,89.58,3.9927
6,13.75,10.27375,87.707,5.478125,101.15,1541.125,511.3975,520.675,737.28,149.94,323.46,393.9,3.7924,13.99375,16.493,11.09575,5.2561,0.3307475,87.066,1.92675
6,14.25,10.1885,88.1335,5.564175,101.1275,1499.6,492.545,502.725,722.38,153.55,322.07,394.195,3.99265,13.76525,16.56025,11.05575,5.440575,0.3552525,82.496,0.57677
6,14.75,9.771775,86.3925,5.148875,101.125,1434.375,461.7225,484.37,696.035,137.545,317.6,388.73,4.30925,13.33725,16.08775,10.9605,5.59105,0.357085,79.7245,0.63532
6,15.25,9.885025,85.834,5.201875,101.115,1370.3,462.8075,467.135,668.01,140.54,318.585,383.03,4.42065,13.19275,15.40425,10.96975,5.7446,0.4025825,73.513,0.045106
6,15.75,9.756775,86.9075,5.660325,101.0975,1285.925,406.1,431.185,633.285,125.965,317.085,380.96,4.3372,12.9995,15.198,10.4455,5.9046,0.3845,70.85725,0.02009575
6,16.25,9.5875,88.95175,5.53045,101.095,1227.425,381.045,417.985,609.64,119.94,317.58,379.53,4.289925,12.21225,15.01925,10.16525,6.03485,0.41842,65.6885,0.02009575
6,16.75,9.459575,89.90925,5.760975,101.0925,1100.025,318.765,373.58,553.28,105.905,317.285,376.38,3.93035,11.61425,14.9085,10.14775,6.111775,0.44792,62.93225,0.05079725
6,17.25,9.444675,89.10825,5.63245,101.12,1030.1,249.6175,344.87,519.13,88.6765,320.86,376.125,3.9642,11.38475,14.09975,10.09725,6.139975,0.47642,60.26975,0.06122
6,17.75,9.3749,88.865,5.7795,101.1375,911.4,259.7,305.215,468.76,84.8895,314.91,373.25,3.8615,10.95,13.853,10.303,6.2017,0.542,53.772,0.0054402
6,18.25,8.982775,89.031,5.90685,101.1025,794.65,222.7625,260.18,413.945,76.0215,315.67,372.245,3.3197,11.00375,13.4205,10.083,6.1363,0.55067,49.196,-7.9797e-17
6,18.75,8.2589,90.397,6.1234,101.1,691.68,175.28,221.39,365.31,68.512,316.245,367.925,3.0429,10.59325,12.837,9.5033,6.022,0.562,36.397,-0.0052619
6,19.25,8.014,92.128,5.7542,101.095,584.51,141.37,181.265,310.11,61.573,313.895,364.11,2.6944,10.434,11.493,8.9067,5.8803,0.567,28.74,-0.010476
6,19.75,7.4665,92.781,5.6605,101.0875,478.56,121.81,138.44,258.87,50.2945,315.965,360.88,2.4278,10.14325,10.69,8.5173,5.7253,0.57633,23.868,-0.014661
6,20.25,7.1415,94.388,5.2626,101.0925,385.85,91.574,103.605,215.66,42.974,314.89,354.5,1.9086,9.335,10.007,8.1913,5.5647,0.58133,23.302,-0.011725
6,20.75,7.1772,95.614,5.55,101.0825,219.12,76.671,73.8335,169.275,35.302,318.655,352.345,1.8753,8.13795,9.14,7.6227,5.4037,0.59067,17.765,-0.038789
6,21.25,7.097,97.264,5.5384,101.08,216.06,62.65,51.2245,137.605,25.8705,317.49,351.36,1.767725,8.03135,8.676,7.2697,5.2607,0.59367,13.515,-0.026936
