DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1
3,14.25,0.33095,-2.281,1.3939,-7.270575,-7.3233,-0.9908,-0.0946999999999973,0.1105,-4.565,1.151225,16.14825,99.4975,385.7248,0.3,19.78075,46.315
3,14.75,0.36205,-2.0715,1.40315,-7.239875,-7.55825,-1.1148,1.638,-5.7112,-4.6309,1.229,15.754,99.4975,385.33175,0.359,9.70875,40.39175
3,15.25,0.3792,-1.988,1.215725,-6.9139,-6.8035,-1.305975,-1.853925,-0.326774999999998,-4.28785,1.28105,15.42,99.5,385.09625,0.38,1.1126,28.1465
3,15.75,0.3936,-2.053,1.1168,-5.651775,-5.5272,-1.0918,-8.6055,-2.518125,-4.480975,1.3096,15.4755,99.5975,385.3535,0.32,0.807675000000001,27.231
3,16.25,0.2947,-2.0615,0.98745,-4.82105,-4.6464,-0.691,-9.5388,-2.4655,-4.382875,1.299725,15.58925,99.695,385.338225,0.29175,0.89145,21.6125
3,16.75,0.158675,-2.08425,0.997125,-4.2558,-3.81575,-0.39885,-43.023025,-8.3115,-4.31665,1.2644,15.73075,99.695,385.96,0.27,-4.34265,13.6725
3,17.25,0.1599,-2.269,0.861725,-2.7525,-2.80345,-0.566325,-61.762675,-6.3358,-4.3032,1.220675,16.85675,99.6975,386.857375,0.26175,-45.436,6.5525
3,17.75,0.10295,-2.736975,0.797475,-0.536,-0.962325,-0.3081,-77.967225,-2.837,-4.26415,1.181175,19.075,99.6975,387.923,0.27725,-74.31,0
3,18.25,0.046,-3.354125,0.66945,-0.0920249999999999,-0.060075,-0.3709,-84.051425,-16.9175,-4.2474,1.14535,19.62425,99.7,388.85825,0.2745,-89.555,-0.1285
3,18.75,0.0467,-3.766675,0.6162,0.350275,-0.1822,-0.3694,-81.3604,-14.953875,-4.798925,1.1094,22.2065,99.7975,389.1106,0.25725,-89.5025,-0.44085
3,19.25,0.056925,-4.014575,0.66935,0.2647,-0.032075,-0.753825,-77.8654,-12.1972,-5.200725,1.084025,22.85325,99.7975,388.97805,0.2445,-89.3925,-0.407
3,19.75,0.0565,-4.072875,0.5948,0.189875,-0.05,-0.626,-86.0815,-12.772975,-5.64595,1.05865,23.81625,99.795,389.3735,0.22,-89.1275,-0.41225
3,20.25,0.050375,-4.476725,0.51835,0.394,-0.3643,-0.6275,-84.26825,-10.38455,-6.03865,1.041325,25.67425,99.795,389.53375,0.2245,-88.7275,-0.34025
3,20.75,0.0573,-4.678125,0.69085,0.2366,0,-0.6195,-78.2414,-6.4982,-6.583325,1.035975,25.7745,99.8,390.1138,0.22175,-87.0375,-0.5
3,21.25,0.042,-4.728275,0.74415,-0.22055,-0.079625,-0.9315,-79.593625,-10.5098,-6.880925,1.035075,26.80325,99.8,390.5898,0.20725,-87.91,-0.5
3,21.75,0.03655,-4.6815,0.706925,0.32235,-0.0861,-0.70395,-76.660775,-12.823775,-6.843,1.0327,27.0595,99.8,390.830525,0.19725,-87.8275,-0.5
3,22.25,0.05065,-4.6135,0.74335,0.1415,-0.035125,-0.88525,-73.903825,-7.546475,-6.918775,1.0278,26.73175,99.7,390.590875,0.2,-86.9825,-0.5
3,22.75,0.031475,-5.50275,0.5947,0.241125,-0.05825,-0.55625,-71.9904,-7.5018,-7.09125,1.0205,27.1205,99.7,390.3587,0.19,-85.9925,-0.5
3,23.25,0.041875,-5.4481,0.6734,0.15175,-0.10215,-0.7915,-74.703075,-6.439,-7.1775,1.01455,29.00425,99.7,390.7008,0.18725,-85.3125,-0.5
3,23.75,0.0431,-5.704625,0.561575,-0.14075,-0.2002,-0.89995,-69.80875,-6.42375,-7.37575,1.0088,29.3735,99.7,390.491,0.17725,-86.4275,-0.5
4,0.25,0.051,0.469375,0.6088,0.24655,-0.02105,-0.8698,-74.171,-11.4559,-9.0615,5.6863,34.178,99.2975,393.84815,0.249,-84.075,-0.253
