DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,PPFD_OUT,APAR,FAPAR,WS,USTAR,PA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1
8,13.25,-17.4,101.35,377.175,-0.061605,28.35,69.2,631.85,847.4,146.5,1670.8,100.8,1583.25,95.875,3.035,0.43,99.35,85.8,27.1,24.8,22.6,21.7
8,13.75,-15.525,98.7,363.675,-0.0696275,28.5,68.5,595.15,808.55,143.2,1567.9,95.2,1489.3,95.8,3.13,0.42,99.34,79.5,27.35,25,22.6,21.7
8,14.25,-13.475,84,338.725,-0.06284,28.55,67.85,548.6,750.9,136.05,1443.45,88.1,1380.15,95.67,3.06,0.41,99.32,64.7,27.45,25.2,22.7,21.7
8,14.75,-12.7,74.65,309.8,-0.0577975,28.5,68.05,488.3,690.45,127.75,1338.45,86.15,1262.15,95.55,3.135,0.43,99.3,48.7,27.7,25.4,22.7,21.65
8,15.25,-10.4,61.2,276.45,-0.063375,28.5,68.5,422.8,616.9,117.4,1193,75.2,1124.65,95.45,3.08,0.42,99.29,35.65,27.6,25.6,22.8,21.6
8,15.75,-8.375,40.025,240.05,-0.06318,28.2,69.575,348.425,534.425,105.55,1009.225,66.825,947.125,95.3175,3.11,0.4125,99.27,19.475,27.5,25.675,22.8,21.6
8,16.25,-5.325,24.6,197.1,-0.0540425,27.9,70.3,274.075,442.25,91.275,818.775,57.7,772.1,95.2175,2.9575,0.4,99.27,8.05,27.3,25.7,22.9,21.6
8,16.75,-2.8,11.6,156.9,-0.045885,27.575,71.675,199.475,352.35,73.275,639.95,46.45,601.25,95.08,2.89,0.38,99.2425,0.5,26.975,25.8,23,21.6
8,17.25,-0.3,-2.65,110.6,-0.034795,27.3,73.6,129.2,255.8,55.5,449.2,33.3,420.425,95.04,2.69,0.36,99.23,-5.4,26.6,25.7,23.1,21.6
8,17.75,2.2,-9.2,73.75,-0.021025,26.6,75.6,63.925,156.65,33.475,284.7,20.525,263.675,95.16,2.46,0.31,99.2175,-10.5,26.3,25.6,23.1,21.6
8,18.25,5,-10.4,46.025,-0.010465,25.7,78.625,14.075,76.175,13.425,130.675,11.35,124.2,95.06,2.245,0.27,99.19,-16,26,25.6,23.2,21.6
8,18.75,7.3,-5.8,28.225,-0.00444,24.7,82.825,-12.475,17.7,3.125,29.125,2.6,26.2,92.91,1.995,0.21,99.19,-21.95,25.725,25.5,23.2,21.6
8,19.25,7.7,-3.6,19.575,-0.001815,23.9,85.85,-19.775,0.3,0,0,0,0,0,1.725,0.18,99.185,-24.9,25.4,25.4,23.2,21.6
8,19.75,8.2,-1.9,14.95,-0.0005225,23.2,88.9,-19.675,0,0,0,0,0,0,1.6,0.17,99.18,-26.85,25,25.2,23.3,21.6
8,20.25,8.2,-2,14,-0.00045,22.825,90.9,-18.2,0,0,0,0,0,0,1.61,0.17,99.19,-26.275,24.7,25.1,23.3,21.6
8,20.75,8.1,-0.9,11.4,-0.00015,22.3,92.025,-17.1,0,0,0,0,0,0,1.61,0.17,99.2,-26.7,24.4,25,23.4,21.6
8,21.25,8.5,-0.6,11.525,-0.00012,22,93.025,-17.025,0,0,0,0,0,0,1.4825,0.15,99.19,-24.35,24.125,24.9,23.4,21.6
8,21.75,7.5,-0.7,9.325,-0.00012,21.8,93.9,-16.175,0,0,0,0,0,0,1.4175,0.15,99.19,-23.7,24,24.7,23.4,21.6
8,22.25,8,-0.5,8.175,-0.00012,21.6,94.725,-15.375,0,0,0,0,0,0,1.4375,0.15,99.19,-24.1,23.7,24.5,23.4,21.6
8,22.75,7.5,-0.5,6.825,-0.00012,21.3,95.1,-14.9,0,0,0,0,0,0,1.46,0.135,99.18,-23.6,23.425,24.3,23.4,21.6
8,23.25,7.8,-0.3,8.7,-0.00012,21.2,95.6,-14.15,0,0,0,0,0,0,1.31,0.14,99.1725,-22.7,23.2,24.1,23.325,21.6
8,23.75,8.3,-0.5,9.8,-0.00012,21,96.1,-13.575,0,0,0,0,0,0,1.2975,0.15,99.17,-22.65,23.025,24,23.3,21.6
9,0.25,6.6,-0.8,10.45,-0.00012,18.925,96.6,-11.475,0,0,0,0,0,0,1.66,0.2,99.36,-17,20.425,21.2,21,20
9,0.75,6.2,-0.6,11.3,-0.00012,18.7,97,-10.95,0,0,0,0,0,0,1.69,0.215,99.36,-16.35,20.275,21.1,21,20
9,1.25,6.3,-0.7,10.5,-0.00012,18.4,97.35,-10.2,0,0,0,0,0,0,1.73,0.2,99.36,-16.95,20.25,21,21,20
9,1.75,6.3,-0.7,12.7,-0.00012,18.4,97.625,-9.6,0,0,0,0,0,0,1.665,0.2,99.34,-16.25,20.2,20.9,20.925,20.025
9,2.25,6.4,-0.525,11.3,-0.00012,18.2,97.7,-9.6,0,0,0,0,0,0,1.66,0.2,99.3325,-16.85,20.025,20.825,20.925,20.1
9,2.75,6.75,-0.7,10.85,-0.00012,18,98.1,-9.375,0,0,0,0,0,0,1.765,0.21,99.33,-16.35,19.9,20.8,20.825,20.1
9,3.25,6.425,-0.6,10.8,-0.00012,17.925,98.05,-8.8,0,0,0,0,0,0,1.71,0.2,99.35,-15.95,19.8,20.725,20.825,20.1
9,3.75,6.8,-0.55,10.85,-0.00012,17.725,98.325,-8.8,0,0,0,0,0,0,1.69,0.21,99.35,-15.9,19.6,20.625,20.8,20.1
9,4.25,5.8,-0.75,10.3,-0.00012,17.7,98.5,-7.8,0,0,0,0,0,0,1.73,0.21,99.37,-15.35,19.5,20.6,20.8,20.1
9,4.75,6.5,-0.7,12,-0.00012,17.7,98.6,-7.875,0,0,0,0,0,0,1.675,0.21,99.37,-14.075,19.425,20.5,20.7,20.1
9,5.25,6.1,-0.4,11.2,-0.00012,17.6,98.725,-6.5,1.3,0.3,0,0,0,0,1.7,0.21,99.38,-13.9,19.4,20.4,20.725,20.1
9,5.75,5.2,-0.675,13.25,-0.00012,17.7,98.725,3.9,30.5,6.825,44.05,4.725,39.65,92.94,1.77,0.22,99.4,-12.95,19.3,20.325,20.7,20.1
9,6.25,4.275,-1.2,25.325,-0.00101,17.9,98.9,42.425,95.45,24.725,167.85,16.3,155.65,94.49,1.87,0.26,99.4375,-7.6,19.3,20.3,20.7,20.1
9,6.75,3,6.45,44.1,-0.0070725,18.75,97.95,95.4,193.55,44.35,341.5,31.5,313.8,94.335,1.9875,0.27,99.505,2.7,19.3,20.2,20.6,20.1
9,7.25,1.5,24.95,75.7,-0.0220225,19.7,95.725,157.6,299.075,63.75,528.875,49.925,485.2,94.2675,2.28,0.32,99.545,16.9,19.4,20.125,20.6,20.1
9,7.75,0.4,47.925,108.425,-0.03665,20.625,92.125,232.925,402.325,82.425,724.2,66.65,667.3,94.42,2.49,0.3675,99.57,33.8,19.5,20.1,20.6,20.1
