DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD,PPFD_DIF,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,22.75,546.0704254,13.5388838,4.6191203,0.0527508999999946,5.6438574,16.6804388,4.78917445,0.33244975,0.0046461,0.921588750000001,0.4044519,103.187,99.315,11.946,3.994728675,19.3818489,0.73815915,11.9023331,11.9066669,12.0603332,12.0035,11.994,-1.05162697500001,0,0,0,0.0262566499999974,1.468333,361.0729597,365.72716665
1,23.25,522.596476,13.557242,5.3627239,1.35869469999999,3.43048375,19.5307165,4.58624495,0.30174865,0.00367775,1.0044821,0.35963045,103.174,99.2225,12.15075,4.763069575,19.1817909,0.84515115,11.743417,11.806416775,11.983917,11.975666775,12.005749775,-0.617521225000009,0,0,0,0.125656824999999,1.8,363.9866876,366.8806982
1,23.75,505.77874845,13.70240835,4.204487,1.9940877,3.4752001,15.8855402,5.4998877,0.3412848,0.00970197499999998,1.0026364,0.4025265,103.174,99.64,11.87075,4.1038848,19.2498626,0.92425,11.705583575,11.72949985,11.915583575,11.928166575,12.015083,-0.805059549999998,0,0,0,-0.0412604500000009,1.696666425,364.291058225,366.03933055
2,0.25,555.348787425,14.2195711,7.331170525,-2.502206625,3.986168575,44.67589015,7.4582508,0.5333544,0.00702240000000002,1.351223,0.6759544,102.773,98.19,14.2795,7.105856125,21.2439974,1.143879075,13.25950015,13.33799985,13.522167,13.81899985,13.519667,-0.878945850000001,0,0,0,-0.225056,1.46833365,364.858579975,371.657627075
2,0.75,536.5690169,14.0829633,7.414892225,-3.354582,2.22173145,52.5141742,6.9604056,0.5284064,0.0065448,1.2380662,0.6615814,102.767,98.655,13.9505,6.4386875,21.5322292,1.1385321,13.2488333,13.24699985,13.465,13.7716667,13.5278333,-1.4693493,0,0,0,-0.223180550000001,2.134999675,364.85414445,369.935241525
2,1.25,546.23056065,14.01371435,6.891314,-2.85696575,4.08401619999999,52.0912508,7.1334494,0.5071134,0.0040356,1.2514468,0.6705282,102.774,98.595,13.728,6.20777575,20.94037,1.117991775,13.2505,13.18058315,13.3623333,13.737667,13.526333,-1.3274854,0,0,0,-0.294448600000002,1.87333365,364.639390725,370.718194625
2,1.75,516.987957575,13.80462325,7.254709875,-2.0036685,4.77083759999999,52.706471375,6.9816118,0.4977822,0.005314475,1.2321906,0.6191526,102.769,98.685,13.9345,5.101144125,20.9189048,1.040735875,13.205167,13.131,13.27799985,13.69,13.5188333,-1.9620773,0,0,0,-0.225056,1.805,365.2303459,371.6858925
2,2.25,519.49856755,13.66118135,6.05666612499999,-2.61507085,4.42609644999998,48.5448010749999,7.47208862499999,0.497541075,0.00287117499999999,1.109278625,0.614992274999999,102.759,99.7375,13.75575,5.2279962,21.00078315,0.913241549999999,13.12400005,13.098625,13.22675005,13.65349995,13.51025,-1.981257175,0,0,0,-0.223180550000001,2.48666699999999,366.156039625,371.011865575
2,2.75,539.5962516,13.7463538,8.4726044,-2.84259505,2.29637477499998,49.5915636,7.58206839999998,0.536336799999999,0.00647859999999998,1.385147475,0.672766124999999,102.783,99.8375,13.38875,5.29943069999999,20.830538975,1.263994375,13.067666525,13.037666475,13.17575,13.620333475,13.50025,-1.65230687500001,0,0,0,-0.373218525000001,2.26833365,364.383451475,370.406644225
2,3.25,532.384857325,14.108651075,6.434887325,-1.95631834999999,3.571758675,47.5017698,8.03375417499999,0.57023595,0.00905999999999995,1.424684225,0.7098698,102.786,99.9875,13.34625,5.4175969,20.74730605,1.4235858,13.018,12.992875,13.133333,13.590416525,13.492166475,-1.0016229,0,0,0,-0.223180550000001,2.46833365,365.30813125,370.875453775
2,3.75,575.79864445,13.74079955,6.87097875,-3.147035,4.168093375,48.4556621999999,8.3773735,0.583167575,0.00560027499999999,1.2696412,0.686802875,102.806,100.0875,13.17875,5.0938571,20.8653084,1.261412275,12.98525,13.0045,13.097166525,13.559583,13.49175,-1.118685575,0,0,0,-0.294448600000002,2.6,367.504607675,372.583682125
2,4.25,494.9888422,13.46888575,5.99011225,-0.716834599999981,2.94207565,49.7197292499999,7.83399207499999,0.630043599999999,0.00729202499999998,1.272614475,0.7091005,102.803,100.0375,13.47425,5.1445196,20.539055525,0.9328062,12.936916525,12.991,13.053,13.499583,13.48799995,-1.211577475,0,0,0,-0.0731435250000006,2.201666675,366.28649995,372.50828645
2,4.75,527.016280575,13.3083491,6.3397662,-1.69093484999999,3.415196,41.54906875,7.952871925,0.568751149999998,0.00477854999999997,1.321454775,0.7149758,102.816,100.1,13.82325,5.06663019999999,21.095425575,1.0660798,12.915916475,12.964625,13.01825005,13.432333,13.47224995,-0.733010575000006,0,0,0,-0.288822175000004,2.401666675,366.5293522,370.446198825
2,5.25,518.584691425,13.234236625,5.84283375,-0.35607694999999,4.51851149999999,32.05663115,8.05083224999999,0.5534532,0.00774075,1.1520814,0.669269724999998,102.829,100.1,13.505,5.3981304,21.081995625,1.1896508,12.93325005,12.93675,13.0015,13.34550005,13.46649995,-1.249279925,0,0,0,0.00187547499999936,2.270000325,367.8403197,370.064584825
