DOY2,HR2,CO2,H2O,FC,SC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_2_1_1,TS_3_1_1,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
7,15.25,389.1,25.563,-13.8305,-0.301,5.8555,114.7775,333.542,1.9255,0.505,1.042,0.866,0.537,100.632,59.065,31.19,18.699,32.192,0.453,23.66,23.18,23.415,1524.49,692.2095,784.792,80.223,441.814,491.896
7,15.75,387.107,25.681,-12.9865,-0.274,6.009,111.717,332.953,1.852,0.515,0.988,0.886,0.519,100.6135,59.065,31.19,18.699,32.388,0.417,23.66,23.18,23.415,1469.969,636.3615,761.8455,78.6405,441.4055,493.0605
7,16.25,390.905,25.685,-11.594,-0.034,6.17,91.771,290.929,1.921,0.4975,1.024,0.864,0.498,100.5885,59.12,31.2,18.451,32.383,0.3915,23.76,23.275,23.5,1307.7075,583.569,695.1005,71.8,440.4515,490.516
7,16.75,390.2655,25.81,-10.073,-0.034,6.319,75.493,251.125,1.826,0.462,0.9415,0.798,0.468,100.577,59.12,31.2,18.451,32.393,0.351,23.76,23.275,23.5,1199.855,493.117,625.179,65.417,439.793,490.544
7,17.25,390.6865,25.744,-8.193,0.204,6.455,55.14,225.868,1.758,0.444,0.909,0.752,0.451,100.563,60.36,30.84,17.737,32.112,0.29,23.85,23.37,23.565,1017.465,436.951,526.373,58.124,438.672,490.188
7,17.75,390.6415,26.1065,-6.778,0.204,6.422,37.738,180.944,1.788,0.419,0.874,0.707,0.449,100.565,60.36,30.84,17.737,32.029,0.237,23.85,23.37,23.565,870.646,342.411,453.089,50.374,435.845,487.816
7,18.25,390.006,26.2875,-5.027,0.914,6.368,17.013,136.609,1.65,0.368,0.786,0.607,0.391,100.555,66.48,30.05,14.338,31.893,0.206,23.88,23.375,23.605,622.418,251.359,327.746,42.257,433.477,484.713
7,18.75,391.8665,26.5755,-2.947,0.914,6.277,2.696,89.271,1.609,0.331,0.6965,0.5655,0.3495,100.559,66.48,30.05,14.338,31.483,0.181,23.88,23.375,23.605,448.936,150.225,245.931,32.176,431.95,480.001
7,19.25,391.88,27.128,-1.492,1.476,6.05,-7.327,50.478,1.456,0.258,0.587,0.471,0.308,100.567,76.31,28.405,9.2275,30.874,0.209,23.89,23.415,23.625,215.602,54.685,112.623,18.889,428.093,475.7
7,19.75,395,27.145,0.076,1.584,5.845,-11.35,25.109,1.493,0.196,0.4835,0.402,0.233,100.566,76.31,28.405,9.2275,30.187,0.236,23.89,23.415,23.625,100.165,-6.113,53.974,8.375,425.546,469.623
7,20.25,399.592,27.07,0.8605,2.302,5.623,-14.0855,14.4735,1.5585,0.1945,0.4725,0.378,0.2315,100.5615,81.2,26.645,6.4085,29.4545,0.246,23.905,23.41,23.61,13.482,-41.7175,3.7705,2.1045,422.141,464.6345
7,20.75,403.413,26.996,1.5645,2.302,5.404,-15.971,11.0165,1.6395,0.1915,0.497,0.395,0.244,100.569,81.2,26.645,6.4085,28.956,0.2535,23.905,23.41,23.61,0.416,-47.856,-2.2385,1.326,419.6835,460.854
7,21.25,406.42,26.698,2.0565,1.819,5.148,-18.1605,8.644,1.6295,0.21,0.5005,0.4045,0.2495,100.594,83.5,25.75,5.4775,28.5415,0.2465,23.875,23.455,23.58,0.095,-46.654,-2.293,1.3695,418.5755,458.681
7,21.75,411.817,26.629,2.86,1.819,4.847,-19.439,8.271,1.748,0.2275,0.522,0.41,0.267,100.6135,83.5,25.75,5.4775,28.1565,0.2375,23.875,23.455,23.58,0.0975,-46.125,-2.293,1.309,418.221,456.2375
7,22.25,416.528,26.518,3.349,1.697,4.5235,-21.15,5.1865,1.7745,0.2365,0.5425,0.4255,0.293,100.63,85.15,25.185,4.5915,27.712,0.243,23.85,23.45,23.52,0.0985,-46.459,-2.293,1.343,416.468,454.0575
7,22.75,420.394,25.7,3.385,1.697,4.2395,-22.7075,6.2745,1.757,0.2465,0.5705,0.4415,0.2855,100.6425,85.15,25.185,4.5915,27.4555,0.2195,23.85,23.45,23.52,0.1025,-46.0445,-2.293,1.278,413.36,453.29
7,23.25,421.093,25.7875,3.1665,0.728,3.9705,-20.829,4.0825,1.676,0.241,0.557,0.4665,0.2885,100.643,86.9,24.515,4.0375,27.366,0.2175,23.805,23.42,23.465,0.103,-45.3835,-2.293,1.401,411.2945,452.562
7,23.75,424.385,25.75,3.649,0.728,3.7205,-20.278,3.4815,1.701,0.2515,0.5835,0.4655,0.3005,100.646,86.9,24.515,4.0375,27.002,0.2125,23.805,23.42,23.465,0.1025,-45.1245,-2.293,1.2535,410.757,450.82
8,0.25,425.224,25.34,3.758,1.199,1.9895,-17.28,0.652,1.649,0.273,0.5765,0.435,0.3035,100.664,90.2,23.5,2.685,26.064,0.185,24.46,24.295,24.27,0.081,-42.5365,-2.293,1.31,411.1995,443.369
8,0.75,427.278,25.3885,3.459,1.211,1.819,-15.87,0.323,1.679,0.258,0.5425,0.424,0.295,100.668,90.2,23.5,2.685,25.804,0.182,24.46,24.295,24.27,0.08,-42.1235,-2.275,1.2545,409.8255,442.7335
