DOY2,HR2,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,PA_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,TA_1_1_1,RH_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_1_2_1,G_1_3_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,NETRAD_1_1_1
2,4.75,-0.0188091,-3.796545,6.24699,0.859918,1.82341,0.112404,15.7056,102.038,444.747,8.87884,0.438572,0.342075,0.117146,0.20545,6.01,89.8,10.3,10.45,10.8,-7.17781,-4.62903,-1.62295,-3.52588,1.2,280.285,342.204,0,-76.6495
2,5.25,-0.0243726,-2.85093,7.45819,0.907481,1.7441,0.1093895,15.7314,102.039,440.892,8.90797,0.4128,0.364604,0.122852,0.217834,5.975,90,10.24,10.4,10.73,-7.61827,-4.79032,-1.62295,-3.45086,1.13333,282.356,341.811,0,-74.1754
2,5.75,-0.01651945,-2.23469,7.355755,1.0859,1.75996,0.1091,15.5133,102.045,450.2305,8.92211,0.409079,0.381169,0.115539,0.23028,6.097,89.4,10.15,10.36,10.73,-8.14029,-5.24194,-2.05738,-3.37584,1.2,282.239,340.714,0,-73.6391
2,6.25,-0.0215304,-2.4066,5.117285,1.13745,1.421755,0.109832,15.2033,102.063,442.697,8.62761,0.41593,0.380344,0.112711,0.233007,5.785,90.2,10.01,10.27,10.67,-8.53181,-5.91935,-2.467215,-3.37584,1.33333,282.867,339.99,0,-71.4342
2,6.75,-0.02446075,-3.453905,3.36952,1.18413,1.63262,0.122275,14.9269,102.08,443.045,8.600495,0.408328,0.391422,0.122501,0.231957,5.631,90.8,9.86,10.17,10.59,-8.54812,-6.12903,-2.83607,-0.675169,1.46667,283.096,339.8405,2.30608,-65.504
2,7.25,-0.02344965,-3.058585,6.80047,1.104425,1.66826,0.126806,14.8165,102.099,445.6765,8.855645,0.404499,0.357139,0.129972,0.205299,5.723,90.9,9.72,10.03,10.54,-8.35237,-6,-3.081965,24.6812,3.26667,284.373,338.825,36.6876,-29.66525
2,7.75,-0.02845355,-1.383665,12.5954,1.04683,1.77385,0.1443995,15.0998,102.115,452.7965,9.1879,0.454196,0.384481,0.138245,0.211515,6.258,90,9.63,9.92,10.48,-8.56444,-6.25806,-3.44262,87.847,6.2,285.874,340.3585,127.883,21.104
2,8.25,-0.0298507,2.029975,15.8687,1.07119,2.20794,0.1515465,15.375,102.148,453.1115,9.828045,0.490906,0.419005,0.167937,0.266568,6.869,88.1,9.54,9.87,10.44,-8.92333,-6.54839,-3.85246,166.767,8.86667,280.115,343.818,269.811,92.6421
2,8.75,-0.0340808,7.868895,31.3975,0.7599605,2.18035,0.165505,16.0652,102.17,444.355,9.5416,0.498314,0.446325,0.17782,0.261768,7.749,85.6,9.46,9.78,10.4,-8.38499,-6.5,-4.254095,254.539,11.9333,278.593,348.527,420.545,172.608
2,9.25,-0.0420952,15.2838,41.1742,0.9844955,2.54292,0.176486,16.5466,102.189,442.506,10.005505,0.580541,0.492957,0.210625,0.299243,8.6,82.2,9.46,9.73,10.38,-8.0261,-6.40323,-4.40984,340.435,16.8667,280.499,356.714,555.136,235.3125
2,9.75,-0.0410131,19.0394,53.84125,0.613245,2.7567,0.178248,17.3416,102.195,445.8285,10.173,0.527418,0.492832,0.216931,0.342549,9.42,77.12,9.48,9.71,10.36,-7.79772,-5.8871,-4.52459,422.506,17.6,281.927,365.212,696.855,311.246
2,10.25,-0.0498208,22.4136,71.912,0.5977745,3.05629,0.206417,18.1762,102.197,437.681,10.39,0.59828,0.568841,0.236375,0.36623,10.26,73.96,9.76,9.75,10.32,-7.35726,-5.58065,-4.57377,490.623,20.4667,284.895,371.7375,823.48,373.7525
2,10.75,-0.0586535,27.6015,76.33525,0.863392,2.71643,0.201525,18.7458,102.209,434.543,10.4301,0.607646,0.606731,0.237809,0.346362,10.71,70.95,10.08,9.81,10.28,-6.31321,-4.27419,-4.16393,543.511,25.5333,287.022,377.002,893.711,416.176
2,11.25,-0.0472398,34.3762,94.6084,0.561079,2.72033,0.1940675,19.2857,102.212,431.304,10.4301,0.641705,0.608736,0.236765,0.407353,11.43,68.55,10.33,10.17,10.27,-5.15498,-2.54839,-3.29508,594.374,35.3333,289.995,382.965,988.05,446.7325
2,11.75,-0.051777,31.95965,109.964,0.858443,2.74989,0.198895,19.8977,102.17,428.5605,10.2765,0.705528,0.651663,0.242919,0.391985,12.22,65.01,10.8,10.31,10.31,-4.37194,-1.22581,-2.52459,622.656,37.0667,290.271,387.752,1045.7,469.86
2,12.25,-0.0603397,33.7846,124.1845,0.9484325,2.89729,0.207618,20.6807,102.139,426.971,10.3202,0.740594,0.688266,0.244296,0.390469,12.88,62.75,11.25,10.68,10.46,-2.74062,-0.516129,-1.844265,629.407,39.9333,296.06,392.101,1047.59,475.0605
2,12.75,-0.0554585,33.5824,133.126,0.713798,2.7192,0.20746,21.3575,102.109,425.3875,10.55135,0.71788,0.712974,0.24974,0.379476,13.61,60.86,11.52,11.06,10.55,-1.25612,0.322581,-1.14754,626.407,41.6667,297.894,395.872,1015.3,466.364
2,13.25,-0.0671817,25.7686,138.8005,0.711922,2.765025,0.229229,21.9499,102.071,424.108,10.5429,0.73732,0.715455,0.250619,0.404209,13.91,57.53,11.82,11.32,10.63,-0.146819,1.01613,-0.983607,597.074,41.5333,297.305,399.299,992.034,443.9015
2,13.75,-0.04881905,28.89335,147.13,0.820005,3.13332,0.204474,22.4456,102.033,424.338,10.3465,0.744263,0.742998,0.246883,0.367501,14.17,55.54,12.11,11.47,10.82,1.20718,1.69355,-0.180328,575.169,41.8667,299.54,399.649,945.283,405.187
2,14.25,-0.06169005,28.6529,161.043,0.943309,3.12017,0.225678,22.7743,102.006,423.5425,10.2997,0.752055,0.767841,0.243219,0.341744,14.55,53.22,12.38,11.66,10.99,2.67537,2.77419,0.721311,524.606,45.6,300.27,399.94,868.553,351.976
2,14.75,-0.0569837,22.58945,166.2855,1.104475,2.74138,0.2022045,22.9395,101.979,423.124,9.75514,0.725693,0.71012,0.248083,0.311762,14.49,51.7,12.51,11.9,11.12,3.53997,3.1129,1.655735,465.566,45.2,298.265,399.405,790.566,288.719
2,15.25,-0.05647925,19.9338,136.715,0.9784325,2.87651,0.224751,23.0467,101.948,422.363,9.98112,0.644301,0.672474,0.237642,0.283915,14.74,52,12.71,12.13,11.21,5.1876,4.8871,2.60656,383.196,43,298.408,396.71,647.379,207.94
2,15.75,-0.0468644,17.65165,122.152,0.8786505,2.756865,0.210763,22.8642,101.916,422.236,10.0053,0.618118,0.66642,0.24599,0.260273,14.84,51.76,12.92,12.28,11.28,6.59054,5.54839,3.34426,299.625,43.4,299.366,395.916,508.805,130.4395
2,16.25,-0.0376838,7.564085,97.6271,0.964181,2.94635,0.1829685,22.6653,101.896,421.354,10.3356,0.60614,0.57154,0.209679,0.218609,14.7,51.54,12.98,12.42,11.49,7.30832,6.08065,4.008195,214.554,32.0667,299.937,392.204,363.732,57.96275
2,16.75,-0.0342096,3.59449,78.9791,0.909784,2.37037,0.174015,22.812,101.882,421.544,10.6277,0.559486,0.505492,0.184974,0.190852,14.38,53.07,13.02,12.45,11.61,7.94454,5.66129,4.70492,124.756,21.4667,299.378,388.647,205.451,-1.11134
2,17.25,-0.0137183,-1.28237,54.48975,0.7064455,2.26073,0.125998,22.5407,101.879,422.04,10.6792,0.385786,0.392358,0.15365,0.188285,13.85,57.32,12.98,12.58,11.73,7.96085,5.32258,5.081965,43.1358,9.26667,299.626,383.395,74.2138,-56.5721
2,17.75,-0.0147829,-1.35935,44.4505,0.964771,1.8664,0.109077,22.198,101.874,422.937,11.0042,0.409163,0.339732,0.131846,0.207139,12.9,63.75,12.93,12.64,11.84,7.8956,5.3871,5.237705,0.825206,1.93333,293,374.733,8.80503,-92.6704
2,18.25,-0.0112502,-2.8817,37.02165,1.45227,1.76717,0.104711,21.6885,101.881,427.473,10.901,0.373608,0.312733,0.117105,0.24702,12.22,68.87,12.69,12.54,11.89,7.87928,5.51613,5.60656,-4.35109,1.33333,290.161,371.5885,0,-96.1641
2,18.75,-0.0178369,-2.3299,31.91895,1.574335,1.83299,0.117918,21.2209,101.885,430.701,10.84655,0.378192,0.37004,0.119641,0.270103,11.71,69.81,12.59,12.405,11.915,7.85481,5.620965,5.959015,-4.57614,1.4,287.316,367.5085,0,-95.406
2,19.25,-0.0173595,-2.750515,25.3698,1.353,1.86352,0.0980494,20.6429,101.897,433.586,10.88725,0.340663,0.360538,0.122929,0.240524,11.175,72.595,12.465,12.375,11.955,7.014685,5.314515,6.13115,-4.27607,1.46667,285.6305,365.832,0,-93.6944
2,19.75,-0.0151287,-1.87854,21.5832,1.19344,1.85786,0.108517,20.4368,101.923,435.651,10.6699,0.407578,0.348123,0.129528,0.255456,10.755,73.98,12.29,12.28,11.99,6.13377,4.370965,6.0082,-4.16354,1.366665,288.596,364.416,0,-91.5233
2,20.25,-0.0192814,-2.26709,18.65045,1.51332,1.87799,0.122405,20.0569,101.925,439.4855,10.6533,0.412555,0.347569,0.134941,0.2541,10.42,75.03,12.165,12.17,12,5.47308,3.596775,5.688525,-4.27607,1.26667,283.488,362.551,0,-90.2323
2,20.75,-0.02076145,-4.69314,19.98295,1.497825,1.92678,0.118186,19.5639,101.934,442.571,10.723,0.37672,0.381659,0.135609,0.26757,9.99,76.68,12.05,12.06,12.03,4.314845,2.46774,4.82787,-4.20105,1.46667,281.748,360.343,0,-88.5026
