DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_2_1_1,WS,USTAR,PA_1_1_1,RH_1_1_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_1_3,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,SW_IN,SW_OUT,LW_IN,LW_OUT,NEE
2,1.75,0.0582,413.93,-0.02055,-2.392925,-0.188875,0.7274975,-0.5147025,-0.066275,-3.988661,-5.298795,0.1296,0.033175,98.071,62.86783,0.3154075,-25.4855625,-21.78707,-21.3475,-3.39900825,-3.0322285,-2.41113525,-1.79110275,-1.353251,0.01490025,0.73120625,2.379058,-0.57140105,0.05885855,203.42325,201.0868,0.079265
2,2.25,-0.0272,413.765,-0.03325,-2.6735,-0.51301,0.77804,-0.392405,-0.0436,-4.032926,-5.266017,0.148089,0.03895,98.081,62.946095,0.313395,-26.13092,-21.70448,-21.2105,-3.38122825,-3.0209155,-2.43172175,-1.78230675,-1.32,0.0316135,0.73439475,2.38039525,-0.6680769,0.1273307725,201.428725,200.55915,-0.0453
2,2.75,0.009175,413.8225,-0.0644,-3.40395,-0.1243975,0.755265,-0.2686725,-0.034825,-4.057915,-5.25234925,0.1867335,0.038975,98.08575,61.76768,0.312415,-27.108995,-21.6450575,-20.8085,-3.341151,-2.965229,-2.413615,-1.785211,-1.26103275,0.03223892,0.720361,2.373573,-0.7555869,0.1446856,199.8964,200.7208,0.08868
2,3.25,-0.07,413.9575,-0.0182,-2.63815,-0.2275475,0.766325,-0.33901,-0.04285,-4.05988975,-5.288583,0.15074,0.04495,98.09075,61.07923,0.3138925,-27.19882,-23.27638,-21.4915,-3.37640625,-2.99139625,-2.4205205,-1.78810325,-1.3030035,0.015236,0.72252525,2.3801255,-0.709190325,0.094770085,197.4567,197.3224,0.0061825
2,3.75,-0.0398,414.195,-0.0274,-2.396525,-0.41233,0.761125,-0.5270275,-0.069225,-4.045073,-5.3131525,0.239845,0.029175,98.092,61.47358,0.3156225,-27.0358075,-24.17272,-21.8277625,-3.34406175,-3.00870125,-2.4287465,-1.789252,-1.34730625,0.0159495,0.73164125,2.38393025,-0.722251,0.129755175,196.59135,197.154775,0.1755575
2,4.25,0.021725,414.22,-0.0271,-3.5102,-0.18929,0.72823,-0.4671,-0.06715,-3.978664,-5.28159425,0.22896,0.0367,98.0305,61.217905,0.31026,-26.783045,-25.0602325,-22.31689,-3.3666025,-2.9989165,-2.425449,-1.78664825,-1.265136,0.027380735,0.7170955,2.3484375,-0.582505275,0.179395725,198.97545,196.5566,-0.0783
2,4.75,0.11137,413.7325,-0.0135,-1.88875,-0.3748975,0.6892025,-0.316375,-0.0392,-4.0113615,-5.29108625,0.197361,0.03155,97.9735,61.40947,0.2954575,-27.2230975,-25.5109775,-22.91,-3.3698575,-3.010406,-2.4431785,-1.78719175,-1.365755,0.02052204,0.6896945,2.3394175,-0.58442485,0.14798,199.0292,194.48795,0.22535
2,5.25,0.0480875,414.07,-0.04345,-1.8783,-0.50734,0.67386,-0.5352875,-0.0575,-4.0589065,-5.284586,0.141839,0.044025,97.88923,60.83562,0.28853,-27.3474,-26.1802925,-22.938,-3.3623275,-3.02078175,-2.4497065,-1.83113,-1.381843,0.02704975,0.7256805,2.36205475,-0.52932325,0.19726695,195.819925,194.682125,0.1156825
2,5.75,0.00579,414.3,-0.0263,-3.182375,-0.5264775,0.638645,-0.41188,-0.08645,-4.085807,-5.29676625,0.138289,0.045875,97.9279025,60.40463,0.2907075,-27.5630875,-25.92571,-23.052,-3.34421,-2.997477,-2.44718,-1.824908,-1.39435,0.032141,0.743129,2.374524,-0.807867825,0.17770615,192.8144,196.5897,0.006015
2,6.25,0.0455,415.21,0.01465,-1.7135,-0.50756,0.666205,-0.2792475,-0.065025,-4.0904745,-5.28778875,0.120867,0.04965,97.8626,61.308215,0.30284,-27.02325,-25.95205,-24.05895,-3.3561895,-2.9676045,-2.409353,-1.813248,-1.34437025,0.0142325,0.73016,2.3847805,-0.6492697,0.1364415,191.87045,195.7055,0.093385
2,6.75,0.0388,414.4375,-0.0066425,-2.430775,-0.678725,0.6252525,-0.4969775,-0.08015,-4.1313555,-5.295526,0.11120275,0.04945,97.86483,60.907575,0.3052875,-27.8828675,-24.08419,-23.71976,-3.383261,-3.0002175,-2.4036585,-1.7850635,-1.31169375,0.031514605,0.709258,2.37796,-0.69396995,0.0894639775,190.8644,193.64795,0.0132625
2,7.25,0.0213,413.49,0.00024575,-1.097,-0.22435,0.56498,-0.5217025,-0.0436,-4.1449385,-5.332061,0.06843325,0.0371,97.8726425,61.47664,0.2796425,-28.023525,-23.8559025,-24.36394,-3.383846,-3.025548,-2.3976175,-1.7875495,-1.290387,0.03479893,0.707575,2.3731475,-0.561913775,0.070189195,192.0208,194.6519,-0.06686
2,7.75,-0.021025,413.525,-0.0377,-1.7173,-0.37718,0.587275,-0.253045,-0.05885,-4.145845,-5.360147,0.0586,0.0502,97.90779,61.092205,0.285575,-28.1494,-24.28849,-23.43031,-3.3699255,-3.015689,-2.430525,-1.792519,-1.335813,0.020946,0.689429,2.3209215,-0.39271325,0.119092,191.45205,195.4439,-0.1469825
2,8.25,0.026525,414.115,-0.0323,-2.38555,-1.09414,0.57515,-0.44707,-0.0442,-4.11920625,-5.391785,0.11615,0.0193,97.92721,60.9455425,0.288295,-28.27,-21.2741275,-21.796655,-3.34820775,-3.00333025,-2.42624125,-1.7876095,-1.36861225,0.02662175,0.71348525,2.33272425,-0.1667868,0.1978972,192.642325,196.095825,-0.0898315
2,8.75,0.0507,414.21,-0.0017435,-3.6037,-0.60908,0.580715,-0.22761,-0.0197,-4.13580225,-5.3946675,0.275489,0.0403,97.87762,61.82692,0.300105,-27.36,-22.703515,-22.7975325,-3.3422615,-2.9843635,-2.43416825,-1.789343,-1.35369525,0.00393825,0.697222,2.3365055,0.112712145,0.68199685,193.813125,197.983625,-0.0326805
2,9.25,-0.051545,412.625,-0.0575,-2.85225,-0.3668875,0.62837,-0.126845,-0.0069825,-4.117389,-5.3742765,0.2202275,0.03885,97.916285,61.12608,0.31659,-27.1298725,-22.178505,-22.6700425,-3.334762,-2.979246,-2.415614,-1.7942195,-1.39332175,-0.012764,0.668906,2.2926,2.427161,3.714616,195.7974,199.4442,0.0244705
2,9.75,0.01709,411.9125,-0.0891,-1.846375,-0.653755,0.672885,0.133215,0.001813,-4.15011475,-5.3604885,0.36248,0.033875,97.9964275,61.1797325,0.3297825,-26.6811675,-23.367725,-22.068,-3.3479745,-2.9904835,-2.42284825,-1.89367025,-1.417891,-0.09576975,0.5996518,2.20107475,11.5861375,13.4241025,197.803825,201.223475,0.0816215
2,10.25,0.052275,412.57,-0.31208,-0.2414,0.088345,0.69353,0.18826,0.003535,-4.1929675,-5.404311,0.565356,0.0388,98.024,60.44589,0.35894,-24.640755,-20.905155,-20.702,-3.5123895,-3.1491385,-2.564583,-1.89302825,-1.585106,-0.1850828,0.4866908,2.111148,28.940545,35.20407,201.3386,206.97995,0.1387725
2,10.75,-0.0919725,413.19,-0.0618,-4.0744,-0.0463325,0.7487475,0.31489,0.031725,-4.2107735,-5.412293,0.6979775,0.0794,98.051645,58.6498675,0.3778,-22.928405,-20.3296825,-19.86149,-3.52069525,-3.139002,-2.5898155,-1.8926415,-1.6206575,-0.21627475,0.440618425,2.086135,56.35388,55.627105,206.604575,213.206,-0.184135
