DOY2,HR2,TAU,H,LE,FC,SH,SLE,SC,WS,USTAR,T_SONIC,PA,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA_1_1_1,RH_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,TS_2_1_1,G_1_1_1,G_2_1_1,T_CANOPY_1_1_1
2,7.75,-0.0207,-1.54452,4.506985,0.579745,0.249773,0.0912,0.0204,1.72139,0.162483,-1.43112,97.9765,406.903,3.892905,0.64769,0.536713,0.169245,0.213729,-2.40193,81.1618,-1.83907,39.1876,16.0877,270.054,301.179,51.4701,0.242535,0.20799,-5.61552,-6.41747,-3.271
2,8.25,-0.0246,1.38014,8.2994,0.52182,0.6488345,0.2085155,0.002365,1.99062,0.1539605,-1.16189,97.94385,407.331,3.97105,0.562456,0.586414,0.1929895,0.2103325,-1.933065,79.289,16.87835,91.8094,32.19295,268.3025,306.653,149.0375,0.230635,0.202857,-5.89254,-6.795855,-1.972
2,8.75,-0.026,2.29347,15.5346,0.490167,1.08989,0.262329,-0.0332,2.02271,0.147414,-0.5658,97.9239,407.394,4.128475,0.736582,0.599915,0.21539,0.204461,-1.22565,76.063,51.2246,154.503,50.3811,274.483,310.04,254.256,0.243149,0.208411,-5.91156,-6.46705,-1.282
2,9.25,-0.0368,5.2592,16.9906,0.3912245,1.399515,0.196345,-0.0099,2.46741,0.175384,0.0754,97.939,407.358,4.05506,0.752857,0.699191,0.266541,0.206722,-0.761675,73.1664,83.9834,220.031,70.3069,275.159,312.732,343.412,0.242856,0.208353,-5.01957,-5.46954,-0.731
2,9.75,-0.04855,10.27345,20.9242,0.141282,1.23308,0.1073505,0.00225,2.793635,0.2225175,0.556833,97.91165,407.875,4.16033,0.87637,0.7666845,0.296088,0.27123,-0.110591,70.323,111.208,299.041,83.9441,279.372,316.969,500.594,0.240599,0.207786,-5.33187,-5.35525,0.074
2,10.25,-0.0695,10.43977,29.6487,-0.144744,1.270125,0.151836,0.0163,2.871945,0.2402575,0.8619545,97.9257,408.0385,4.10221,0.988658,0.9007875,0.3101285,0.267398,0.526028,68.1265,130.836,322.209,94.78885,276.3555,319.601,513.9465,0.24874,0.2104455,-5.03728,-5.076175,0.52
2,10.75,-0.08565,9.729825,36.5362,-0.140197,1.600845,0.088,-0.010395,3.23244,0.2720195,1.591535,97.9436,406.6155,4.33153,1.021915,0.978899,0.3392465,0.287703,1.169355,65.97505,160.381,388.2395,110.7745,276.235,322.9675,628.7675,0.248917,0.211671,-4.588035,-4.47907,1.118
2,11.25,-0.08005,11.0261,33.8215,0.06615,1.415395,-0.0476,0.009545,3.441135,0.2670715,1.89799,97.91395,406.672,4.16794,1.08837,1.027805,0.347637,0.2692195,1.561635,63.6831,176.893,393.6745,120.32,275.426,326.02,665.857,0.251606,0.210704,-4.49632,-4.373125,1.627
2,11.75,-0.08965,15.10855,35.9638,0.109164,1.50651,0.0534,0.0269,3.58139,0.2705795,2.313305,97.87925,408.022,4.13351,1.111955,1.032525,0.3602755,0.2620835,2.001375,62.0999,184.448,463.1185,127.891,276.728,328.5425,726.5775,0.250755,0.212002,-4.40499,-4.320345,2.576
2,12.25,-0.0889,14.98595,39.6657,-0.003545,1.22725,0.0863,0.0244,3.80705,0.270802,2.69494,97.8323,407.895,4.18141,1.10157,1.11466,0.360228,0.276994,2.191145,60.0279,202.977,431.816,124.1545,279.123,329.242,750.209,0.2507155,0.2542325,-4.24739,-4.16383,2.6565
2,12.75,-0.098,15.61105,38.2884,0.0297,1.09694,-0.0837,0.0202,3.739705,0.2935515,2.794865,97.7642,408.599,4.12544,1.142165,1.11745,0.368569,0.2569545,2.444695,59.8717,227.537,446.336,126.6375,277.83,330.0985,769.0885,0.2535,0.2692375,-3.921455,-3.966985,2.7125
2,13.25,-0.083,15.7234,40.87815,-0.100239,1.01645,0.07885,0.00053,3.7525,0.267633,2.82721,97.7504,407.695,4.133105,1.194,1.12339,0.379883,0.257127,2.81376,58.82965,209.257,421.2045,125.9195,279.085,331.866,702.893,0.258571,0.270556,-3.39492,-3.55455,3.119
2,13.75,-0.101263,20.2784,41.613,0.05805,0.692233,0.134742,0.0014185,3.726795,0.2940125,3.05196,97.74545,406.367,4.1652,1.15116,1.090095,0.372356,0.256595,2.987235,56.9999,205.203,423.965,115.7815,278.225,332.363,719.2755,0.2750255,0.2744875,-2.9325,-2.697555,3.082
2,14.25,-0.091,17.1,41.0566,0.0665,0.7131045,0.1383245,-0.0017065,3.78537,0.2901965,3.185585,97.7217,406.924,4.159375,1.21025,1.15568,0.3803915,0.2521765,3.34231,55.665,175.586,388.0675,108.2865,281.553,331.854,646.486,0.3382395,0.279455,-2.4066,-2.390995,2.7995
2,14.75,-0.0855,15.1049,39.1331,0.20076,0.492875,0.08465,0.035,3.698,0.268883,3.30669,97.7624,406.471,4.05603,1.14138,1.15369,0.360266,0.228059,3.40997,55.50235,137.075,317.6095,97.7476,279.0155,330.7815,494.728,0.4649285,0.2871865,-2.24724,-2.020895,2.718
2,15.25,-0.09295,5.215145,30.7955,0.2537405,0.301475,0.0822,0.0201,3.642355,0.2902045,3.547115,97.7644,406.7335,4.02636,1.08606,1.117215,0.356478,0.2026755,3.420925,54.86245,122.7875,281.8535,82.59015,278.993,329.5185,446.1335,0.5302365,0.3069535,-2.228215,-1.242575,2.406
2,15.75,-0.0871,0.484281,28.12795,0.430193,0.0899,0.0829,0.0171,3.64218,0.270001,3.34007,97.796,406.353,4.02907,1.02855,0.988685,0.322595,0.191039,3.23086,55.16235,85.11435,191.8945,68.8756,278.407,326.815,329.541,0.530914,0.3237215,-1.831655,-0.817355,1.9725
