DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,RH,WS,SW_IN,LW_IN,PPFD_IN,PA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,VPD,SW_OUT,LW_OUT,T_CANOPY
2,12.25,0.2156665,-0.266699,-0.249072,-0.0001815,12.322778,0.5277025,17.032738,0.092985,393.63178,4.601229,-5.2851788475,72.006,3.121125,471.52,257.06,899.7191042,98.47285,-2.78029975,-0.39192965,-0.4214638,-0.4674439,-0.44971235,62.999595,1.3177960825,282.3078,316.89275,2.6335275
2,12.75,0.216149,-0.315031,-0.2834225,-0.00182,10.941783,0.3889255,16.5875015,0.1305715,393.998038,4.715896,-4.9914,70.416,3.19501,473.49,259.5,950.435,98.426,-2.988586757,-0.34717105,-0.3957428,-0.4561112,-0.4607322,60.680165,1.4486962595,232.8372,315.66855,2.346843
2,13.25,0.216269,-0.260682,-0.2213005,-0.0078835,9.4179585,0.376654,19.135746,0.1000145,393.098323,4.8578255,-4.5304,68.955,3.3365055,452.5745,257.78,895.44,98.434,-2.838470066,-0.29779365,-0.3620093,-0.4290272,-0.44587485,59.74992,1.48964523,204.76985,316.6681,3.6129405
2,13.75,0.229126,-0.218719,-0.1949155,-0.001022,7.164385,0.2411285,19.121873,0.0660685,392.07999,4.909561,-4.37935,69.17,3.395966623,419.44,258.14,818.235,98.3869,-3.2233011045,-0.20204105,-0.27885075,-0.34631115,-0.37143975,59.975845,1.633410448,186.9384,318.55225,3.108006
2,14.25,0.221186,-0.240711,-0.2259955,-0.008234,3.973911,0.254624,17.4082425,0.0625595,391.900949,4.9471855,-4.13715,69.035,3.2580380765,375.89,255.4183,748.33,98.3805,-2.911154394,-0.2045726,-0.275943,-0.33732305,-0.3681632,50.155755,1.6992607245,169.2911,317.2531,3.440295
2,14.75,0.216364,-0.150869,-0.1230365,0.000144,1.749485,0.167806,15.444326,0.073883,392.327412,4.973923,-4.0633,68.052,3.3572552285,330.28,252.76,641.151711,98.358,-2.2009874895,-0.17836915,-0.2273789,-0.28607515,-0.3188886,40.512385,1.78650242,152.8514,318.21785,3.3805365
2,15.25,0.223739,-0.06285,-0.0555375,-0.004748,-2.017631,0.062112,13.328328,-0.0232045,392.086911,5.077213,-3.9677,68.494,3.3095625,255.99203625,250.0342,489.2447775,98.345,-2.573382496,-0.18636925,-0.2245021,-0.2649739,-0.27635375,23.292935,1.8730576985,122.47555,314.5667,2.867153
2,15.75,0.211054,-0.0762,-0.05324,-0.004938,-3.277815,-0.0188245,13.218423,-0.0239525,391.794431,5.166534,-3.9256935,68.61,3.2041875,192.4195,250.95,361.4525023,98.348,-2.1495149045,-0.15827315,-0.1994328,-0.23931395,-0.2516456,13.82187,1.8454481955,84.50462,312.7059,2.492131
2,16.25,0.20573,-0.017321,0.00858,-0.001816,-7.263587,-0.08074,9.514761,-0.025794,391.727332,5.176165,-4.08275,69.605,3.229,128.385,247.25,236.895,98.375,-1.8003372685,-0.13189148,-0.1943967,-0.22801355,-0.23785595,6.1441005,1.694423618,56.95418,311.7491,2.1180415
2,16.75,0.20598,-0.0116965,0.017866,-0.001776,-8.88033,-0.200588,6.799157,-0.036103,391.865415,5.018905,-4.09305,71.082,3.114639,67.428,244.2004,127.73824395,98.39815,-1.5935599905,-0.10581812,-0.18833285,-0.2206973,-0.23322265,0.0845904,1.6633722095,31.629245,311.1077,2.0594685
2,17.25,0.166571,0.035685,0.034538,0.0011635,-9.508627,-0.283374,4.512357,-0.05247,392.051831,4.8668965,-4.40835,71.969,2.8439529415,23.3845,242.0234,48.38972545,98.3905,-1.5481674375,-0.10638848,-0.17370485,-0.20462795,-0.21716725,-11.26046,1.64461944,11.04883,308.9541,1.5654068
2,17.75,0.145659,0.038573,0.034254,0.001463,-10.4935155,-0.326895,2.718533,-0.037781,392.392079,4.64728,-4.8035,73.2705,2.5772128265,2.3046,240.57,5.17014674,98.477955,-1.449740522,-0.08836179,-0.12814305,-0.15250972,-0.1634989,-23.59497,1.665388572,1.5267765,308.3084,1.574776
2,18.25,0.151336,0.0715295,0.058839,0.004058,-11.171165,-0.311587,1.626948,-0.047478,393.339233,4.632962,-5.2311335,74.45349,2.441338,0,241.49,0.19149,98.38768,-1.4166440035,-0.091412215,-0.125933745,-0.147029045,-0.15603335,-21.269655,1.6247860185,0.4651056,305.8858,1.5628515
