DOY2,HR2,T_CANOPY_1_1_1,CO2_1_1_1,FC_1_1_1,H2O_1_1_1,G,H,LE,PA_1_1_1,RH_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,TA_1_1_1,NETRAD,LW_IN_1_1_1,LW_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,TS_1,TAU_1_1_1,U_SIGMA_1_1_1,USTAR_1_1_1,V_SIGMA_1_1_1,W_SIGMA,WS_1_1_1,NEE
1,23.25,12.02073,412.097,3.81179,13.1113,0.925733208333333,-3.294215,-0.31022,101.445631038314,86.26135,13.022,0.286959,12.02073,-41.294755,312.271768276357,358.406558564272,0.09351164,1.15193,14.7505066666667,-0.002404115,0.27994,0.0677302,0.26325,0.0576157,0.332976,3.81179
1,23.75,11.76406,423.653,3.476505,13.1592,0.606496508333333,-3.38042,0.409627,101.461281038314,87.9688,12.649,0.263786,11.76406,-41.829835,313.925734327827,356.509339255506,0.09351164,1.104406,14.6665016666667,-0.00329524,0.288054,0.0740281,0.27563,0.0605348,0.319517,3.476505
2,0.25,11.2888,430.941,3.64806,12.8286,-1.12099466666667,-2.89471,0.52933,101.5958,88.1155,11.3325,0.294254,11.2888,-35.84187,314.177913303221,351.141077402334,0.3033398,1.017349,14.26069,-0.00180351,0.247688,0.0589471,0.24332,0.0487004,0.25048,3.64806
2,0.75,11.13378,434.304,3.34632,12.7322,-1.50202433333333,-2.87186,0.39648,101.593962076629,88.5467,11.2855,0.2861685,11.13378,-35.4237,319.808700088598,351.303161537842,0.3033398,1.02881,14.14763,-0.00176002,0.245434,0.06273435,0.25591,0.04992785,0.2841,3.34632
2,1.25,10.805765,440.192,2.872175,12.6275,-1.8867745,-2.59478,0.403317,101.60200970599,89.9595,10.998,0.2827495,10.805765,-33.83658,321.81489473762,352.67481894572,0.34181715,0.94449935,14.05302,-0.001623225,0.259468,0.0610652,0.238478,0.04740615,0.265552,2.872175
2,1.75,10.66863,444.5455,3.06065,12.6202,-2.01680346666667,-2.751315,0.522439,101.584062076629,90.1979,10.8440000000001,0.277066,10.66863,-33.14999,320.661589647386,351.110279179447,0.3802945,0.94025985,13.9469933333333,-0.0015471,0.255359,0.0639315,0.250028,0.0504969,0.289513,3.06065
2,2.25,10.47083,452.3655,3.054935,12.6873,-2.3192522,-2.10591,0.418969,101.5676,91.2884,10.8645,0.253975,10.47083,-30.90719,322.115400374781,349.281123100378,0.1996622,0.93151905,13.8500733333333,-0.000900377,0.240556,0.06326775,0.2300455,0.0457258,0.2574895,3.054935
2,2.75,10.1691,456.686,2.75216,12.59805,-2.47703405,-1.59703,0.68286,101.553041861323,91.6909,10.625,0.25931,10.1691,-31.11233,323.401788591434,348.213048668812,0.365032,0.9825284,13.7703133333333,-0.00128625,0.263151,0.0609451,0.240396,0.04167335,0.270173,2.75216
2,3.25,9.9259955,455.485,3.16686,12.7079,-2.66915783333333,-2.42369,0.366578,101.550041861323,92.3154,10.5700000000001,0.250017,9.9259955,-29.44527,326.611481032775,348.288729093595,0.2636008,0.8439212,13.66967,-0.000538021,0.241461,0.06291245,0.237671,0.0487315,0.265394,3.16686
2,3.75,9.880879,456.5805,3.00585,12.6112,-2.78319196666667,-2.080815,0.592158,101.534862076629,91.96045,10.425,0.266026,9.880879,-27.06196,328.035878250225,348.959154931966,0.1680022,0.9126668,13.5829066666667,-0.00143079,0.242974,0.06102,0.246603,0.0474577,0.254383,3.00585
2,4.25,9.781722,457.743,3.02013,12.5886,-2.97417663333333,-2.11634,0.425244,101.534,93.385,10.308,0.243876,9.781722,-24.58472,330.928008544193,349.824151965475,0.3882768,0.8228135,13.5170533333333,-0.00124519,0.258025,0.0644925,0.229522,0.0492977,0.275187,3.02013
2,4.75,9.7590145,458.193,3.095105,12.5608,-3.15604883333333,-2.624945,0.426257,101.538,93.2435,10.199,0.25955,9.7590145,-24.02935,334.035151382966,348.65038683507,0.4019922,0.90936355,13.44116,-0.00214216,0.252952,0.0656476,0.2634125,0.05667325,0.2795,3.095105
2,5.25,9.46992,464.0175,3.45578,12.469,-3.2005985,-1.68284,0.1187686,101.54090970599,93.837,9.82800000000003,0.248557,9.46992,-26.54732,335.792056182279,349.471184665235,0.2944227,0.7811244,13.3511866666667,-0.00169695,0.2462855,0.0601856,0.247004,0.0479776,0.296398,3.45578
2,5.75,9.729663,474.3305,2.997265,12.3082,-3.29650456666667,-1.90108,-0.0864508,101.5604,93.5168,9.97300000000001,0.2636515,9.729663,-21.62566,339.709631347732,348.937047253964,0.2946919,0.8076332,13.3248533333333,-0.00103395,0.253123,0.0646894,0.245695,0.0479783,0.301676,2.997265
2,6.25,9.798057,461.832,2.617365,12.4168,-3.41809093333333,-2.06806,0.250112,101.548662076629,93.9631,9.91200000000004,0.2608185,9.798057,-19.57916,339.207269649495,350.93392616609,3.141556,1.234861,13.29825,-0.00171698,0.274265,0.0724249,0.238164,0.0516005,0.289763,2.617365
2,6.75,10.323685,464.8075,3.04228,12.4998,-3.56351065,-1.69867,0.681482,101.5734,93.53825,10.361,0.298579,10.323685,-2.941877,340.09433439702,356.550943030487,19.45737,3.371557,13.2289733333333,-0.002136075,0.282984,0.07728855,0.2641355,0.0626365,0.2586395,3.04228
2,7.25,11.27358,455.585,2.10606,12.2999,-3.8217902,4.79724,3.72985,101.5768,92.3792,11.782,0.514516,11.27358,21.32797,342.876992507395,366.657576643566,64.22739,12.38048,13.1920766666667,-0.00628481,0.292487,0.0820638,0.275264,0.1048555,0.318657,2.10606
