DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN
2,5.75,589.391718525,13.37566625,4488.0755496,4.3831832,167.018813625,-2.5471735,16.1171358,79.896525,7.0887318,0.45550165,0.00663337499999999,1.02607345,0.567330575,102.80525,99.59595,11.747,5.1224443,18.305665675,1.3265405,13.492733475,13.773708,14.034603975,14.181283,13.99505005,-5.92943632500004,0,0,-0.34
2,6.25,575.028253,13.190686875,4521.487539125,4.861160125,141.95580375,-2.7216035,24.75915745,79.860910025,6.9491091,0.451156949999999,0.0107014,1.211632,0.5767623,102.841,99.96005,11.5401,5.0089071,18.66109845,0.938387,13.400717,13.68441685,13.97116685,14.13051685,13.99808315,-3.56109135,2.05168255,0.0796189999999999,-0.331
2,6.75,511.7949053,13.131233275,4476.1640522,4.4790119,224.24233245,-2.27630185,14.86857545,73.3495272499999,6.8883432,0.4893557,0.00721217500000003,1.1322933,0.571922725,102.8545,100.017675,12.5738,4.781418875,18.5246325,1.183854375,13.67868355,13.88660855,13.9861,14.10771655,13.9987501,-1.70162005,39.5742055,2.1328574,17.604
2,7.25,545.9002366,12.782436425,4572.55083775,4.256459225,246.41780985,-1.26409350000001,17.25868815,71.6563662999999,6.756169375,0.489495125,0.00561644999999992,1.078885675,0.591172774999999,102.884,100.23925,12.120125,4.8206752,18.927243,1.0870725,13.467067,13.641333,13.8309499,14.0521669,13.981767,11.0955631,174.9104677,10.5529525,90.953
2,7.75,532.1194698,13.9132529,4170.3094185,4.218607,276.9961165,0.752067625,15.03886915,78.6130942749999,7.0831081,0.5233891,0.003917725,1.190068825,0.640702725,102.91,99.796875,12.4056,5.59211525,19.0764377,1.053190625,13.37150815,13.52395815,13.714087425,13.978208,13.9454,67.1956335,394.90700915,26.4267144,189.97525
2,8.25,508.006073775,13.7597626,3955.13941,4.7351843,247.2059322,6.32553,17.5517466,95.208681475,7.5591246,0.4825064,0.002779825,1.187044225,0.64690845,102.89125,99.89,12.8202,6.2128058,19.47540105,0.986477,13.632458,13.886666375,13.797541625,13.952458,13.923083625,132.830985625,607.698597875,84.083095125,280.9225
2,8.75,483.70358165,14.7637915,3374.09751425,5.88974815,603.399749600001,22.873199625,40.850322625,121.17701825,8.05265325,0.496854125,0.00284480000000002,1.22246975,0.684966875,102.89875,98.66135,13.07745,6.8482184,19.723549375,0.884246049999999,13.648516975,13.8237875,13.784824975,13.94200805,13.919583,200.64524685,799.9677573,106.4487615,371.3415
2,9.25,485.9265612,14.995931725,3123.656904125,6.66500917499999,151.2749311,43.0775292,64.15317025,149.075914,8.443666075,0.547699975,0.0037686,1.3984514,0.7412586,102.90225,98.3312,13.79735,7.333945025,20.601253775,0.86334815,14.04336695,13.777341975,13.784717,13.928191975,13.947225,287.3882043,1022.359813,112.031237775,470.373
2,9.75,456.254667275,14.432663625,3029.6100534,6.1415772,158.3597238,55.3404396499998,79.2706277,168.5285381,8.79046925,0.60763825,0.00643684999999999,1.5462751,0.7144132,102.9275,97.8022,15.24285,7.788913,20.910212,0.83700415,14.236067,13.99368365,13.782283,13.91905,13.9334003,363.3820421,1206.71495325,115.4524766,556.948
2,10.25,451.2633755,14.2192475,2995.157691825,4.822161875,176.374927,69.0739807249999,107.9274504,212.63898985,10.097793975,0.60451345,0.00604997499999998,1.4492394,0.7100742,102.9535,98.146825,15.7857,9.0569161,21.8266062,0.816747125,15.025467,14.190495525,14.070483025,13.879716975,13.92818305,424.43926015,1356.369159275,121.7179527,624.81075
